feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
list_of_three_per_1k_words,syntax,2022-11-30,2023,107,95,12,2.9633326561519717,3.307981179901551,3.1159526044859405,0.204505774520787,0.003034545367211668,0.03641454440654002,0.1920285754156088,0.03279853811849199,0.12774344070336452,0.2563137101278531,0.9389885242389088,0.16037952080007492,0.624644663470762,1.2533323850070555,4.776111609902469e-09,0.5272641399548795,pretrend_plus_first_post_year_indicator_wls_hac,6,4.776111609902469e-08
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.14700425072082385,0.33800772576777816,0.20468619826689718,0.03887467678769094,0.0010916799063766382,0.013100158876519658,0.1333215275008814,0.02627163910985297,0.08182911484556957,0.1848139401561932,3.429521182362488,0.6758034093333344,2.1049465000691527,4.754095864655823,3.880425372999138e-07,0.8501709584507302,pretrend_plus_first_post_year_indicator_wls_hac,6,1.940212686499569e-06
adjective_potential_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.38451205367905766,0.8407664429687496,0.5139628233406534,0.08206194507390843,0.0025948447630803648,0.031138137156964375,0.3268036196280977,0.06520291200558773,0.19900591209714574,0.4546013271590496,3.9824015788775737,0.7945572329154914,2.425069402363211,5.539733755391937,5.383876235065373e-07,0.8597795231565014,pretrend_plus_first_post_year_indicator_wls_hac,6,3.230325741039224e-06
verb_garner_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.004302739210303342,0.02488801855311242,0.007911885038346821,0.005074432288722356,5.9659582675683804e-05,0.0007159149921082057,0.016976133514765658,0.003376058305617797,0.010359059235754777,0.02359320779377654,3.345425172485634,0.6653075878302483,2.0414223003383474,4.64942804463292,4.946184065610391e-07,0.6884307021282792,pretrend_plus_first_post_year_indicator_wls_hac,6,4.451565659049352e-06
word_additionally_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.14700425072082385,0.33800772576777816,0.20468619826689718,0.03887467678769094,0.0010916799063766382,0.013100158876519658,0.1333215275008814,0.02627163910985297,0.08182911484556957,0.1848139401561932,3.429521182362488,0.6758034093333344,2.1049465000691527,4.754095864655823,3.880425372999138e-07,0.8501709584507302,pretrend_plus_first_post_year_indicator_wls_hac,6,4.6565104475989655e-06
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.22494256898022824,0.3241632359904357,0.267880354820575,0.04809494791589887,0.0008240546051001221,0.009888655261201465,0.05628288116986085,0.011840930340751643,0.03307465770198763,0.07949110463773407,1.1702451839282535,0.2461990469655412,0.6876950518757928,1.6527953159807143,2.0017433342525417e-06,0.6241429292894745,pretrend_plus_first_post_year_indicator_wls_hac,6,1.000871667126271e-05
summary_marker_overall_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.18177053865723367,0.24775138364145946,0.22076299044409833,0.04379324367221537,0.0007311902001023784,0.008774282401228541,0.026988393197361224,0.00622877038859403,0.014780003235716925,0.03919678315900552,0.6162684225759695,0.1422313093593904,0.33749505623156434,0.8950417889203747,1.4718437553815282e-05,0.49519177952699667,pretrend_plus_first_post_year_indicator_wls_hac,6,3.85638311829116e-05
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.004964890764781152,0.009934733518341248,0.0052325342434527385,0.005895385211799623,9.935180418254467e-06,0.00011922216501905362,0.004702199274888523,0.0010878368455410174,0.002570039057628129,0.006834359492148917,0.7976067900494549,0.1845234546105164,0.4359408190128427,1.159272761086067,1.542553247316464e-05,0.24918764832974816,pretrend_plus_first_post_year_indicator_wls_hac,6,3.85638311829116e-05
summary_marker_ultimately_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.021179482131653715,0.04548634851204847,0.026122601379870936,0.011859349045877137,9.711436560420862e-05,0.0011653723872505034,0.019363747132177603,0.00459857406108051,0.010350541972459803,0.0283769522918954,1.6327833051603573,0.38775939921248787,0.8727748827038811,2.3927917276168333,2.5445044609987126e-05,0.578836071581317,pretrend_plus_first_post_year_indicator_wls_hac,6,4.240840768331188e-05
summary_marker_collectively_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.01301246898437632,0.01638204530579371,0.010140445958628392,0.008731754845672278,-4.379751574582212e-05,-0.0005255701889498655,0.006241599347165333,0.001524586360977165,0.0032534100796500903,0.009229788614680576,0.7148161460647121,0.17460251552215716,0.37259521564128417,1.05703707648814,4.240629776938409e-05,0.1251618322918242,pretrend_plus_first_post_year_indicator_wls_hac,6,5.300787221173011e-05
