feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
adjective_potential_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.38451205367905766,0.9377758679613586,0.557151762115728,0.08206194507390843,0.00318260917761885,0.0381913101314262,0.3806241058456189,0.05816547435724314,0.2666197761054223,0.4946284355858155,4.638253523028401,0.7087996062591116,3.2490062947605414,6.02750075129626,5.996895924886389e-11,0.9110930484999269,pretrend_plus_first_two_year_indicator_wls_hac,6,3.598137554931834e-10
verb_garner_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.004302739210303342,0.028658888392196748,0.009187109790478109,0.005074432288722356,7.961761571441823e-05,0.0009554113885730188,0.01947177860171837,0.0031602107838430518,0.01327776546538599,0.025665791738050753,3.8372329147032502,0.6227712981541689,2.616601170321079,5.057864659085421,7.20389312423469e-10,0.7846507526027383,pretrend_plus_first_two_year_indicator_wls_hac,6,6.48350381181122e-09
summary_marker_collectively_per_1k_words,summary_markers,2022-11-30,2023-2024,119,95,24,0.01301246898437632,0.016795863275044943,0.010074220143793566,0.008731754845672278,-3.85858350871995e-05,-0.00046303002104639403,0.006721643131251114,0.0011627862904123579,0.004442582002042892,0.009000704260459336,0.7697929282316675,0.1331675374496651,0.5087845548303237,1.030801301633011,7.4419191056105895e-09,0.19698561656747937,pretrend_plus_first_two_year_indicator_wls_hac,6,3.663344441830575e-08
summary_marker_ultimately_per_1k_words,summary_markers,2022-11-30,2023-2024,119,95,24,0.021179482131653715,0.04867711991626199,0.027974185100249332,0.011859349045877137,0.00012448223662765245,0.0014937868395318295,0.02070293481601205,0.003654164154591297,0.013540773073013107,0.02786509655901099,1.7457058339310245,0.30812518802300154,1.1417804654059416,2.3496312024561075,1.46533777673223e-08,0.709161836207568,pretrend_plus_first_two_year_indicator_wls_hac,6,3.663344441830575e-08
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.9953106806722987,1.6001452371399114,1.2744573970321518,0.13076214418609525,0.004887834468484246,0.058654013621810955,0.3256878401077357,0.05903127996588794,0.20998653137459536,0.4413891488408761,2.4906890456325823,0.4514401345535989,1.6058663819075287,3.3755117093576366,3.44428027575499e-08,0.907508833931843,pretrend_plus_first_two_year_indicator_wls_hac,6,1.2360899940148202e-07
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.22494256898022824,0.3263596803075548,0.2734764823301726,0.04809494791589887,0.0008253209830957117,0.00990385179714854,0.05288319797737715,0.00969746753704419,0.03387616160477054,0.07189023434998376,1.0995582752236523,0.20163172967775422,0.704360085055254,1.4947564653920504,4.944359976059281e-08,0.7168991122168702,pretrend_plus_first_two_year_indicator_wls_hac,6,1.2360899940148202e-07
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.705519311646461,2.056849846453329,1.16876667200076,0.16160131381381548,0.008555887509171366,0.1026706501100564,0.8880831744525447,0.17542633307789315,0.5442475616198741,1.2319187872852153,5.495519519573494,1.0855501662567284,3.367841193710306,7.623197845436682,4.139504931273257e-07,0.8952619722794388,pretrend_plus_first_two_year_indicator_wls_hac,6,1.2418514793819771e-06
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,2023-2024,119,95,24,0.004964890764781152,0.009970652893383303,0.005202640502736886,0.005895385211799623,7.72737104131982e-06,9.272845249583783e-05,0.0047680123906462864,0.0009834041175927426,0.002840540320164511,0.006695484461128062,0.8087702871566563,0.16680913668278327,0.4818243792584011,1.1357161950549115,1.2441286013586509e-06,0.33512160627041954,pretrend_plus_first_two_year_indicator_wls_hac,6,2.0735476689310847e-06
verb_exhibit_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.15716309587505803,0.3430842090322487,0.18830214488594457,0.031941428118713464,0.0006409083031127573,0.007690899637353087,0.15478206414629975,0.0316279188526985,0.09279134319501069,0.2167727850975888,4.845809134489446,0.9901848701050631,2.9050467890835225,6.786571479895369,9.888581713272154e-07,0.8084586615851569,pretrend_plus_first_two_year_indicator_wls_hac,6,4.449861770972469e-06
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.15779855375413127,0.22378349688303042,0.18485720253985885,0.031038650269816875,0.00046703014182592276,0.005604361701911073,0.03892629434316816,0.008033173518605066,0.02318127424670223,0.05467131443963409,1.254123294820636,0.2588119473228776,0.7468518780677958,1.761394711573476,1.2617035881155946e-06,0.6393327451844889,pretrend_plus_first_two_year_indicator_wls_hac,6,6.308517940577973e-06
