year,topic_id,count,total,pct,topic_label
2015,0,1241,3839,32.32612659546757,"learning, data, model, models, neural, training, based"
2015,1,1194,3839,31.101849439958322,"models, language, model, data, based, llms, large"
2015,2,873,3839,22.740296952331338,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem"
2015,3,83,3839,2.162021359729096,"data, adversarial, learning, privacy, model, models, attacks"
2015,4,125,3839,3.256056264652253,"data, time, learning, model, based, series, time series"
2015,5,30,3839,0.7814535035165407,"quantum, classical, learning, quantum machine, machine, machine learning, neural"
2015,6,63,3839,1.6410523573847355,"ai, human, systems, intelligence, artificial, agents, artificial intelligence"
2015,7,47,3839,1.224277155509247,"models, model, performance, design, based, large, memory"
2015,8,183,3839,4.766866371450899,"fuzzy, based, decision, problem, set, paper, data"
2016,0,1890,6085,31.05998356614626,"learning, data, model, models, neural, training, based"
2016,1,2239,6085,36.795398520953164,"models, language, model, data, based, llms, large"
2016,2,1180,6085,19.39194741166804,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem"
2016,3,172,6085,2.826622843056697,"data, adversarial, learning, privacy, model, models, attacks"
2016,4,221,6085,3.6318816762530814,"data, time, learning, model, based, series, time series"
2016,5,36,6085,0.5916187345932621,"quantum, classical, learning, quantum machine, machine, machine learning, neural"
2016,6,91,6085,1.495480690221857,"ai, human, systems, intelligence, artificial, agents, artificial intelligence"
2016,7,73,6085,1.199671322925226,"models, model, performance, design, based, large, memory"
2016,8,183,6085,3.0073952341824155,"fuzzy, based, decision, problem, set, paper, data"
2017,0,2888,8826,32.72150464536596,"learning, data, model, models, neural, training, based"
2017,1,3001,8826,34.00181282574213,"models, language, model, data, based, llms, large"
2017,2,1674,8826,18.966689326988444,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem"
2017,3,341,8826,3.8635848629050535,"data, adversarial, learning, privacy, model, models, attacks"
2017,4,379,8826,4.2941309766598685,"data, time, learning, model, based, series, time series"
2017,5,65,8826,0.7364604577384999,"quantum, classical, learning, quantum machine, machine, machine learning, neural"
2017,6,142,8826,1.608882846136415,"ai, human, systems, intelligence, artificial, agents, artificial intelligence"
2017,7,128,8826,1.4502605937004305,"models, model, performance, design, based, large, memory"
2017,8,208,8826,2.3566734647631997,"fuzzy, based, decision, problem, set, paper, data"
2018,0,5436,15381,35.34230544177882,"learning, data, model, models, neural, training, based"
2018,1,4859,15381,31.59092386710877,"models, language, model, data, based, llms, large"
2018,2,2689,15381,17.48260841297705,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem"
2018,3,812,15381,5.279240621546063,"data, adversarial, learning, privacy, model, models, attacks"
2018,4,849,15381,5.519797152330798,"data, time, learning, model, based, series, time series"
2018,5,112,15381,0.7281711202132501,"quantum, classical, learning, quantum machine, machine, machine learning, neural"
2018,6,208,15381,1.3523177946817502,"ai, human, systems, intelligence, artificial, agents, artificial intelligence"
2018,7,211,15381,1.3718223782588908,"models, model, performance, design, based, large, memory"
2018,8,205,15381,1.3328132111046096,"fuzzy, based, decision, problem, set, paper, data"
2019,0,9402,24543,38.308275271971645,"learning, data, model, models, neural, training, based"
2019,1,6929,24543,28.232082467506007,"models, language, model, data, based, llms, large"
2019,2,4105,24543,16.725746648738948,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem"
2019,3,1504,24543,6.1280202094283505,"data, adversarial, learning, privacy, model, models, attacks"
2019,4,1546,24543,6.299148433361855,"data, time, learning, model, based, series, time series"
2019,5,179,24543,0.7293321924785071,"quantum, classical, learning, quantum machine, machine, machine learning, neural"
2019,6,281,24543,1.1449293077455893,"ai, human, systems, intelligence, artificial, agents, artificial intelligence"
2019,7,344,24543,1.4016216436458462,"models, model, performance, design, based, large, memory"
2019,8,253,24543,1.030843825123253,"fuzzy, based, decision, problem, set, paper, data"
2020,0,12791,33564,38.109283756405674,"learning, data, model, models, neural, training, based"
2020,1,9427,33564,28.086640448099153,"models, language, model, data, based, llms, large"
2020,2,5309,33564,15.817542605172207,"learning, policy, reinforcement, reinforcement learning, algorithm, based, problem"
2020,3,2199,33564,6.551662495530926,"data, adversarial, learning, privacy, model, models, attacks"
2020,4,2292,33564,6.828745084018592,"data, time, learning, model, based, series, time series"
