dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
pobj->det,pobj,det,1212109.0,1283031.0,0.043151224248921156,0.031138242227780374,-0.012012982021140782,0.012012982021140782,-27.839261180269116
prep->pobj,prep,pobj,3196199.0,4353368.0,0.1137850637138884,0.10565311928602487,-0.008131944427863524,0.008131944427863524,-7.146759128519039
dobj->amod,dobj,amod,1029079.0,1799180.0,0.03663533452755118,0.04366480829487198,0.0070294737673207985,0.0070294737673207985,19.1876882195094
advcl->dobj,advcl,dobj,239212.0,556613.0,0.008515975588856223,0.013508598327812435,0.004992622738956213,0.004992622738956213,58.62655061493395
pobj->prep,pobj,prep,689575.0,825100.0,0.024548951836385842,0.02002458526889965,-0.004524366567486192,0.004524366567486192,-18.429978589881337
dobj->compound,dobj,compound,526151.0,934560.0,0.018731038041788415,0.022681100968249737,0.0039500629264613216,0.0039500629264613216,21.088328995162165
ROOT->advcl,ROOT,advcl,241456.0,511999.0,0.008595862255166413,0.012425848543317599,0.0038299862881511857,0.0038299862881511857,44.55616172594239
ROOT->dobj,ROOT,dobj,592329.0,1005507.0,0.021086982695565516,0.024402933777694195,0.00331595108212868,0.00331595108212868,15.725109324559778
amod->npadvmod,amod,npadvmod,167743.0,353772.0,0.005971670707161469,0.00858579272785016,0.002614122020688691,0.002614122020688691,43.77538797565864
conj->amod,conj,amod,183172.0,358779.0,0.006520944938222046,0.00870730902701557,0.0021863640887935243,0.0021863640887935243,33.528332312366416
ROOT->auxpass,ROOT,auxpass,166390.0,159603.0,0.0059235037465920895,0.0038734503486513036,-0.002050053397940786,0.002050053397940786,-34.60879718562215
ROOT->nsubjpass,ROOT,nsubjpass,164816.0,157827.0,0.005867469159795191,0.003830348102332596,-0.0020371210574625953,0.0020371210574625953,-34.71890523807547
dobj->det,dobj,det,871794.0,1196949.0,0.03103596986150913,0.02904909382259625,-0.001986876038912882,0.001986876038912882,-6.4018493631062885
nsubjpass->det,nsubjpass,det,122992.0,105445.0,0.004378529796266929,0.002559074528759088,-0.0018194552675078412,0.0018194552675078412,-41.55402274660966
xcomp->aux,xcomp,aux,225002.0,255419.0,0.008010097902462368,0.0061988359529718574,-0.0018112619494905103,0.0018112619494905103,-22.61223235403545
conj->compound,conj,compound,165559.0,315983.0,0.005893920047971872,0.0076686807987186014,0.0017747607507467298,0.0017747607507467298,30.11172082928804
ROOT->nsubj,ROOT,nsubj,984769.0,1513040.0,0.035057893268993,0.03672039570386126,0.0016625024348682557,0.0016625024348682557,4.742162976286593
ROOT->prep,ROOT,prep,606380.0,822101.0,0.021587199963089797,0.019951801689671155,-0.0016353982734186416,0.0016353982734186416,-7.57577766553734
dobj->conj,dobj,conj,111706.0,229342.0,0.003976746856883322,0.005565965864428534,0.001589219007545212,0.001589219007545212,39.96279030923088
compound->amod,compound,amod,265846.0,453489.0,0.009464149149687606,0.01100585280451828,0.0015417036548306742,0.0015417036548306742,16.289934049502623
conj->conj,conj,conj,124458.0,245787.0,0.004430719570246759,0.0059650742206848115,0.0015343546504380523,0.0015343546504380523,34.62992017688449
dobj->appos,dobj,appos,80845.0,181592.0,0.002878091594406139,0.004407107608956521,0.001529016014550382,0.001529016014550382,53.126037320083164
nsubjpass->amod,nsubjpass,amod,115564.0,110532.0,0.004114092114737474,0.0026825323705514676,-0.001431559744186006,0.001431559744186006,-34.7964922578637
nsubj->amod,nsubj,amod,356040.0,579174.0,0.012675066253600863,0.014056137617900479,0.0013810713642996159,0.0013810713642996159,10.89596958838197
conj->cc,conj,cc,91093.0,188092.0,0.003242921610603481,0.004564857947397737,0.0013219363367942558,0.0013219363367942558,40.76374626114549
appos->amod,appos,amod,61616.0,143213.0,0.002193536912374651,0.003475676802951067,0.0012821398905764163,0.0012821398905764163,58.45080077491898
xcomp->dobj,xcomp,dobj,197875.0,238642.0,0.007044373483123444,0.005791670194813659,-0.0012527032883097849,0.0012527032883097849,-17.78303338559417
pobj->conj,pobj,conj,230143.0,388949.0,0.00819311811257854,0.009439513290211187,0.0012463951776326473,0.0012463951776326473,15.212708525696838
advcl->prep,advcl,prep,119639.0,226086.0,0.004259162598344438,0.005486945079510903,0.0012277824811664654,0.0012277824811664654,28.826851589176517
dobj->cc,dobj,cc,98685.0,192302.0,0.003513197711595891,0.004667031628141971,0.0011538339165460799,0.0011538339165460799,32.84284037694946
ROOT->aux,ROOT,aux,158223.0,188599.0,0.00563275757736066,0.004577162473796152,-0.001055595103564508,0.001055595103564508,-18.740289974615383
