year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2015,ROOT->acl,ROOT,acl,72,0.00012293843345701167,0.1205180266512225,3839,597421.0,585659
2016,ROOT->acl,ROOT,acl,118,0.00012976587157577558,0.12707164471629642,6085,928610.0,909330
2017,ROOT->acl,ROOT,acl,169,0.0001257416151175647,0.12319140080285804,8826,1371849.0,1344026
2018,ROOT->acl,ROOT,acl,306,0.0001280812755220777,0.125459454251374,15381,2439035.0,2389108
2019,ROOT->acl,ROOT,acl,527,0.00013347033248295594,0.13080892787066645,24542,4028777.0,3948443
2020,ROOT->acl,ROOT,acl,810,0.00014500412456176532,0.142280217903032,33564,5692991.0,5586048
2021,ROOT->acl,ROOT,acl,929,0.00014705803204377105,0.14434509820982558,37153,6435965.0,6317234
2022,ROOT->acl,ROOT,acl,962,0.00013723358211318603,0.13471246031443737,40534,7141136.0,7009946
2023,ROOT->acl,ROOT,acl,1516,0.0001696323610206318,0.16659201527547682,51031,9100076.0,8936974
2024,ROOT->acl,ROOT,acl,2457,0.00020800500092446668,0.20435686847427262,67315,12023085.0,11812216
2025,ROOT->acl,ROOT,acl,3641,0.00024382968914761667,0.24055717296100376,84358,15135695.0,14932554
2026,ROOT->acl,ROOT,acl,1357,0.00024571737431882236,0.24397575848233774,30618,5562028.0,5522605
2015,ROOT->acomp,ROOT,acomp,1693,0.0028907606644822327,2.833847487784996,3839,597421.0,585659
2016,ROOT->acomp,ROOT,acomp,2571,0.002827356405265415,2.768654225132187,6085,928610.0,909330
2017,ROOT->acomp,ROOT,acomp,3790,0.002819885924825859,2.7626947280640946,8826,1371849.0,1344026
2018,ROOT->acomp,ROOT,acomp,6987,0.0029245224577541073,2.8646575387397064,15381,2439035.0,2389108
2019,ROOT->acomp,ROOT,acomp,11755,0.0029771228810951556,2.917758912940577,24542,4028777.0,3948443
2020,ROOT->acomp,ROOT,acomp,16868,0.00301966613963933,2.96294162418314,33564,5692991.0,5586048
2021,ROOT->acomp,ROOT,acomp,19360,0.0030646324008260575,3.0080959110249976,37153,6435965.0,6317234
