year,paper_count,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
2015,3839,597421.0,611247,27692,35312,63004,75645,71526,78078,44319,147171,122397,46.35257213924519,59.10739662649957,105.45996876574476,246.34386805954261,204.87562372263446,0.43952764903815633,0.2407717338490005,0.20024147357778443,0.8316652057810302
2016,6085,928610.0,949224,41754,53708,95462,116419,109879,122544,70258,226298,192802,44.963978419357964,57.83698215612582,102.80096057548378,243.6954157288851,207.62429868297778,0.43738869916825546,0.2384031587907596,0.20311538688444455,0.8519827837630027
2017,8826,1371849.0,1402452,60403,79464,139867,170964,160908,181773,105636,331872,287409,44.030356110621504,57.92474244614385,101.95509855676536,241.91583767601244,209.5048361736605,0.4318602672538912,0.23663697581093684,0.20493321696571434,0.8660236476713914
2018,15381,2439035.0,2492833,106989,139842,246831,301893,284858,325083,190522,586751,515605,43.86529918594854,57.334970592877916,101.20026977882645,240.56686353414364,211.39713042248266,0.43345041749213026,0.23537517354752605,0.20683495444740985,0.8787458393764987
2019,24543,4028778.0,4119856,174360,229453,403813,495213,466259,540151,322470,961472,862621,43.27863188291834,56.953498058220134,100.23212994113848,238.65102519920433,214.11480106374685,0.43178401884040385,0.23337514709251975,0.20938134730922633,0.8971878536244425
2020,33564,5692991.0,5827767,243522,321948,565470,698457,658937,766520,462441,1357394,1228961,42.77575706689155,56.55164394252511,99.32740100941668,238.432486543541,215.87264058559026,0.43065414610854685,0.23291837165075405,0.21088025653736672,0.9053826670811864
2021,37153,6435965.0,6590532,267799,360793,628592,783608,738502,873318,528485,1522110,1401803,41.609766367592115,56.058881612936055,97.66864798052816,236.50066462449686,217.80774134104212,0.42602992083895436,0.2309540413429447,0.21269952107052967,0.9209603773708864
2022,40534,7141136.0,7313858,289590,397246,686836,862861,812925,973949,592085,1675786,1566034,40.552371499436504,55.6278440853108,96.1802155847473,234.66658526038432,219.2976019501659,0.4216290351699678,0.22912476561617684,0.21411873186490632,0.9345071506743701
2023,51031,9100076.0,9325970,343028,501607,844635,1098054,1029247,1255029,754172,2127301,2009201,37.695069799417055,55.12118799886946,92.81625779828651,233.76738831631735,220.78947472526602,0.40612572294541427,0.22810506574651215,0.2154415036720041,0.9444836438284944
2024,67315,12023085.0,12329493,400344,651797,1052141,1435336,1335808,1700238,1024685,2771144,2724923,33.29794308199601,54.21212608910275,87.51006917109876,230.4852706272974,226.640916204119,0.38050413395162813,0.22475733592614067,0.22100851997726104,0.9833206069406715
2025,84358,15135695.0,15574265,403197,748455,1151652,1690300,1579043,2317152,1387636,3269343,3704788,26.63881638735453,49.44966187545402,76.08847826280854,216.00217234821395,244.77158135123628,0.3501031561617572,0.20991956923809887,0.23787883408944177,1.133190368829456
2026,30618,5562028.0,5753162,136462,261107,397569,591668,563039,897094,542737,1154707,1439831,24.534576237300495,46.9445677008458,71.47914393814631,207.6053914147861,258.8679884387493,0.34324104746597445,0.2007082366184022,0.2502677657955747,1.246923245464001
