feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
list_of_three_per_1k_words,syntax,2022-11-30,2023,107,95,12,2.9968621278410565,3.3483595312397214,3.143772045561836,0.21411579356135194,0.002932816157385407,0.03519379388862488,0.2045874856777471,0.03215101882757259,0.1415714887757048,0.2676034825797894,0.9554992757651264,0.15015715698879614,0.6611912480670858,1.249807303463167,1.9742816296993314e-10,0.5213329171450343,pretrend_plus_first_post_year_indicator_wls_hac,6,1.9742816296993314e-09
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.1559343095089866,0.3586345883054236,0.21708020991762111,0.04139399566290146,0.001157395101849388,0.013888741222192656,0.1415543783877926,0.027923887345281735,0.08682355919104041,0.19628519758454482,3.4196838483668754,0.6745878695230179,2.0974916241017607,4.741876072631991,3.9929525756043467e-07,0.8492146952220934,pretrend_plus_first_post_year_indicator_wls_hac,6,1.9964762878021736e-06
adjective_potential_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.3992593103578712,0.8728094391091602,0.5317820965573687,0.08338634907681737,0.002664808894866452,0.03197770673839742,0.3410273425517675,0.06817486228783375,0.20740461246761333,0.4746500726359216,4.089726272073688,0.8175782132520221,2.487272974099724,5.692179570047651,5.666660296588865e-07,0.858691002670411,pretrend_plus_first_post_year_indicator_wls_hac,6,3.399996177953319e-06
verb_garner_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.004573601975538643,0.02661404654831372,0.008362974566629478,0.005429282183240436,6.237384346199475e-05,0.000748486121543937,0.01825107198168375,0.003602566200647261,0.011190042228415117,0.02531210173495238,3.3615994464282384,0.663543739127792,2.0610537177377664,4.66214517511871,4.0598277379671346e-07,0.685937991158923,pretrend_plus_first_post_year_indicator_wls_hac,6,3.653844964170421e-06
word_additionally_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.1559343095089866,0.3586345883054236,0.21708020991762111,0.04139399566290146,0.001157395101849388,0.013888741222192656,0.1415543783877926,0.027923887345281735,0.08682355919104041,0.19628519758454482,3.4196838483668754,0.6745878695230179,2.0974916241017607,4.741876072631991,3.9929525756043467e-07,0.8492146952220934,pretrend_plus_first_post_year_indicator_wls_hac,6,4.791543090725216e-06
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.23824427631545755,0.34304566192739877,0.2833282032640784,0.05116604736884224,0.0008636978516695034,0.010364374220034042,0.059717458663308326,0.012711527930164538,0.034802863920185834,0.08463205340643082,1.1671305823727456,0.248436777586718,0.6801944983027782,1.6540666664427128,2.628529361633333e-06,0.6186287786676601,pretrend_plus_first_post_year_indicator_wls_hac,6,1.3142646808166665e-05
summary_marker_overall_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.19275801157492403,0.26202692933113436,0.2334424740448952,0.04660994829887812,0.0007638709071818614,0.009166450886182335,0.028584455286229243,0.006643221187934051,0.015563741757878504,0.041605168814579985,0.6132694055555787,0.14252796732009998,0.33391458960818277,0.8926242215029747,1.6865271812697735e-05,0.4876168524078448,pretrend_plus_first_post_year_indicator_wls_hac,6,3.7577865439533896e-05
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.0052417493106523905,0.010525148427293452,0.005520333140056507,0.006253693835514193,1.047219524298257e-05,0.00012566634291579084,0.005004815287236655,0.0011713239943401865,0.002709020258329889,0.00730061031614342,0.8002974592095853,0.18730114155706468,0.43318722175773855,1.167407696661432,1.9304680131037878e-05,0.2506045671135104,pretrend_plus_first_post_year_indicator_wls_hac,6,3.7577865439533896e-05
summary_marker_ultimately_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.02244657830536745,0.0483270274815484,0.027629340634805433,0.012611219353663694,0.00010139675662998741,0.001216761079559849,0.020697686846741635,0.004883773272482232,0.011125491232676461,0.030269882460806807,1.6412121830811497,0.3872562307833813,0.8821899707457223,2.4002343954165766,2.2546719263720338e-05,0.5789181660914728,pretrend_plus_first_post_year_indicator_wls_hac,6,3.7577865439533896e-05
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,1.055286137461064,1.5781572335356782,1.2918337320571986,0.1381570909622283,0.004541459688420637,0.05449751626104764,0.2863235014784249,0.06836544840849669,0.15232722259777137,0.4203197803590784,2.07244882969275,0.4948385054458593,1.102565359018866,3.0423323003666343,2.812602955309904e-05,0.8545212883213381,pretrend_plus_first_post_year_indicator_wls_hac,6,7.03150738827476e-05
