feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
adjective_potential_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.3992593103578712,0.9767724426590402,0.577717328026522,0.08338634907681737,0.0033045150337645125,0.03965418040517415,0.39905511463250326,0.0615041345131763,0.27850701098667774,0.5196032182783288,4.785616819185653,0.7375803736954273,3.3399592867426158,6.23127435162869,8.683053985230168e-11,0.9093675821575954,pretrend_plus_first_two_year_indicator_wls_hac,6,5.209832391138101e-10
verb_garner_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.004573601975538643,0.030511068273853956,0.009687961335035368,0.005429282183240436,8.305082102915444e-05,0.0009966098523498533,0.020823106938818225,0.0033241584575115298,0.014307756362095627,0.027338457515540822,3.8353333343211995,0.6122648161064129,2.6352942947526303,5.035372373889769,3.7480681139604655e-10,0.7826951616456957,pretrend_plus_first_two_year_indicator_wls_hac,6,3.373261302564419e-09
summary_marker_collectively_per_1k_words,summary_markers,2022-11-30,2023-2024,119,95,24,0.01358557133206228,0.017786791269045154,0.010787812692312791,0.009013421051922791,-3.759412502779681e-05,-0.00045112950033356173,0.006998978576732033,0.0012270190613500322,0.00459402121648597,0.009403935936978096,0.7765063383163459,0.1361324467459864,0.5096867426942125,1.0433259339384793,1.169934543935988e-08,0.19607549069378238,pretrend_plus_first_two_year_indicator_wls_hac,6,3.019890367836739e-08
summary_marker_ultimately_per_1k_words,summary_markers,2022-11-30,2023-2024,119,95,24,0.02244657830536745,0.0517271038140758,0.029600392277112468,0.012611219353663694,0.0001308340819201675,0.0015700089830420101,0.022126711536962506,0.0038828332254882848,0.014516358415005468,0.029737064658919544,1.7545259436419571,0.3078872166600036,1.15106699898835,2.3579848882955643,1.2079561471346957e-08,0.7086588180301772,pretrend_plus_first_two_year_indicator_wls_hac,6,3.019890367836739e-08
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,1.055286137461064,1.697799632284552,1.3492716308530142,0.1381570909622283,0.005155686817511126,0.06186824181013351,0.3485280014315062,0.06309303497667519,0.22486565287722282,0.47219034998578957,2.5226935440236837,0.4566760528703128,1.6276084803978708,3.417778607649497,3.313053692040805e-08,0.9065254240270391,pretrend_plus_first_two_year_indicator_wls_hac,6,1.5193275249593429e-07
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.23824427631545755,0.3454877750064084,0.28929329191736025,0.05116604736884224,0.0008672962702375429,0.010407555242850515,0.05619448308904139,0.010374663401142884,0.03586014282280134,0.07652882335528144,1.0982768061787245,0.20276460533202287,0.7008581797279598,1.4956954326294893,6.077310099837372e-08,0.7121287500225093,pretrend_plus_first_two_year_indicator_wls_hac,6,1.5193275249593429e-07
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.7290160689971646,2.122674659148086,1.2050046747276042,0.16403320725280923,0.008810495489941877,0.10572594587930252,0.9176699844204512,0.18345620501174245,0.558095822597436,1.2772441462434665,5.594415909981759,1.1184089373379034,3.402334392799468,7.78649742716405,5.6703223302232e-07,0.8930920882714108,pretrend_plus_first_two_year_indicator_wls_hac,6,1.7010966990669602e-06
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.16727246130993534,0.23782743288144684,0.19531486478146368,0.032749796430340934,0.00048667358576872397,0.005840083029224688,0.04251256809997848,0.008433825120667145,0.025982270863470873,0.05904286533648608,1.2981017512705166,0.2575229784589946,0.7933567134908872,1.8028467890501458,4.6377869576016783e-07,0.6415096048619128,pretrend_plus_first_two_year_indicator_wls_hac,6,2.3188934788008394e-06
verb_exhibit_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.16635443554843,0.36301767963946463,0.1985863717116404,0.033646457347217565,0.0006666650826304515,0.007999980991565419,0.16443130792781857,0.033234605896425476,0.09929148037082464,0.2295711354848125,4.887031827183328,0.9877594408664796,2.9510233230850282,6.823040331281629,7.513675649400909e-07,0.810750361587897,pretrend_plus_first_two_year_indicator_wls_hac,6,3.3811540422304093e-06
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,2023-2024,119,95,24,0.0052417493106523905,0.010335620273647698,0.00541813542472116,0.006253693835514193,6.530983916368468e-06,7.837180699642162e-05,0.004917484848926374,0.0010400304908023338,0.0028790250869538,0.006955944610898948,0.7863328423595665,0.16630658905878787,0.4603719278043422,1.1122937569147906,2.265054026466888e-06,0.31989033780936615,pretrend_plus_first_two_year_indicator_wls_hac,6,3.77509004411148e-06
adjective_crucial_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.17273940173845073,0.4602327892978919,0.28569222039161896,0.051461586828537825,0.0020529262541604844,0.024635115049925813,0.17454056890626599,0.038892040940934444,0.09831216866203447,0.2507689691504975,3.3916670600890835,0.7557489641840389,1.910399090288367,4.8729350298898,7.195490417440386e-06,0.8593995781676225,pretrend_plus_first_two_year_indicator_wls_hac,6,1.4390980834880772e-05
