feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
flesch_reading_ease,readability,2022-11-30,136,95,41,21.628003442724964,12.978040361397936,1.1358124541822512,-0.03659503702754127,-0.43914044433049526,0.8128201054107177,0.22292847004558197,0.375880304121377,1.2497599067000584,0.00026624756241598846,-0.3309364248423293,-3.971237098107952,0.007502253507060509,0.09002704208472612,-4.147690100594016,-3.7947840956218886,-3.4963845338067863,0.0792622424179551,-3.6517385289459785,-3.341030538667594,0.0,-0.3675314618698706,-4.4103775424384475,0.9911674373381447,monthly_segmented_wls_hac,6,0.0,0.0009318664684559596
gunning_fog,readability,2022-11-30,136,95,41,18.85760622992293,20.226120732460362,0.16329141900733538,0.004706202108925313,0.056474425307103754,-0.1017736199662414,0.042628306126186885,-0.1853250999735677,-0.018222139958915112,0.01696498440579225,0.054755626626554185,0.6570675195186502,0.0013866872701503521,0.016640247241804226,0.6244526349247139,0.6896824041125865,4.023894969576652,0.10190521549118704,3.824160747213926,4.223629191939379,0.0,0.0594618287354795,0.713541944825754,0.9874717012746878,monthly_segmented_wls_hac,6,0.0,0.02375097816810915
smog_index,readability,2022-11-30,136,95,41,16.679797331284277,17.509982719843315,0.11926886210594262,0.0034517123882334966,0.04142054865880196,-0.05065267597124534,0.024269028848970836,-0.09821997251522818,-0.0030853794272625024,0.03687616971388055,0.030700203424149218,0.3684024410897906,0.0008102156689577656,0.009722588027493187,0.34934616855590395,0.38745871362367723,3.0888400759835437,0.08151824253053518,2.9290643206236946,3.2486158313433924,3.566311601e-314,0.034151915812382715,0.40982298974859255,0.9848431214164372,monthly_segmented_wls_hac,6,8.3213937354e-314,0.04302219799952731
dale_chall,readability,2022-11-30,136,95,41,12.765576805625109,13.639613892801668,0.137848015322753,0.005118851254906388,0.06142621505887666,-0.08895247334511472,0.02355155189037247,-0.13511351505024477,-0.042791431639984674,0.00015877575379256588,0.029387436268643284,0.3526492352237194,0.0008051601729491528,0.009661922075389833,0.3337118679559553,0.3715866024914835,2.558246735711338,0.07009112211567002,2.420868136364625,2.6956253350580517,1.1556860833371666e-291,0.03450628752354967,0.41407545028259607,0.9947585349681696,monthly_segmented_wls_hac,6,2.0224506458400416e-291,0.0009318664684559596
flesch_kincaid_grade,readability,2022-11-30,136,95,41,15.850331783690534,16.948621031009925,0.15678134970169383,0.004085905330207683,0.0490308639624922,-0.13026123985711213,0.04192136283019918,-0.2124271110043025,-0.048095368709921746,0.0018882009363234296,0.04495350081982777,0.5394420098379332,0.0013080826879689994,0.01569699225562799,0.5086759050169023,0.5702081146589641,3.440728191614141,0.10012027760632554,3.2444924475057424,3.636963935722539,8.13899778966384e-259,0.04903940615003545,0.5884728738004255,0.9843413012818902,monthly_segmented_wls_hac,6,1.1394596905529377e-258,0.004405802184754669
avg_syllables_per_word,readability,2022-11-30,136,95,41,1.8862260633728531,1.9780262034629483,0.010004542476397585,0.00030828208080898873,0.003699384969707865,-0.0016806847333441614,0.0021459595911448534,-0.005886765531988074,0.002525396065299751,0.4335181069549865,0.003463460926428374,0.04156153111714049,0.0001072348644806037,0.0012868183737672445,0.03903936710455669,0.044083695129724286,4.154266046167649,0.1286234104960889,3.902164161595314,4.406367930739982,7.486228326984715e-229,0.0037717430072373628,0.04526091608684835,0.9912450352312904,monthly_segmented_wls_hac,6,8.733933048148834e-229,0.4335181069549865
causal_marker_thus_per_1k_words,causal_markers,2022-11-30,136,95,41,0.4436842833868747,0.31833734077148196,0.06257100736389774,0.0007509168672223429,0.009011002406668115,0.008649792104451774,0.010424576313998034,-0.011782377470984373,0.02908196167988792,0.4066801505570229,-0.008800872535828501,-0.10561047042994201,0.0002836394715406691,0.003403673658488029,-0.11228167080057855,-0.09893927005930547,-1.687849930491565,0.054396977160573616,-1.7944680057262894,-1.5812318552568407,2.2336267862241563e-211,-0.008049955668606158,-0.09659946802327389,0.9268872882937399,monthly_segmented_wls_hac,6,1.1168133931120781e-210,0.4066801505570229
word_across_per_1k_words,marker_words,2022-11-30,136,95,41,0.5269103433800514,1.8689018251054461,0.131153901669295,0.004083057646417879,0.04899669175701454,-0.33582094923358086,0.07672695476986283,-0.48620578058251196,-0.18543611788464973,1.2041701577285842e-05,0.06667798642936984,0.8001358371524381,0.003286062815811509,0.03943275378973811,0.7228476397245513,0.8774240345803248,6.100739871010344,0.30066016556006037,5.511445946512625,6.690033795508063,1.5395847196918625e-91,0.07076104407578772,0.8491325289094527,0.9868150898666855,monthly_segmented_wls_hac,6,1.847501663630235e-90,0.00014450041892743012
automated_readability_index,readability,2022-11-30,136,95,41,17.620280833781724,19.280642904039425,0.2651722613699988,0.00873230460893565,0.1047876553072278,-0.30123966393139606,0.09972452520140083,-0.4966997333261417,-0.10577959453665042,0.002521761396769224,0.06480260070066421,0.7776312084079705,0.0033377061203331256,0.04005247344399751,0.6991283604577354,0.8561340563582056,2.9325511061767133,0.15104322464600362,2.6365063858705464,3.2285958264828807,5.728868412816357e-84,0.07353490530959986,0.8824188637151983,0.98616043110433,monthly_segmented_wls_hac,6,5.728868412816358e-84,0.004413082444346142
clause_depth_std,syntax,2022-11-30,136,95,41,2.193977706243287,2.106430960924831,0.035578814177700105,-0.00012078761861091468,-0.0014494514233309762,0.04486609751426665,0.009205819313258614,0.026822691660279768,0.06290950336825353,1.0954559857955387e-06,-0.005713637961427423,-0.06856365553712906,0.00031363363901304675,0.0037636036681565612,-0.07594031872671593,-0.06118699234754221,-1.9270922070276029,0.10578215590207872,-2.134425232595677,-1.7197591814595288,3.7452194601036805e-74,-0.0058344255800383375,-0.07001310696046005,0.9370591498000264,monthly_segmented_wls_hac,6,1.8726097300518403e-73,5.477279928977693e-06
