topic_id,abstract_count,abstract_share,topic_label
0,198928,0.49331551133672413,"data, model, learning, models, training, based, performance"
1,96874,0.24023489325401057,"models, language, model, llms, based, data, large"
2,59947,0.1486607463911697,"learning, policy, based, algorithm, model, reinforcement, reinforcement learning"
3,17784,0.044102001998774946,"code, models, language, llms, reasoning, knowledge, model"
4,10741,0.02663627999712335,"data, model, learning, models, time, based, forecasting"
6,9030,0.02239322301219848,"ai, human, systems, intelligence, agents, artificial, research"
5,4387,0.01087918818986874,"quantum, classical, learning, machine, quantum machine, machine learning, neural"
8,3178,0.007881025773285356,"privacy, data, learning, federated, fl, model, federated learning"
7,2377,0.005894650177186687,"fuzzy, based, decision, paper, data, set, proposed"
-1,1,2.479869658050773e-06,-1 (outliers)
