dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
ROOT->amod,ROOT,amod,90357.0,105806.0,0.05965765037713127,0.04538423857887616,-0.014273411798255108,0.014273411798255108,-23.92553462636298
ROOT->prep,ROOT,prep,95668.0,120188.0,0.06316420527772496,0.05155322823202813,-0.011610977045696823,0.011610977045696823,-18.3822102956015
ROOT->compound,ROOT,compound,58035.0,68749.0,0.03831724979400393,0.029489074514291794,-0.008828175279712136,0.008828175279712136,-23.039689244851836
appos->amod,appos,amod,23302.0,54562.0,0.015385001373307134,0.023403727816386985,0.008018726443079851,0.008018726443079851,52.12041421713672
appos->prep,appos,prep,18208.0,44601.0,0.012021719380532843,0.019131074087069315,0.007109354706536472,0.007109354706536472,59.13758657558484
ROOT->appos,ROOT,appos,27065.0,55131.0,0.01786949884853479,0.023647793670415872,0.005778294821881084,0.005778294821881084,32.33607652267694
amod->npadvmod,amod,npadvmod,31578.0,60242.0,0.020849179184889394,0.0258400969743555,0.0049909177894661046,0.0049909177894661046,23.9381979751189
appos->compound,appos,compound,13171.0,28355.0,0.0086960712852042,0.012162543569400918,0.003466472284196718,0.003466472284196718,39.86250998303907
ROOT->det,ROOT,det,15825.0,18262.0,0.010448358369778792,0.007833269993454402,-0.00261508837632439,0.00261508837632439,-25.028701005206383
appos->det,appos,det,12112.0,24548.0,0.007996873085292937,0.010529575720037163,0.0025327026347442255,0.0025327026347442255,31.67116206210804
prep->pobj,prep,pobj,209808.0,317624.0,0.13852443430309944,0.13624107701242805,-0.0022833572906713895,0.0022833572906713895,-1.6483426206782208
pobj->det,pobj,det,17181.0,21143.0,0.01134364898269633,0.009069041039952165,-0.0022746079427441654,0.0022746079427441654,-20.051818830200634
dobj->amod,dobj,amod,45457.0,65432.0,0.030012703090997444,0.028066286398626024,-0.00194641669237142,0.00194641669237142,-6.485309525336501
ROOT->dep,ROOT,dep,4312.0,10911.0,0.0028469713295725847,0.004680145049752545,0.0018331737201799604,0.0018331737201799604,64.3903119479315
ROOT->nsubj,ROOT,nsubj,16410.0,29115.0,0.010834601001457818,0.012488536625748819,0.0016539356242910013,0.0016539356242910013,15.265311791993641
dobj->prep,dobj,prep,29399.0,49029.0,0.019410507912361877,0.021030412578527866,0.0016199046661659888,0.0016199046661659888,8.3455037522966
acl->dobj,acl,dobj,17848.0,23973.0,0.011784031607191903,0.010282936236616054,-0.0015010953705758487,0.0015010953705758487,-12.738385474625819
compound->amod,compound,amod,44294.0,64766.0,0.02924483953434324,0.027780613536089575,-0.0014642259982536668,0.0014642259982536668,-5.0067841765183045
pobj->prep,pobj,prep,40230.0,59062.0,0.02656160867084997,0.02533394986055218,-0.0012276588102977902,0.0012276588102977902,-4.621929437749318
pobj->compound,pobj,compound,104908.0,164203.0,0.06926485812680906,0.07043294451512393,0.0011680863883148651,0.0011680863883148651,1.686405516310089
ROOT->acl,ROOT,acl,14518.0,19786.0,0.009585419703788215,0.00848697185907835,-0.0010984478447098652,0.0010984478447098652,-11.459569624017112
ROOT->conj,ROOT,conj,10309.0,13316.0,0.006806453487143732,0.005711741497800834,-0.0010947119893428984,0.0010947119893428984,-16.083441860149765
ROOT->cc,ROOT,cc,7417.0,8975.0,0.004897028374638186,0.0038497206325294746,-0.0010473077421087116,0.0010473077421087116,-21.38659738082672
compound->compound,compound,compound,40363.0,64373.0,0.02664942109822315,0.027612040810899147,0.000962619712675996,0.000962619712675996,3.6121599382141123
pobj->acl,pobj,acl,5244.0,6064.0,0.003462318564999683,0.002601081439070611,-0.0008612371259290722,0.0008612371259290722,-24.874577822943657
nsubj->compound,nsubj,compound,6584.0,12138.0,0.004347045276879846,0.005206452260461589,0.000859406983581743,0.000859406983581743,19.76991102790157
ROOT->aux,ROOT,aux,2778.0,5974.0,0.0018341573176142486,0.002562476998187307,0.0007283196805730583,0.0007283196805730583,39.70868112449638
xcomp->aux,xcomp,aux,3304.0,3587.0,0.002181445564217954,0.0015386014383156797,-0.0006428441259022746,0.0006428441259022746,-29.468721862547756
ROOT->advcl,ROOT,advcl,4290.0,8069.0,0.002832445965646194,0.003461102594304215,0.000628656628658021,0.000628656628658021,22.19483217977644
appos->nmod,appos,nmod,1831.0,4270.0,0.0012089064249646109,0.0018315662507967527,0.0006226598258321418,0.0006226598258321418,51.5060399195388
ROOT->attr,ROOT,attr,1170.0,3250.0,0.0007724852633580529,0.0013940492541193083,0.0006215639907612555,0.0006215639907612555,80.46289298248475
dobj->acl,dobj,acl,3330.0,3828.0,0.0021986119034036887,0.0016419755522365269,-0.0005566363511671619,0.0005566363511671619,-25.31762655816739
