year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2015,ROOT->acl,ROOT,acl,283,0.009214939272573344,8.338735340915786,3839,33938.0,30711
2016,ROOT->acl,ROOT,acl,514,0.010453953791083631,9.463838562380321,6084,54312.0,49168
2017,ROOT->acl,ROOT,acl,750,0.01031608483948172,9.353953604390123,8825,80180.0,72702
2018,ROOT->acl,ROOT,acl,1306,0.010014723023127416,9.111966956910024,15377,143328.0,130408
2019,ROOT->acl,ROOT,acl,2140,0.010057005362169682,9.177695626442055,24538,233174.0,212787
2020,ROOT->acl,ROOT,acl,2935,0.009734595458736593,8.947352376307045,33558,328030.0,301502
2021,ROOT->acl,ROOT,acl,3225,0.009482644555197813,8.723737492594967,37148,369681.0,340095
2022,ROOT->acl,ROOT,acl,3365,0.008920547480376122,8.222076703545877,40531,409264.0,377219
2023,ROOT->acl,ROOT,acl,4289,0.008773114056619211,8.101563267372367,51025,529404.0,488880
2024,ROOT->acl,ROOT,acl,6002,0.009003927404522665,8.332558200878236,67313,720307.0,666598
2025,ROOT->acl,ROOT,acl,7212,0.008384857031909427,7.7846547745234975,84340,926438.0,860122
2026,ROOT->acl,ROOT,acl,2283,0.0072306786006118996,6.71654305442371,30613,339907.0,315738
2015,ROOT->acomp,ROOT,acomp,23,0.0007489173260395298,0.6777064057988096,3839,33938.0,30711
2016,ROOT->acomp,ROOT,acomp,46,0.0009355678490074845,0.8469583149211961,6084,54312.0,49168
2017,ROOT->acomp,ROOT,acomp,69,0.0009490798052323182,0.8605637316038912,8825,80180.0,72702
2018,ROOT->acomp,ROOT,acomp,84,0.000644132261824428,0.5860683188211655,15377,143328.0,130408
2019,ROOT->acomp,ROOT,acomp,131,0.0006156391132916954,0.5618122089083689,24538,233174.0,212787
2020,ROOT->acomp,ROOT,acomp,241,0.0007993313477190864,0.7346889004054508,33558,328030.0,301502
2021,ROOT->acomp,ROOT,acomp,298,0.0008762257604492862,0.8061003946645893,37148,369681.0,340095
2022,ROOT->acomp,ROOT,acomp,385,0.0010206272748721566,0.9407130849525002,40531,409264.0,377219
2023,ROOT->acomp,ROOT,acomp,429,0.0008775159548355425,0.8103452183965365,51025,529404.0,488880
2024,ROOT->acomp,ROOT,acomp,665,0.0009976027530835675,0.9232174614435235,67313,720307.0,666598
2025,ROOT->acomp,ROOT,acomp,790,0.0009184743559634564,0.8527284070817475,84340,926438.0,860122
2026,ROOT->acomp,ROOT,acomp,319,0.001010331350676827,0.9384919992821565,30613,339907.0,315738
2015,ROOT->advcl,ROOT,advcl,75,0.002442121715346293,2.2099121928222054,3839,33938.0,30711
2016,ROOT->advcl,ROOT,advcl,141,0.0028677188415229416,2.596111356606275,6084,54312.0,49168
2017,ROOT->advcl,ROOT,advcl,222,0.0030535611124865893,2.7687702668994763,8825,80180.0,72702
2018,ROOT->advcl,ROOT,advcl,348,0.0026685479418440588,2.4279973208305425,15377,143328.0,130408
2019,ROOT->advcl,ROOT,advcl,608,0.0028573174113080218,2.607494832185407,24538,233174.0,212787
2020,ROOT->advcl,ROOT,advcl,838,0.002779417715305371,2.5546443922811934,33558,328030.0,301502
2021,ROOT->advcl,ROOT,advcl,1013,0.002978579514547406,2.7402003348833186,37148,369681.0,340095
2022,ROOT->advcl,ROOT,advcl,1045,0.0027702740317958534,2.5533640877282147,40531,409264.0,377219
2023,ROOT->advcl,ROOT,advcl,1591,0.003254377352315497,3.005266299461281,51025,529404.0,488880
2024,ROOT->advcl,ROOT,advcl,2303,0.0034548558501525657,3.197247840157044,67313,720307.0,666598
2025,ROOT->advcl,ROOT,advcl,3106,0.0036111156324335385,3.352625863792288,84340,926438.0,860122
2026,ROOT->advcl,ROOT,advcl,1069,0.0033857185387884893,3.1449778910113646,30613,339907.0,315738
2015,ROOT->advmod,ROOT,advmod,94,0.003060792549900687,2.76975661500383,3839,33938.0,30711
2016,ROOT->advmod,ROOT,advmod,154,0.003132118451025057,2.835469141257917,6084,54312.0,49168
