year,paper_count,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
2015,3839,33938.0,34583,478,952,1430,4530,4484,7748,5174,9014,12922,14.084507042253522,28.05115210088986,42.13565914314338,265.60198008132477,380.7531380753138,0.33426573426573425,0.2606482954052569,0.3736517942341613,1.433547814510761
2016,6085,54313.0,55324,644,1506,2150,7248,7157,12434,8621,14405,21055,11.857198092537697,27.72816821018909,39.58536630272678,265.2219542282695,387.66041279251743,0.29953488372093023,0.26037524401706313,0.3805762417757212,1.4616452620617841
2017,8826,80181.0,81651,949,2086,3035,10694,10548,18446,12508,21242,30954,11.83572167969968,26.0161384866739,37.851860166373584,264.9256058168394,386.0515583492349,0.3126853377265239,0.2601560299322727,0.379101296983503,1.4572074192637228
2018,15381,143332.0,145997,1553,3723,5276,19191,18984,32984,22583,38175,55567,10.834984511483828,25.974660229397482,36.80964474088131,266.3396868808082,387.6803505148885,0.29435178165276726,0.2614779755748406,0.3806037110351583,1.4555861165684347
2019,24543,233183.0,237737,2358,5905,8263,30812,30468,53533,37899,61280,91432,10.112229450688943,25.323458399626045,35.435687850314984,262.7978883537822,392.1040556129735,0.28536851022631005,0.25776383146081594,0.3845930587161443,1.4920365535248041
2020,33564,328040.0,335648,3403,8470,11873,43499,43237,74788,53904,86736,128692,10.373734910376783,25.820021948542863,36.19375685891964,264.40677966101697,392.30581636385807,0.2866166933378253,0.25841357612737154,0.38341357612737154,1.4837207157351042
2021,37153,369688.0,377981,3758,9339,13097,48645,48399,83395,61000,97044,144395,10.165328601415247,25.26184241847179,35.427171019887034,262.5024344852957,390.5861158598602,0.28693593952813623,0.25674306380479445,0.38201655638775495,1.4879333086022835
2022,40534,409274.0,418544,4038,10384,14422,54026,53744,92386,68076,107770,160462,9.866250971231986,25.37175584083035,35.23800681206234,263.319927481345,392.0649735873767,0.2799889058383026,0.2574878626858825,0.3833814365992584,1.4889301289783798
2023,51031,529413.0,541001,5045,13979,19024,69781,69438,116895,86947,139219,203842,9.529422209125958,26.404716166773387,35.934138375899344,262.9686086288021,385.0339904762444,0.26519133725820015,0.25733593838089025,0.37678673422045433,1.464182331434646
2024,67315,720310.0,735543,6241,19099,25340,94712,93983,157447,118761,188695,276208,8.664325082256251,26.514972720078855,35.17929780233511,261.96359900598355,383.4571226277575,0.2462904498816101,0.25653836689357384,0.3755157754203357,1.4637801743554413
2025,84358,926464.0,946782,7314,24583,31897,121586,121121,205905,151481,242707,357386,7.894532329372756,26.534220433821496,34.428752763194254,261.9713232246477,385.75271138436034,0.22930056118130232,0.2563494025023712,0.377474434452704,1.4724997630888272
2026,30618,339913.0,347305,2543,8615,11158,44377,44723,78230,54976,89100,133206,7.481326104032502,25.344720560849392,32.8260466648819,262.1258969206827,391.8826287903081,0.2279082272808747,0.2565468392335267,0.3835418436244799,1.495016835016835
