feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.29702398420300913,0.8220876893823114,0.47899127641283307,0.19415732086971701,0.003505226826016225,0.042062721912194706,0.34309641296945736,0.052361777139571436,0.24046732977589735,0.4457254961630174,1.7671052084596959,0.26968736952600986,1.2385179641887167,2.2956924527306755,5.661163443050215e-11,0.7435215898490306,pretrend_plus_first_post_year_indicator_wls_hac,6,3.396698065830129e-10
certainty_ratio,other,2022-11-30,2023,107,95,12,0.00020051897836560374,0.0005633842973629668,0.0003423580560622444,0.00016633698791023146,2.685201820336232e-06,3.222242184403478e-05,0.00022102624130070832,3.5324948258505446e-05,0.00015178934271403764,0.000290263139887379,1.3287858826684507,0.21236977236578056,0.9125411288315208,1.7450306365053805,3.9259300316891033e-10,0.6185004683867773,pretrend_plus_first_post_year_indicator_wls_hac,6,7.851860063378207e-10
automated_readability_index,readability,2022-11-30,2023,107,95,12,17.185635407281335,17.88292820591055,18.073389895708164,0.5084608311556418,0.01552416762720994,0.18629001152651928,-0.1904616897983944,0.03165777837590974,-0.2525109354151775,-0.1284124441816113,-0.3745847824020359,0.06226198054225179,-0.49661826426484945,-0.25255130053922237,1.7848361361660174e-09,0.8246894621698633,pretrend_plus_first_post_year_indicator_wls_hac,6,1.2493852953162122e-08
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.1572194593277394,0.5068826912035973,0.29254052396167646,0.1311154555283851,0.0025673026206836256,0.030807631448203508,0.21434216724190847,0.037370975002286824,0.1410950562374263,0.28758927824639063,1.634758971611136,0.28502341582603435,1.0761130765921088,2.1934048666301633,9.72106614784754e-09,0.686848702743928,pretrend_plus_first_post_year_indicator_wls_hac,6,2.916319844354262e-08
adjective_potential_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.13400360710124054,0.29876896516913337,0.17440627822623292,0.13531003538897954,0.0008058241080715023,0.009669889296858027,0.12436268694289233,0.023595449066882282,0.07811560677180307,0.1706097671139816,0.9190943346174099,0.1743806288946107,0.577308301983973,1.2608803672508468,1.3596240656424134e-07,0.36771837423412734,pretrend_plus_first_post_year_indicator_wls_hac,6,2.719248131284827e-07
colon_per_1k_words,punctuation,2022-11-30,2023,107,95,12,22.52361470280429,33.404192454204434,30.634586442334477,4.237196995747039,0.14976322640376755,1.7971587168452106,2.769606011868726,0.6016114638427124,1.5904475427370097,3.9487644810004423,0.6536410779693831,0.14198335938748236,0.3753536935699177,0.9319284623688486,4.15158566445213e-06,0.9188201643816108,pretrend_plus_first_post_year_indicator_wls_hac,6,1.2454756993356389e-05
dale_chall,readability,2022-11-30,2023,107,95,12,15.340812913168865,15.337993299232544,15.455387169552322,0.10046759813205337,0.0019375870369847548,0.023251044443817058,-0.11739387032045645,0.028621299970859992,-0.17349161826334203,-0.061296122377570865,-1.1684749362292448,0.28488090193258636,-1.726841504017114,-0.6101083684413755,4.102568681389785e-05,0.257941614519284,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00014358990384864248
em_dash_per_1k_words,punctuation,2022-11-30,2023,107,95,12,0.5266259621996352,0.7290724977676122,0.9779897673689266,0.335043465163414,0.008222025570287379,0.09866430684344854,-0.24891726960134605,0.0639568255559464,-0.374272647691001,-0.12356189151169111,-0.7429402315903676,0.19089112967701702,-1.117086845757321,-0.3687936174234142,9.943852121714965e-05,0.36729036536776205,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00014915778182572446
flesch_reading_ease,readability,2022-11-30,2023,107,95,12,0.41543804610955964,-0.43995075857681537,-1.3538835896732666,1.7859763745699566,-0.027662842675296194,-0.3319541121035543,0.9139328310964716,0.24824997719509037,0.4273628757940945,1.4005027863988486,0.511727279324474,0.1389995862934448,0.2392880901893222,0.7841664684596258,0.00023186381055184544,0.2224034664013227,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0005232406487933976
flesch_kincaid_grade,readability,2022-11-30,2023,107,95,12,15.405768553712631,15.70746316875863,15.822994802100832,0.3081874830221359,0.007043650743062938,0.08452380891675526,-0.11553163334290506,0.03194862241164254,-0.17815093326972445,-0.05291233341608567,-0.3748745153761059,0.10366619078214737,-0.5780602493091148,-0.17168878144309704,0.00029899465645337003,0.576514484437113,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0005232406487933976
verb_align_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.10519389419608738,0.2923227081926101,0.18831689518406924,0.10516571878525871,0.001497089766656722,0.017965077199880664,0.1040058130085331,0.025961757897069275,0.053120767530277314,0.15489085848678888,0.9889706855986591,0.24686521612695322,0.5051148619898308,1.4728265092074875,6.172535094479883e-05,0.41922489499199544,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0005555281585031894
