feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.29702398420300913,0.9242296331654299,0.5269632017093192,0.19415732086971701,0.004062409607141774,0.048748915285701286,0.39726643145609764,0.053108631494728456,0.29317351372642986,0.5013593491857654,2.0461058572324986,0.2735340148742848,1.5099791880789004,2.582232526386097,7.417507942061388e-14,0.838873983244314,pretrend_plus_first_two_year_indicator_wls_hac,6,4.4505047652368333e-13
certainty_ratio,other,2022-11-30,2023-2024,119,95,24,0.00020051897836560374,0.0006600987085820143,0.00038604879102368666,0.00016633698791023146,3.270529182804605e-06,3.924635019365526e-05,0.000274049917558318,4.482013443021775e-05,0.00018620245407509122,0.0003618973810415448,1.6475584955657423,0.2694538057548946,1.119429036286149,2.1756879548453356,9.689804336597938e-10,0.7389964342302695,pretrend_plus_first_two_year_indicator_wls_hac,6,1.9379608673195875e-09
adjective_potential_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.13400360710124054,0.3012649862142124,0.17774944759914438,0.13531003538897954,0.0007584421910935133,0.00910130629312216,0.12351553861506329,0.02089876719855151,0.08255395490590232,0.16447712232422423,0.9128335400991487,0.1544509772573279,0.610109624674786,1.2155574555235114,3.417278782039062e-09,0.46644460132312315,pretrend_plus_first_two_year_indicator_wls_hac,6,7.950332577973206e-09
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.1572194593277394,0.6057549387669054,0.3365412545048659,0.1311154555283851,0.003177808693002354,0.03813370431602825,0.26921368426203124,0.04574400409836489,0.17955543622923606,0.3588719322948264,2.05325667502066,0.3488833861272884,1.369445238211175,2.737068111830145,3.975166288986603e-09,0.7755706217556659,pretrend_plus_first_two_year_indicator_wls_hac,6,7.950332577973206e-09
dale_chall,readability,2022-11-30,2023-2024,119,95,24,15.340812913168865,15.311282783474656,15.461496479309918,0.10046759813205337,0.00177960776568864,0.02135529318826368,-0.1502136958356206,0.029285578098815882,-0.20761342890929974,-0.09281396276194148,-1.4951456850613825,0.2914927662580654,-2.0664715069271904,-0.9238198631955743,2.9086481358076564e-07,0.2898133034898548,pretrend_plus_first_two_year_indicator_wls_hac,6,2.0360536950653593e-06
automated_readability_index,readability,2022-11-30,2023-2024,119,95,24,17.185635407281335,17.88038707374652,18.144974301035656,0.5084608311556418,0.01477525896539502,0.17730310758474024,-0.26458722728953665,0.05784017998528959,-0.37795398006070424,-0.15122047451836906,-0.5203689469809829,0.11375542901471696,-0.743329587849828,-0.2974083061121377,4.774640995022469e-06,0.8083412382405454,pretrend_plus_first_two_year_indicator_wls_hac,6,1.6711243482578642e-05
colon_per_1k_words,punctuation,2022-11-30,2023-2024,119,95,24,22.52361470280429,36.23115622828291,32.290036912286716,4.237196995747039,0.16456898062227132,1.9748277674672559,3.9411193159955076,0.925502016337618,2.1271353639737764,5.755103268017239,0.930124164619037,0.21842317392053362,0.5020147437347912,1.358233585503283,2.0593356844145315e-05,0.9352760002174061,pretrend_plus_first_two_year_indicator_wls_hac,6,6.178007053243595e-05
em_dash_per_1k_words,punctuation,2022-11-30,2023-2024,119,95,24,0.5266259621996352,0.6943604999089432,1.0007506152742216,0.335043465163414,0.0074794168761076005,0.08975300251329121,-0.30639011536529426,0.08150742885840004,-0.4661446759277583,-0.1466355548028302,-0.9144787086530867,0.24327419374869955,-1.3912961284005378,-0.4376612889056356,0.00017056297340547767,0.30090405832412026,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00025584446010821647
flesch_reading_ease,readability,2022-11-30,2023-2024,119,95,24,0.41543804610955964,0.10491135532221559,-1.3165610847615108,1.7859763745699566,-0.022563684523148064,-0.27076421427777675,1.421472440083731,0.4022594491552101,0.6330439197395192,2.2099009604279427,0.7959077512579112,0.22523223424613875,0.35445257213547926,1.237362930380343,0.00040975422477940334,0.16600849598018064,pretrend_plus_first_two_year_indicator_wls_hac,6,0.000956093191151941
flesch_kincaid_grade,readability,2022-11-30,2023-2024,119,95,24,15.405768553712631,15.668094962428611,15.844242969196145,0.3081874830221359,0.006447415441427611,0.07736898529713133,-0.17614800676789533,0.05095860290615101,-0.2760268684639513,-0.07626914507183935,-0.5715611972315024,0.16534935944329332,-0.8956459417403574,-0.24747645272264754,0.0005468569818031946,0.4786687141797221,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0009569997181555906
dependency_entropy,syntax,2022-11-30,2023-2024,119,95,24,1.7333043837498825,1.815152529636599,1.8030000901479961,0.03297770969808127,0.0011635708219228727,0.013962849863074472,0.01215243948856072,0.003459688248797578,0.005371450520917468,0.018933428456203973,0.3685046535923561,0.10490990067144874,0.1628812482763166,0.5741280589083957,0.0004437746454907259,0.9176431503960393,pretrend_plus_first_two_year_indicator_wls_hac,6,0.004437746454907259
verb_align_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.10519389419608738,0.38735518059564417,0.22496991970544708,0.10516571878525871,0.002104134094939742,0.025249609139276902,0.16238526089019167,0.04805904454920951,0.06818953357374102,0.2565809882066423,1.5440892979752403,0.45698394024523176,0.6484007750945862,2.4397778208558947,0.0007278443329115509,0.6146560828291499,pretrend_plus_first_two_year_indicator_wls_hac,6,0.004495568448375707
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.6722088387312081,2.6799828586977297,1.5270697275157763,0.3501297044068316,0.01616862913680723,0.19402354964168675,1.1529131311819172,0.35941495124683887,0.448459826738113,1.8573664356257213,3.2928172522097556,1.0265194490017284,1.2808391321663677,5.304795372253143,0.001337779641293774,0.7923537015295373,pretrend_plus_first_two_year_indicator_wls_hac,6,0.004495568448375707
verb_enhance_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.5373221186550708,2.2397676499711316,1.2568666539209468,0.2929969758042031,0.013753178762851042,0.1650381451542125,0.9829009960501552,0.30957809649266027,0.3761279269245411,1.5896740651757693,3.3546455329524782,1.0565914396998337,1.2837263111408044,5.425564754764152,0.001498522816125236,0.7756434205273111,pretrend_plus_first_two_year_indicator_wls_hac,6,0.004495568448375707
word_insight_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.09731369324038983,0.30222139508199397,0.16086220053692074,0.0934732667158113,0.0011766779318218847,0.014120135181862618,0.141359194545069,0.04095378745905332,0.0610897711253245,0.22162861796481353,1.512295434959455,0.4381336921022132,0.6535533984391173,2.3710374714797933,0.0005571168201886887,0.5835662308012004,pretrend_plus_first_two_year_indicator_wls_hac,6,0.006685401842264265
dependency_length,syntax,2022-11-30,2023-2024,119,95,24,1.9532245310317289,2.0817378184614572,2.066028808620144,0.05087967304978833,0.001913203392493758,0.022958440709925095,0.015709009841265997,0.004976363157782082,0.005955338052013117,0.025462681630518878,0.30874824659140276,0.09780650816903753,0.11704749058008918,0.5004490026027163,0.0015955175674959143,0.9100464429896193,pretrend_plus_first_two_year_indicator_wls_hac,6,0.007977587837479571
word_while_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.046185663252608034,0.04319356532234818,0.013290469458045835,0.09872672360961753,-0.00048600707628290317,-0.005832084915394838,0.029903095864301447,0.009419177348247364,0.011441508261736615,0.04836468346686628,0.3028875543621142,0.09540656272046882,0.11589069142999528,0.48988441729423304,0.001499896454960361,0.03995726729578608,pretrend_plus_first_two_year_indicator_wls_hac,6,0.008999378729762166
marker_words_total_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.514319206561766,0.8605250716912227,0.6204934423407298,0.2353021777045801,0.002051375237925311,0.024616502855103736,0.24003162935047706,0.07898636285325467,0.08521835815809792,0.3948449005428562,1.0200994809824275,0.33568054330725905,0.3621656161001997,1.6780333458646552,0.002374439431842344,0.48471762816992314,pretrend_plus_first_two_year_indicator_wls_hac,6,0.009497757727369376
avg_syllables_per_word,readability,2022-11-30,2023-2024,119,95,24,2.2087672781192573,2.1720317443332386,2.184118890061509,0.01794949347772777,-0.000470154602564425,-0.0056418552307731,-0.012087145728321647,0.004891078595534,-0.021673659775568288,-0.002500631681075007,-0.6733975943844718,0.2724911765116373,-1.207480300347281,-0.1393148884216627,0.013463644041995702,0.6946407483872984,pretrend_plus_first_two_year_indicator_wls_hac,6,0.01884910165879398
hedge_ratio,other,2022-11-30,2023-2024,119,95,24,8.673851138603344e-05,0.00010900310491579412,7.928569795775714e-05,0.00010086336704635841,-1.797464771531007e-07,-2.1569577258372088e-06,2.97174069580348e-05,1.268730224939557e-05,4.850294549219484e-06,5.4584519366850116e-05,0.2946303284162248,0.12578701882482551,0.04808777151956677,0.5411728853128828,0.019165550074264848,0.03641199414215246,pretrend_plus_first_two_year_indicator_wls_hac,6,0.019165550074264848
gunning_fog,readability,2022-11-30,2023-2024,119,95,24,18.576143425613807,18.996776257768044,19.080587497389697,0.3457055525735301,0.007662573197381971,0.09195087836858365,-0.08381123962208514,0.04006574440529161,-0.1623400986564567,-0.005282380587713589,-0.24243532971388665,0.11589557676187397,-0.46959066016715967,-0.015279999260613698,0.03645257880675982,0.5770436045165637,pretrend_plus_first_two_year_indicator_wls_hac,6,0.04252800860788645
avg_words_per_sentence,syntax,2022-11-30,2023-2024,119,95,24,9.36960101022804,10.442547699119531,10.355108589472136,0.4601687376689204,0.016491221109651226,0.1978946533158147,0.08743910964715362,0.04563009497039221,-0.001995876494815099,0.17687409578912233,0.1900153193589257,0.09915948484797307,-0.004337270943101487,0.3843679096609529,0.05533205459453094,0.9097907078483749,pretrend_plus_first_two_year_indicator_wls_hac,6,0.14506029709473486
list_of_three_per_1k_words,syntax,2022-11-30,2023-2024,119,95,24,1.6401057287410414,1.82860277688698,1.7328439886507434,0.43410795934034685,0.0022572035599903607,0.027086442719884328,0.09575878823619663,0.050518595110375576,-0.003257658180139497,0.19477523465253277,0.22058749713252865,0.11637334451812775,-0.007504258123001717,0.44867925238805906,0.05802411883789395,0.12812800972440874,pretrend_plus_first_two_year_indicator_wls_hac,6,0.14506029709473486
verb_exhibit_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.004340547430494265,0.019086152678977678,0.009646747104275183,0.01428795680542025,9.741132703524293e-05,0.0011689359244229152,0.009439405574702249,0.005327141691044379,-0.0010017921397447345,0.019880603289149232,0.6606546830489671,0.3728413910814376,-0.07011444347065052,1.391423809568585,0.07640357873226543,0.15422005571132946,pretrend_plus_first_two_year_indicator_wls_hac,6,0.17190805214759722
coordination_per_sentence_std,syntax,2022-11-30,2023-2024,119,95,24,0.0023380422800813884,0.0038682921148572693,0.003446425600489346,0.001405640251885436,1.9702770586424784e-05,0.0002364332470370974,0.00042186651436784944,0.000278706924199435,-0.00012439905706304317,0.000968132085798742,0.3001240991797045,0.19827756342748107,-0.08849992513815838,0.6887481234975674,0.13011301321325433,0.3290502519411487,pretrend_plus_first_two_year_indicator_wls_hac,6,0.22446023396350456
dependency_length_std,syntax,2022-11-30,2023-2024,119,95,24,0.004291663982152896,0.007535369392589592,0.006891185656677743,0.0021757974289234763,4.2526127206496705e-05,0.0005103135264779605,0.0006441837359117079,0.0004306289374120605,-0.0001998489814159306,0.0014882164532393463,0.29606788175608423,0.1979177526766008,-0.0918509134900533,0.6839866770022217,0.13467614037810274,0.5227780647422587,pretrend_plus_first_two_year_indicator_wls_hac,6,0.22446023396350456
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.011249892358013007,0.003976254969106428,0.012471427756648935,0.04001759402961487,2.3429954413000172e-05,0.00028115945295600203,-0.008495172787542703,0.004428911324473111,-0.01717583898351,0.0001854934084245946,-0.2122859455582433,0.11067410302567196,-0.4292071874885603,0.0046352963720737664,0.05509610050643406,0.04243189554738391,pretrend_plus_first_two_year_indicator_wls_hac,6,0.2754805025321703
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.011249892358013007,0.003976254969106428,0.012471427756648935,0.04001759402961487,2.3429954413000172e-05,0.00028115945295600203,-0.008495172787542703,0.004428911324473111,-0.01717583898351,0.0001854934084245946,-0.2122859455582433,0.11067410302567196,-0.4292071874885603,0.0046352963720737664,0.05509610050643406,0.04243189554738391,pretrend_plus_first_two_year_indicator_wls_hac,6,0.2754805025321703
adjective_intricate_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.001016307019992023,0.0022903701834672825,0.0006841412788621545,0.006650080516055153,-1.1418953642495387e-05,-0.00013702744370994464,0.0016062289046050917,0.0012319276873347146,-0.0008083493625709488,0.004020807171781132,0.24153525671263773,0.1852500408619861,-0.121554823376855,0.6046253368021305,0.19229027029608167,0.009433031321116947,pretrend_plus_first_two_year_indicator_wls_hac,6,0.2884354054441225
word_within_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.09059377210914679,0.08898940980680206,0.05748650745921053,0.18037907111035847,-0.0003061060130719604,-0.0036732721568635248,0.03150290234758969,0.019082393056350795,-0.005898588042857866,0.06890439273803725,0.17464832340951444,0.10579050517826381,-0.03270106673988262,0.38199771355891154,0.09876135411131175,0.02215404672268051,pretrend_plus_first_two_year_indicator_wls_hac,6,0.2962840623339352
word_interplay_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.013838242166195322,0.032735996404460434,0.019474046560774196,0.03230942357076278,8.26029824676421e-05,0.0009912357896117053,0.013261949843685717,0.008863501658684573,-0.0041105134073360465,0.03063441309470748,0.41046692815920827,0.2743317793730394,-0.1272233594119489,0.9481572157303655,0.13459041538390326,0.11971263174533231,pretrend_plus_first_two_year_indicator_wls_hac,6,0.3230169969213678
coordination_count,syntax,2022-11-30,2023-2024,119,95,24,0.22370853671379093,0.2509675020702009,0.24752718782548552,0.020499955448374393,0.00043174002273054424,0.00518088027276653,0.003440314244709893,0.002898888534014126,-0.002241507281957794,0.00912213577137758,0.16782057177508175,0.14140950409938585,-0.10934205625971452,0.444983199809878,0.23531831449343027,0.5644732155236096,pretrend_plus_first_two_year_indicator_wls_hac,6,0.3361690207049004
word_particularly_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.00031106134129650317,0.0,0.0020696444428617102,0.003031850922237448,3.2052502580302676e-05,0.0003846300309636321,-0.00206964444286172,0.0015803958491596572,-0.005167220307214648,0.0010279314214912075,-0.6826339737490662,0.5212643661230398,-1.7043121313502243,0.33904418385209184,0.19034017537262085,0.0360668338038318,pretrend_plus_first_two_year_indicator_wls_hac,6,0.3806803507452417
