feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
colon_per_1k_words,punctuation,2022-11-30,136,95,41,22.52361470280429,38.85430486459463,4.237196995747039,0.1470617640355535,1.7647411684266419,0.5902310216891077,0.2973043598641735,0.007514476355327648,1.1729475670228877,0.047113843269539206,0.2807729774338086,3.369275729205703,0.011375918950456712,0.13651102740548055,3.101714115490961,3.636837342920445,0.7951661753247522,0.03221729542961997,0.7320202762826971,0.8583120743668073,1.6964524176342186e-134,0.42783474146936207,5.134016897632344,0.9825277666951121,monthly_segmented_wls_hac,6,5.089357252902656e-134,0.0706707649043088
verb_align_per_1k_words,verbs,2022-11-30,136,95,41,0.1051938941960874,0.4575938839756339,0.10516571878525871,0.0013996590389725272,0.016795908467670324,0.03407477073206124,0.028132005366202792,-0.02106395978569623,0.08921350124981872,0.2258012499631991,0.01078813075360101,0.12945756904321212,0.001007806729459232,0.012093680753510784,0.10575395476633098,0.15316118332009324,1.2309863949825297,0.11499641606791337,1.0055934194894194,1.4563793704756396,9.688658058095683e-27,0.012187789792573537,0.14625347751088244,0.8278104119767447,monthly_segmented_wls_hac,6,8.719792252286115e-26,0.508052812417198
word_across_per_1k_words,marker_words,2022-11-30,136,95,41,0.2099761609767682,0.41642504634879496,0.14239240915209622,0.0010450310347106424,0.01254037241652771,-0.07770252250823159,0.03829540387046307,-0.1527615140943392,-0.0026435309221239794,0.04245523692392146,0.009628633691794647,0.11554360430153576,0.0010110267983181541,0.01213232157981785,0.09176425400509278,0.13932295459797875,0.8114449709051418,0.08520342939670843,0.6444462492875932,0.9784436925226903,1.6725134341038447e-21,0.01067366472650529,0.12808397671806349,0.6827248869453779,monthly_segmented_wls_hac,6,2.0070161209246138e-20,0.13627538406663225
em_dash_per_1k_words,punctuation,2022-11-30,136,95,41,0.5266259621996352,0.6633507503693119,0.335043465163414,0.00819384390793771,0.09832612689525252,-0.13635573583694974,0.05931604140433354,-0.25261517698944347,-0.020096294684456006,0.021516279805160538,-0.013813471885109195,-0.16576166262131034,0.0016168550756531731,0.019402260907838077,-0.20379009400067297,-0.12773323124194771,-0.494746741412974,0.05790968314625932,-0.6082497203796422,-0.38124376244630576,1.3030680929453298e-17,-0.005619627977171485,-0.06743553572605782,0.36034995754635546,monthly_segmented_wls_hac,6,1.9546021394179947e-17,0.06454883941548162
dependency_length,syntax,2022-11-30,136,95,41,1.9532245310317289,2.1013256954036197,0.050879673049788326,0.0018411701947409938,0.022094042336891925,0.0028092579019492053,0.0038519525952396432,-0.004740569184720495,0.010359084988618907,0.465813587987289,0.0010933297446892778,0.013119956936271333,0.00015945190205063307,0.0019134228246075967,0.009369648200040444,0.016870265672502223,0.25786244584222845,0.037606822330308924,0.18415307407482298,0.33157181760963395,7.0420286614307e-12,0.0029344999394302716,0.03521399927316326,0.9506786440536676,monthly_segmented_wls_hac,6,7.0420286614307e-11,0.6595494459124498
smog_index,readability,2022-11-30,136,95,41,13.03878925958852,13.746999567958566,0.2982091785910731,0.009473391824993014,0.11368070189991616,-0.07858342283818215,0.026476557808689453,-0.13047747614321348,-0.02668936953315082,0.002997075280197784,0.0063612936140994576,0.0763355233691935,0.0009457101105711705,0.011348521326854046,0.05409242156855956,0.09857862516982742,0.2559797915337493,0.03805557354227515,0.18139086739088997,0.3305687156766085,1.7382477132095012e-11,0.015834685439092472,0.19001622526910966,0.9345046758041637,monthly_segmented_wls_hac,6,1.216773399246651e-10,0.006993175653794829
marker_words_total_per_1k_words,marker_words,2022-11-30,136,95,41,0.514319206561766,0.9228469311902544,0.2353021777045801,0.0006065062701000101,0.007278075241200121,0.11434790325248073,0.060025470616808886,-0.003302019156464678,0.23199782566142613,0.05678141002776344,0.011832199424262637,0.14198639309115163,0.002529406493778788,0.030352877925345453,0.08249475235747455,0.20147803382482873,0.6034215002863864,0.12899531241675646,0.35059068794954384,0.8562523126232292,2.8988995583601438e-06,0.012438705694362647,0.14926446833235177,0.7193998244072919,monthly_segmented_wls_hac,6,1.7393397350160863e-05,0.13627538406663225
summary_marker_overall_per_1k_words,summary_markers,2022-11-30,136,95,41,0.005311270334917973,0.006259539922034684,0.013648622216443307,7.774920275590571e-05,0.0009329904330708685,0.003286938933962642,0.0026157649213382943,-0.001839960311860415,0.0084138381797857,0.2089028452177743,-0.00041075778963556417,-0.00492909347562677,9.909728159221583e-05,0.00118916737910659,-0.007259861538675686,-0.0025983254125778537,-0.36114220156877064,0.0871272836370201,-0.53191167749733,-0.19037272564021127,3.398203330447402e-05,-0.00033300858687965846,-0.0039961030425559015,0.07925359829157197,monthly_segmented_wls_hac,6,0.00016991016652237012,0.8455971515166931
avg_words_per_sentence,syntax,2022-11-30,136,95,41,9.36960101022804,10.595856132568287,0.4601687376689203,0.015804134002300355,0.18964960802760428,0.012109058508388115,0.04039555605333369,-0.06706623135614592,0.09128434837292215,0.7643585925186225,0.006930173459523865,0.08316208151428638,0.0016743154196096318,0.02009178503531558,0.04378218284506784,0.1225419801835049,0.18072084152339654,0.04366177749730384,0.09514375762868099,0.26629792541811204,3.486577886975587e-05,0.02273430746182422,0.2728116895418906,0.9448137188451126,monthly_segmented_wls_hac,6,0.00017432889434877935,0.8492873250206916
gunning_fog,readability,2022-11-30,136,95,41,18.576143425613807,19.160512034568896,0.3457055525735301,0.007765827460739134,0.0931899295288696,-0.2718120894564575,0.09822345601634563,-0.46433006324849496,-0.07929411566442007,0.005652568140257822,0.01354348199435814,0.1625217839322977,0.003894081193112414,0.046728974317348966,0.07093299427029372,0.25411057359430167,0.4701162093649913,0.13516986918342863,0.20518326576547125,0.7350491529645115,0.0005052340038145573,0.021309309455097274,0.2557117134611673,0.7748381289026092,monthly_segmented_wls_hac,6,0.0017683190133509505,0.007974291547044281
summary_marker_collectively_per_1k_words,summary_markers,2022-11-30,136,95,41,0.00384172109104879,0.0018025445635101896,0.03744446540456765,-7.877386125857765e-05,-0.0009452863351029318,-0.00021889546784841085,0.0018168452343616402,-0.0037799121271972257,0.003342121191500404,0.9041020700033907,0.0002492738126995828,0.0029912857523949937,8.309860007089926e-05,0.000997183200850791,0.0010368066787274433,0.004945764826062544,0.07988592493111418,0.026630990456847328,0.027689183635693428,0.13208266622653494,0.002702142288334566,0.00017049995144100515,0.0020459994172920618,0.037171967061099265,monthly_segmented_wls_hac,6,0.006755355720836415,1.0
avg_syllables_per_word,readability,2022-11-30,136,95,41,2.2087672781192573,2.167044684849334,0.017949493477727757,-0.00040215630773228614,-0.004825875692787434,-0.007561410013681373,0.004400669577844035,-0.01618672238625568,0.0010639023588929347,0.08575270254155655,-0.0004960438703652268,-0.005952526444382721,0.00017342723655014032,0.0020811268386016837,-0.010031535048042021,-0.001873517840723421,-0.33162643011452025,0.11594348560219848,-0.5588756618948293,-0.10437719833421122,0.004233178064823551,-0.0008982001780975129,-0.010778402137170155,0.8233647672606117,monthly_segmented_wls_hac,6,0.009877415484588285,0.08575270254155655
clause_depth_std,syntax,2022-11-30,136,95,41,0.01579525982464044,0.028540688250840426,0.00745580658769034,0.00017894153951666253,0.0021472984741999503,-0.0016404566699826711,0.0012883246217509424,-0.004165572928614518,0.0008846595886491757,0.20290254046646927,0.00011808647571300314,0.0014170377085560375,4.46713873129853e-05,0.0005360566477558236,0.00036636667895462334,0.0024677087381574517,0.19005827094490224,0.07189787469015922,0.04913843655219018,0.3309781053376143,0.008206644475354616,0.0002970280152296657,0.0035643361827559883,0.6705151025924148,monthly_segmented_wls_hac,6,0.02051661118838654,0.40580508093293854
sentence_depth_std,syntax,2022-11-30,136,95,41,0.01579525982464044,0.028540688250840426,0.00745580658769034,0.00017894153951666253,0.0021472984741999503,-0.0016404566699826711,0.0012883246217509424,-0.004165572928614518,0.0008846595886491757,0.20290254046646927,0.00011808647571300314,0.0014170377085560375,4.46713873129853e-05,0.0005360566477558236,0.00036636667895462334,0.0024677087381574517,0.19005827094490224,0.07189787469015922,0.04913843655219018,0.3309781053376143,0.008206644475354616,0.0002970280152296657,0.0035643361827559883,0.6705151025924148,monthly_segmented_wls_hac,6,0.02051661118838654,0.40580508093293854
coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.002338042280081436,0.004061335492379462,0.001405640251885447,1.9626890215365702e-05,0.00023552268258438842,2.6022763866884895e-05,0.0003191042208641707,-0.0005994215090268897,0.0006514670367606595,0.9350050249021474,2.526829359884956e-05,0.00030321952318619475,1.0764640984364243e-05,0.00012917569181237094,5.003516723394774e-05,0.0005564038791384418,0.21571630634472302,0.09189811663340026,0.035595997743258535,0.39583661494618755,0.01890789193908011,4.489518381421526e-05,0.0005387422057705831,0.4874863753429254,monthly_segmented_wls_hac,6,0.03781578387816022,0.9350050249021475
adjective_crucial_per_1k_words,adjectives,2022-11-30,136,95,41,0.0036620273815925982,0.005975139582116554,0.01895327992351205,7.774551111170501e-05,0.0009329461333404601,0.0037278780830960734,0.004500102405821665,-0.00509232263231439,0.012548078798506538,0.40744485572387257,-0.00023669057846385918,-0.00284028694156631,8.75940546833028e-05,0.0010511286561996336,-0.004900499107717592,-0.0007800747754150286,-0.14985727816127795,0.05545893166995758,-0.25855678423439477,-0.041157772088161106,0.006889668739842965,-0.00015894506735215417,-0.00190734080822585,0.02985580623500228,monthly_segmented_wls_hac,6,0.04133801243905779,0.40744485572387257
adjective_pivotal_per_1k_words,adjectives,2022-11-30,136,95,41,0.0011225833724444994,0.005102418597915162,0.006445510186555668,7.050013048636933e-05,0.0008460015658364319,0.004572944004945852,0.0024402992504020775,-0.00021004252584222016,0.009355930535733924,0.06094041109485106,-0.0002343352927608587,-0.002812023513130304,9.990318672045802e-05,0.0011988382406454962,-0.0051617464647954765,-0.0004623005614651319,-0.4362763275117845,0.185995864709994,-0.8008282223433727,-0.07172443268019636,0.018995269008349042,-0.00016383516227448937,-0.0019660219472938723,0.06729225908332404,monthly_segmented_wls_hac,6,0.053896894943032146,0.07312849331382128
adjective_potential_per_1k_words,adjectives,2022-11-30,136,95,41,0.13400360710124057,0.2729684477005375,0.13531003538897954,0.0007544866221095699,0.009053839465314838,0.15873638856603034,0.03969782092230852,0.08092865955830564,0.23654411757375504,6.371363653637899e-05,-0.0030108472325252357,-0.03613016679030283,0.00136098024307745,0.0163317629169294,-0.06814042210748444,-0.004119911473121206,-0.26701764349139684,0.12069882969123484,-0.5035873496862171,-0.03044793729657657,0.02694844747151607,-0.0022563606104156657,-0.02707632732498799,0.4115613135023274,monthly_segmented_wls_hac,6,0.053896894943032146,0.00038228181921827394
verb_showcase_per_1k_words,verbs,2022-11-30,136,95,41,0.0009740730747675533,0.0021115222354672353,0.004910145718101893,7.02503682158716e-05,0.0008430044185904592,-0.0004814373050131835,0.0022715601449717565,-0.004933695189157827,0.00397082057913146,0.8321528657844888,-0.00013036739189222093,-0.001564408702706651,5.4775029646335e-05,0.00065730035575602,-0.00285271739998845,-0.0002761000054248519,-0.3186073881553564,0.13386575337933382,-0.5809842647788507,-0.056230511531862114,0.017310218267690185,-6.011702367634933e-05,-0.0007214042841161919,0.0340086149017661,monthly_segmented_wls_hac,6,0.07789598220460583,1.0
dale_chall,readability,2022-11-30,136,95,41,15.340812913168865,15.376075084572657,0.1004675981320534,0.0020430450984406053,0.024516541181287266,-0.20961978712057705,0.06455363782292703,-0.33614491725351403,-0.08309465698764007,0.0011653875602249527,0.004397099988023661,0.05276519985628393,0.002400122823448533,0.0288014738813824,-0.003685688951225563,0.10921608866379343,0.5251961909841817,0.286674255350726,-0.03668534950324121,1.0870777314716045,0.06694676669424585,0.006440145086464266,0.07728174103757118,0.40988144019699824,monthly_segmented_wls_hac,6,0.11715684171493024,0.004969000202763429
dependency_length_std,syntax,2022-11-30,136,95,41,0.0042916639821529426,0.00778537462342654,0.002175797428923484,3.999296193814949e-05,0.00047991554325779387,0.0002976491453432636,0.0004712521391214113,-0.0006260050473347026,0.0012213033380212297,0.5276395567299599,2.590826324196992e-05,0.00031089915890363906,1.466243891699632e-05,0.00017594926700395584,-3.396140442411442e-05,0.0006557597222313924,0.14288975378441465,0.0808665662827858,-0.01560871612984553,0.30138822369867474,0.07723127027396688,6.590122518011942e-05,0.000790814702161433,0.6201243950422706,monthly_segmented_wls_hac,6,0.1287187837899448,0.6595494459124498
clause_depth,syntax,2022-11-30,136,95,41,5.227112449186091,5.593408442341764,0.1584736162595271,0.005401686521916857,0.06482023826300229,0.0337933992733616,0.021968812184731974,-0.00926547260871307,0.07685227115543627,0.12398890249380332,-0.0013938386445797365,-0.016726063734956838,0.0009911115700143955,0.011893338840172747,-0.04003700786169542,0.0065848803917817455,-0.10554478486541953,0.0750493307396697,-0.25264147311517215,0.04155190338433307,0.15962354729901462,0.004007847877337121,0.048094174528045444,0.9193579318881872,monthly_segmented_wls_hac,6,0.22803363899859233,0.40580508093293854
automated_readability_index,readability,2022-11-30,136,95,41,17.185635407281335,18.045291389285094,0.5084608311556419,0.015594349304939059,0.1871321916592687,-0.370639844425412,0.11616572546862505,-0.598324666343917,-0.1429550225069069,0.0014197143436466939,0.006104627965283865,0.07325553558340638,0.004622591537570926,0.05547109845085111,-0.0354678173802618,0.18197888854707456,0.14407311457385902,0.10909610937931065,-0.06975525980958985,0.3579014889573079,0.18663234936387202,0.02169897727022292,0.26038772724267506,0.8582856987113092,monthly_segmented_wls_hac,6,0.24942339334450528,0.004969000202763429
flesch_kincaid_grade,readability,2022-11-30,136,95,41,15.405768553712631,15.768522866604338,0.308187483022136,0.007062398038496296,0.08474877646195556,-0.2588269269311484,0.09361535793636164,-0.4423130284864172,-0.07534082537587958,0.0056959225336030575,0.0047008870543212185,0.05641064465185462,0.003781257822318833,0.045375093867826,-0.03252453932908432,0.14534582863279358,0.18304002517780013,0.1472321115149471,-0.10553491339149618,0.4716149637470965,0.21379148000957596,0.011763285092817514,0.14115942111381016,0.6272506830391644,monthly_segmented_wls_hac,6,0.24942339334450528,0.007974291547044281
verb_delve_per_1k_words,verbs,2022-11-30,136,95,41,0.017278814313364286,0.012699670582837433,0.04681665898994899,7.746172174450861e-05,0.0009295406609341033,0.002089883396318462,0.006896450581674263,-0.011427159743763094,0.015606926536400017,0.7618612555581701,-0.0004208613488298084,-0.0050503361859577005,0.00024622103511056867,0.002954652421326824,-0.010841454931758275,0.0007407825598428743,-0.10787476712171945,0.06311113362363502,-0.23157258902404407,0.015823054780605167,0.0873986014497957,-0.0003433996270852998,-0.0041207955250235975,0.026489646659623944,monthly_segmented_wls_hac,6,0.2621958043493871,1.0
