topic_id,title_count,title_share,topic_label
0,174804,0.4334911357059073,"learning, neural, deep, networks, based, neural networks, models"
1,105531,0.26170312488375613,"language, models, language models, large, large language, text, generation"
3,43732,0.1084496598858764,"learning, reinforcement, reinforcement learning, policy, multi, bandits, control"
2,39804,0.09870873186905296,"graph, learning, federated, federated learning, networks, privacy, graph neural"
4,16560,0.0410666415373208,"causal, learning, clinical, data, medical, models, prediction"
5,13964,0.03462889990502099,"ai, intelligence, artificial, human, artificial intelligence, agents, agent"
6,4489,0.011132134894989919,"foundation, knowledge, ontology, models, foundation models, model, data"
7,2463,0.0061079189677790535,"rag, fashion, 3d, generation, human, based, image"
8,1892,0.0046919133930320624,"fuzzy, based, algorithm, decision, optimization, data, classification"
-1,8,1.9838957264406183e-05,-1 (outliers)
