month_ts,paper_count,marker_words_total_per_1k_words_monthly_mean,marker_verbs_total_per_1k_words_monthly_mean,marker_adjectives_total_per_1k_words_monthly_mean,marker_phrases_total_per_1k_words_monthly_mean,sequential_markers_total_per_1k_words_monthly_mean,causal_markers_total_per_1k_words_monthly_mean,contrast_markers_total_per_1k_words_monthly_mean,emphasis_markers_total_per_1k_words_monthly_mean,summary_markers_total_per_1k_words_monthly_mean,word_finding_per_1k_words_monthly_mean,word_interplay_per_1k_words_monthly_mean,word_realm_per_1k_words_monthly_mean,word_insight_per_1k_words_monthly_mean,word_notably_per_1k_words_monthly_mean,word_particularly_per_1k_words_monthly_mean,word_meticulously_per_1k_words_monthly_mean,word_while_per_1k_words_monthly_mean,word_within_per_1k_words_monthly_mean,word_across_per_1k_words_monthly_mean,word_additionally_per_1k_words_monthly_mean,verb_delve_per_1k_words_monthly_mean,verb_underscore_per_1k_words_monthly_mean,verb_showcase_per_1k_words_monthly_mean,verb_enhance_per_1k_words_monthly_mean,verb_exhibit_per_1k_words_monthly_mean,verb_garner_per_1k_words_monthly_mean,verb_align_per_1k_words_monthly_mean,verb_foster_per_1k_words_monthly_mean,adjective_crucial_per_1k_words_monthly_mean,adjective_pivotal_per_1k_words_monthly_mean,adjective_comprehensive_per_1k_words_monthly_mean,adjective_intricate_per_1k_words_monthly_mean,adjective_potential_per_1k_words_monthly_mean,phrase_meticulously_delve_per_1k_words_monthly_mean,phrase_intricate_web_per_1k_words_monthly_mean,phrase_comprehensive_chapter_per_1k_words_monthly_mean,phrase_deep_dive_per_1k_words_monthly_mean,phrase_intricate_interplay_per_1k_words_monthly_mean,phrase_essential_insight_per_1k_words_monthly_mean,sequential_marker_additionally_per_1k_words_monthly_mean,sequential_marker_furthermore_per_1k_words_monthly_mean,sequential_marker_moreover_per_1k_words_monthly_mean,sequential_marker_subsequently_per_1k_words_monthly_mean,sequential_marker_further_per_1k_words_monthly_mean,causal_marker_hence_per_1k_words_monthly_mean,causal_marker_thus_per_1k_words_monthly_mean,causal_marker_consequently_per_1k_words_monthly_mean,causal_marker_accordingly_per_1k_words_monthly_mean,causal_marker_thereby_per_1k_words_monthly_mean,contrast_marker_however_per_1k_words_monthly_mean,contrast_marker_nonetheless_per_1k_words_monthly_mean,contrast_marker_nevertheless_per_1k_words_monthly_mean,contrast_marker_conversely_per_1k_words_monthly_mean,contrast_marker_alternatively_per_1k_words_monthly_mean,emphasis_marker_notably_per_1k_words_monthly_mean,emphasis_marker_crucially_per_1k_words_monthly_mean,emphasis_marker_remarkably_per_1k_words_monthly_mean,emphasis_marker_particularly_per_1k_words_monthly_mean,emphasis_marker_importantly_per_1k_words_monthly_mean,summary_marker_overall_per_1k_words_monthly_mean,summary_marker_collectively_per_1k_words_monthly_mean,summary_marker_ultimately_per_1k_words_monthly_mean,summary_marker_in_summary_per_1k_words_monthly_mean,summary_marker_taken_together_per_1k_words_monthly_mean,em_dash_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_mean,clause_depth_monthly_mean,clause_depth_std_monthly_mean,dependency_entropy_monthly_mean,dependency_length_monthly_mean,dependency_length_std_monthly_mean,coordination_count_monthly_mean,coordination_per_sentence_std_monthly_mean,sentence_depth_std_monthly_mean,list_of_three_per_1k_words_monthly_mean,avg_words_per_sentence_monthly_mean,avg_syllables_per_word_monthly_mean,flesch_reading_ease_monthly_mean,flesch_kincaid_grade_monthly_mean,dale_chall_monthly_mean,smog_index_monthly_mean,automated_readability_index_monthly_mean,gunning_fog_monthly_mean,hedge_ratio_monthly_mean,certainty_ratio_monthly_mean,year,month
2015-01-01,196,1.5792031098153547,0.39246467817896397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5792031098153547,0.0,0.0,0.0,0.0,0.0,0.39246467817896397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8503401360544217,0.0,22.080793579853733,5.025510204081633,0.0,1.7113712843007258,1.956302724219891,0.0,0.20408163265306123,0.0,0.0,2.6806526806526807,8.826530612244898,2.198514103443575,3.3169851959265446,14.886763258000505,15.259634356700555,12.837596990287203,16.27226011764596,18.280946038088896,0.0,0.0,2015,1
2015-02-01,284,0.44014084507042256,0.2934272300469483,0.352112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.44014084507042256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934272300469483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352112676056338,0.0,15.89232291277379,4.901408450704225,0.004979625219623574,1.6864278090761633,1.8778406000598094,0.0019711016494343317,0.2323943661971831,0.002489812609811787,0.004979625219623574,2.561384388200548,8.545774647887324,2.212194637326679,1.8756723955088432,15.026243867919076,15.112033992551924,12.542456996666468,16.369002942590775,18.08060994539214,0.0,0.0,2015,2
2015-03-01,287,0.7984901277584205,0.29036004645760743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23228803716608595,0.21777003484320556,0.34843205574912894,0.0,0.0,0.0,0.0,0.29036004645760743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31675641431738993,0.0,14.151811009719768,5.041811846689895,0.009855146776119128,1.70930867073061,1.9312795557283209,0.0016678556029389923,0.23693379790940766,0.0024637866940297824,0.009855146776119128,2.1073100341393025,8.902439024390244,2.2189866169274426,0.6429684031839831,15.277819775198607,15.357411480242549,12.764513481581696,16.856494131602837,18.408963135092304,0.00017421602787456446,0.0,2015,3
2015-04-01,274,0.8617193836171937,0.0,0.202757502027575,0.0,0.36496350364963503,0.0,0.0,0.0,0.36496350364963503,0.4562043795620438,0.0,0.0,0.0,0.0,0.0,0.0,0.40551500405515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202757502027575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36496350364963503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36496350364963503,0.0,0.0,0.0,0.0,0.40551500405515,15.3715887444209,5.142335766423358,0.01032272673265033,1.7152729237921558,1.9257176605368174,0.0037055942117206306,0.23357664233576642,0.0025806816831625825,0.01032272673265033,1.0881504950848016,9.155109489051094,2.1994514640519816,3.209409759948102,14.989955516908074,15.29041970167255,12.738922088088898,16.328227303423283,18.11661084728925,0.00036496350364963507,0.0,2015,4
2015-05-01,290,0.0,0.0,1.1083743842364533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24630541871921183,0.0,0.8620689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28735632183908044,0.0,16.198477260850485,5.055172413793104,0.007314897736412562,1.68127273996477,1.9076089305905415,0.0021480255257719425,0.1896551724137931,0.004876598490941708,0.007314897736412562,2.2317016992473384,8.644827586206896,2.1938243669785256,4.540343078827888,14.672143168021975,15.041384227338472,12.49147486744195,16.26234875947244,17.812791438896916,0.0,0.0002463054187192118,2015,5
2015-06-01,409,0.16299918500407498,0.9184139685362178,0.2716653083401249,0.0,0.0,0.0,0.0,0.0,0.0,0.16299918500407498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6297695784248352,0.0,0.0,0.28864439011138276,0.0,0.0,0.0,0.0,0.0,0.2716653083401249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3056234718826406,0.0,17.737595980421872,5.02200488997555,0.010373204613983583,1.6972285630615762,1.8989274089698744,0.0025334269565897853,0.28117359413202936,0.005186602306991792,0.010373204613983583,1.0536122394313105,8.809290953545233,2.1904827242636746,3.9801488866111523,14.795464560492855,15.262421122527677,12.607819014719421,16.603350133743277,18.01778970086024,0.0,0.0,2015,6
2015-07-01,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444443,0.13157894736842105,18.481528039384074,4.894736842105263,0.0046520182972799185,1.6743219456242557,1.864098197045382,0.008141032020239856,0.17763157894736842,0.0,0.0046520182972799185,0.9228801169590642,8.325657894736842,2.155613927803363,6.9757996614453885,14.25742159133007,15.137669364056888,12.139539682029262,15.692040322760958,17.359340199703976,0.0,0.0,2015,7
2015-08-01,279,0.29868578255675027,0.5973715651135005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29868578255675027,0.0,0.0,0.0,0.0,0.5973715651135005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.872618847185244,5.164874551971326,0.0,1.6911563175554398,1.8918536783337545,0.0,0.26523297491039427,0.0,0.0,2.695952933144584,9.060931899641577,2.2037835656273357,1.5114363864993252,15.19621046664324,15.288647643934913,12.803972907503631,16.504951885787275,18.395735155920253,0.0,0.0,2015,8
2015-09-01,310,0.0,1.6183247492545405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0653293575494713,0.0,0.0,0.5529953917050692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.487921717972654,5.2,0.01596692731711559,1.722181485729058,1.929669267531297,0.0013115690296202091,0.25161290322580643,0.004561979233461597,0.01596692731711559,2.1793170986719375,9.206451612903226,2.1963044270664365,4.445292712630445,14.831473070891404,15.16691418259684,12.890100323069637,16.45788354538118,18.39968200557834,0.0,0.0,2015,9
2015-10-01,285,0.43859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29239766081871343,0.0,16.38047430152693,4.992982456140351,0.017367534976511695,1.690661421408061,1.8883014217535674,0.0011105770665252369,0.256140350877193,0.0024810764252159562,0.017367534976511695,1.621896621896622,8.785964912280702,2.1941532524952763,4.51836345439908,14.715027983196714,15.160024246588753,12.559411185135746,16.333632516711106,17.918473399092598,0.0,0.0,2015,10
