year,paper_count,word_count_yearly_mean,word_count_yearly_std,word_count_yearly_n,sentence_count_yearly_mean,sentence_count_yearly_std,sentence_count_yearly_n,month_yearly_mean,month_yearly_std,month_yearly_n,em_dash_count_yearly_mean,em_dash_count_yearly_std,em_dash_count_yearly_n,em_dash_per_1k_words_yearly_mean,em_dash_per_1k_words_yearly_std,em_dash_per_1k_words_yearly_n,semicolon_count_yearly_mean,semicolon_count_yearly_std,semicolon_count_yearly_n,semicolon_per_1k_words_yearly_mean,semicolon_per_1k_words_yearly_std,semicolon_per_1k_words_yearly_n,colon_count_yearly_mean,colon_count_yearly_std,colon_count_yearly_n,colon_per_1k_words_yearly_mean,colon_per_1k_words_yearly_std,colon_per_1k_words_yearly_n,clause_depth_yearly_mean,clause_depth_yearly_std,clause_depth_yearly_n,dependency_entropy_yearly_mean,dependency_entropy_yearly_std,dependency_entropy_yearly_n,dependency_length_yearly_mean,dependency_length_yearly_std,dependency_length_yearly_n,dependency_length_norm_yearly_mean,dependency_length_norm_yearly_std,dependency_length_norm_yearly_n,coordination_count_yearly_mean,coordination_count_yearly_std,coordination_count_yearly_n,coordination_density_yearly_mean,coordination_density_yearly_std,coordination_density_yearly_n,list_of_three_yearly_mean,list_of_three_yearly_std,list_of_three_yearly_n,word_finding_yearly_mean,word_finding_yearly_std,word_finding_yearly_n,word_interplay_yearly_mean,word_interplay_yearly_std,word_interplay_yearly_n,word_realm_yearly_mean,word_realm_yearly_std,word_realm_yearly_n,word_insight_yearly_mean,word_insight_yearly_std,word_insight_yearly_n,word_notably_yearly_mean,word_notably_yearly_std,word_notably_yearly_n,word_particularly_yearly_mean,word_particularly_yearly_std,word_particularly_yearly_n,word_meticulously_yearly_mean,word_meticulously_yearly_std,word_meticulously_yearly_n,word_while_yearly_mean,word_while_yearly_std,word_while_yearly_n,word_within_yearly_mean,word_within_yearly_std,word_within_yearly_n,word_across_yearly_mean,word_across_yearly_std,word_across_yearly_n,word_additionally_yearly_mean,word_additionally_yearly_std,word_additionally_yearly_n,marker_words_total_yearly_mean,marker_words_total_yearly_std,marker_words_total_yearly_n,marker_words_total_per_1k_words_yearly_mean,marker_words_total_per_1k_words_yearly_std,marker_words_total_per_1k_words_yearly_n,verb_delve_yearly_mean,verb_delve_yearly_std,verb_delve_yearly_n,verb_underscore_yearly_mean,verb_underscore_yearly_std,verb_underscore_yearly_n,verb_showcase_yearly_mean,verb_showcase_yearly_std,verb_showcase_yearly_n,verb_enhance_yearly_mean,verb_enhance_yearly_std,verb_enhance_yearly_n,verb_exhibit_yearly_mean,verb_exhibit_yearly_std,verb_exhibit_yearly_n,verb_garner_yearly_mean,verb_garner_yearly_std,verb_garner_yearly_n,verb_align_yearly_mean,verb_align_yearly_std,verb_align_yearly_n,verb_foster_yearly_mean,verb_foster_yearly_std,verb_foster_yearly_n,marker_verbs_total_yearly_mean,marker_verbs_total_yearly_std,marker_verbs_total_yearly_n,marker_verbs_total_per_1k_words_yearly_mean,marker_verbs_total_per_1k_words_yearly_std,marker_verbs_total_per_1k_words_yearly_n,adjective_crucial_yearly_mean,adjective_crucial_yearly_std,adjective_crucial_yearly_n,adjective_pivotal_yearly_mean,adjective_pivotal_yearly_std,adjective_pivotal_yearly_n,adjective_comprehensive_yearly_mean,adjective_comprehensive_yearly_std,adjective_comprehensive_yearly_n,adjective_intricate_yearly_mean,adjective_intricate_yearly_std,adjective_intricate_yearly_n,adjective_potential_yearly_mean,adjective_potential_yearly_std,adjective_potential_yearly_n,marker_adjectives_total_yearly_mean,marker_adjectives_total_yearly_std,marker_adjectives_total_yearly_n,marker_adjectives_total_per_1k_words_yearly_mean,marker_adjectives_total_per_1k_words_yearly_std,marker_adjectives_total_per_1k_words_yearly_n,phrase_meticulously_delve_yearly_mean,phrase_meticulously_delve_yearly_std,phrase_meticulously_delve_yearly_n,phrase_intricate_web_yearly_mean,phrase_intricate_web_yearly_std,phrase_intricate_web_yearly_n,phrase_comprehensive_chapter_yearly_mean,phrase_comprehensive_chapter_yearly_std,phrase_comprehensive_chapter_yearly_n,phrase_deep_dive_yearly_mean,phrase_deep_dive_yearly_std,phrase_deep_dive_yearly_n,phrase_intricate_interplay_yearly_mean,phrase_intricate_interplay_yearly_std,phrase_intricate_interplay_yearly_n,phrase_essential_insight_yearly_mean,phrase_essential_insight_yearly_std,phrase_essential_insight_yearly_n,marker_phrases_total_yearly_mean,marker_phrases_total_yearly_std,marker_phrases_total_yearly_n,marker_phrases_total_per_1k_words_yearly_mean,marker_phrases_total_per_1k_words_yearly_std,marker_phrases_total_per_1k_words_yearly_n,marker_density_yearly_mean,marker_density_yearly_std,marker_density_yearly_n,hedge_count_yearly_mean,hedge_count_yearly_std,hedge_count_yearly_n,certainty_count_yearly_mean,certainty_count_yearly_std,certainty_count_yearly_n,hedge_ratio_yearly_mean,hedge_ratio_yearly_std,hedge_ratio_yearly_n,certainty_ratio_yearly_mean,certainty_ratio_yearly_std,certainty_ratio_yearly_n,avg_words_per_sentence_yearly_mean,avg_words_per_sentence_yearly_std,avg_words_per_sentence_yearly_n,avg_syllables_per_word_yearly_mean,avg_syllables_per_word_yearly_std,avg_syllables_per_word_yearly_n,flesch_reading_ease_yearly_mean,flesch_reading_ease_yearly_std,flesch_reading_ease_yearly_n,flesch_kincaid_grade_yearly_mean,flesch_kincaid_grade_yearly_std,flesch_kincaid_grade_yearly_n,dale_chall_yearly_mean,dale_chall_yearly_std,dale_chall_yearly_n
2015,180,160.6888888888889,64.54622776205909,180,6.533333333333333,2.747065473388612,180,6.5,3.4616817045279764,180,0.03888888888888889,0.2448095574705492,180,0.18085963508185443,1.1847118547714601,180,0.14444444444444443,0.5504921335270003,180,0.7487666163494928,2.727231772236553,180,0.43333333333333335,0.7702571579579606,180,2.711272531026199,4.792837143463892,180,11.927777777777777,2.8871329954786686,180,2.7342121559371844,0.14113750003670614,180,3.2743393746764506,0.45538083815459457,180,3.132449632288887,0.39272418634885986,180,4.8277777777777775,2.978189910981523,180,0.6538974913974914,0.3889766312888479,180,0.6444444444444445,0.9894540124262439,180,0.044444444444444446,0.23211974905622368,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.0,0.0,180,0.12222222222222222,0.3284559366135892,180,0.07777777777777778,0.3073686403452048,180,0.044444444444444446,0.23211974905622368,180,0.005555555555555556,0.07453559924999296,180,0.31666666666666665,0.583526171903274,180,1.7898292892572405,3.542163710823848,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.011111111111111112,0.10511440369749675,180,0.011111111111111112,0.10511440369749678,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.10932585932585932,0.7535732005260842,180,0.044444444444444446,0.20665525288359451,180,0.0,0.0,180,0.005555555555555556,0.07453559924999296,180,0.005555555555555556,0.07453559924999298,180,0.07777777777777778,0.44162669788582404,180,0.13333333333333333,0.4889848108595979,180,0.8590964589110572,3.1052239875681713,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,1.7898292892572405,3.542163710823848,180,0.25,0.6060680124822542,180,0.25,0.5055557260864236,180,0.0015630246258168763,0.0039328354943765405,180,0.0017271615136078868,0.003761650071270905,180,25.52990557282224,6.837669293239858,180,1.906127394177001,0.13027273984027787,180,18.693170405470998,13.930099555592442,180,16.608800837593414,3.1050726347544524,180,12.74980488595002,1.0242847569399676,180
2016,180,159.01111111111112,53.38465756716065,180,6.461111111111111,2.3022065900166475,180,6.5,3.4616817045279764,180,0.11666666666666667,0.4759583099906566,180,0.8287576779045132,3.4959932452374596,180,0.12777777777777777,0.559634313517803,180,0.6902714628890683,2.812149579399586,180,0.42777777777777776,0.7912267228030887,180,2.7581076797947173,5.165325001728887,180,11.488888888888889,2.4069009000980106,180,2.744670248802433,0.12664208328325685,180,3.3491398351409676,0.4479076695028112,180,3.204395000295248,0.35086929431303127,180,4.927777777777778,3.00470869865104,180,0.7054072470739137,0.5770728539888335,180,0.5777777777777777,0.909020932919949,180,0.03888888888888889,0.19386941665420654,180,0.0,0.0,180,0.0,0.0,180,0.011111111111111112,0.10511440369749678,180,0.005555555555555556,0.07453559924999298,180,0.022222222222222223,0.14781672010850969,180,0.0,0.0,180,0.15,0.388018890284838,180,0.06111111111111111,0.2624314518402085,180,0.03888888888888889,0.220813348942912,180,0.011111111111111112,0.10511440369749678,180,0.3388888888888889,0.6087250976989458,180,2.015580286698672,3.678636972590389,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.022222222222222223,0.18172222511619043,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.022222222222222223,0.18172222511619043,180,0.15159994391781725,1.206202932498763,180,0.011111111111111112,0.14907119849998596,180,0.0,0.0,180,0.022222222222222223,0.1478167201085097,180,0.0,0.0,180,0.06666666666666667,0.2715566547882349,180,0.1,0.3359302933811912,180,0.5942799742921681,2.117307875055054,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,2.015580286698672,3.678636972590389,180,0.3111111111111111,0.6709360499452065,180,0.28888888888888886,0.5122945304308576,180,0.001929657456680602,0.0042214681105270015,180,0.001791432172165379,0.003324316951161662,180,26.69630802839136,19.62567189830054,180,1.90327998552031,0.1338679623127389,180,18.583295408832523,12.997163210655595,180,16.67177470952163,2.8069282786414775,180,12.831172037424558,0.8371437273322525,180
2017,180,165.95555555555555,50.217495918630576,180,6.777777777777778,2.4802134426881737,180,6.5,3.4616817045279764,180,0.07777777777777778,0.3730525680086219,180,0.5307560547617791,2.74338201669507,180,0.11666666666666667,0.3549333087092346,180,0.7306572296902132,2.3601961692231,180,0.5722222222222222,0.7550985399866734,180,3.3190356446777187,4.358013865854076,180,11.883333333333333,2.5153717363576784,180,2.75521928588446,0.12480928565669333,180,3.353131364122244,0.38069158068268205,180,3.2030774954822054,0.3302596357252531,180,5.283333333333333,2.785186272017081,180,0.6912558120891454,0.3263848529476161,180,0.7277777777777777,0.9849740123932235,180,0.011111111111111112,0.10511440369749678,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.022222222222222223,0.18172222511619046,180,0.011111111111111112,0.10511440369749678,180,0.011111111111111112,0.10511440369749678,180,0.0,0.0,180,0.16666666666666666,0.42936877145344576,180,0.06666666666666667,0.30998287932539165,180,0.07777777777777778,0.30736864034520495,180,0.0,0.0,180,0.37222222222222223,0.732566892520663,180,2.1230159255202605,3.9884419286642543,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.016666666666666666,0.12837619299299347,180,0.0,0.0,180,0.011111111111111112,0.10511440369749679,180,0.0,0.0,180,0.05,0.21855288405439,180,0.291564168024634,1.2944905188477809,180,0.027777777777777776,0.16479394804867648,180,0.0,0.0,180,0.016666666666666666,0.12837619299299347,180,0.005555555555555556,0.07453559924999298,180,0.03333333333333333,0.1800062072176165,180,0.08333333333333333,0.29662910648761776,180,0.44553249769198167,1.693685324566582,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,2.1230159255202605,3.9884419286642543,180,0.25,0.6674808808175581,180,0.32222222222222224,0.5558782427226885,180,0.001618577492434914,0.005110274556119582,180,0.0019227551844291572,0.0034157327069603053,180,25.5248933011433,5.585231390467332,180,1.9025885562899458,0.1277916311089344,180,19.038724130631195,12.586677429416124,180,16.540565079162064,2.5037274998707115,180,12.84064641647659,0.921036931019051,180
2018,180,166.80555555555554,48.10859424751211,180,6.722222222222222,2.2249362693918604,180,6.5,3.4616817045279764,180,0.12777777777777777,0.5181677599353081,180,0.7344541218021706,2.981122492810091,180,0.09444444444444444,0.37665422434584056,180,0.560740290874069,2.376507816381338,180,0.6833333333333333,0.9886224262457218,180,3.8466657004386637,5.333518333353354,180,11.65,2.3314104873091734,180,2.7563531285269365,0.11606524803563792,180,3.363569060219404,0.4249908478499867,180,3.2273874699502807,0.33556343546433126,180,5.488888888888889,2.9321734629171634,180,0.7275782859116192,0.36575578733374303,180,0.7,0.890044252242393,180,0.016666666666666666,0.12837619299299347,180,0.0,0.0,180,0.005555555555555556,0.07453559924999299,180,0.011111111111111112,0.10511440369749678,180,0.0,0.0,180,0.016666666666666666,0.12837619299299347,180,0.0,0.0,180,0.19444444444444445,0.4370702642490689,180,0.08888888888888889,0.3221590725593152,180,0.05,0.28510509676453927,180,0.0,0.0,180,0.38333333333333336,0.695355702552748,180,2.3583094298695904,4.3740304353525845,180,0.0,0.0,180,0.0,0.0,180,0.011111111111111112,0.10511440369749678,180,0.016666666666666666,0.12837619299299347,180,0.022222222222222223,0.14781672010850966,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.05,0.2185528840543899,180,0.32618213948740504,1.4801750195622176,180,0.027777777777777776,0.16479394804867648,180,0.0,0.0,180,0.05,0.26478620025140176,180,0.005555555555555556,0.07453559924999298,180,0.06111111111111111,0.26243145184020855,180,0.14444444444444443,0.4858008675680366,180,0.9171835447773675,3.313988145723713,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,2.3583094298695904,4.3740304353525845,180,0.2111111111111111,0.5177183385665839,180,0.32222222222222224,0.6222643419281371,180,0.0013326136329332517,0.003284213572810108,180,0.001919850662700152,0.0037797816862461557,180,25.60246432579766,5.260542176265335,180,1.9173747425304524,0.1248663125554454,180,17.25318390620949,11.48749069114249,180,16.801373879722732,2.3985195976904357,180,12.923205266047777,0.854521280237672,180
2019,180,170.17222222222222,52.41644913846737,180,6.75,2.4262875980352967,180,6.5,3.461681704527973,180,0.1,0.43710576810877994,180,0.6553871799155293,2.8739671994705027,180,0.12777777777777777,0.49613653233892296,180,0.7104425620084291,2.9912419618785884,180,0.5111111111111111,0.6808546132215948,180,3.4324664692621223,5.78746780874799,180,11.655555555555555,2.309374198097933,180,2.7655998042527887,0.1288196913099178,180,3.2999290469928306,0.3143676110947327,180,3.1931925264668153,0.2909499225264017,180,5.566666666666666,3.1870898794105798,180,0.7407673843948355,0.42030589893739684,180,0.6777777777777778,0.9725595761249554,180,0.027777777777777776,0.19578107587561105,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.027777777777777776,0.1647939480486765,180,0.0,0.0,180,0.17777777777777778,0.41150433322529,180,0.07777777777777778,0.2886213725802681,180,0.1,0.42413237103105506,180,0.005555555555555556,0.07453559924999298,180,0.42777777777777776,0.818982578757255,180,2.5412161222227008,4.725610828585817,180,0.0,0.0,180,0.0,0.0,180,0.005555555555555556,0.07453559924999298,180,0.03333333333333333,0.18000620721761654,180,0.016666666666666666,0.12837619299299347,180,0.0,0.0,180,0.011111111111111112,0.10511440369749678,180,0.0,0.0,180,0.06666666666666667,0.2715566547882348,180,0.4221345508085597,1.9654112880592778,180,0.016666666666666666,0.12837619299299347,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.0,0.0,180,0.06666666666666667,0.2715566547882349,180,0.10555555555555556,0.34247247937750347,180,0.5877058671637867,1.8766444527272943,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,2.5412161222227008,4.725610828585817,180,0.38333333333333336,0.7112425196708293,180,0.3388888888888889,0.5708357970015748,180,0.0021176402123998287,0.003928978143616568,180,0.0021000688103520355,0.0036461411807556993,180,26.077439011605676,5.697826166213523,180,1.8814875715794002,0.12975638290965605,180,19.15491980235282,13.935597365149402,180,16.684129941927743,2.909816325539069,180,12.751527534870947,1.0902737844791608,180
2020,180,178.65555555555557,52.01056212266247,180,7.305555555555555,2.318488291493013,180,6.5,3.461681704527973,180,0.07777777777777778,0.4018887746789045,180,0.4317440949026811,2.1474082154770597,180,0.16666666666666666,0.523204564926355,180,0.8545357544560875,2.7763903497854057,180,0.6944444444444444,0.8658461952147425,180,3.8289807487083327,4.485503488343702,180,11.61111111111111,1.9786256978998875,180,2.7727245216291263,0.11600458082386915,180,3.358074921147613,0.3909826213531563,180,3.216160339873161,0.34105651034364226,180,5.572222222222222,3.0287828843278395,180,0.6900936717603384,0.37400330622148115,180,0.7611111111111111,1.140243475366589,180,0.005555555555555556,0.07453559924999298,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.016666666666666666,0.12837619299299347,180,0.005555555555555556,0.07453559924999298,180,0.03888888888888889,0.22081334894291202,180,0.0,0.0,180,0.18888888888888888,0.48195237124015683,180,0.03888888888888889,0.19386941665420654,180,0.08888888888888889,0.32215907255931514,180,0.0,0.0,180,0.3888888888888889,0.696270101774058,180,2.019516529794847,3.593852896685385,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.016666666666666666,0.12837619299299347,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.011111111111111112,0.10511440369749676,180,0.0,0.0,180,0.03333333333333333,0.18000620721761648,180,0.1712888663036219,0.9383283955140258,180,0.05,0.21855288405439,180,0.0,0.0,180,0.03888888888888889,0.1938694166542065,180,0.011111111111111112,0.10511440369749676,180,0.07777777777777778,0.30736864034520467,180,0.17777777777777778,0.4378152406875237,180,0.9707218706784805,2.4056877296195327,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,2.019516529794847,3.593852896685385,180,0.4111111111111111,0.9262701615437883,180,0.37777777777777777,0.5707542354365643,180,0.002337888715562221,0.005053324402761925,180,0.0021271871623438367,0.003452721375258673,180,25.088801846301845,4.903905242665724,180,1.9109227185228868,0.12077212230987187,180,18.022007677676154,11.734053234630153,180,16.54968844032131,2.3062925936054834,180,12.92009267751127,0.8408263513598456,180
2021,180,188.79444444444445,50.68719905197294,180,7.511111111111111,2.236040217327752,180,6.5,3.461681704527973,180,0.1,0.4107494172836801,180,0.5104117425121422,2.2087318288727507,180,0.15,0.5438842302052173,180,0.7201834442642534,2.6235854992229006,180,0.7,0.9269400612202348,180,3.672486393677299,4.7787591157464515,180,11.755555555555556,2.3862319756446726,180,2.774345412945475,0.12086949969294775,180,3.4048447403884667,0.38147878764479193,180,3.259708035241263,0.3357648370109377,180,6.583333333333333,3.6262158431045064,180,0.7957915387082053,0.4226714379667538,180,0.9722222222222222,1.379946382067256,180,0.027777777777777776,0.1957810758756111,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.011111111111111112,0.10511440369749678,180,0.005555555555555556,0.07453559924999298,180,0.016666666666666666,0.12837619299299347,180,0.0,0.0,180,0.3277777777777778,0.6501444236248229,180,0.10555555555555556,0.3736760198969935,180,0.13333333333333333,0.414809642012026,180,0.016666666666666666,0.12837619299299347,180,0.65,0.9303990853932296,180,3.281059245995294,4.545455418222538,180,0.0,0.0,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.027777777777777776,0.1957810758756111,180,0.011111111111111112,0.10511440369749678,180,0.0,0.0,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.05,0.24277262507546746,180,0.22323905909024566,1.0970330922352052,180,0.03888888888888889,0.19386941665420648,180,0.0,0.0,180,0.03333333333333333,0.18000620721761654,180,0.005555555555555556,0.07453559924999296,180,0.08333333333333333,0.31490000186278866,180,0.16111111111111112,0.41161745120054954,180,0.8301572913810602,2.187166219122434,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,3.281059245995294,4.545455418222538,180,0.29444444444444445,0.613600257680802,180,0.43333333333333335,0.6350999569416318,180,0.0016716481105976204,0.0035949116498028007,180,0.0022224165341544156,0.0033136048948296413,180,25.755176443926445,5.027649124171036,180,1.915785122737655,0.1278860545115547,180,16.920277188688434,12.345235242774258,180,16.839799584166663,2.4847956581380095,180,13.185683785190852,0.9213574700177333,180
2022,180,184.62222222222223,52.214122488201504,180,7.433333333333334,2.3756210596377563,180,6.5,3.461681704527973,180,0.15,0.5229375556898146,180,0.7650775791772266,2.785497814006338,180,0.13333333333333333,0.5327277753989973,180,0.7130519552062058,2.8427202289040956,180,0.85,1.0907175640234612,180,4.875966537262021,6.2999989251288095,180,11.561111111111112,2.445298507760275,180,2.7787816399799055,0.11456601166362243,180,3.421752629026746,0.38309444856816766,180,3.2746337490654347,0.3215925644834853,180,6.361111111111111,3.4018790221640884,180,0.7833514248097582,0.4290928035059324,180,0.9055555555555556,1.2403694810056818,180,0.06666666666666667,0.2715566547882348,180,0.0,0.0,180,0.0,0.0,180,0.011111111111111112,0.10511440369749678,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.0,0.0,180,0.23333333333333334,0.47389978432849317,180,0.1,0.3676894487556816,180,0.12222222222222222,0.3608734833868982,180,0.011111111111111112,0.10511440369749678,180,0.5666666666666667,0.7987420277008357,180,2.934353800475253,4.220988082867823,180,0.0,0.0,180,0.0,0.0,180,0.011111111111111112,0.10511440369749678,180,0.022222222222222223,0.14781672010850969,180,0.027777777777777776,0.16479394804867645,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.005555555555555556,0.07453559924999296,180,0.08888888888888889,0.3043243067432113,180,0.44385713763983614,1.5342711949093035,180,0.044444444444444446,0.20665525288359451,180,0.0,0.0,180,0.03333333333333333,0.18000620721761654,180,0.0,0.0,180,0.09444444444444444,0.31173011931380507,180,0.17222222222222222,0.4070682146114942,180,0.9357502038970267,2.2794666052189023,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.0,0.0,180,0.005555555555555556,0.07453559924999298,180,0.025025025025025027,0.335745942567536,180,2.934353800475253,4.220988082867823,180,0.3333333333333333,0.6931427900326901,180,0.4,0.6127144476943626,180,0.0017485691503303367,0.0036192693544136395,180,0.002138022383590723,0.003364801593209717,180,25.862215932215932,7.230673020600934,180,1.900446944427216,0.11519508054796383,180,18.86397223002547,12.262267612008733,180,16.470102684464827,2.577249394156298,180,13.16948732658971,0.8324798640922814,180
2023,180,182.86111111111111,48.300475249971,180,7.366666666666666,2.147884499042966,180,6.5,3.461681704527973,180,0.1111111111111111,0.516638132208986,180,0.5368115460179465,2.479359079194954,180,0.12777777777777777,0.4611202724329798,180,0.6932887001329595,2.698807118718808,180,0.9333333333333333,0.8944271909999161,180,5.2972681566679825,5.640723383202352,180,11.494444444444444,2.1494372973456004,180,2.78600584533688,0.11462794598705733,180,3.415617608898652,0.3359741657788598,180,3.278286757048278,0.2900904865740516,180,6.438888888888889,3.1198837696601296,180,0.7794362581862582,0.35869649158323524,180,0.9777777777777777,1.06731823674939,180,0.027777777777777776,0.16479394804867645,180,0.0,0.0,180,0.011111111111111112,0.10511440369749676,180,0.005555555555555556,0.07453559924999298,180,0.0,0.0,180,0.044444444444444446,0.20665525288359446,180,0.005555555555555556,0.07453559924999299,180,0.2777777777777778,0.5498151599564524,180,0.07777777777777778,0.3073686403452048,180,0.3111111111111111,0.5817416432924997,180,0.011111111111111112,0.10511440369749678,180,0.7722222222222223,0.9444371416813365,180,4.043416405862011,4.818584311184945,180,0.0,0.0,180,0.016666666666666666,0.12837619299299347,180,0.016666666666666666,0.12837619299299347,180,0.06111111111111111,0.3686588844178465,180,0.044444444444444446,0.2321197490562237,180,0.0,0.0,180,0.022222222222222223,0.14781672010850969,180,0.011111111111111112,0.10511440369749676,180,0.17222222222222222,0.48243511220913504,180,0.8718754750326884,2.372932480971776,180,0.05,0.2185528840543899,180,0.0,0.0,180,0.07777777777777778,0.2886213725802681,180,0.011111111111111112,0.10511440369749678,180,0.17222222222222222,0.39310475320129046,180,0.3111111111111111,0.6006410810590147,180,1.809680804272986,3.6736817854265356,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,4.043416405862011,4.818584311184945,180,0.4166666666666667,0.7971667707168905,180,0.5388888888888889,0.7721687435987922,180,0.002237449811421211,0.004460173253532481,180,0.002952680283827336,0.004247457808517895,180,25.459989177489174,4.7731860136915385,180,1.9262872032479066,0.13541505909941007,180,16.37826905071169,12.320616071797366,180,16.82982353576033,2.4008538202541585,180,13.222837861788399,0.9238018070278562,180
2024,180,182.63888888888889,46.85109705063395,180,7.35,1.9302791646886939,180,6.5,3.461681704527973,180,0.1388888888888889,0.4816624944243335,180,0.7090531110547774,2.494928341457175,180,0.18333333333333332,0.6969606803429687,180,0.9138999008559483,3.595672019878404,180,0.9777777777777777,0.896645240756661,180,5.343924575763132,4.83965128395222,180,11.494444444444444,2.146836628824565,180,2.7771430853341585,0.10947762277642666,180,3.472992286365353,0.3702376983059108,180,3.31593821326798,0.308508616426148,180,6.261111111111111,3.1184509277368258,180,0.7521622204955539,0.3596403129783562,180,1.0333333333333334,1.190746444450735,180,0.011111111111111112,0.14907119849998596,180,0.0,0.0,180,0.005555555555555556,0.07453559924999296,180,0.011111111111111112,0.10511440369749678,180,0.005555555555555556,0.07453559924999298,180,0.07777777777777778,0.3073686403452048,180,0.005555555555555556,0.07453559924999298,180,0.34444444444444444,0.6628381689651853,180,0.1388888888888889,0.392156178113106,180,0.3111111111111111,0.5622072312106757,180,0.022222222222222223,0.18172222511619046,180,0.9333333333333333,1.0810712667529756,180,5.187782548816606,6.052214717461119,180,0.005555555555555556,0.07453559924999298,180,0.016666666666666666,0.12837619299299344,180,0.011111111111111112,0.10511440369749678,180,0.11666666666666667,0.4131227312330471,180,0.044444444444444446,0.2321197490562237,180,0.0,0.0,180,0.03888888888888889,0.1938694166542065,180,0.005555555555555556,0.07453559924999298,180,0.2388888888888889,0.5427417350244094,180,1.237639586972924,2.8229327588293733,180,0.07777777777777778,0.2685686362041853,180,0.016666666666666666,0.12837619299299347,180,0.12777777777777777,0.42321667331999074,180,0.0,0.0,180,0.14444444444444443,0.3972281364997499,180,0.36666666666666664,0.6420985148661349,180,2.0841406955930624,3.7735570062757646,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,5.187782548816606,6.052214717461119,180,0.38333333333333336,0.703343968076906,180,0.5611111111111111,0.7779351618721002,180,0.001986137202727206,0.0035237141825952677,180,0.0031264955720879785,0.004404370523712118,180,25.2970336299503,4.4248638697367975,180,1.9431911979547,0.13327721609377458,180,15.416865484023502,13.11945551358803,180,16.831029889209763,2.489611490981021,180,13.569058486337687,0.9287980354256693,180
