feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
verb_exhibit_per_1k_words,verbs,2021-01-01,136,72,64,0.15450325050226327,0.29776140113482985,0.03432792467625941,1.0727251962588008e-05,0.0001287270235510561,-0.05699375692247294,0.021231742741181312,-0.09860797269518831,-0.015379541149757564,0.007266762360064457,0.006218834061608064,0.07462600873929676,0.00043808776353565173,0.005257053162427821,0.06432218454093823,0.0849298329376553,2.173915535036896,0.15314217832875596,1.8737568655125347,2.4740742045612585,9.781702023409951e-46,0.006229561313570652,0.07475473576284783,0.9028119728005158,monthly_segmented_wls_hac,6,2021,3.5214127284275826e-44
marker_words_total_per_1k_words,marker_words,2021-01-01,136,72,64,2.693146607457188,5.402814585840584,0.3314963032322379,0.012379254854931429,0.14855105825917714,-1.4403509096469036,0.39897701868738855,-2.222345866274185,-0.658355953019622,0.0003060672242738443,0.10215711782876122,1.2258854139451345,0.008464996905745552,0.10157996286894663,1.0267886867219993,1.42498214116827,3.698036454682001,0.3064286445384047,3.0974363113867285,4.298636597977274,1.555336021358255e-33,0.11453637268369264,1.3744364722043116,0.9620043225380389,monthly_segmented_wls_hac,6,2021,7.465612902519624e-32
causal_marker_hence_per_1k_words,causal_markers,2021-01-01,136,72,64,0.13241061122131592,0.09531199306162477,0.029018607292889975,0.0003171040794993294,0.003805248953991953,0.026965806937277938,0.00842269754232544,0.010457319754320075,0.043474294120235804,0.0013668361221364964,-0.002567300520776179,-0.030807606249314147,0.00021698561007203542,0.002603827320864425,-0.03591110779820842,-0.025704104700419873,-1.0616500626087078,0.08972957573682057,-1.2375200310528762,-0.8857800941645395,2.6778458242028456e-32,-0.0022501964412768496,-0.027002357295322195,0.8692122542284733,monthly_segmented_wls_hac,6,2021,5.355691648405691e-31
verb_exhibit_per_1k_words,verbs,2020-01-01,136,60,76,0.15397419419019034,0.27555936917606105,0.03664147457204086,-1.556330668250599e-05,-0.00018675968019007187,-0.0852489613048342,0.027664638598362802,-0.1394716529576253,-0.03102626965204311,0.0020595103759708006,0.00546646095039195,0.0655975314047034,0.00047647608622967437,0.005717713034756092,0.05439081385658146,0.07680424895282534,1.790253590251451,0.15604483993990165,1.484405703969244,2.0961014765336583,1.809520094550173e-30,0.005450897643709444,0.06541077172451333,0.8765937938852477,monthly_segmented_wls_hac,6,2020,3.2571361701903115e-29
verb_align_per_1k_words,verbs,2021-01-01,136,72,64,0.09903176215909906,0.30575786824860857,0.04077796376414613,0.0007206121407159986,0.008647345688591983,-0.12055456234061762,0.03436962259425795,-0.1879190226253632,-0.05319010205587203,0.0004521844877566206,0.008789474421972355,0.10547369306366826,0.0008099099724673638,0.009718919669608366,0.08642461051123586,0.12452277561610066,2.586536534136744,0.23833754244869113,2.119394950937309,3.0536781173361787,1.942369961471782e-27,0.009510086562688353,0.11412103875226023,0.9368895286093006,monthly_segmented_wls_hac,6,2021,2.3308439537661383e-26
causal_marker_thus_per_1k_words,causal_markers,2021-01-01,136,72,64,0.40960369753138626,0.35396443884800777,0.06274725919601357,0.00048303293665942867,0.005796395239913144,0.10872950370132671,0.023930159102841072,0.06182639185975821,0.1556326155428952,5.529680506360446e-06,-0.006101796030123624,-0.07322155236148348,0.0005861217637767883,0.00703346116532146,-0.08700713624551354,-0.05943596847745343,-1.1669282977404591,0.1120919264911623,-1.3866284736631371,-0.9472281218177812,2.221501909279003e-25,-0.005618763093464195,-0.06742515712157035,0.8711817161229647,monthly_segmented_wls_hac,6,2021,2.2215019092790032e-24
marker_words_total_per_1k_words,marker_words,2020-01-01,136,60,76,2.6181337027377958,5.034192987716411,0.30772500288163934,0.011487107193346936,0.13784528632016324,-1.6802840983861325,0.4918795368963583,-2.6443679907029947,-0.7162002060692702,0.000635370510440164,0.08636537467709587,1.0363844961251505,0.00836416734564716,0.10037000814776592,0.8396592801555294,1.2331097120947716,3.367891742367702,0.3261678680895857,2.7286027209121144,4.00718076382329,5.39581732116076e-25,0.0978524818704428,1.1742297824453136,0.9260920864682888,monthly_segmented_wls_hac,6,2020,1.2949961570785823e-23
dependency_entropy,syntax,2021-01-01,136,72,64,2.750040587439583,2.7667155083756176,0.009814571336763294,0.0003631965228381648,0.004358358274057977,0.007147946856540688,0.0020133465869374145,0.0032017875461433556,0.01109410616693802,0.00038481963625911257,-0.0004580883739402717,-0.00549706048728326,4.4303373918050256e-05,0.000531640487016603,-0.0065390758418358026,-0.004455045132730718,-0.5600917552753876,0.05416848772856651,-0.6662619912233779,-0.4539215193273972,4.654698350056896e-25,-9.489185110210692e-05,-0.001138702213225283,0.7107931829523482,monthly_segmented_wls_hac,6,2021,1.6756914060204825e-23
verb_align_per_1k_words,verbs,2020-01-01,136,60,76,0.09520608316745646,0.2761371770173512,0.042207450414779975,0.0004239712051960212,0.005087654462352254,-0.13640065141501234,0.0420641727346947,-0.21884642997501397,-0.05395487285501073,0.0011841112637149,0.007663964101700497,0.09196756922040596,0.0007905839323728126,0.009487007188473751,0.07337303513099741,0.1105621033098145,2.178941592458787,0.22477091355301676,1.738390601894874,2.6194925830226996,3.1958243399778864e-22,0.008087935306896518,0.09705522368275821,0.8999465611578321,monthly_segmented_wls_hac,6,2020,2.876241905980098e-21
verb_exhibit_per_1k_words,verbs,2019-01-01,136,48,88,0.1528532814057845,0.259590979560391,0.039870204857053525,-0.0001440488840664268,-0.0017285866087971217,-0.10407088731730846,0.030094034338726726,-0.16305519462121285,-0.04508658001340408,0.0005438178030688939,0.004962182043735313,0.059546184524823756,0.0005347119865140139,0.006416543838168167,0.04696975860201415,0.07212261044763336,1.493500842002554,0.16093581312595143,1.1780666482756892,1.8089350357294187,1.6931560110190097e-20,0.004818133159668886,0.057817597916026635,0.842262895281811,monthly_segmented_wls_hac,6,2019,1.219072327933687e-19
