feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
causal_marker_thus_per_1k_words,causal_markers,2022-11-30,136,95,41,0.4191590224565629,0.3006117847599712,0.05875624950088898,0.0007243910168977546,0.008692692202773055,0.008542268974012378,0.009965328431340802,-0.010989774751415595,0.02807431269944035,0.39133494787760936,-0.008387439030630101,-0.10064926836756122,0.0002800667514135271,0.003360801016962325,-0.10723643836080737,-0.09406209837431505,-1.7129968168924465,0.05719903917474304,-1.8251069336749428,-1.6008867001099498,4.6718255154347474e-197,-0.007663048013732346,-0.09195657616478815,0.9277838469765168,monthly_segmented_wls_hac,6,2.3359127577173737e-196,0.39133494787760936
word_across_per_1k_words,marker_words,2022-11-30,136,95,41,0.5102882239790117,1.7856829300138555,0.12738616392848703,0.003962125092983309,0.04754550111579971,-0.3207671889526207,0.07331419634801474,-0.46446301379472954,-0.1770713641105118,1.2129906237617482e-05,0.06314681612041828,0.7577617934450194,0.003125130748324526,0.03750156897989431,0.6842587182444265,0.8312648686456123,5.948540799693263,0.2943927960727918,5.371530919390591,6.525550679995936,8.645772760054424e-91,0.0671089412134016,0.8053072945608191,0.9863696623766273,monthly_segmented_wls_hac,6,1.037492731206531e-89,0.0001455588748514098
dependency_entropy,syntax,2022-11-30,136,95,41,2.754333760464643,2.766122136281667,0.011558248122042371,0.00037289432073362133,0.0044747318488034555,-0.0010512523786937178,0.0010593816484239088,-0.003127640409604579,0.0010251356522171435,0.32103832847098746,-0.0005796655682425531,-0.006955986818910637,3.491501075344007e-05,0.0004189801290412808,-0.007777187871831548,-0.006134785765989727,-0.6018201673353156,0.036249449277893336,-0.6728690879199866,-0.5307712467506447,6.719630017722414e-62,-0.00020677124750893177,-0.0024812549701071812,0.7640414860375055,monthly_segmented_wls_hac,6,6.047667015950173e-61,0.32103832847098746
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,136,95,41,0.13370097572488832,0.07151070414669124,0.026384044223365464,0.00014434373900349106,0.0017321248680418927,-0.01392602273404404,0.007108171351854573,-0.027858038583679003,5.993115590923262e-06,0.050094418432992414,-0.0027735915744469845,-0.03328309889336381,0.00018031712537700775,0.002163805504524093,-0.03752415768223104,-0.02904204010449659,-1.2614858666696975,0.08201189651614695,-1.422229183841346,-1.1007425494980496,2.170276849118241e-53,-0.0026292478354434934,-0.03155097402532192,0.8826740702758047,monthly_segmented_wls_hac,6,5.425692122795602e-53,0.10464482007802274
verb_align_per_1k_words,verbs,2022-11-30,136,95,41,0.10818225163575144,0.4005238179992608,0.04118881743060745,0.0009326729913861275,0.01119207589663353,0.00726358913719807,0.01797714947819951,-0.027971623840072967,0.0424988021144691,0.6861791467167923,0.011024360399528242,0.13229232479433892,0.000723817929076288,0.008685815148915456,0.11526812710246462,0.1493165224862132,3.211850522710865,0.21087799288117018,2.798529656663771,3.6251713887579577,2.2071225922422864e-52,0.01195703339091437,0.14348440069097243,0.9638476825528116,monthly_segmented_wls_hac,6,1.9864103330180577e-51,0.6861791467167923
sequential_marker_moreover_per_1k_words,sequential_markers,2022-11-30,136,95,41,0.32620694603724676,0.32465147493839736,0.050112371726572756,0.0011720663997092152,0.014064796796510582,0.060349661388538076,0.014098192428591784,0.03271720422849818,0.08798211854857797,1.8633433745080342e-05,-0.006459913054957568,-0.07751895665949082,0.00047979474910234734,0.005757536989228168,-0.08880372915837803,-0.06623418416060362,-1.5469025709351003,0.11489252635343054,-1.772091922587824,-1.3217132192823764,2.5505616605875496e-41,-0.005287846655248353,-0.06345415986298023,0.8090750990330013,monthly_segmented_wls_hac,6,1.2752808302937747e-40,9.316716872540172e-05
clause_depth_std,syntax,2022-11-30,136,95,41,2.2292205491680104,2.143106255352221,0.035475597711894014,-0.0002770343078150486,-0.0033244116937805827,0.05304136455794752,0.01192666865247677,0.02966509399909305,0.076417635116802,8.696005296553853e-06,-0.00550040494240731,-0.06600485930888772,0.00041445477155512353,0.0049734572586614826,-0.07575283553586422,-0.056256883081911215,-1.860570746261396,0.14019375512858565,-2.135350506313424,-1.5857909862093682,3.3907612709419615e-40,-0.005777439250222358,-0.0693292710026683,0.926239054110428,monthly_segmented_wls_hac,6,1.0172283812825884e-39,2.608801588966156e-05
sentence_depth_std,syntax,2022-11-30,136,95,41,2.2292205491680104,2.143106255352221,0.035475597711894014,-0.0002770343078150486,-0.0033244116937805827,0.05304136455794752,0.01192666865247677,0.02966509399909305,0.076417635116802,8.696005296553853e-06,-0.00550040494240731,-0.06600485930888772,0.00041445477155512353,0.0049734572586614826,-0.07575283553586422,-0.056256883081911215,-1.860570746261396,0.14019375512858565,-2.135350506313424,-1.5857909862093682,3.3907612709419615e-40,-0.005777439250222358,-0.0693292710026683,0.926239054110428,monthly_segmented_wls_hac,6,1.0172283812825884e-39,2.608801588966156e-05
marker_words_total_per_1k_words,marker_words,2022-11-30,136,95,41,2.828850656545757,6.608436020948002,0.38510051184553534,0.012059266255539665,0.14471119506647598,0.3483056709700107,0.21865364274655402,-0.0802554688132352,0.7768668107532566,0.11117002227489031,0.1250893536274212,1.5010722435290544,0.009741509785996609,0.1168981174319593,1.2719519333624143,1.7301925536956948,3.8978713280213397,0.30355222555208494,3.3029089659392534,4.492833690103426,9.67944544413305e-38,0.13714861988296087,1.6457834385955303,0.9856165529321241,monthly_segmented_wls_hac,6,5.807667266479829e-37,0.11117002227489031
clause_depth,syntax,2022-11-30,136,95,41,11.527697945796929,11.349521978851609,0.08890129407163852,0.0002695793684903199,0.0032349524218838388,0.1583934305162484,0.03450122906212477,0.09077102155448386,0.22601583947801296,4.41232245878144e-06,-0.016691350632420575,-0.2002962075890469,0.0014733630949952308,0.01768035713994277,-0.23494970758333472,-0.16564270759475908,-2.253017908014298,0.1988762629900029,-2.6428153834747032,-1.863220432553892,9.455279182120653e-30,-0.016421771263930254,-0.19706125516716305,0.9030281405707341,monthly_segmented_wls_hac,6,2.127437815977147e-29,2.608801588966156e-05
word_while_per_1k_words,marker_words,2022-11-30,136,95,41,1.1705742354983797,2.0931683616047545,0.17734305086558275,0.004540708621132875,0.0544885034535945,-0.3975181611584217,0.13204672718319524,-0.6563297464374844,-0.13870657587935903,0.0026087330939454775,0.047409004681385314,0.5689080561766238,0.004339095135813297,0.05206914162975956,0.46685253858229503,0.6709635737709525,3.207952346595345,0.29360689001130014,2.6324828421731965,3.783421851017493,8.657012761472022e-28,0.051949713302518186,0.6233965596302182,0.9620681735730097,monthly_segmented_wls_hac,6,3.462805104588809e-27,0.014081209584421347
colon_per_1k_words,punctuation,2022-11-30,136,95,41,3.0799864723977457,4.994558230376557,0.40315266359357566,0.013948472132131746,0.16738166558558096,-0.2664841784093209,0.13370102791768648,-0.5285381931279864,-0.004430163690655409,0.04624668262005227,0.05988443661282547,0.7186132393539056,0.00550821437518518,0.06609857250222216,0.5890600372495503,0.848166441458261,1.7824841660437363,0.16395420016090267,1.461133933728367,2.1038343983591052,1.5699861164968307e-27,0.07383290874495721,0.8859949049394865,0.9655787545820356,monthly_segmented_wls_hac,6,4.709958349490492e-27,0.04624668262005227
list_of_three_per_1k_words,syntax,2022-11-30,136,95,41,2.9633326561519713,3.829359764292842,0.204505774520787,0.0030012061568360335,0.036014473882032404,-0.2901020681781138,0.1653079434744765,-0.6141056373880878,0.033901501031860126,0.07927314580275012,0.045102643536181666,0.54123172243418,0.005154130454768728,0.06184956545722473,0.4200065741380195,0.6624568707303404,2.6465351587378603,0.3024343229532525,2.053763885749485,3.239306431726235,2.118897023128526e-18,0.0481038496930177,0.5772461963162124,0.9199767737793024,monthly_segmented_wls_hac,6,3.814014641631347e-18,0.1019226160321073
contrast_marker_nevertheless_per_1k_words,contrast_markers,2022-11-30,136,95,41,0.04080541846886238,0.04988183081387517,0.01849908512852996,0.0003895604650758402,0.004674725580910082,0.02174068457977639,0.006587664781585734,0.008828861607868351,0.034652507551684426,0.0009661211939061688,-0.0017517941337109248,-0.021021529604531096,0.00020897573064187106,0.002507708767702453,-0.025936638789227903,-0.01610642041983429,-1.1363550931559816,0.13555852899098095,-1.4020498099783043,-0.870660376333659,5.169927417490085e-17,-0.0013622336686350846,-0.016346804023621014,0.6028504341511307,monthly_segmented_wls_hac,6,2.5849637087450425e-16,0.0048306059695308445
