feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
marker_adjectives_total_per_1k_words,adjectives,2018-01-01,136,36,100,0.6625809619497934,1.299198952464502,-0.025533410818815522,-0.30640092982578626,0.4249783099248957,0.19512628094025358,0.04253079928199871,0.8074258205677927,0.02940860463652947,0.038572507252859815,0.46287008703431776,0.007072771954694203,0.08487326345633044,0.2965184906599101,0.6292216834087254,4.934296676179824e-08,0.013039096434044294,0.15646915720853152,0.25726843236939545,monthly_segmented_wls_hac,6,2018,1.1842312022831577e-06
adjective_potential_per_1k_words,adjectives,2018-01-01,136,36,100,0.37752271110460806,0.632354260503905,-0.018822569901485335,-0.22587083881782402,0.3005487181078061,0.1143008965185129,0.0765189609315208,0.5245784752840914,0.008552261056186408,0.024439952170150547,0.29327942604180657,0.005525616049405516,0.0663073925928662,0.16331693655978885,0.42324191552382434,9.732731246920603e-06,0.005617382268665212,0.06740858722398255,0.15723706704902662,monthly_segmented_wls_hac,6,2018,0.00011679277496304724
adjective_crucial_per_1k_words,adjectives,2018-01-01,136,36,100,0.1840976250981207,0.2599603791325356,-0.008123256349796836,-0.09747907619756203,0.14703529658680956,0.0818153839999326,-0.01332285605305833,0.30739344922667744,0.07231029818376852,0.009528888895719418,0.11434666674863302,0.002756058099774705,0.03307269719729646,0.04952418024193196,0.17916915325533408,0.000545345868026438,0.0014056325459225819,0.016867590551070982,0.03911644872243292,monthly_segmented_wls_hac,6,2018,0.004362766944211504
adjective_pivotal_per_1k_words,adjectives,2018-01-01,136,36,100,0.0,0.009835133594355937,3.31677651574522e-16,3.980131818894264e-15,-0.005880001564258159,0.005001665960147881,-0.015683266846148007,0.003923263717631688,0.23975131358178364,0.0003111907952196626,0.0037342895426359514,0.0001971464537491827,0.0023657574449901923,-0.0009025950495448252,0.008371174134816728,0.11445647275903592,0.00031119079521999427,0.0037342895426399313,0.03262289467970525,monthly_segmented_wls_hac,6,2018,0.22891294551807184
adjective_comprehensive_per_1k_words,adjectives,2018-01-01,136,36,100,0.0837569850315193,0.36995559229478714,0.00152823825237049,0.01833885902844588,-0.016381742386362405,0.12232954737264978,-0.256147655236756,0.22338417046403114,0.893469911337785,0.003933864326503721,0.04720637191804465,0.0029933052117792846,0.03591966254135141,-0.023196166663004114,0.11760891049909342,0.18877187071124907,0.0054621025788742115,0.06554523094649053,0.1783625680816988,monthly_segmented_wls_hac,6,2018,0.2831578060668736
adjective_intricate_per_1k_words,adjectives,2018-01-01,136,36,100,0.017203640715545476,0.02709358693891821,-0.00011582281990418276,-0.001389873838850193,-0.00034396081909936205,0.023637885587993148,-0.04667421657156593,0.04598629493336721,0.9883901907642294,0.0003586110652664712,0.004303332783197654,0.0008791068516005543,0.010549282219206653,-0.016373260366447383,0.024979925932842692,0.6833275664455285,0.00024278824536228845,0.002913458944347461,0.00798025533579183,monthly_segmented_wls_hac,6,2018,0.7807266266247628
causal_marker_consequently_per_1k_words,causal_markers,2018-01-01,136,36,100,0.06650573984543735,0.031328771605412586,-0.003635042389691331,-0.04362050867629597,0.01630074748293745,0.026634165658700606,-0.03590221720811573,0.06850371217399064,0.5405219066163818,0.0038753498371499008,0.046504198045798806,0.00166478785810849,0.01997745429730188,0.007348387623087127,0.08566000846851049,0.019920918067845628,0.0002403074474585697,0.0028836893695028364,0.05311004867843183,monthly_segmented_wls_hac,6,2018,0.07968367227138251
causal_marker_thus_per_1k_words,causal_markers,2018-01-01,136,36,100,0.34375849924450314,0.32386823092349076,0.00743854353235864,0.08926252238830368,-0.015571791555917158,0.1480591644245981,-0.30576775382812943,0.27462417071629514,0.9162387220319345,-0.010101771029021295,-0.12122125234825554,0.004611224661248749,0.05533469593498499,-0.22967725638082612,-0.012765248315684957,0.028474118976597712,-0.0026632274966626544,-0.03195872995995185,0.05232923534479761,monthly_segmented_wls_hac,6,2018,0.08753846374839233
causal_marker_accordingly_per_1k_words,causal_markers,2018-01-01,136,36,100,0.007262164124909223,0.027152615555358167,0.0001009412774111298,0.0012112953289335577,0.040575729715856386,0.01831296875404818,0.004682310957921952,0.07646914847379083,0.02671323431610478,-0.0005455303989974213,-0.006546364787969055,0.00037340841813493427,0.0044809010176192115,-0.01532893078250271,0.002236201206564599,0.14402962619029733,-0.0004445891215862915,-0.005335069459035498,0.022588125085712618,monthly_segmented_wls_hac,6,2018,0.22158404029276513
causal_marker_hence_per_1k_words,causal_markers,2018-01-01,136,36,100,0.056269636741931764,0.08586124936913883,0.0010561243913576686,0.012673492696292022,0.016847043010457568,0.06590295716191946,-0.11232275302690457,0.1460168390478197,0.7982333865909853,-0.0011697403761502208,-0.01403688451380265,0.0024367333211476657,0.02924079985377199,-0.07134885222719575,0.04327508319959045,0.6311957663340372,-0.00011361598479255226,-0.0013633918175106272,0.006124329694735975,monthly_segmented_wls_hac,6,2018,0.6644165961410917
causal_marker_thereby_per_1k_words,causal_markers,2018-01-01,136,36,100,0.07542366784206139,0.07942125390686494,-0.000499942293507245,-0.005999307522086939,0.045772032705126295,0.04359854831799698,-0.03968112199814777,0.13122518740840036,0.29378606236102794,-0.00015402714221461047,-0.0018483257065753256,0.0022070227134126487,0.026484272560951785,-0.05375749992604083,0.050060848512890166,0.9443611575025738,-0.0006539694357218554,-0.007847633228662266,0.01042349600559056,monthly_segmented_wls_hac,6,2018,0.9443611575025738
contrast_marker_nonetheless_per_1k_words,contrast_markers,2018-01-01,136,36,100,0.0,0.030516916018084612,-8.183155665414079e-16,-9.819786798496895e-15,0.061611491324129894,0.03182147790268279,-0.0007586053651283745,0.12398158801338816,0.052848035997988776,-0.0006157341644751666,-0.007388809973701999,0.00038548636111664086,0.00462583633339969,-0.01645544918716539,0.001677829239761394,0.11020070043146546,-0.000615734164475985,-0.007388809973711819,0.02128709593176037,monthly_segmented_wls_hac,6,2018,0.44080280172586184
contrast_marker_however_per_1k_words,contrast_markers,2018-01-01,136,36,100,1.2409654100975198,1.5489714891527568,0.015764141993012532,0.1891697039161504,-0.17583436537077732,0.3500051145271565,-0.861844389844004,0.5101756591024493,0.6154026642212543,-0.011645964576218523,-0.13975157491462226,0.010448265080748108,0.1253791809689773,-0.3854947696138178,0.10599161978457322,0.26500839895463457,0.00411817741679401,0.049418129001528116,0.08358805530559965,monthly_segmented_wls_hac,6,2018,0.6577509307902165
contrast_marker_alternatively_per_1k_words,contrast_markers,2018-01-01,136,36,100,0.019519672233882655,0.020851258050696896,0.0007406448281865222,0.008887737938238266,-0.009854429803984802,0.0233942445317381,-0.055707149086191475,0.035998289478221875,0.6735848870297215,-0.000775798667245371,-0.009309584006944451,0.0010625479924387027,0.012750575909264431,-0.03430071278910274,0.015681544775213836,0.4653104367589889,-3.5153839058848775e-05,-0.0004218460687061853,0.0024364223707268318,monthly_segmented_wls_hac,6,2018,0.7573789942315313
contrast_marker_conversely_per_1k_words,contrast_markers,2018-01-01,136,36,100,0.0,0.002886002886002886,-3.9038601721398034e-17,-4.684632206567764e-16,0.00419782237964078,0.004293287870975346,-0.004217021847470898,0.012612666606752459,0.32819105329673076,-2.5976623636348227e-05,-0.00031171948363617875,3.606312771513167e-05,0.00043275753258158005,-0.0011599242474960758,0.0005364852802237182,0.47133428372274766,-2.5976623636387265e-05,-0.0003117194836366472,0.0033467346734668,monthly_segmented_wls_hac,6,2018,0.7573789942315313
contrast_marker_nevertheless_per_1k_words,contrast_markers,2018-01-01,136,36,100,0.033497558106491666,0.03403473303650244,0.0006019435924861158,0.007223323109833389,-0.02455502982761075,0.024199663379099116,-0.07198637005064501,0.022876310395423517,0.3102561171184682,-0.0003136625649789896,-0.0037639507797478755,0.0011148883396289784,0.013378660075547742,-0.029986124527821446,0.022458222968325697,0.778449716059646,0.0002882810275071262,0.003459372330085514,0.0052980774330332325,monthly_segmented_wls_hac,6,2018,0.8649441289551622
emphasis_markers_total_per_1k_words,discourse_marker_totals,2018-01-01,136,36,100,0.24916860400724417,0.39939414008985563,-0.0037165715354401077,-0.044598858425281294,0.03467534189225131,0.09821495787602644,-0.15782597554476052,0.22717665932926312,0.7240467504833419,0.0072926150217881985,0.08751138026145838,0.003916689651336822,0.04700027581604187,-0.004609160337983673,0.17963192086090046,0.06261248769607333,0.003576043486348091,0.04291252183617709,0.08184965378333264,monthly_segmented_wls_hac,6,2018,0.20870829232024443
