feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
dale_chall,readability,2022-11-30,134,95,39,12.917758720183848,13.610200941058775,0.2743901146988714,0.004790302864789544,0.05748363437747453,-0.12282135511392234,0.07229164278801137,-0.26451297497842463,0.01887026475057993,0.08932477696116474,0.024715664202406118,0.2965879704288734,0.002412898778195665,0.028954785338347982,0.23983659116571138,0.35333934969203545,1.080898890087068,0.10552415625513449,0.8740715438270045,1.2877262363471316,1.2704260040823904e-24,0.029505967067195663,0.354071604806348,0.7118712189476029,monthly_segmented_wls_hac,6,8.892982028576733e-24,0.5614104830686064
flesch_reading_ease,readability,2022-11-30,134,95,39,18.288887051521776,13.989234745599939,3.254230871239196,-0.008548689460517416,-0.102584273526209,1.154285319896007,0.9021838867250809,-0.6139950980851514,2.9225657378771652,0.2007440406735638,-0.24405877159814565,-2.9287052591777476,0.026350763995049778,0.31620916794059734,-3.5484752283413186,-2.308935290014177,-0.8999684948789483,0.09716863383457067,-1.0904190171947068,-0.7095179725631898,2.0078121672889403e-20,-0.25260746105866305,-3.0312895327039566,0.3976873303924112,monthly_segmented_wls_hac,6,7.027342585511291e-20,0.5614104830686064
marker_words_total_per_1k_words,marker_words,2022-11-30,136,95,41,2.71029972973749,7.402917978144251,1.3105651654016701,0.021645970191534893,0.25975164229841874,0.3995174300111456,0.3783327184673465,-0.3420146981848535,1.1410495582071447,0.29097053426431374,0.1343416593033975,1.6120999116407702,0.016992978336450446,0.20391574003740537,1.2124250611674556,2.0117747621140847,1.2300799336038233,0.15559374338696697,0.9251161965653681,1.5350436706422785,2.663980823991267e-15,0.1559876294949324,1.8718515539391887,0.7833193457280878,monthly_segmented_wls_hac,6,3.19677698878952e-14,0.44238942284048466
avg_syllables_per_word,readability,2022-11-30,134,95,39,1.9046365831692587,1.9576144764169363,0.03336978909008046,-1.3560707881966178e-05,-0.00016272849458359414,-0.0038691969797135517,0.010245588550709377,-0.02395055053910393,0.016212156579676826,0.7056942080831725,0.002887782882775478,0.034653394593305735,0.0004147666264761925,0.00497719951771431,0.024898083538585684,0.044408705648025786,1.0384660957778376,0.1491528611187368,0.7461264879851133,1.3308057035705618,3.344569202894065e-12,0.0028742221748935116,0.03449066609872214,0.445709192352419,monthly_segmented_wls_hac,6,7.803994806752819e-12,0.7056942080831725
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,136,95,41,0.18320070284865478,0.34648452039797567,0.266492839656849,0.0004704421513289391,0.005645305815947269,0.3811297177482732,0.06748218809045772,0.24886462909097606,0.5133948064055703,1.624606503698439e-08,-0.011896950785205343,-0.14276340942246413,0.002166586063138103,0.025999032757657237,-0.1937215136274723,-0.09180530521745593,-0.5357119898842094,0.09755996743152663,-0.7269295260500016,-0.34449445371841714,3.9942760367846496e-08,-0.011426508633876405,-0.13711810360651686,0.11852122898881445,monthly_segmented_wls_hac,6,1.9971380183923247e-07,8.123032518492195e-08
word_while_per_1k_words,marker_words,2022-11-30,136,95,41,1.0858609095493816,2.2206276332115067,0.7241733844182082,0.007509491805376678,0.09011390166452013,-0.5311079118698789,0.28976998273501503,-1.0990570780305084,0.03684125429075047,0.06682334159162338,0.055010913941259384,0.6601309672951126,0.010797784261190869,0.12957341113429044,0.40616708147190334,0.914094853118322,0.9115648013292472,0.1789259505006361,0.5608699383480006,1.2622596643104942,3.49389128105342e-07,0.06252040574663606,0.7502448689596327,0.44006874470712454,monthly_segmented_wls_hac,6,2.096334768632052e-06,0.2876677946538776
automated_readability_index,readability,2022-11-30,134,95,39,18.55760959166212,19.55737032883005,0.8065001479953458,0.0064020431355972015,0.07682451762716641,-0.2093532542160501,0.22249338112557854,-0.645440281222184,0.22673377279008383,0.34673484253349784,0.0390088550649611,0.4681062607795332,0.008538095790585619,0.10245714948702742,0.26729024778495947,0.668922273774107,0.5804168318419635,0.12703921969722773,0.331419961235397,0.8294137024485299,4.9052374986922185e-06,0.045410898200558304,0.5449307784066997,0.35334633497289636,monthly_segmented_wls_hac,6,8.584165622711383e-06,0.5614104830686064
flesch_kincaid_grade,readability,2022-11-30,134,95,39,16.65804021144145,16.99558829028253,0.6326939985501795,0.0001698148393350357,0.0020377780720204283,-0.17000661886758484,0.1519236992533235,-0.4677770694040989,0.12776383166892924,0.26312890851069615,0.02480885517367243,0.29770626208406914,0.005699961594069795,0.06839953912883753,0.16364316539154755,0.4317693587765907,0.47053751539648564,0.10810840514620862,0.2586450413099167,0.6824299894830544,1.3461840271480837e-05,0.024978670013007465,0.2997440401560896,0.11819444163140957,monthly_segmented_wls_hac,6,1.884657638007317e-05,0.5614104830686064
colon_per_1k_words,punctuation,2022-11-30,136,95,41,3.5411078823605244,6.242727412853839,1.4327471179778002,0.01982408006470357,0.23788896077644284,-0.2365114838398003,0.4577403315165907,-1.1336825336123182,0.6606595659327175,0.6053700886966065,0.07571874142540316,0.908624897104838,0.016826779680610623,0.20192135616732748,0.5128590390168761,1.3043907551927998,0.6341837200044653,0.1409330045991104,0.35795503099020903,0.9104124090187218,6.798704246839734e-06,0.09554282149010673,1.1465138578812808,0.5361938804114703,monthly_segmented_wls_hac,6,2.0396112740519204e-05,0.8988953118925771
verb_showcase_per_1k_words,verbs,2022-11-30,136,95,41,0.025250423169969866,0.06445321796126763,0.11239797924486392,0.000364186755745297,0.004370241068943564,0.08643364649371298,0.034893995731148555,0.01804141486066181,0.15482587812676413,0.013247893361856585,-0.003428359575861705,-0.04114031491034046,0.000784316590772007,0.009411799089264084,-0.05958744112529807,-0.02269318869538285,-0.3660236170324244,0.0837363727755289,-0.5301469076724611,-0.20190032639238778,1.2359809669695091e-05,-0.003064172820116408,-0.0367700738413969,0.05490207140290482,monthly_segmented_wls_hac,6,0.00011123828702725583,0.04443636153957171
