feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
dale_chall,readability,2022-11-30,136,95,41,12.913877732544556,13.650694932119738,0.2717845602889186,0.004680847323866228,0.05617016788639474,-0.13465480433578786,0.0735340632737496,-0.2787815683523371,0.009471959680761366,0.06707226384708928,0.026325768322761515,0.3159092198731382,0.0026044285469446647,0.03125314256333597,0.25465306044899966,0.37716537929727667,1.162351605026103,0.11499233999941919,0.9369666186272412,1.3877365914249644,5.087219038056887e-24,0.031006615646627742,0.3720793877595329,0.7421377918110539,monthly_segmented_wls_hac,6,3.561053326639821e-23,0.38307950942598173
avg_syllables_per_word,readability,2022-11-30,136,95,41,1.904343230087462,1.962475965109546,0.03330585871726065,-1.6723926440619297e-05,-0.00020068711728743157,-0.007096841386468794,0.010836231750202199,-0.028335855616865104,0.014142172843927516,0.5125206596849534,0.003160361740728108,0.0379243408887373,0.0004312936364819581,0.0051755236377834975,0.027780314558681646,0.04806836721879295,1.1386687612736175,0.15539379067567172,0.8340969315493011,1.443240590997934,2.34252110634951e-13,0.003143637814287489,0.037723653771449865,0.5063517623917706,monthly_segmented_wls_hac,6,8.198823872223285e-13,0.7175289235589348
flesch_reading_ease,readability,2022-11-30,136,95,41,18.308575778605974,13.492904998449742,3.247760599821044,-0.008579771066990708,-0.1029572528038885,1.6102030050182052,1.077727244861338,-0.5021423949100172,3.7225484049464277,0.13515658206316022,-0.2780106783717356,-3.3361281404608274,0.03961948406225907,0.47543380874710883,-4.26797840560516,-2.4042778753164935,-1.027208760597888,0.14638819399844494,-1.3141296208348399,-0.7402879003609356,2.2665155554970225e-12,-0.2865904494387263,-3.4390853932647154,0.466748991265846,monthly_segmented_wls_hac,6,5.28853629615972e-12,0.38307950942598173
automated_readability_index,readability,2022-11-30,136,95,41,18.556771670171315,19.63549533579954,0.8090015129825651,0.006442638507027566,0.0773116620843308,-0.28147779243281534,0.23995326133685665,-0.7517861846530544,0.18883059978742367,0.2407747207249785,0.04384022729319646,0.5260827275183575,0.009367772275577549,0.11241326730693058,0.30575272359677363,0.7464127314399416,0.6502864569175351,0.138953098978139,0.37793838292038273,0.9226345309146877,2.870163954898201e-06,0.05028286580022403,0.6033943896026883,0.3988854277985586,monthly_segmented_wls_hac,6,5.022786921071852e-06,0.4213557612687124
flesch_kincaid_grade,readability,2022-11-30,136,95,41,16.656366338699133,17.057546227483744,0.6325072941563431,0.00018415890103486978,0.0022099068124184374,-0.24723647766920614,0.17771966466290842,-0.5955670204085066,0.10109406507009433,0.16417693261113503,0.030208657681063015,0.3625038921727562,0.006887183751831358,0.0826462050219763,0.20051733032968264,0.5244904540158297,0.5731220738826017,0.13066442993706853,0.31701979120594737,0.8292243565592561,1.15340964946048e-05,0.030392816582097883,0.3647137989851746,0.172451269955743,monthly_segmented_wls_hac,6,1.614773509244672e-05,0.38307950942598173
colon_per_1k_words,punctuation,2022-11-30,136,95,41,3.5229005969475207,6.240595568129697,1.4278069165661198,0.01986508359306273,0.23838100311675275,-0.2207170443215105,0.45782265753634926,-1.118049453092755,0.676615364449734,0.6297337599385607,0.07567773789704924,0.9081328547645908,0.016817829183215366,0.2018139501985844,0.5125775123753654,1.3036881971538161,0.636033376941928,0.1413454073215639,0.3589963785916628,0.9130703752921931,6.800087360290469e-06,0.09554282149011196,1.1465138578813436,0.5397875734562974,monthly_segmented_wls_hac,6,2.0400262080871407e-05,0.8840752435808762
gunning_fog,readability,2022-11-30,136,95,41,19.74335919976881,20.36065059012393,0.6955800669506806,-0.0005244168626745782,-0.006293002352094939,0.014568318134446201,0.22121104309037593,-0.4190053263226906,0.448141962591583,0.9474915943812684,0.03036583521715834,0.3643900226059001,0.0075745951627272275,0.09089514195272673,0.18623554437855572,0.5425445008332445,0.5238649580677773,0.13067531154421588,0.2677413474411143,0.7799885686944404,6.100085352023902e-05,0.029841418354483763,0.3580970202538052,0.2117041849860255,monthly_segmented_wls_hac,6,7.116766244027885e-05,0.9474915943812684
smog_index,readability,2022-11-30,136,95,41,17.329356875684795,17.656589359790708,0.5004434759837176,0.00034854709046999504,0.0041825650856399405,0.03084468278603658,0.14548475036013367,-0.2543054279198254,0.3159947934918986,0.8320967614425108,0.012948044014372911,0.15537652817247494,0.004975302578388901,0.059703630940666816,0.03835741152876798,0.2723956448161819,0.3104776775579951,0.11930144722799689,0.07664684099112119,0.5443085141248689,0.009255663152848205,0.013296591104842907,0.15955909325811488,0.11849813502820195,monthly_segmented_wls_hac,6,0.009255663152848205,0.9474915943812684
em_dash_per_1k_words,punctuation,2022-11-30,136,95,41,0.5783208765354406,0.80334549081686,0.5649137201623261,0.002229950436754645,0.02675940524105574,-0.36320148363149496,0.202773994637038,-0.7606385131200895,0.03423554585709948,0.0732669779503084,0.020876937377099964,0.2505232485251996,0.009754351525069822,0.11705221830083787,0.02110090065555735,0.47994559639484174,0.44347170122406043,0.2072037093862817,0.03735243082694836,0.8495909716211725,0.03233302385915149,0.02310688781385461,0.27728265376625527,0.09271629711367813,monthly_segmented_wls_hac,6,0.04849953578872723,0.2198009338509252
clause_depth,syntax,2022-11-30,136,95,41,11.690803932909196,11.267015098722416,0.7107618101459087,-0.002416558812512904,-0.028998705750154848,0.19345529499819156,0.2602319601726782,-0.3165993469402577,0.7035099369366409,0.45724220548905237,-0.021648481837792683,-0.2597817820535122,0.008184280220266939,0.09821136264320326,-0.45227605283419064,-0.06728751127283379,-0.3654976651041267,0.1381776021745484,-0.6363257653662416,-0.09466956484201182,0.008165963522889468,-0.024065040650305587,-0.28878048780366705,0.13090845022609032,monthly_segmented_wls_hac,6,0.06002466274793494,0.6314816358904951
dependency_length,syntax,2022-11-30,136,95,41,3.355893354751074,3.453817311915673,0.11944229034420187,0.001489664587664531,0.01787597505197437,-0.05526608832115891,0.030799086991573153,-0.1156322988246423,0.005100122182324467,0.07274827690962095,0.002460434931677892,0.029525219180134704,0.0010337232542395123,0.012404679050874147,0.005212048240421372,0.05383839011984804,0.2471923394557375,0.10385499989264324,0.043636539666156715,0.4507481392453183,0.017304750243113582,0.0039500995193424236,0.04740119423210908,0.25607429955264693,monthly_segmented_wls_hac,6,0.06002466274793494,0.3120870371743206
clause_depth_std,syntax,2022-11-30,136,95,41,2.3154571370787282,2.13848795492903,0.3070627269408793,-0.00167442386078211,-0.02009308632938532,0.056665007238436,0.08503748352405019,-0.11000846046870236,0.22333847494557438,0.5051853087123961,-0.005739300134128772,-0.06887160160954525,0.0025429211302844088,0.030515053563412907,-0.12868110659383453,-0.009062096625255967,-0.2242916367469293,0.09937726362108468,-0.4190710734442552,-0.029512200049603376,0.024009865099173976,-0.007413723994910882,-0.08896468793893059,0.1262014154963349,monthly_segmented_wls_hac,6,0.06002466274793494,0.6314816358904951
sentence_depth_std,syntax,2022-11-30,136,95,41,2.3154571370787282,2.13848795492903,0.3070627269408793,-0.00167442386078211,-0.02009308632938532,0.056665007238436,0.08503748352405019,-0.11000846046870236,0.22333847494557438,0.5051853087123961,-0.005739300134128772,-0.06887160160954525,0.0025429211302844088,0.030515053563412907,-0.12868110659383453,-0.009062096625255967,-0.2242916367469293,0.09937726362108468,-0.4190710734442552,-0.029512200049603376,0.024009865099173976,-0.007413723994910882,-0.08896468793893059,0.1262014154963349,monthly_segmented_wls_hac,6,0.06002466274793494,0.6314816358904951
dependency_entropy,syntax,2022-11-30,136,95,41,2.76051343156326,2.7818165154850734,0.037482923221836405,0.0005411683245968475,0.00649401989516217,-0.007497449334719061,0.007347329175010727,-0.021898214517740086,0.0069033158483019635,0.30752365420271527,-0.00038549797293283125,-0.004625975675193975,0.00022085170497536174,0.002650220459704341,-0.009820407776214485,0.0005684564258265333,-0.12341555240544906,0.07070474317116238,-0.26199684902092735,0.015165744210029168,0.08089683148710046,0.00015567035166401627,0.0018680442199681953,0.20430301471516887,monthly_segmented_wls_hac,6,0.16179366297420092,0.6150473084054305
summary_marker_taken_together_per_1k_words,summary_markers,2022-11-30,136,95,41,0.008979197236817003,0.039750576663365754,0.06159360929067597,-6.412658481732303e-06,-7.695190178078765e-05,-0.03736951748818858,0.02451558010428402,-0.08542005449258526,0.010681019516208104,0.12742952243675504,0.003266863487638625,0.039202361851663495,0.001694723065510919,0.020336676786131026,-0.0006575246491533158,0.07906224835248032,0.6364680086639758,0.33017511102746155,-0.010675208949848823,1.2836112262778008,0.05389643001250927,0.0032604508291568927,0.039125409949882714,0.08129450722552023,monthly_segmented_wls_hac,6,0.26948215006254633,0.6371476121837751
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,136,95,41,0.012273818767168704,0.039750576663365754,0.06903012105826373,4.6666230143667656e-05,0.0005599947617240118,-0.043176106650227246,0.02586461134004764,-0.09387074487672062,0.007518531576266127,0.0950555589453464,0.003213784599013241,0.03856541518815889,0.001696040812462224,0.02035248974954669,-0.0013254647209526207,0.0784562950972704,0.5586751782690399,0.29483491318765775,-0.019201251578769278,1.136551608116849,0.05810902142465192,0.0032604508291569083,0.0391254099498829,0.07075333573849696,monthly_segmented_wls_hac,6,0.2905451071232596,0.475277794726732
list_of_three_per_1k_words,syntax,2022-11-30,136,95,41,3.2947332604760935,4.14377370511886,1.4178929287127253,0.008879880583249004,0.10655856699898805,-0.12217014566069066,0.45511477519185456,-1.0141951050367255,0.7698548137153443,0.7883621155257827,0.017750049506908474,0.21300059408290167,0.013692200540942744,0.16430640649131292,-0.10903996264007164,0.535041150805875,0.15022332770661348,0.11588068687279737,-0.07690281856406936,0.3773494739772963,0.19485077154686994,0.02662993009015748,0.31955916108188975,0.10484396316620892,monthly_segmented_wls_hac,6,0.3247512859114499,0.7883621155257827
dependency_length_std,syntax,2022-11-30,136,95,41,0.6340708958774525,0.6738301350067617,0.07431203537918644,0.00033072183783742115,0.003968662054049054,-0.008440617521483916,0.030925944190027137,-0.0690554681339371,0.052174233090969274,0.7849070356117578,0.0012192468699977806,0.014630962439973368,0.0011064353154329907,0.013277223785195889,-0.011392396179010576,0.04065432105895731,0.196885502668808,0.1786685523744195,-0.15330485998505425,0.5470758653226703,0.27047929374775753,0.0015499687078352018,0.018599624494022422,0.08262140537068507,monthly_segmented_wls_hac,6,0.373673097149143,0.7883621155257827
coordination_count,syntax,2022-11-30,136,95,41,5.5862849431270485,6.555981416957027,1.0352808846077426,0.020836093458795727,0.25003312150554874,-0.669250644044354,0.26378646874798234,-1.1862721227903994,-0.15222916529830854,0.01117774486534711,0.010627321175392408,0.1275278541047089,0.010231244386279172,0.12277493263535007,-0.11311101386057722,0.368166722069995,0.12318188812404077,0.11859093938730284,-0.1092563530750728,0.3556201293231543,0.29893847771931437,0.031463414634188135,0.3775609756102576,0.3948118071701625,monthly_segmented_wls_hac,6,0.373673097149143,0.1117774486534711
coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.7869461584043099,0.8268585103476865,0.09710980170726298,0.0010982337124101154,0.013178804548921385,-0.045638395476520974,0.02722124805716607,-0.09899204166856647,0.0077152507155245215,0.09362611115229619,0.000533427277706234,0.0064011273324748085,0.001199117507624215,0.01438941009149058,-0.021802116446846726,0.034604371111796345,0.06591638763480308,0.14817670140927058,-0.22450994712736722,0.3563427223969734,0.6564282458364825,0.0016316609901163494,0.019579931881396194,0.11499002619012288,monthly_segmented_wls_hac,6,0.7293647175960918,0.3120870371743206
semicolon_per_1k_words,punctuation,2022-11-30,136,95,41,0.7223717120408697,0.7925774585064644,0.6807391376466373,0.0008333595248355118,0.010000314298026142,-0.037103054377015124,0.2544701961685489,-0.5358646388673709,0.4616585301133407,0.8840752435808762,0.002425902532346941,0.02911083038816329,0.007335797367787438,0.08802956841344926,-0.14342712370219723,0.20164878447852386,0.04276356210221945,0.12931468685313677,-0.21069322412992855,0.2962203483343675,0.7408758039959809,0.003259262057182453,0.03911114468618944,0.0037520469326458583,monthly_segmented_wls_hac,6,0.7408758039959809,0.8840752435808762
avg_words_per_sentence,syntax,2022-11-30,136,95,41,25.82151485701283,25.098485439260703,2.2388074700822735,0.0001981904517401609,0.002378285420881931,-0.6357327150446304,0.4416459732776775,-1.5013588226688783,0.2298933925796176,0.15001959263123696,-0.004808011492523398,-0.057696137910280776,0.014955503211624779,0.17946603853949733,-0.40944957344769556,0.294057297627134,-0.02577092433417712,0.08016144350853992,-0.18288735361091535,0.13134550494256111,0.7478407730385339,-0.004609821040783237,-0.05531785248939884,0.027880900103032014,monthly_segmented_wls_hac,6,0.7478407730385339,0.3750489815780924
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,136,95,41,0.003294621530351701,0.0,0.03211199850031781,5.307888862539996e-05,0.0006369466635047995,-0.00580658916203867,0.005818372981239139,-0.017210600205267382,0.005597421881190043,0.3182916160363622,-5.3078888625384054e-05,-0.0006369466635046087,6.030497987796282e-05,0.0007236597585355538,-0.002055319790234294,0.0007814264632250767,-0.019835161100244348,0.0225354942803822,-0.06400472988979346,0.02433440768930476,0.37876493695339836,1.5903890617646743e-17,1.9084668741176092e-16,0.0052771833453304495,monthly_segmented_wls_hac,6,0.9469123423834959,0.7957290400909055
marker_phrases_total_per_1k_words,phrases,2022-11-30,136,95,41,0.0031610557926347402,0.00893415527561869,0.030810160723277906,0.0001649170956579683,0.0019790051478956196,-0.010027902643374715,0.010433402737095702,-0.030477372008082287,0.01042156672133286,0.3364845776157024,0.00021797527329710213,0.0026157032795652256,0.000464595547877417,0.005575146574529004,-0.008311584006511621,0.013542990565642073,0.08489742403677211,0.18095155765665416,-0.26976762897027007,0.4395624770438143,0.6389466194409124,0.0003828923689550704,0.004594708427460845,0.016866049529740246,monthly_segmented_wls_hac,6,1.0,1.0
phrase_deep_dive_per_1k_words,phrases,2022-11-30,136,95,41,0.0031610557926347402,0.00893415527561869,0.030810160723277906,0.0001649170956579683,0.0019790051478956196,-0.010027902643374715,0.010433402737095702,-0.030477372008082287,0.01042156672133286,0.3364845776157024,0.00021797527329710213,0.0026157032795652256,0.000464595547877417,0.005575146574529004,-0.008311584006511621,0.013542990565642073,0.08489742403677211,0.18095155765665416,-0.26976762897027007,0.4395624770438143,0.6389466194409124,0.0003828923689550704,0.004594708427460845,0.016866049529740246,monthly_segmented_wls_hac,6,1.0,1.0
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
adjective_crucial_per_1k_words,adjectives,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
adjective_intricate_per_1k_words,adjectives,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
adjective_pivotal_per_1k_words,adjectives,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
adjective_potential_per_1k_words,adjectives,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
causal_marker_accordingly_per_1k_words,causal_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
causal_marker_consequently_per_1k_words,causal_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
causal_marker_thereby_per_1k_words,causal_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
causal_marker_thus_per_1k_words,causal_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
contrast_marker_alternatively_per_1k_words,contrast_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
contrast_marker_conversely_per_1k_words,contrast_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
contrast_marker_however_per_1k_words,contrast_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
contrast_marker_nevertheless_per_1k_words,contrast_markers,2022-11-30,136,95,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
