merge_step,reason,source_cluster_ids,source_topic_ids,merged_abstract_count,merged_abstract_share,hierarchy_distance,hierarchy_parent_id,final_topic_ids,source_topic_count,source_abstract_counts,source_abstract_shares
1,under_threshold_hierarchy,39;49,39;49,14,0.006862745098039216,0.8394958792815816,54,1,2,8;6,0.003922;0.002941
2,under_threshold_hierarchy,3;46,3;46,62,0.030392156862745098,0.8793976377157441,55,6,2,55;7,0.026961;0.003431
3,under_threshold_hierarchy,4;26,4;26,67,0.03284313725490196,0.9015103248582873,58,5,2,52;15,0.025490;0.007353
4,under_threshold_hierarchy,16;31,16;31,34,0.016666666666666666,0.9152825234619266,61,7,2,22;12,0.010784;0.005882
5,under_threshold_hierarchy,17;36,17;36,31,0.015196078431372549,0.9167483538387745,62,8,2,22;9,0.010784;0.004412
6,under_threshold_hierarchy,23;25,23;25,33,0.016176470588235296,0.9228130975303631,63,1,2,17;16,0.008333;0.007843
7,under_threshold_hierarchy,11;24,11;24,45,0.022058823529411766,0.924489341046864,64,1,2,29;16,0.014216;0.007843
8,under_threshold_hierarchy,21;28,21;28,31,0.015196078431372549,0.9327369884577293,65,9,2,18;13,0.008824;0.006373
9,under_threshold_hierarchy,8;30,8;30,46,0.022549019607843137,0.9330441091109738,66,4,2,33;13,0.016176;0.006373
10,under_threshold_hierarchy,9;18;19,9;18;19,71,0.03480392156862745,0.9354593049759025,67,3,3,30;21;20,0.014706;0.010294;0.009804
11,under_threshold_hierarchy,14;27,14;27,39,0.01911764705882353,0.9425189795856677,69,1,2,24;15,0.011765;0.007353
12,under_threshold_hierarchy,32;47,32;47,18,0.008823529411764706,0.9548771063365771,70,4,2,11;7,0.005392;0.003431
13,under_threshold_hierarchy,38;41,38;41,16,0.00784313725490196,0.9550483678407097,71,1,2,8;8,0.003922;0.003922
14,under_threshold_hierarchy,22;34,22;34,29,0.014215686274509804,0.9569428589601425,72,1,2,18;11,0.008824;0.005392
15,under_threshold_hierarchy,33;63,14;27;33,50,0.024509803921568627,0.9583952732580667,73,1,3,24;15;11,0.011765;0.007353;0.005392
16,under_threshold_hierarchy,37;61,8;30;37,55,0.02696078431372549,0.960756738847786,74,4,3,33;13;9,0.016176;0.006373;0.004412
17,under_threshold_hierarchy,6;7;48,6;7;48,91,0.0446078431372549,0.9613420854339877,75,1,3,45;40;6,0.022059;0.019608;0.002941
18,under_threshold_hierarchy,43;45,43;45,14,0.006862745098039216,0.9619438446670429,76,1,2,7;7,0.003431;0.003431
19,under_threshold_hierarchy,20;29,20;29,32,0.01568627450980392,0.9652812772801038,77,1,2,19;13,0.009314;0.006373
20,under_threshold_hierarchy,44;66,22;34;44,36,0.01764705882352941,0.9667121462719164,78,1,3,18;11;7,0.008824;0.005392;0.003431
21,under_threshold_hierarchy,51;72,22;34;44;51,41,0.020098039215686276,0.97219449489816,80,1,4,18;11;7;5,0.008824;0.005392;0.003431;0.002451
22,under_threshold_hierarchy,50;70,43;45;50,20,0.00980392156862745,0.9776046143895073,82,1,3,7;7;6,0.003431;0.003431;0.002941
23,under_threshold_hierarchy,35;62,9;18;19;35,81,0.039705882352941174,0.9776075172326713,83,3,4,30;21;20;10,0.014706;0.010294;0.009804;0.004902
24,under_threshold_hierarchy,10;15;42,10;15;42,61,0.029901960784313727,0.9791240055687038,84,1,3,29;24;8,0.014216;0.011765;0.003922
25,under_threshold_hierarchy,64;68,8;30;32;37;47,73,0.035784313725490194,0.9897654867429306,87,4,5,33;13;11;9;7,0.016176;0.006373;0.005392;0.004412;0.003431
26,under_threshold_hierarchy,12;13;40,12;13;40,59,0.02892156862745098,0.9909373490330011,88,1,3,27;24;8,0.013235;0.011765;0.003922
27,under_threshold_hierarchy,73;74,22;34;43;44;45;50;51,61,0.029901960784313727,0.998715372489498,89,1,7,18;11;7;7;7;6;5,0.008824;0.005392;0.003431;0.003431;0.003431;0.002941;0.002451
28,under_threshold_hierarchy,65;67,14;27;33;38;41,66,0.03235294117647059,1.0044415329667162,91,1,5,24;15;11;8;8,0.011765;0.007353;0.005392;0.003922;0.003922
29,under_threshold_hierarchy,53;58;59;69;71;76;78;79;80,6;7;10;11;12;13;14;15;20;22;23;24;25;27;29;33;34;38;39;40;41;42;43;44;45;48;49;50;51,462,0.22647058823529412,1.108215427093628,101,1,29,45;40;29;29;27;24;24;24;19;18;17;16;16;15;13;11;11;8;8;8;8;8;7;7;7;6;6;6;5,0.022059;0.019608;0.014216;0.014216;0.013235;0.011765;0.011765;0.011765;0.009314;0.008824;0.008333;0.007843;0.007843;0.007353;0.006373;0.005392;0.005392;0.003922;0.003922;0.003922;0.003922;0.003922;0.003431;0.003431;0.003431;0.002941;0.002941;0.002941;0.002451
30,max_final_topics_hierarchy,0;1,0;1,634,0.3107843137254902,0.7542927174232505,52,0,2,323;311,0.158333;0.152451
31,max_final_topics_hierarchy,5;82,0;1;5,684,0.3352941176470588,0.8234556881203632,53,0,3,323;311;50,0.158333;0.152451;0.024510
32,max_final_topics_hierarchy,2;83,0;1;2;5,745,0.36519607843137253,0.8939813949516064,57,0,4,323;311;61;50,0.158333;0.152451;0.029902;0.024510
