feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
causal_marker_thus_per_1k_words,-77.34942500303944,0.00011653522105589475,-3.2157924978241046,-0.03331861820331734,0.037943646042489766,2026,0.008973212021303896
word_insight_per_1k_words,150.5396864455161,0.00018337849896787298,2.8320319716313267,0.050660163121396394,2.878710599753372e-05,2026,0.01412014442052622
certainty_ratio,53.772460370084474,0.0009923111778118929,3.8294513819542466,0.0001361786494866556,0.000741810279542943,2026,0.07640796069151576
verb_align_per_1k_words,340.1178072831198,0.003969903475903324,3.2120304642952497,0.08601228072950771,1.0980365226092479e-05,2026,0.3056825676445559
list_of_three_per_1k_words,43.27260720840059,0.00515862749719382,2.3445782392432357,0.19279617871737845,0.0009960010151020674,2019,0.39721431728392415
word_finding_per_1k_words,331.69903475547875,0.00544256275824764,2.9678252825359848,0.10336827368465873,0.0009328867715669664,2024,0.4190773323850683
dependency_length_std,8.633884181081037,0.010386365678146957,1.848550452957837,0.0068461103851018175,0.027573365415703162,2026,0.7997501572173157
causal_marker_accordingly_per_1k_words,-100.0,0.012439378588202907,-1.4109184418918186,-0.003303919855018061,0.21753092325695442,2026,0.9578321512916239
dependency_entropy,0.8586887281881999,0.014886612999715712,1.358953394446249,0.004478615450136189,0.0020055933413354013,2026,1.0
word_particularly_per_1k_words,186.6175350733422,0.018501392935791845,2.108553167526605,0.029984067542060493,0.014341839319998393,2026,1.0
emphasis_marker_particularly_per_1k_words,186.6175350733422,0.018501392935791845,2.108553167526605,0.029984067542060493,0.014341839319998393,2026,1.0
colon_per_1k_words,85.78469876500185,0.021630622526486468,2.8643205336117523,0.4768014356805658,1.775595403351132e-05,2019,1.0
gunning_fog,2.900299472380471,0.0219004947897963,1.5061878980743932,0.062273623302255686,0.10723666852577744,2026,1.0
verb_exhibit_per_1k_words,445.1281794648125,0.02327237070182492,3.045171293090667,0.056252157591284775,0.0012690056245949943,2026,1.0
word_within_per_1k_words,84.21683383112195,0.024470142624509816,1.3674410727118247,0.046736703062245394,0.014948909521480197,2026,1.0
smog_index,1.6188116665473349,0.030642507390548863,1.1588364053845746,0.030538131688165004,0.18684352572505722,2026,1.0
avg_words_per_sentence,-2.957003425912838,0.03209944587141863,-1.200080254169058,-0.10910414519631509,0.06366495558720285,2019,1.0
adjective_comprehensive_per_1k_words,238.99830981030993,0.033364434139276374,2.4322109671377774,0.06921549895154536,0.007372268543837781,2026,1.0
dependency_length,3.382713323132062,0.0376272566374064,1.8308304680914607,0.018511714433899183,0.001216222190130915,2026,1.0
coordination_count,21.728952491064057,0.0382556003602867,1.8033687341771678,0.22858351687157255,7.855437055200782e-06,2019,1.0
