feature,diff,p_value,cohens_d,slope,slope_p,change_point,its_pre_slope,its_pre_slope_p,its_level_shift,its_level_shift_p,its_slope_change,its_slope_change_p,its_post_slope,its_r_squared,p_adj
list_of_three_per_1k_words,74.2988459282126,0.0005234578489731061,3.4910956542115374,0.4594745321461512,0.06156117663754167,2019,-0.5393095417350728,0.18339993805889443,3.6951715711127227,0.1386176338701639,1.736902668234276,0.042771431094593915,1.1975931264992032,0.6875743731593909,0.04397045931374091
list_of_three,71.96261682242991,0.0196298050024084,2.6707790315236077,0.0667249417249417,0.10325349963832613,2026,-0.08333333333333355,0.28094803964970305,0.6047619047619048,0.20397850346303215,0.24166666666666725,0.12373051500993304,0.15833333333333371,0.5554530810776666,1.0
word_while_per_1k_words,75.9568280895482,0.055707224707883286,1.8673836658672966,0.31336252634619854,0.01162492249430847,2019,0.20644095788604405,0.3715171274292064,-0.971720066110901,0.48358460775529544,0.7176641210387297,0.12984167240776934,0.9241050789247738,0.6306040666818947,1.0
marker_words_total_per_1k_words,64.24019913450975,0.05759722859382303,2.0833331641703605,1.2458067754366133,0.001882082341735696,2019,0.0885720281359248,0.8782022354589079,3.2881187489772685,0.36126755397607746,2.3987220168199177,0.05916280384970829,2.4872940449558425,0.7987834928569406,1.0
colon_per_1k_words,40.653715221869255,0.058965708272136555,1.3052206103221842,0.8938525471990696,0.009542000001069289,2019,1.2746886377645414,0.10036637892032751,-2.751842423154476,0.5272364641030336,-0.1400515232368686,0.9192105350708468,1.1346371145276728,0.5331708202632297,1.0
coordination_per_sentence_std,-9.142578873076067,0.08007832043398397,-1.1594561921717161,-0.011239408434690408,0.3781079093653689,2026,0.011418079766250599,0.7064730024415062,-0.07128318327756669,0.698414821301234,-0.044279224563936626,0.4597769700434464,-0.03286114479768602,0.16827810092698525,1.0
certainty_ratio,40.80906490299802,0.16330969260079037,0.8014386081763839,0.0002444857417662716,0.26325143759734193,2026,-5.8934464875059436e-05,0.9095957097551717,0.000742717052846958,0.8137736634480781,0.0006753675805530799,0.510343618271474,0.0006164331156780204,0.18344251230264919,1.0
adjective_crucial_per_1k_words,-100.0,0.1798102311542119,-0.629689395737039,-0.13465713087145814,0.04134496481854555,2019,-0.32153950689186594,0.03174582508166335,0.7002801120448179,0.37835825691441105,0.3215395068918666,0.2194191371465184,6.661338147750939e-16,0.531607378418995,1.0
dale_chall,3.647622389825559,0.18290244032591557,1.1849265733098557,0.1499099131397338,0.044116626024441656,2024,0.0737960776874132,0.6385787433293524,-0.291228722974463,0.7589726752818933,0.3551284693718876,0.26265891531489993,0.4289245470593008,0.4481646800051594,1.0
word_across_per_1k_words,66.2303260440578,0.20502672398767552,1.2743740670759094,0.5068243308423505,0.027193900220667054,2019,-0.11786892975011865,0.7625906605618511,0.7068279163916418,0.7652174493844401,1.7102588383970967,0.048412489494432664,1.592389908646978,0.6527175386077124,1.0
sequential_marker_moreover_per_1k_words,-100.0,0.2363848622975941,-0.5472487284803077,0.04380429499061192,0.8018399598223889,2019,0.7095553453169356,0.066616199267582,-2.6031928128189286,0.2352953292130351,-1.1032561327185124,0.12899511888735393,-0.39370078740157677,0.39769481303496346,1.0
word_finding_per_1k_words,71.5850229391742,0.24691160616201321,1.120618493568476,0.11372839226281733,0.10147601161188512,2019,4.163336342344337e-17,0.9999999999999998,1.5833890374331547,0.07089824647835985,-0.25435884581105145,0.32840095284658344,-0.2543588458110514,0.5328283089491883,1.0
hedge_ratio,68.07104037808668,0.26921101693510396,1.1034698403935699,0.00027971512196355903,0.23193523118454223,2026,0.00026852846401718603,0.5917358175785186,0.003288137812930086,0.29220588652079704,-0.0012431715475543358,0.2212643500372995,-0.0009746430835371497,0.35506386049222183,1.0
semicolon_per_1k_words,-68.67301142693447,0.28713437437864775,-0.49542679301675896,-0.06694704988290516,0.7253779976485949,2024,0.5098412053299277,0.24728141167524753,-3.151047714605044,0.23923694064226497,-0.6074974553299296,0.46741709111709673,-0.09765625000000189,0.24844335672435103,1.0
flesch_kincaid_grade,-1.7789539139482848,0.2925169883991609,-0.5431070135968108,-0.06014089051620652,0.526665058962979,2019,0.20575416494961304,0.33696897906184176,-1.8547860570796215,0.16755135728183124,-0.12364970961597409,0.7609136526736746,0.08210445533363896,0.2750000294958608,1.0
sequential_marker_additionally_per_1k_words,64.14231020636848,0.32190941430924563,0.8895513285750751,0.0966556212837964,0.10245174841907856,2019,1.3877787807814457e-17,1.0,1.1927640374331552,0.12606411343911983,-0.15670259581105145,0.5048379390294047,-0.15670259581105145,0.457186832651474,1.0
word_additionally_per_1k_words,64.14231020636848,0.32190941430924563,0.8895513285750751,0.0966556212837964,0.10245174841907856,2019,1.3877787807814457e-17,1.0,1.1927640374331552,0.12606411343911983,-0.15670259581105145,0.5048379390294047,-0.15670259581105145,0.457186832651474,1.0
verb_align_per_1k_words,-100.0,0.3506166628202074,-0.42257712736425823,-0.03031650430494361,0.892800448127626,2019,0.6193228736581343,0.24150397191305872,-3.7159372419488017,0.24624961912944965,-0.6193228736581354,0.5345921482612437,-1.1102230246251565e-15,0.22077922077922085,1.0
adjective_potential_per_1k_words,-100.0,0.3506166628202074,-0.4225771273642583,-0.034414404493144646,0.4953667595162971,2026,-6.938893903907228e-18,1.0,-0.28121484814398184,0.7133405267739914,-1.1904539853890839e-16,0.9999999999999996,-1.2598429244281562e-16,0.06493506493506485,1.0
sequential_marker_furthermore_per_1k_words,-100.0,0.3506166628202075,-0.42257712736425823,-0.04038865425004038,0.3338931364506601,2026,-0.058934464875058996,0.5716229853442698,1.5699247457590104e-16,0.9999999999999998,0.058934464875059024,0.7699539761715943,2.7755575615628914e-17,0.10389610389610404,1.0
word_within_per_1k_words,71.5763203992993,0.3640470835403019,0.8917638480223904,0.2339589710336528,0.04888739703191773,2024,-3.0531133177191805e-16,0.9999999999999991,0.4276198801447843,0.7753939108868297,0.5771729990061929,0.2502098153201995,0.5771729990061926,0.45415100481630966,1.0
word_notably_per_1k_words,100.0,0.3910022189557705,0.9128709291752768,0.02660383095165703,0.3338931364506601,2026,-1.0408340855860843e-17,1.0,0.21739130434782597,0.5962385541437527,8.001412032943023e-17,0.9999999999999996,6.960577947356938e-17,0.1272727272727271,1.0
word_insight_per_1k_words,100.0,0.3910022189557705,0.9128709291752768,0.017072770979020976,0.49536675951629755,2026,3.122502256758253e-17,0.9999999999999996,0.39062499999999994,0.27207046631074716,-0.09765625000000001,0.38562532526228877,-0.09765624999999999,0.23636363636363644,1.0
verb_exhibit_per_1k_words,100.0,0.3910022189557705,0.9128709291752768,0.03414554195804195,0.49536675951629755,2026,6.245004513516506e-17,0.9999999999999996,0.7812499999999999,0.27207046631074716,-0.19531250000000003,0.38562532526228877,-0.19531249999999997,0.23636363636363644,1.0
adjective_comprehensive_per_1k_words,100.0,0.3910022189557705,0.9128709291752768,0.11383964872336963,0.3338931364506601,2019,2.7755575615628914e-17,1.0,0.9302325581395345,0.5962385541437527,2.437286483747414e-16,0.9999999999999996,2.714842239903703e-16,0.12727272727272754,1.0
sequential_marker_further_per_1k_words,100.0,0.3910022189557705,0.9128709291752769,0.03388084783433618,0.49536675951629755,2026,3.8163916471489756e-17,0.9999999999999998,0.775193798449612,0.27207046631074716,-0.1937984496124029,0.3856253252622892,-0.19379844961240286,0.23636363636363655,1.0
emphasis_marker_notably_per_1k_words,100.0,0.3910022189557705,0.9128709291752768,0.02660383095165703,0.3338931364506601,2026,-1.0408340855860843e-17,1.0,0.21739130434782597,0.5962385541437527,8.001412032943023e-17,0.9999999999999996,6.960577947356938e-17,0.1272727272727271,1.0
em_dash_per_1k_words,73.231031543052,0.46214764219740906,0.7320941662284104,0.26562659468020816,0.08959289721994004,2024,-4.440892098500626e-16,0.9999999999999989,-0.09278298811374613,0.9629334385044885,0.8801845629168975,0.19465684165315267,0.8801845629168971,0.4102861001019885,1.0
dependency_length,1.9065086553686978,0.5308232856630231,0.4100983976363529,0.02261256495183598,0.4127741732782365,2026,0.031530754250444035,0.6214633309601338,-0.34917119105613,0.37596932285625817,0.10744877275069603,0.3955534018024214,0.13897952700114008,0.21389689558611424,1.0
dependency_entropy,-0.33903994415445343,0.6056436525358764,-0.2603356712146659,-0.002758463986175044,0.6530360258549133,2026,0.0003378729282450119,0.9824439236005109,0.005630613337838969,0.9518017526439091,-0.012029153603872219,0.689311084448061,-0.011691280675627207,0.04161757687880552,1.0
word_particularly_per_1k_words,-39.89412310019273,0.6127834098650237,-0.236385694343749,-0.06239966826288007,0.5955035915384654,2019,2.0816681711721685e-17,1.0,-0.25877836066239157,0.8853017390895217,-0.09765625000000014,0.8655129761024951,-0.09765625000000011,0.036524999426065574,1.0
emphasis_marker_particularly_per_1k_words,-39.89412310019273,0.6127834098650237,-0.236385694343749,-0.06239966826288007,0.5955035915384654,2019,2.0816681711721685e-17,1.0,-0.25877836066239157,0.8853017390895217,-0.09765625000000014,0.8655129761024951,-0.09765625000000011,0.036524999426065574,1.0
coordination_count,5.244122965641957,0.6161289079987756,0.32505165098462374,0.118006993006993,0.4587257721488683,2019,0.13095238095238115,0.7203566730583266,1.773809523809523,0.4316038582200268,-0.7309523809523807,0.31925002772176336,-0.5999999999999995,0.21379531854775824,1.0
sentence_depth_std,2.146399453993612,0.6252131350130811,0.230243753286881,0.0151148579543052,0.69450151527368,2026,-0.11263935542261155,0.17023486738480442,0.9641330117598724,0.0661661672450482,0.03103388460225185,0.8366582958171249,-0.08160547082035971,0.38393578127221195,1.0
clause_depth_std,2.146399453993612,0.6252131350130811,0.230243753286881,0.0151148579543052,0.69450151527368,2026,-0.11263935542261155,0.17023486738480442,0.9641330117598724,0.0661661672450482,0.03103388460225185,0.8366582958171249,-0.08160547082035971,0.38393578127221195,1.0
marker_verbs_total_per_1k_words,-37.881508078994614,0.6280974119715265,-0.22730677072451977,0.0038290376530983306,0.9864924903938233,2019,0.6193228736581344,0.2520154465036648,-2.9346872419488017,0.3631037038639282,-0.8146353736581359,0.4289790505812996,-0.19531250000000144,0.1899575160836956,1.0
avg_syllables_per_word,1.1221308151355252,0.6386807701826526,0.4088560753135242,0.008413015172609709,0.35468277404021425,2026,0.0024664425346232997,0.9070351095331235,-0.057047790024490556,0.6580636683349781,0.041082138059125355,0.33319382165581324,0.04354858059374865,0.202261408743722,1.0
contrast_marker_however_per_1k_words,-23.03736749085012,0.6539314718141794,-0.21318412171041684,-0.18393219217743223,0.1321020726289815,2019,-0.5611766282497994,0.048461698236953454,1.8907164192632862,0.23247296105529158,0.4635203782498001,0.3532057117791463,-0.09765624999999933,0.4289335504284143,1.0
contrast_markers_total_per_1k_words,-23.03736749085012,0.6539314718141794,-0.21318412171041684,-0.18393219217743223,0.1321020726289815,2019,-0.5611766282497994,0.048461698236953454,1.8907164192632862,0.23247296105529158,0.4635203782498001,0.3532057117791463,-0.09765624999999933,0.4289335504284143,1.0
avg_words_per_sentence,-1.3715288894311695,0.6851792351000913,-0.31507929946195845,-0.11278443778443767,0.5402778051763576,2024,0.4214994331065765,0.31921381813789473,-2.7833333333333328,0.2809974610677428,-0.6154280045351489,0.4492811214649368,-0.1939285714285724,0.2503797495945991,1.0
sequential_markers_total_per_1k_words,-10.273444706302008,0.7497747004331363,-0.16291859472702508,0.12511840537282568,0.49103096069969954,2019,0.7712772510982473,0.04521333391155813,-1.3830946378393008,0.5033381841346243,-1.5154790839232781,0.04389956635553793,-0.7442018328250308,0.48494836057188984,1.0
