year,paper_count,em_dash_per_1k_words_yearly_mean,em_dash_per_1k_words_yearly_std,em_dash_per_1k_words_yearly_n,semicolon_per_1k_words_yearly_mean,semicolon_per_1k_words_yearly_std,semicolon_per_1k_words_yearly_n,colon_per_1k_words_yearly_mean,colon_per_1k_words_yearly_std,colon_per_1k_words_yearly_n,clause_depth_yearly_mean,clause_depth_yearly_std,clause_depth_yearly_n,dependency_entropy_yearly_mean,dependency_entropy_yearly_std,dependency_entropy_yearly_n,dependency_length_yearly_mean,dependency_length_yearly_std,dependency_length_yearly_n,coordination_count_yearly_mean,coordination_count_yearly_std,coordination_count_yearly_n,sentence_depth_std_yearly_mean,sentence_depth_std_yearly_std,sentence_depth_std_yearly_n,list_of_three_yearly_mean,list_of_three_yearly_std,list_of_three_yearly_n,marker_words_total_per_1k_words_yearly_mean,marker_words_total_per_1k_words_yearly_std,marker_words_total_per_1k_words_yearly_n,marker_verbs_total_per_1k_words_yearly_mean,marker_verbs_total_per_1k_words_yearly_std,marker_verbs_total_per_1k_words_yearly_n,marker_adjectives_total_per_1k_words_yearly_mean,marker_adjectives_total_per_1k_words_yearly_std,marker_adjectives_total_per_1k_words_yearly_n,marker_phrases_total_per_1k_words_yearly_mean,marker_phrases_total_per_1k_words_yearly_std,marker_phrases_total_per_1k_words_yearly_n,sequential_markers_total_per_1k_words_yearly_mean,sequential_markers_total_per_1k_words_yearly_std,sequential_markers_total_per_1k_words_yearly_n,causal_markers_total_per_1k_words_yearly_mean,causal_markers_total_per_1k_words_yearly_std,causal_markers_total_per_1k_words_yearly_n,contrast_markers_total_per_1k_words_yearly_mean,contrast_markers_total_per_1k_words_yearly_std,contrast_markers_total_per_1k_words_yearly_n,emphasis_markers_total_per_1k_words_yearly_mean,emphasis_markers_total_per_1k_words_yearly_std,emphasis_markers_total_per_1k_words_yearly_n,summary_markers_total_per_1k_words_yearly_mean,summary_markers_total_per_1k_words_yearly_std,summary_markers_total_per_1k_words_yearly_n
2015,180,0.18085963508185443,1.1847118547714601,180,0.7487666163494928,2.727231772236553,180,2.711272531026199,4.792837143463892,180,11.927777777777777,2.8871329954786686,180,2.7342121559371844,0.14113750003670614,180,3.2743393746764506,0.45538083815459457,180,4.8277777777777775,2.978189910981523,180,2.4528470376303897,1.1107650257261155,180,0.6444444444444445,0.9894540124262439,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2016,180,0.8287576779045132,3.4959932452374596,180,0.6902714628890683,2.812149579399586,180,2.7581076797947173,5.165325001728887,180,11.488888888888889,2.4069009000980106,180,2.744670248802433,0.12664208328325685,180,3.3491398351409676,0.4479076695028112,180,4.927777777777778,3.00470869865104,180,2.2702429393401875,0.9365363007194053,180,0.5777777777777777,0.909020932919949,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2017,180,0.5307560547617791,2.74338201669507,180,0.7306572296902132,2.3601961692231,180,3.3190356446777187,4.358013865854076,180,11.883333333333333,2.5153717363576784,180,2.75521928588446,0.12480928565669333,180,3.353131364122244,0.38069158068268205,180,5.283333333333333,2.785186272017081,180,2.416731867371479,1.0240138658757072,180,0.7277777777777777,0.9849740123932235,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2018,180,0.7344541218021706,2.981122492810091,180,0.560740290874069,2.376507816381338,180,3.8466657004386637,5.333518333353354,180,11.65,2.3314104873091734,180,2.7563531285269365,0.11606524803563792,180,3.363569060219404,0.4249908478499867,180,5.488888888888889,2.9321734629171634,180,2.2569359341339355,0.94838635804824,180,0.7,0.890044252242393,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2019,180,0.6553871799155293,2.8739671994705027,180,0.7104425620084291,2.9912419618785884,180,3.4324664692621223,5.78746780874799,180,11.655555555555555,2.309374198097933,180,2.7655998042527887,0.1288196913099178,180,3.2999290469928306,0.3143676110947327,180,5.566666666666666,3.1870898794105798,180,2.2429677061717364,0.8918234293415943,180,0.6777777777777778,0.9725595761249554,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2020,180,0.4317440949026811,2.1474082154770597,180,0.8545357544560875,2.7763903497854057,180,3.8289807487083327,4.485503488343702,180,11.61111111111111,1.9786256978998875,180,2.7727245216291263,0.11600458082386915,180,3.358074921147613,0.3909826213531563,180,5.572222222222222,3.0287828843278395,180,2.3337689948772242,0.7734232368109083,180,0.7611111111111111,1.140243475366589,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2021,180,0.5104117425121422,2.2087318288727507,180,0.7201834442642534,2.6235854992229006,180,3.672486393677299,4.7787591157464515,180,11.755555555555556,2.3862319756446726,180,2.774345412945475,0.12086949969294775,180,3.4048447403884667,0.38147878764479193,180,6.583333333333333,3.6262158431045064,180,2.3089858323484718,0.9050884396783762,180,0.9722222222222222,1.379946382067256,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2022,180,0.7650775791772266,2.785497814006338,180,0.7130519552062058,2.8427202289040956,180,4.875966537262021,6.2999989251288095,180,11.561111111111112,2.445298507760275,180,2.7787816399799055,0.11456601166362243,180,3.421752629026746,0.38309444856816766,180,6.361111111111111,3.4018790221640884,180,2.2523106520222638,0.8660914005165461,180,0.9055555555555556,1.2403694810056818,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2023,180,0.5368115460179465,2.479359079194954,180,0.6932887001329595,2.698807118718808,180,5.2972681566679825,5.640723383202352,180,11.494444444444444,2.1494372973456004,180,2.78600584533688,0.11462794598705733,180,3.415617608898652,0.3359741657788598,180,6.438888888888889,3.1198837696601296,180,2.2050293240294443,0.7534316125947262,180,0.9777777777777777,1.06731823674939,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
2024,180,0.7090531110547774,2.494928341457175,180,0.9138999008559483,3.595672019878404,180,5.343924575763132,4.83965128395222,180,11.494444444444444,2.146836628824565,180,2.7771430853341585,0.10947762277642666,180,3.472992286365353,0.3702376983059108,180,6.261111111111111,3.1184509277368258,180,2.184832582600117,0.8108129279456782,180,1.0333333333333334,1.190746444450735,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180,0.0,0.0,180
