year,paper_count,word_count_yearly_mean,word_count_yearly_median,sentence_count_yearly_mean,sentence_count_yearly_median,em_dash_count_yearly_mean,em_dash_count_yearly_median,em_dash_per_1k_words_yearly_mean,em_dash_per_1k_words_yearly_median,semicolon_count_yearly_mean,semicolon_count_yearly_median,semicolon_per_1k_words_yearly_mean,semicolon_per_1k_words_yearly_median,colon_count_yearly_mean,colon_count_yearly_median,colon_per_1k_words_yearly_mean,colon_per_1k_words_yearly_median,marker_list_of_three_yearly_mean,marker_list_of_three_yearly_median,coordination_count_yearly_mean,coordination_count_yearly_median,coordination_density_yearly_mean,coordination_density_yearly_median,clause_depth_yearly_mean,clause_depth_yearly_median,dependency_entropy_yearly_mean,dependency_entropy_yearly_median,marker_word_delve_yearly_mean,marker_word_delve_yearly_median,marker_word_highlight_yearly_mean,marker_word_highlight_yearly_median,marker_word_underscore_yearly_mean,marker_word_underscore_yearly_median,marker_word_enhance_yearly_mean,marker_word_enhance_yearly_median,marker_word_exhibit_yearly_mean,marker_word_exhibit_yearly_median,marker_word_showcase_yearly_mean,marker_word_showcase_yearly_median,marker_word_insight_yearly_mean,marker_word_insight_yearly_median,marker_word_comprehensive_yearly_mean,marker_word_comprehensive_yearly_median,marker_word_crucial_yearly_mean,marker_word_crucial_yearly_median,marker_word_pivotal_yearly_mean,marker_word_pivotal_yearly_median,marker_word_intricate_yearly_mean,marker_word_intricate_yearly_median,marker_word_meticulously_yearly_mean,marker_word_meticulously_yearly_median,marker_word_notably_yearly_mean,marker_word_notably_yearly_median,marker_word_particularly_yearly_mean,marker_word_particularly_yearly_median,marker_word_while_yearly_mean,marker_word_while_yearly_median,marker_word_within_yearly_mean,marker_word_within_yearly_median,marker_word_across_yearly_mean,marker_word_across_yearly_median,marker_word_additionally_yearly_mean,marker_word_additionally_yearly_median,marker_density_yearly_mean,marker_density_yearly_median,hedge_count_yearly_mean,hedge_count_yearly_median,certainty_count_yearly_mean,certainty_count_yearly_median,hedge_ratio_yearly_mean,hedge_ratio_yearly_median,certainty_ratio_yearly_mean,certainty_ratio_yearly_median,avg_words_per_sentence_yearly_mean,avg_words_per_sentence_yearly_median,avg_syllables_per_word_yearly_mean,avg_syllables_per_word_yearly_median,flesch_reading_ease_yearly_mean,flesch_reading_ease_yearly_median,flesch_kincaid_grade_yearly_mean,flesch_kincaid_grade_yearly_median,dale_chall_yearly_mean,dale_chall_yearly_median
2015,3839,164.45923417556656,160.0,6.664495962490232,6.0,0.08283407137275332,0.0,0.4928441197949104,0.0,0.1281583745767127,0.0,0.6996008162077718,0.0,0.4128679343579057,0.0,2.5373084835928,0.0,0.6527741599374837,0.0,4.754363115394634,4.0,0.6374623994628821,0.5714285714285714,11.549361812972128,11.0,2.7837748909351396,2.7911871490841884,0.0005209690023443605,0.0,0.018494399583224796,0.0,0.0007814535035165407,0.0,0.022662151601979683,0.0,0.023704089606668404,0.0,0.0023443605105496223,0.0,0.03151862464183381,0.0,0.011461318051575931,0.0,0.021099244594946602,0.0,0.001041938004688721,0.0,0.0015629070070330815,0.0,0.0,0.0,0.005209690023443605,0.0,0.02057827559260224,0.0,0.1635842667361292,0.0,0.0700703308153165,0.0,0.05365980724146913,0.0,0.01875488408439698,0.0,0.006746807415389399,0.0055248618784530384,0.2784579317530607,0.0,0.31258140140661633,0.0,0.0016405885014714851,0.0,0.001923103416333567,0.0,25.543873042620007,24.5,1.8829645860318094,1.878125,20.634367942280484,21.369114777618393,16.3565074244457,16.217977785372526,12.758466000019645,12.762457994619712
2016,6085,161.53212818405916,157.0,6.555628594905506,6.0,0.08890714872637634,0.0,0.5470535624994752,0.0,0.11454396055875103,0.0,0.6316724070560108,0.0,0.4389482333607231,0.0,2.718116033999036,0.0,0.6011503697617091,0.0,4.644700082169269,4.0,0.6305699841079753,0.5833333333333334,11.47937551355793,11.0,2.7820817313745207,2.7887131439095696,0.00016433853738701725,0.0,0.015940838126540673,0.0,0.00016433853738701725,0.0,0.02941659819227609,0.0,0.02497945768282662,0.0,0.001972062448644207,0.0,0.030895645028759244,0.0,0.015119145439605587,0.0,0.02087099424815119,0.0,0.0011503697617091207,0.0,0.0021364009860312242,0.0,0.0,0.0,0.005258833196384552,0.0,0.02875924404272802,0.0,0.1725554642563681,0.0,0.06129827444535744,0.0,0.06557107641741988,0.0,0.019391947411668036,0.0,0.006701152735084763,0.0055248618784530384,0.2770747740345111,0.0,0.32621199671322926,0.0,0.0016205688556105021,0.0,0.0020447243580430513,0.0,,,,,,,,,,
2017,8826,164.51733514615907,160.0,6.616360752322683,6.0,0.08418309539995468,0.0,0.510645599497409,0.0,0.10820303648311806,0.0,0.6091874652065865,0.0,0.4652164060729662,0.0,2.8988846162220976,0.0,0.628823929299796,0.0,4.708474960344437,4.0,0.6304817328310092,0.5714285714285714,11.543621119419896,11.0,2.786604473406848,2.793635997366775,0.0007931112621799229,0.0,0.023340131429866306,0.0,0.0005665080444142307,0.0,0.03161114887831407,0.0,0.025946068434171764,0.0,0.004305461137548153,0.0,0.04135508724223884,0.0,0.019261273510083842,0.0,0.02424654430092907,0.0,0.0014729209154769997,0.0,0.0011330160888284614,0.0,0.00011330160888284614,0.0,0.0039655563108996145,0.0,0.024813052345343305,0.0,0.19317924314525267,0.0,0.06707455245864491,0.0,0.07840471334692953,0.0,0.024473147518694765,0.0,0.007145814140224981,0.005780346820809248,0.2780421481985044,0.0,0.3487423521414004,0.0,0.0016152200831231513,0.0,0.0021210401306881667,0.0,,,,,,,,,,
2018,15381,167.89330992783303,164.0,6.7413692217671155,7.0,0.07879851765164814,0.0,0.45962184916272864,0.0,0.10682010272414018,0.0,0.5906410560231509,0.0,0.49860217151030495,0.0,3.0197614097892638,0.0,0.6459267927963072,0.0,4.880501917950719,4.0,0.6437293897990629,0.6,11.510955074442494,11.0,2.7893957764177504,2.7965766558373146,0.000260061114361875,0.0,0.020869904427540473,0.0,0.00045510695013328134,0.0,0.034198036538586565,0.0,0.02516091281451141,0.0,0.004681100058513751,0.0,0.03692867823938625,0.0,0.016968987712112346,0.0,0.024900851700149534,0.0,0.0009752291788570314,0.0,0.001885443079123594,0.0,0.0001300305571809375,0.0,0.006696573694818283,0.0,0.026396203107730318,0.0,0.19654118717898705,0.0,0.07203692867823938,0.0,0.0832195565958,0.0,0.021845133606397504,0.0,0.0071512513212419,0.005847953216374269,0.2821663090826344,0.0,0.3562837266757688,0.0,0.0016155451911823197,0.0,0.002162491902169607,0.0,,,,,,,,,,
2019,24543,173.65273193986064,171.0,6.983213136128428,7.0,0.0799820722813022,0.0,0.46380724459223593,0.0,0.11701910931833924,0.0,0.6293255635676182,0.0,0.5290306808458624,0.0,3.0811270533040584,0.0,0.6777900012223445,0.0,5.0358554373955915,5.0,0.6454443540899151,0.6,11.501568675386057,11.0,2.7939704562811722,2.800919591189188,0.0004481929674448926,0.0,0.023998696165912888,0.0,0.0005704274131116816,0.0,0.044737807114044736,0.0,0.027217536568471663,0.0,0.0060302326528949195,0.0,0.038300126308927186,0.0,0.024650613209469097,0.0,0.030151163264474597,0.0,0.0014668133480014668,0.0,0.0018335166850018336,0.0,8.148963044452594e-05,0.0,0.007130342663896019,0.0,0.02705455730758261,0.0,0.21920710589577477,0.0,0.07004033736707004,0.0,0.09420201279387198,0.0,0.027421260644582977,0.0,0.007527913497297835,0.006060606060606061,0.2898178706759565,0.0,0.37970093305626856,0.0,0.001611609910873111,0.0,0.002231552582180989,0.0,,,,,,,,,,
2020,33564,179.38952449052556,176.0,7.198814205696579,7.0,0.08092003336908593,0.0,0.4564274032020479,0.0,0.11506375878917888,0.0,0.5990567444559493,0.0,0.5808902395423668,0.0,3.279624183088195,0.0,0.7192527708258849,0.0,5.28757001549279,5.0,0.6585779516429484,0.6153846153846154,11.549040638779644,11.0,2.7959819322329897,2.801639291011396,0.00047670122750566085,0.0,0.030836610654272435,0.0,0.0006554641878202837,0.0,0.04966630914074604,0.0,0.02830413538314861,0.0,0.00658443570492194,0.0,0.04534620426647599,0.0,0.03196877606959838,0.0,0.03572279823620546,0.0,0.001787629603146228,0.0,0.0015194851626742938,0.0,0.00023835061375283043,0.0,0.008193302347753546,0.0,0.02797640328923847,0.0,0.23471576689309975,0.0,0.07275652484805148,0.0,0.10612561077344775,0.0,0.030628053867238707,0.0,0.00786267516429938,0.006289308176100629,0.3039864140150161,0.0,0.3942915028006197,0.0,0.0016360607721894976,0.0,0.002235324062358459,0.0,,,,,,,,,,
2021,37152,183.17972114556417,181.0,7.354651162790698,7.0,0.08949720068906115,0.0,0.4951904817703688,0.0,0.11522932816537468,0.0,0.5988671367339493,0.0,0.6323751076658053,0.0,3.4971251348927006,0.0,0.7517495693367786,0.0,5.467646425495262,5.0,0.6682331519482834,0.625,11.534103143841516,11.0,2.798856396297375,2.8039361248386294,0.0010497416020671835,0.0,0.03539513350559862,0.0,0.0011304909560723513,0.0,0.062042420327304046,0.0,0.029285099052540915,0.0,0.008909345391903531,0.0,0.04648471145564169,0.0,0.03884043927648579,0.0,0.03601421188630491,0.0,0.0022609819121447027,0.0,0.0015880706287683033,0.0,0.00040374677002583977,0.0,0.008774763135228252,0.0,0.029204349698535744,0.0,0.2462047803617571,0.0,0.07022502153316107,0.0,0.11991279069767442,0.0,0.03321490094745909,0.0,0.008220785064147933,0.006578947368421052,0.31099267872523684,0.0,0.39123062015503873,0.0,0.0016489654210704496,0.0,0.002160010736597248,0.0,,,,,,,,,,
2022,40534,186.2734987911383,184.0,7.497582276607293,7.0,0.08521241426950214,0.0,0.4632450405395028,0.0,0.11935658952977747,0.0,0.609689056107607,0.0,0.6779493758326344,0.0,3.703028865760518,0.0,0.7761385503527902,0.0,5.588789658064835,5.0,0.6721695831908863,0.625,11.530961661814773,11.0,2.8006456844888192,2.805741678543569,0.0014308975181329254,0.0,0.03545171954408645,0.0,0.0012828736369467607,0.0,0.07223565401884838,0.0,0.033527409088666305,0.0,0.009202151280406572,0.0,0.04754033650762323,0.0,0.043395667834410616,0.0,0.0413973454383974,0.0,0.0026891005082153255,0.0,0.00219568757092811,0.0,0.00032071840923669016,0.0,0.010509695564217695,0.0,0.03180046380816105,0.0,0.2602506537721419,0.0,0.07383924606503182,0.0,0.12734987911383036,0.0,0.03629052153747471,0.0,0.00851508862936846,0.006756756756756757,0.3191394878373711,0.0,0.40277298070755413,0.0,0.0016629048118791678,0.0,0.0021893536902308974,0.0,,,,,,,,,,
2023,51027,188.6964352205695,187.0,7.627256158504321,7.0,0.07840946949654105,0.0,0.4167234115383704,0.0,0.1088835322476336,0.0,0.5516495059751926,0.0,0.7798224469398554,1.0,4.167122809322834,3.937007874015748,0.8388696180453485,0.0,5.829462833401925,5.0,0.6891046167120418,0.6363636363636364,11.541125286612969,11.0,2.7977478144460437,2.801742699750147,0.008270131499010328,0.0,0.06296666470691986,0.0,0.014149371901150372,0.0,0.15638779469692515,0.0,0.05769494581300096,0.0,0.021655202147882493,0.0,0.07517588727536402,0.0,0.0814274795696396,0.0,0.06859113802496718,0.0,0.009504771983459738,0.0,0.011346933976130284,0.0,0.00225370882082035,0.0,0.022301918592117897,0.0,0.05048307758637584,0.0,0.29076763282183943,0.0,0.11002018539204735,0.0,0.18217806259431282,0.0,0.06520077605973308,0.0,0.011170397835814975,0.009302325581395349,0.3266505967429008,0.0,0.47619887510533637,0.0,0.001690095626560916,0.0,0.0025560908083478062,0.0,,,,,,,,,,
2024,67307,189.3116169194883,188.0,7.691770543925594,8.0,0.07939738808742033,0.0,0.42313741152207357,0.0,0.09686956780126882,0.0,0.4870455976839767,0.0,0.8883622802977402,1.0,4.74702103186579,4.524886877828055,0.8819142139747723,1.0,6.002971459135008,6.0,0.7049732566113097,0.6666666666666666,11.412081952842943,11.0,2.7902903724002406,2.793489489700045,0.010533822633604232,0.0,0.10591766086736892,0.0,0.03244833375429004,0.0,0.3044705602686199,0.0,0.07228074345907558,0.0,0.032017472179713846,0.0,0.10409021349933885,0.0,0.11915551131383066,0.0,0.09318495847385859,0.0,0.016491598199295764,0.0,0.017323606757098074,0.0,0.0048286210943884,0.0,0.03105174796083617,0.0,0.08672203485521565,0.0,0.3489681608153684,0.0,0.15310443193129986,0.0,0.3105917660867369,0.0,0.09961816750115145,0.0,0.014861023000746444,0.012987012987012988,0.3142020889357719,0.0,0.5662115381758213,0.0,0.0016259852465986535,0.0,0.003032592346828,0.0,,,,,,,,,,
