feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.36383641476484724,0.5553687245222199,0.3585017466452112,0.08653432369317665,-9.16662412295108e-05,-0.0010999948947541297,0.19686697787699475,0.04316061135756179,0.11227217961617365,0.28146177613781587,2.2750160800357415,0.49876869102941934,1.29742944561808,3.2526027144534035,5.084640646107651e-06,0.36279178529714895,pretrend_plus_first_post_year_indicator_wls_hac,6,2.5423203230538254e-05
word_finding_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.3545068030714664,0.48614654569422616,0.3443658434923362,0.0993968581019543,-0.0001923045616559512,-0.0023076547398714143,0.14178070220187491,0.03191333552230299,0.07923056457816106,0.20433083982558875,1.426410300177157,0.3210698620832515,0.7971133704939841,2.05570722986033,8.884570859349646e-06,0.170168714750615,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00010661485031219576
verb_enhance_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.24064813355697187,0.5260072387691415,0.2630183781938334,0.09351492807034983,0.0005067989989476702,0.006081587987372042,0.2629888605753036,0.06427396976176027,0.13701187984225346,0.38896584130835365,2.812266084164243,0.6873124012179954,1.4651337777769722,4.159398390551513,4.282494574068312e-05,0.5152167067398723,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00038542451166614813
word_additionally_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.10980195154752376,0.2466109953134184,0.1331585132680926,0.0475630120613672,0.0004529514068355871,0.005435416882027045,0.11345248204532409,0.030750255068543727,0.05318198211097838,0.1737229819796698,2.3853090275053304,0.6465161421835279,1.1181373888256156,3.652480666185045,0.0002247120025903156,0.4791104365661255,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0009684431266284459
marker_words_total_per_1k_words,marker_words,2022-11-30,2023,107,95,12,3.312637089150073,4.6722660156631255,3.637161378469676,0.3449845457413914,0.006024476565078509,0.07229371878094211,1.0351046371933257,0.2820092229734164,0.48236656016542956,1.587842714221222,3.0004377006767853,0.8174546554465578,1.3982265760015318,4.602648825352039,0.00024211078165711148,0.6523152954175783,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0009684431266284459
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.8737831640223078,1.2663447765892182,1.0341619008652183,0.18105342815773365,0.002979542440291674,0.03575450928350009,0.2321828757239689,0.06567971795493961,0.10345062853228726,0.36091512291565053,1.2823997760577683,0.36276428799635585,0.571381771584911,1.993417780530626,0.0004076559869363544,0.46261067517123544,pretrend_plus_first_post_year_indicator_wls_hac,6,0.001019139967340886
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.10980195154752376,0.2466109953134184,0.1331585132680926,0.0475630120613672,0.0004529514068355871,0.005435416882027045,0.11345248204532409,0.030750255068543727,0.05318198211097838,0.1737229819796698,2.3853090275053304,0.6465161421835279,1.1181373888256156,3.652480666185045,0.0002247120025903156,0.4791104365661255,pretrend_plus_first_post_year_indicator_wls_hac,6,0.001123560012951578
word_insight_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.33828381554158193,0.5495536455001894,0.40165768076087677,0.09165984807970493,0.001149262439392618,0.013791149272711417,0.14789596473930222,0.041732271665238484,0.06610071227543479,0.22969121720316965,1.6135305462288776,0.4552950123695299,0.721152321984599,2.505908770473156,0.0003942200980967745,0.42386682909062734,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0011826602942903235
certainty_ratio,other,2022-11-30,2023,107,95,12,0.0016981557486387023,0.0023392766173410077,0.001933049304655208,0.000254389049061455,4.286076091992201e-06,5.1432913103906415e-05,0.00040622731268573527,0.00012313289367306654,0.00016488684108652486,0.0006475677842849457,1.5968742136678982,0.48403378261506946,0.6481679997423619,2.5455804275934346,0.0009699652147023522,0.5160736252129383,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0019399304294047044
word_notably_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.04402820372415447,0.12091805518492633,0.05985226254714969,0.034500598732966944,0.0003014404266716874,0.0036172851200602487,0.06106579263777667,0.018404434603276426,0.024993100815354878,0.09713848446019846,1.7699922575379956,0.5334526147133245,0.7244251326998796,2.815559382376111,0.0009066662515039615,0.38261066392853504,pretrend_plus_first_post_year_indicator_wls_hac,6,0.002031940114147269
