feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.36383641476484724,0.6087679029474502,0.3698783028163241,0.08653432369317665,0.00011840727828424906,0.0014208873394109887,0.23888960013112748,0.03602440991416185,0.16828175669937023,0.3094974435628847,2.7606340459556193,0.4163019756402444,1.9446821737007403,3.576585918210499,3.3268492851146956e-11,0.5603726692500359,pretrend_plus_first_two_year_indicator_wls_hac,6,1.6634246425573477e-10
emphasis_marker_notably_per_1k_words,emphasis_markers,2022-11-30,2023-2024,119,95,24,0.04402820372415447,0.13843526225933572,0.06434407746840835,0.034500598732966944,0.00034619960629590893,0.004154395275550907,0.0740911847909294,0.013903744274306908,0.04683984601328786,0.10134252356857093,2.147533304114279,0.40300008651795444,1.357653134539088,2.9374134736894693,9.882808458739435e-08,0.5933401921267851,pretrend_plus_first_two_year_indicator_wls_hac,6,4.941404229369717e-07
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.8737831640223078,1.2666339747162996,1.0513383865290369,0.18105342815773365,0.0029440935512394777,0.03532912261487373,0.21529558818726324,0.04171516201548729,0.13353387063690814,0.29705730573761835,1.1891273773601119,0.2304024974282457,0.7375384824007503,1.6407162723194735,2.4551979287890736e-07,0.5714140873312821,pretrend_plus_first_two_year_indicator_wls_hac,6,6.137994821972684e-07
word_notably_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.04402820372415447,0.13843526225933572,0.06434407746840835,0.034500598732966944,0.00034619960629590893,0.004154395275550907,0.0740911847909294,0.013903744274306908,0.04683984601328786,0.10134252356857093,2.147533304114279,0.40300008651795444,1.357653134539088,2.9374134736894693,9.882808458739435e-08,0.5933401921267851,pretrend_plus_first_two_year_indicator_wls_hac,6,1.1859370150487322e-06
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.10980195154752376,0.3043801887470316,0.1461323983015292,0.0475630120613672,0.000629471736116428,0.007553660833397135,0.1582477904455063,0.0324574657242907,0.09463115762589652,0.22186442326511607,3.32711877543269,0.6824098037023627,1.989595560176059,4.664641990689321,1.0850920604456342e-06,0.6796387633431762,pretrend_plus_first_two_year_indicator_wls_hac,6,5.4254603022281705e-06
word_additionally_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.10980195154752376,0.3043801887470316,0.1461323983015292,0.0475630120613672,0.000629471736116428,0.007553660833397135,0.1582477904455063,0.0324574657242907,0.09463115762589652,0.22186442326511607,3.32711877543269,0.6824098037023627,1.989595560176059,4.664641990689321,1.0850920604456342e-06,0.6796387633431762,pretrend_plus_first_two_year_indicator_wls_hac,6,6.510552362673805e-06
marker_words_total_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,3.312637089150073,5.424927207061603,3.8101684735869354,0.3449845457413914,0.008380148804357973,0.10056178565229568,1.614758733474682,0.3571315016954268,0.9147809901516455,2.3147364767977185,4.68066976740791,1.0352101452194935,2.6516578827777026,6.709681652038117,6.141218239117766e-06,0.755744989173669,pretrend_plus_first_two_year_indicator_wls_hac,6,1.9368587168199856e-05
word_finding_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.3545068030714664,0.5670523655415802,0.35907233273230577,0.0993968581019543,8.760494911078142e-05,0.001051259389329377,0.2079800328092754,0.04610640160487218,0.11761148566372594,0.2983485799548249,2.0924205933747335,0.46386176067637347,1.1832515424490415,3.001589644300426,6.456195722733285e-06,0.42505937014165285,pretrend_plus_first_two_year_indicator_wls_hac,6,1.9368587168199856e-05
word_within_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.698913911408932,0.8874431542959317,0.6526354588818909,0.159432951962859,-0.0006683277292733618,-0.00801993275128034,0.2348076954140364,0.05270191464393403,0.1315119427119257,0.3381034481161471,1.4727676589011314,0.33055848239083785,0.8248730334150892,2.1206622843871736,8.373999528705134e-06,0.2506868093248018,pretrend_plus_first_two_year_indicator_wls_hac,6,2.009759886889232e-05
adjective_intricate_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.019398132574852442,0.11417247985856711,0.01842472838123141,0.02390867353564638,-5.0284033498330325e-06,-6.034084019799639e-05,0.0957477514773378,0.020716625351737725,0.05514316578793186,0.13635233716674375,4.004728716320615,0.8664899506386456,2.30640841306887,5.7030490195723615,3.8045546236975594e-06,0.6124412013564152,pretrend_plus_first_two_year_indicator_wls_hac,6,2.2827327742185357e-05
