dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
pobj->det,pobj,det,198779.0,95159.0,0.04755486432632782,0.03530021448926552,-0.0122546498370623,0.0122546498370623,-25.769498053804256
prep->pobj,prep,pobj,518920.0,305451.0,0.12414374856608612,0.11331020519299953,-0.01083354337308659,0.01083354337308659,-8.726612091401051
dobj->amod,dobj,amod,130259.0,109479.0,0.03116249237737958,0.040612366482101536,0.009449874104721957,0.009449874104721957,30.324513168855162
pobj->prep,pobj,prep,134401.0,68294.0,0.032153403127708584,0.025334365097677565,-0.006819038030031019,0.006819038030031019,-21.207826751485072
dobj->compound,dobj,compound,56476.0,48147.0,0.013511027410811453,0.017860627234572317,0.004349599823760864,0.004349599823760864,32.192961286425465
advcl->dobj,advcl,dobj,28615.0,29101.0,0.006845705244003997,0.010795316699966539,0.003949611455962542,0.003949611455962542,57.69473436534416
ROOT->dobj,ROOT,dobj,74996.0,58780.0,0.017941656840095188,0.021805048473386934,0.003863391633291746,0.003863391633291746,21.53308174225034
ROOT->advcl,ROOT,advcl,32800.0,29212.0,0.007846903092899916,0.010836493297117713,0.0029895902042177975,0.0029895902042177975,38.09898209298465
amod->npadvmod,amod,npadvmod,20369.0,20162.0,0.004872974667660927,0.007479302268125678,0.002606327600464751,0.002606327600464751,53.48535090406724
conj->amod,conj,amod,30989.0,26534.0,0.007413648778837668,0.009843061520803827,0.0024294127419661592,0.0024294127419661592,32.76946095559506
ROOT->nsubj,ROOT,nsubj,134725.0,93089.0,0.03223091521923601,0.034532326596446346,0.0023014113772103356,0.0023014113772103356,7.14038481860053
ROOT->auxpass,ROOT,auxpass,31770.0,14536.0,0.007600491196994828,0.005392279425130189,-0.002208211771864639,0.002208211771864639,-29.053540286156082
dobj->prep,dobj,prep,102484.0,72005.0,0.024517744407705946,0.026710998899731647,0.0021932544920257,0.0021932544920257,8.945580211433963
ROOT->nsubjpass,ROOT,nsubjpass,31734.0,14556.0,0.007591878742380669,0.0053996986318240936,-0.0021921801105565753,0.0021921801105565753,-28.87533092854891
conj->compound,conj,compound,22926.0,20480.0,0.00548469818011657,0.007597267654558769,0.002112569474442199,0.002112569474442199,38.5175155508247
nsubjpass->det,nsubjpass,det,23139.0,9358.0,0.005535655203250341,0.0034714468120781716,-0.002064208391172169,0.002064208391172169,-37.28932376352015
compound->amod,compound,amod,32124.0,25729.0,0.007685180334034052,0.009544438451374149,0.0018592581173400968,0.0018592581173400968,24.192771496933084
conj->conj,conj,conj,20357.0,17390.0,0.004870103849456207,0.0064510002203504386,0.0015808963708942312,0.0015808963708942312,32.461245586595716
dobj->conj,dobj,conj,15575.0,14268.0,0.003726082794875494,0.005292862055431861,0.0015667792605563672,0.0015667792605563672,42.0489652755749
nsubjpass->prep,nsubjpass,prep,15570.0,5838.0,0.0037248866206235276,0.002165666433950883,-0.0015592201866726444,0.0015592201866726444,-41.85953414097846
nsubj->prep,nsubj,prep,34824.0,18395.0,0.008331114430095935,0.006823815356719168,-0.0015072990733767675,0.0015072990733767675,-18.092406316394943
pcomp->dobj,pcomp,dobj,24809.0,20036.0,0.005935177403407135,0.007432561265954076,0.0014973838625469416,0.0014973838625469416,25.22896555185287
prep->pcomp,prep,pcomp,32128.0,24677.0,0.007686137273435626,0.009154188179274743,0.0014680509058391175,0.0014680509058391175,19.099982912260863
nsubjpass->amod,nsubjpass,amod,21485.0,10050.0,0.005139960760699839,0.0037281513636872863,-0.0014118093970125526,0.0014118093970125526,-27.467318579691366
pobj->conj,pobj,conj,39017.0,28761.0,0.009334226157795,0.010669190186170154,0.001334964028375154,0.001334964028375154,14.301817909782777
conj->cc,conj,cc,14905.0,13161.0,0.0035657954451119894,0.004882208964924217,0.0013164135198122273,0.0013164135198122273,36.91780810412929
nsubj->amod,nsubj,amod,52464.0,37230.0,0.012551217191033574,0.013810853260704246,0.0012596360696706718,0.0012596360696706718,10.035967432469732
compound->compound,compound,compound,36952.0,27165.0,0.008840206191732857,0.01007713749199653,0.0012369313002636734,0.0012369313002636734,13.992109159404235
conj->dobj,conj,dobj,25150.0,19537.0,0.006016756487391247,0.007247452058941146,0.001230695571549899,0.001230695571549899,20.454468684729928
nsubj->det,nsubj,det,61404.0,36290.0,0.014689976753549588,0.013462150546090708,-0.0012278262074588795,0.0012278262074588795,-8.358258342118859
dobj->appos,dobj,appos,8156.0,8551.0,0.0019511994398076743,0.003172081821979103,0.0012208823821714288,0.0012208823821714288,62.5708657589492
dobj->cc,dobj,cc,13605.0,11763.0,0.003254790139600712,0.004363606417020253,0.0011088162774195412,0.0011088162774195412,34.06721262697347
xcomp->aux,xcomp,aux,28261.0,15422.0,0.006761016106964772,0.005720950281670182,-0.0010400658252945902,0.0010400658252945902,-15.383276845372103
ROOT->ccomp,ROOT,ccomp,31139.0,17365.0,0.007449534006396662,0.006441726211983058,-0.0010078077944136038,0.0010078077944136038,-13.528467600097315
ROOT->aux,ROOT,aux,23802.0,12660.0,0.005694267909061091,0.004696357837241895,-0.0009979100718191967,0.0009979100718191967,-17.524817724702714
ccomp->mark,ccomp,mark,23443.0,12631.0,0.005608382597769901,0.004685599987535732,-0.0009227826102341683,0.0009227826102341683,-16.453631580004913
