year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2015,ROOT->acl,ROOT,acl,66,0.00016739967433154266,0.1641819633675213,2300,401993.0,394266
2016,ROOT->acl,ROOT,acl,85,0.00020221917703932093,0.19815644567949012,2461,428954.0,420336
2017,ROOT->acl,ROOT,acl,82,0.00019198082064777138,0.187992333580933,2486,436188.0,427126
2018,ROOT->acl,ROOT,acl,104,0.0002172677741752181,0.2129057748644261,2730,488479.0,478672
2019,ROOT->acl,ROOT,acl,147,0.0002836534565199773,0.27829208173836,2916,528222.0,518238
2020,ROOT->acl,ROOT,acl,191,0.0002516624876639265,0.248428139234217,4257,768834.0,758953
2021,ROOT->acl,ROOT,acl,141,0.00023816239973109608,0.23431813422939246,3301,601746.0,592033
2022,ROOT->acl,ROOT,acl,151,0.00025577223736341167,0.25123705130892837,3225,601026.0,590369
2023,ROOT->acl,ROOT,acl,188,0.0002724752199730134,0.26778719464425615,3789,702050.0,689971
2024,ROOT->acl,ROOT,acl,285,0.0003578554289179833,0.35141323607201386,4383,811011.0,796411
2025,ROOT->acl,ROOT,acl,292,0.00031444712227039436,0.30958275242391636,5067,943205.0,928614
2026,ROOT->acl,ROOT,acl,113,0.0004025506750739197,0.39815088861640807,1508,283812.0,280710
2015,ROOT->acomp,ROOT,acomp,1302,0.003302339029994978,3.238862368250193,2300,401993.0,394266
2016,ROOT->acomp,ROOT,acomp,1265,0.003009497164173423,2.9490341621712353,2461,428954.0,420336
2017,ROOT->acomp,ROOT,acomp,1379,0.003228555508210692,3.1614808293671532,2486,436188.0,427126
2018,ROOT->acomp,ROOT,acomp,1497,0.0031274024801952066,3.0646148555004413,2730,488479.0,478672
2019,ROOT->acomp,ROOT,acomp,1543,0.002977396485784524,2.921120286546187,2916,528222.0,518238
2020,ROOT->acomp,ROOT,acomp,2313,0.003047619549563675,3.0084517594175075,4257,768834.0,758953
2021,ROOT->acomp,ROOT,acomp,1806,0.0030505056305982943,3.0012663150232823,3301,601746.0,592033
2022,ROOT->acomp,ROOT,acomp,1905,0.0032267954448827766,3.169580018168931,3225,601026.0,590369
2023,ROOT->acomp,ROOT,acomp,2137,0.0030972316227783486,3.0439427391211455,3789,702050.0,689971
2024,ROOT->acomp,ROOT,acomp,2515,0.0031579172060657123,3.1010676797232093,4383,811011.0,796411
2025,ROOT->acomp,ROOT,acomp,2794,0.0030087851356968556,2.9622404461384324,5067,943205.0,928614
2026,ROOT->acomp,ROOT,acomp,827,0.0029461009582843504,2.9139007512014996,1508,283812.0,280710
2015,ROOT->advcl,ROOT,advcl,2928,0.007426458279435711,7.283708920304583,2300,401993.0,394266
2016,ROOT->advcl,ROOT,advcl,3206,0.007627231548094858,7.473994880569944,2461,428954.0,420336
2017,ROOT->advcl,ROOT,advcl,3249,0.007606654710787917,7.448623070785992,2486,436188.0,427126
