feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.3870046361614607,0.5899447756590852,0.3800078636825167,0.09238176507105542,-0.00012135921892552406,-0.0014563106271062887,0.20993691197655318,0.04536172197172398,0.12102793691197418,0.2988458870411322,2.2724929732082977,0.4910246295557789,1.310084699278971,3.2349012471376244,3.691015517003882e-06,0.36095273702512065,pretrend_plus_first_post_year_indicator_wls_hac,6,1.845507758501941e-05
word_finding_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.37626961758509264,0.5191190379839978,0.3650566505092051,0.10659346263571141,-0.0002153325913178384,-0.002583991095814061,0.15406238747477705,0.03457631652406192,0.08629280708761568,0.22183196786193843,1.4453267927067264,0.3243755824147325,0.8095506511738505,2.081102934239602,8.361207492826555e-06,0.17394099438698885,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00010033448991391867
marker_words_total_per_1k_words,marker_words,2022-11-30,2023,107,95,12,3.4340288855672965,4.863710073197616,3.776231423847045,0.3743605698685649,0.006332392969294545,0.07598871563153453,1.08747864935044,0.28393912891519235,0.530957956676663,1.643999342024217,2.904896340264268,0.7584643035853941,1.4183063052368956,4.39148637529164,0.00012815832516229804,0.6488016051280399,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0006233020915364346
word_insight_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.33741987356675784,0.5469120508169378,0.4026467936708929,0.09519641708405843,0.0011738286826800473,0.014085944192160568,0.14426525714603441,0.038149295044819446,0.06949263885818831,0.21903787543388054,1.5154483914940644,0.40074297135714276,0.7299921676340645,2.300904615354064,0.00015582552288410866,0.4063390489563844,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0006233020915364346
word_additionally_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.11658304716268185,0.2620924890754156,0.14101971453386197,0.05070062379631539,0.0004738361074051494,0.005686033288861792,0.12107277454155183,0.0327214381034934,0.05693875585870477,0.18520679322439887,2.3879937854009334,0.645385315868074,1.1230385662995084,3.652949004502358,0.0002155098182568735,0.4769707405770941,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0006465294547706205
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.9289357162590073,1.34962032034966,1.0973749405683322,0.19213913369232036,0.003126005491307875,0.0375120658956945,0.252245379781296,0.07082845751074926,0.11342160306022747,0.39106915650236457,1.3128266737437573,0.36863108597215566,0.5903097452383321,2.035343602249182,0.0003689438881940517,0.4627944118461752,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0009223597204851293
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.11658304716268185,0.2620924890754156,0.14101971453386197,0.05070062379631539,0.0004738361074051494,0.005686033288861792,0.12107277454155183,0.0327214381034934,0.05693875585870477,0.18520679322439887,2.3879937854009334,0.645385315868074,1.1230385662995084,3.652949004502358,0.0002155098182568735,0.4769707405770941,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0010775490912843676
verb_enhance_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.2274698337572137,0.4895701759308442,0.2460907079138273,0.09067884676072566,0.00043311118377527345,0.005197334205303281,0.2434794680170123,0.06496095530530563,0.11615599561861328,0.37080294041541134,2.6850745980424935,0.7163848860662967,1.280960221352552,4.089188974732435,0.00017818674616410524,0.4854779956000431,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0016036807154769471
certainty_ratio,other,2022-11-30,2023,107,95,12,0.001800822082650187,0.0024563103713988355,0.0020337469337406854,0.0002699831163548187,4.265191944242533e-06,5.1182303330910396e-05,0.0004225634376580818,0.00012641244621170965,0.00017479504308313086,0.0006703318322330327,1.5651476409463256,0.4682235241909542,0.6474295335320552,2.482865748360596,0.0008295677444863794,0.49235453153763953,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0016591354889727587
word_particularly_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.18270284395727998,0.2773959612974766,0.18534110550100896,0.07428144980914692,2.2397702595077586e-05,0.00026877243114093103,0.0920548557964606,0.027355989019651153,0.03843711731794434,0.14567259427497686,1.2392711239882812,0.3682748396798601,0.5174524382157555,1.9610898097608072,0.0007652385864265607,0.16728125778648006,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0017194627655361284
