feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.3870046361614607,0.6469707154418206,0.3920792653440579,0.09238176507105542,0.00010426987479435147,0.0012512384975322177,0.25489145009776437,0.038215603878805036,0.1799888664953065,0.32979403370022226,2.759109981301122,0.41367042348034283,1.9483159512796502,3.569904011322594,2.5610589069696972e-11,0.5578610912841913,pretrend_plus_first_two_year_indicator_wls_hac,6,1.2805294534848486e-10
emphasis_marker_notably_per_1k_words,emphasis_markers,2022-11-30,2023-2024,119,95,24,0.0469526232912811,0.14751008313683142,0.06876605239188258,0.03683321872217616,0.00037168542971834545,0.004460225156620146,0.07874403074495101,0.0146795801190213,0.04997205371166926,0.10751600777823275,2.1378536407284336,0.39854187682444303,1.3567115621525254,2.918995719304342,8.131407963407947e-08,0.5937076270012563,pretrend_plus_first_two_year_indicator_wls_hac,6,4.0657039817039733e-07
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.9289357162590073,1.3487275268481287,1.1152223956300955,0.19213913369232036,0.0030857708378886064,0.037029250054663274,0.23350513121803315,0.044855260790846715,0.14558882006797358,0.3214214423680927,1.215291891510002,0.233451977891579,0.757726014842507,1.6728577681774968,1.9321793596417144e-07,0.5714914045703463,pretrend_plus_first_two_year_indicator_wls_hac,6,4.830448399104286e-07
word_notably_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.0469526232912811,0.14751008313683142,0.06876605239188258,0.03683321872217616,0.00037168542971834545,0.004460225156620146,0.07874403074495101,0.0146795801190213,0.04997205371166926,0.10751600777823275,2.1378536407284336,0.39854187682444303,1.3567115621525254,2.918995719304342,8.131407963407947e-08,0.5937076270012563,pretrend_plus_first_two_year_indicator_wls_hac,6,9.757689556089538e-07
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.11658304716268185,0.3240559229479816,0.15484309132153337,0.05070062379631539,0.0006629066675408612,0.007954880010490335,0.16921283162645234,0.0346530920501644,0.10129277120813013,0.23713289204477456,3.3374901323945783,0.683484530474017,1.9978604526655048,4.677119812123651,1.044565976686753e-06,0.6786524977797945,pretrend_plus_first_two_year_indicator_wls_hac,6,5.222829883433766e-06
word_additionally_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.11658304716268185,0.3240559229479816,0.15484309132153337,0.05070062379631539,0.0006629066675408612,0.007954880010490335,0.16921283162645234,0.0346530920501644,0.10129277120813013,0.23713289204477456,3.3374901323945783,0.683484530474017,1.9978604526655048,4.677119812123651,1.044565976686753e-06,0.6786524977797945,pretrend_plus_first_two_year_indicator_wls_hac,6,6.2673958601205185e-06
word_finding_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.37626961758509264,0.60298100838228,0.38038064061508553,0.10659346263571141,7.802100237429255e-05,0.0009362520284915106,0.22260036776719522,0.0488066388475481,0.12693935562600095,0.3182613799083895,2.0883116305916745,0.45787647422944944,1.1908737411019534,2.985749520081395,5.094393880462844e-06,0.42562226781890045,pretrend_plus_first_two_year_indicator_wls_hac,6,1.5641148283287292e-05
marker_words_total_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,3.4340288855672965,5.650010255224034,3.958240353852291,0.3743605698685649,0.008811261890180994,0.10573514268217193,1.6917699013717589,0.3713279714463443,0.9639670773369241,2.4195727254065935,4.5190921201068965,0.9918992579178801,2.574969574587851,6.463214665625941,5.2137160944290975e-06,0.7531283751314237,pretrend_plus_first_two_year_indicator_wls_hac,6,1.5641148283287292e-05
adjective_intricate_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.02055664196253155,0.12126783659459404,0.019577003755327067,0.025480715321775475,-4.899477689785197e-06,-5.8793732277422365e-05,0.10169083283926925,0.021900497020311733,0.05876585867945825,0.14461580699908025,3.9908939586309664,0.8594930222228049,2.306287635074269,5.675500282187664,3.428685710220835e-06,0.6128809648137836,pretrend_plus_first_two_year_indicator_wls_hac,6,2.057211426132501e-05
certainty_ratio,other,2022-11-30,2023-2024,119,95,24,0.001800822082650187,0.0027734132968171062,0.002109033335372785,0.0002699831163548187,5.1044180801377624e-06,6.125301696165316e-05,0.0006643799614443259,0.00015463166246659858,0.0003613019030097927,0.0009674580198788592,2.460820403936596,0.5727456759310005,1.3382388791118351,3.5834019287613574,1.7349055195566714e-05,0.7026045694745875,pretrend_plus_first_two_year_indicator_wls_hac,6,3.469811039113343e-05
word_within_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.7213550363817578,0.9244887990200386,0.6814211152180705,0.16608569941208862,-0.0005620416857368282,-0.006744500228841939,0.2430676838019637,0.05628281533087456,0.13275336575344956,0.35338200185047786,1.4635076027760154,0.3388781546521156,0.7993064196578689,2.1277087858941623,1.5696246037342453e-05,0.2608802060075961,pretrend_plus_first_two_year_indicator_wls_hac,6,3.7670990489621884e-05
word_insight_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.33741987356675784,0.6719485213496288,0.4329145439628538,0.09519641708405843,0.0015724023959077463,0.018868828750892956,0.23903397738677987,0.05914858862692658,0.12310274367800376,0.35496521109555595,2.5109556085048124,0.6213320883148195,1.2931447154077662,3.7287665016018585,5.3168024088286246e-05,0.6234787971909055,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00010633604817657249
verb_delve_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.0015278329849879042,0.03143007272999064,0.004379164812927601,0.004913857774757373,4.261730180476866e-05,0.0005114076216572239,0.02705090791706378,0.006280448239736411,0.014741229367180416,0.03936058646694715,5.505024597175984,1.2781094870102372,2.999930002635919,8.010119191716049,1.653625133645567e-05,0.441079593565074,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00012675208072107308
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.7464080973497802,1.7622285190104072,0.8099425958891682,0.18481324894617615,0.0013183763023105262,0.015820515627726316,0.9522859231212556,0.22739526081629913,0.5065912119213093,1.3979806343212018,5.152692940312917,1.2304056235845098,2.741097918087278,7.564287962538557,2.816712904912735e-05,0.7014540024069955,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00012675208072107308
word_particularly_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.18270284395727998,0.33422708048299826,0.19789761119391752,0.07428144980914692,0.00024028435717602276,0.002883412286112273,0.1363294692890822,0.03562166229795726,0.06651101118508598,0.20614792739307844,1.8353097528300368,0.47954990632898037,0.8953919364252353,2.7752275692348385,0.00012963516176034797,0.37925010787242963,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00022223170587488223
verb_align_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.07531463633145431,0.2063366529986435,0.09745503608658643,0.05648370830874459,0.0004007487738369387,0.004808985286043264,0.10888161691205965,0.027558071784776626,0.054867796213897466,0.16289543761022185,1.9276641030171706,0.4878941664761446,0.9713915367239272,2.883936669310414,7.782915658325112e-05,0.4624215309163987,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00023348746974975333
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,1.218873422243993,2.3213403116213875,1.5518006865695493,0.2462551416251996,0.005472993893927613,0.06567592672713135,0.7695396250518531,0.19767504843473932,0.3820965301197641,1.1569827199839422,3.1249687619643396,0.8027245527957374,1.5516286384846945,4.698308885443985,9.903144276076633e-05,0.7381349605017621,pretrend_plus_first_two_year_indicator_wls_hac,6,0.000297094328282299
emphasis_marker_particularly_per_1k_words,emphasis_markers,2022-11-30,2023-2024,119,95,24,0.18270284395727998,0.33422708048299826,0.19789761119391752,0.07428144980914692,0.00024028435717602276,0.002883412286112273,0.1363294692890822,0.03562166229795726,0.06651101118508598,0.20614792739307844,1.8353097528300368,0.47954990632898037,0.8953919364252353,2.7752275692348385,0.00012963516176034797,0.37925010787242963,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0003240879044008699
