feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
marker_words_total_per_1k_words,marker_words,2021-01-01,136,72,64,3.3651686788381014,5.368555827759883,0.36388618558285124,0.005717501587293287,0.06861001904751944,-1.0801326914543954,0.33883399135253706,-1.744247314505368,-0.4160180684034228,0.0014336303199261142,0.08372617676170496,1.0047141211404595,0.007407326265294187,0.08888791518353024,0.8304938073807402,1.178934434900179,2.7610669515556583,0.2442739480234867,2.282290013429624,3.2398438896816923,1.2658298466349053e-29,0.08944367834899825,1.073324140187979,0.9296190877255268,monthly_segmented_wls_hac,6,2021,6.075983263847545e-28
verb_align_per_1k_words,verbs,2021-01-01,136,72,64,0.07027698526019238,0.1958245963127863,0.057258568293395554,-0.0001224241932233784,-0.0014690903186805409,-0.05488067113414226,0.024184680966938456,-0.10228264582934163,-0.007478696438942882,0.023254173062818212,0.00587362131163497,0.07048345573961964,0.000564082983248124,0.006768995798977488,0.05721622397362377,0.08375068750561551,1.2309678331190392,0.11821804143430273,0.9992604719078059,1.4626751943302723,2.1700134748144213e-25,0.005751197118411592,0.0690143654209391,0.7382952837291168,monthly_segmented_wls_hac,6,2021,7.812048509331916e-24
flesch_reading_ease,readability,2020-01-01,136,60,76,17.6163689750185,13.7123783611064,0.8894329970947583,-0.01850811097352977,-0.22209733168235724,4.882637250786388,0.7864714431023719,3.341153222305739,6.4241212792670375,5.356664074818755e-10,-0.19758553568895262,-2.3710264282674314,0.019414591569607977,0.2329750988352957,-2.8276576219846112,-1.914395234550252,-2.665772954244048,0.26193664907450587,-3.1791687864300795,-2.1523771220580166,2.5075608963343555e-24,-0.2160936466624824,-2.5931237599497887,0.9001254740584443,monthly_segmented_wls_hac,6,2020,7.021170509736196e-23
dale_chall,readability,2021-01-01,136,72,64,12.776175816378725,13.337355135098607,0.09266926417182728,0.0006974674120773603,0.008369608944928324,-0.20479707855605667,0.09613932368118855,-0.39323015297118624,-0.01636400414092712,0.03315416837748098,0.022398724744685843,0.2687846969362301,0.002283591971598774,0.027403103659185288,0.21507461376422693,0.3224947801082333,2.900472981395964,0.29570865706211363,2.3208840135542217,3.4800619492377076,1.0344483434574205e-22,0.0230961921567632,0.2771543058811584,0.938266383333412,monthly_segmented_wls_hac,6,2021,1.4482276808403886e-21
avg_syllables_per_word,readability,2020-01-01,136,60,76,1.9349845539214607,1.978344885674688,0.010093607792053993,0.00018350011586838917,0.00220200139042067,-0.046849019789962074,0.008712490030880496,-0.06392550025048785,-0.029772539329436302,7.564259338022855e-08,0.0020522708898771023,0.024627250678525225,0.00021341718098121684,0.002561006171774602,0.019607678581847005,0.029646822775203446,2.4398858352622512,0.2537255483406743,1.9425837605145297,2.937187910009973,6.828142397055309e-22,0.0022357710057454914,0.026829252068945895,0.901009316566575,monthly_segmented_wls_hac,6,2020,6.372932903918289e-21
dale_chall,readability,2020-01-01,136,60,76,12.786144215176751,13.240878085723338,0.08961848330231242,0.0035594306658079007,0.04271316798969481,-0.4247874542225841,0.06326167451792367,-0.5487803362777145,-0.30079457216745376,1.8836594968941596e-11,0.016749641301442783,0.2009956956173134,0.0017634566918789134,0.02116148030254696,0.15951919422432134,0.24247219701030542,2.2427928727524793,0.23612852530836048,1.7799809631480927,2.705604782356866,2.1357635455869866e-21,0.020309071967250684,0.24370886360700822,0.9326656051720787,monthly_segmented_wls_hac,6,2020,1.4950344819108906e-20
smog_index,readability,2020-01-01,136,60,76,17.465891187365006,17.73716895749542,0.13800947702797292,-0.00015603966729253044,-0.0018724760075103652,-0.39145355312456487,0.07727367289646543,-0.5429099520016372,-0.23999715424749263,4.0667268248199554e-07,0.01771381297852825,0.212565755742339,0.0018899491542413705,0.022679389850896445,0.16811415163458196,0.257017359850096,1.5402257897061256,0.16433211935365566,1.2181348357729604,1.8623167436392905,7.074058952326219e-21,0.01755777331123572,0.21069327973482865,0.8191825458655596,monthly_segmented_wls_hac,6,2020,3.961473013302683e-20
gunning_fog,readability,2020-01-01,136,60,76,19.991139791727406,20.473146223888996,0.2011136447546466,-0.0001938172654438776,-0.002325807185326531,-0.676533787303618,0.13593045166694562,-0.9429574725708314,-0.41011010203640463,6.455787051534718e-07,0.030873537295137737,0.3704824475416528,0.003303137342928708,0.039637648115144496,0.29279265723596964,0.448172237847336,1.842154708068822,0.1970907949259305,1.4558567500139985,2.228452666123646,9.039820835031234e-21,0.03067972002969386,0.36815664035632634,0.8442170842103738,monthly_segmented_wls_hac,6,2020,4.218583056347909e-20
avg_syllables_per_word,readability,2021-01-01,136,72,64,1.933312921706597,1.9883555341201398,0.011388813784962317,-6.547890368002068e-05,-0.0007857468441602481,-0.025984709619151003,0.011927391806924294,-0.04936239756072262,-0.002607021677579386,0.02936330483837783,0.0026698279009642343,0.032037934811570815,0.0002978725411505362,0.0035744704938064343,0.025031972643710203,0.03904389697943142,2.8131055100640423,0.31385801553153253,2.1979437996222386,3.4282672205058455,3.159980421723751e-19,0.002604348997284214,0.03125218796741057,0.9141185764575601,monthly_segmented_wls_hac,6,2021,1.2639921686895004e-18
flesch_kincaid_grade,readability,2020-01-01,136,60,76,16.646165271719394,17.0990234706199,0.159608631500747,0.0013801115555028345,0.016561338666034014,-0.5971607103520788,0.1163767367802302,-0.82525911444133,-0.36906230626282766,2.8779042252940746e-07,0.025152665067998684,0.3018319808159842,0.002840094046203289,0.03408112855443947,0.23503296884928288,0.3686309927826855,1.8910755513530708,0.2135293576167274,1.472558010424285,2.309593092281856,8.2729714057037e-19,0.02653277662350152,0.3183933194820182,0.8448202174885411,monthly_segmented_wls_hac,6,2020,2.8955399919962953e-18
marker_words_total_per_1k_words,marker_words,2020-01-01,136,60,76,3.330932499001056,5.079260104117268,0.3698711657114722,0.0068800295656019275,0.08256035478722312,-1.1776425005136508,0.37683380968373614,-1.9162367674937737,-0.43904823353352795,0.0017774596807080445,0.06549359774237432,0.7859231729084918,0.007411228018994206,0.08893473622793047,0.6116110899017481,0.9602352559152356,2.124856560247716,0.24044787610534193,1.6535787230812458,2.5961343974141866,9.82548219413769e-19,0.07237362730797624,0.8684835276957148,0.8888692950338243,monthly_segmented_wls_hac,6,2020,2.3581157265930456e-17
flesch_reading_ease,readability,2021-01-01,136,72,64,17.856162227282336,12.710612712201062,1.1945102007484987,0.01384005538940023,0.16608066467280275,2.197437611819801,1.2253256032740019,-0.2042005705972425,4.599075794236844,0.07291698481441113,-0.2593741701415676,-3.1124900416988113,0.03077148117219327,0.3692577740663192,-3.836235278868797,-2.3887448045288258,-2.605662169940848,0.3091290252983495,-3.211555059525613,-1.9997692803560834,3.485004039436585e-17,-0.24553411475216738,-2.9464093770260087,0.9005227458485433,monthly_segmented_wls_hac,6,2021,1.0842234789358264e-16
automated_readability_index,readability,2020-01-01,136,60,76,18.127802078616835,18.94998713292698,0.19754129025677628,0.004073238085266698,0.04887885702320038,-0.7459977938349367,0.15969570700858587,-1.059001379571765,-0.4329942080981084,2.9919689585053413e-06,0.034013152528620826,0.4081578303434499,0.004077088998745197,0.048925067984942366,0.3122646970929629,0.504050963593937,2.0661899586304275,0.24767008416998068,1.5807565936572658,2.55162332360359,7.273050080709859e-17,0.03808639061388752,0.45703668736665026,0.8783861659361656,monthly_segmented_wls_hac,6,2020,2.0364540225987605e-16
gunning_fog,readability,2021-01-01,136,72,64,19.95011070412584,20.609680153471054,0.23170603351368294,-0.003887812418835396,-0.04665374902602475,-0.3301657843022182,0.1881909506296398,-0.6990200475363122,0.038688478931875825,0.0793587335918084,0.039326448040319616,0.47191737648383536,0.004962200967936531,0.059546411615238375,0.35520640971796813,0.5886283432497026,2.0367073283655657,0.2569912000661044,1.533004576236001,2.54041008049513,2.2777464773522485e-15,0.03543863562148422,0.42526362745781066,0.8513043732970992,monthly_segmented_wls_hac,6,2021,5.79790012416936e-15
smog_index,readability,2021-01-01,136,72,64,17.44024797370788,17.81688215475915,0.1571795067873793,-0.002453921942104101,-0.02944706330524921,-0.16978123116873678,0.10949281993262334,-0.38438715823667857,0.044824695899204986,0.12099392668162763,0.02242404492598553,0.26908853911182634,0.0028835188196249468,0.034602225835499364,0.2012681764742476,0.3369089017494051,1.7119823354314836,0.2201446393536956,1.2804988422982404,2.143465828564727,7.448490380738116e-15,0.019970122983881428,0.23964147580657713,0.8189158950183398,monthly_segmented_wls_hac,6,2021,1.737981088838894e-14
flesch_kincaid_grade,readability,2021-01-01,136,72,64,16.61751867398984,17.216161805359494,0.18643027758459416,-0.0020389941336704555,-0.024467929604045466,-0.30796635636327685,0.16367561766066674,-0.6287705669781837,0.012837854251629977,0.05989506656024453,0.03275361148791063,0.39304333785492757,0.004321362964071362,0.051856355568856344,0.29140488093996914,0.49468179476988605,2.108259146246141,0.2781541509282264,1.5630770104268175,2.653441282065465,3.4698764719903647e-14,0.030714617354240175,0.3685754082508821,0.8507869546316216,monthly_segmented_wls_hac,6,2021,7.473580093517709e-14
automated_readability_index,readability,2021-01-01,136,72,64,18.11295906882194,19.120845216629395,0.21148240194544626,0.0004659611231181988,0.005591533477418385,-0.4243746693292272,0.2126741383254313,-0.8412159804470725,-0.0075333582113818465,0.04599686583799209,0.04371344072630058,0.524561288715607,0.005851097766357938,0.07021317319629525,0.3869434692508683,0.6621791081803456,2.4804016026398368,0.33200480300203583,1.8296721887558463,3.1311310165238266,7.959909876163231e-14,0.04417940184941878,0.5301528221930254,0.8900111873017347,monthly_segmented_wls_hac,6,2021,1.5919819752326462e-13
verb_exhibit_per_1k_words,verbs,2021-01-01,136,72,64,0.40005472820617083,0.45639571121432215,0.13663506596167005,-0.0023647144181803,-0.028376573018163598,-0.013705874586341888,0.04069380298776119,-0.09346572844235382,0.06605397926967005,0.7362639356571471,0.0072783439964022,0.0873401279568264,0.0009657897024560886,0.011589476429473063,0.0646247541550592,0.1100555017585936,0.63922191087702,0.08482065967402712,0.4729734179159268,0.8054704038381132,4.840193023318198e-14,0.0049136295782219,0.0589635549386628,0.3635607704529048,monthly_segmented_wls_hac,6,2021,8.712347441972757e-13
marker_words_total_per_1k_words,marker_words,2019-01-01,136,48,88,3.2795321972450986,4.868888322559216,0.354222961934416,0.006262616132871383,0.07515139359445659,-1.300771127803662,0.37319553584410264,-2.032234378058103,-0.5693078775492209,0.0004912276317932952,0.05606531586272,0.6727837903526399,0.0076273307422478264,0.09152796890697391,0.49338897129497106,0.8521786094103089,1.899322919887969,0.2583908406364696,1.3928768722404887,2.4057689675354497,1.9734648057307853e-13,0.062327931995591376,0.7479351839470965,0.8486401697447876,monthly_segmented_wls_hac,6,2019,3.1575436891692565e-12
sequential_marker_moreover_per_1k_words,sequential_markers,2021-01-01,136,72,64,0.2736205737934287,0.282752972903649,0.0901823027341137,0.0012229611121769128,0.014675533346122954,0.04883376151484241,0.028600508012181062,-0.007223234189032472,0.1048907572187173,0.08773958589289432,-0.003775574736509356,-0.04530689683811227,0.0005298645637346124,0.006358374764815348,-0.057769311377150356,-0.03284448229907419,-0.5023923260386409,0.0705057929554302,-0.6405836802312841,-0.36420097184599776,1.036683129419653e-12,-0.002552613624332443,-0.030631363491989316,0.2182018855283897,monthly_segmented_wls_hac,6,2021,2.073366258839306e-11
verb_align_per_1k_words,verbs,2019-01-01,136,48,88,0.06808360950441118,0.1627807255288686,0.05067075547510175,-0.0003248712625517004,-0.0038984551506204045,-0.07756282980649354,0.03173756802609359,-0.13976846313763697,-0.015357196475350096,0.014530230636872154,0.004389246022302847,0.05267095226763417,0.0006345400476631466,0.007614480571957759,0.03774657034659696,0.06759533418867138,1.039474382684412,0.15027367365184263,0.7449379823268002,1.3340107830420234,4.606288231880044e-12,0.004064374759751147,0.04877249711701377,0.671635229712559,monthly_segmented_wls_hac,6,2019,5.5275458782560536e-11
word_while_per_1k_words,marker_words,2021-01-01,136,72,64,0.9056173730512478,1.3833878237195087,0.17828416525484858,0.0025733063885379384,0.03087967666245526,-0.269572623230944,0.10245960184846756,-0.4703934428539404,-0.06875180360794758,0.008513058688552337,0.01781825147087293,0.21381901765047517,0.002628193656210513,0.03153832387452615,0.15200390285640392,0.2756341324445465,1.199315807687302,0.17689918692130424,0.8525934013215458,1.5460382140530586,1.2046154376232508e-11,0.02039155785941087,0.24469869431293045,0.7817833517467154,monthly_segmented_wls_hac,6,2021,1.445538525147901e-10
verb_exhibit_per_1k_words,verbs,2020-01-01,136,60,76,0.418987613180917,0.4325527520750776,0.1378537658003776,-0.0016349515427127714,-0.019619418512553256,-0.1068151729067972,0.03575164430821415,-0.17688839575089693,-0.03674195006269748,0.002810856967309861,0.006162175994124263,0.07394611192949116,0.0009252417928853071,0.011102901514623686,0.05218442496082873,0.09570779889815359,0.5364098071616743,0.08054115497070646,0.37854914341908963,0.6942704709042591,2.7369541162986493e-11,0.004527224451411491,0.054326693416937896,0.36667488714263363,monthly_segmented_wls_hac,6,2020,2.434460806988129e-10
verb_align_per_1k_words,verbs,2020-01-01,136,60,76,0.07337831079472255,0.17355287440880027,0.06006905339709041,0.0004041729463771291,0.004850075356525549,-0.0987000321678226,0.02288503779431961,-0.14355470624468902,-0.05384535809095616,1.6115400421616116e-05,0.004517765527079119,0.054213186324949425,0.0006829893098528394,0.008195871718234073,0.03814927775721065,0.07027709489268821,0.9025144106495171,0.13644083358621828,0.6350903768205294,1.169938444478505,3.723202202823309e-11,0.004921938473456248,0.05906326168147498,0.7230072761117494,monthly_segmented_wls_hac,6,2020,2.434460806988129e-10
marker_verbs_total_per_1k_words,verbs,2020-01-01,136,60,76,0.7593518602338296,1.3071865142126988,0.1977372253898083,-7.823727482397032e-06,-9.388472978876438e-05,-0.42229644728049487,0.12049781437959492,-0.6584721634645009,-0.18612073109648883,0.0004572965414518537,0.025745193369636862,0.30894232043564235,0.0038996258813366546,0.04679551057603985,0.21722311970660424,0.40066152116468046,1.5623882646608924,0.2366550379362801,1.0985443903057834,2.026232139016001,4.0574346783135484e-11,0.025737369642154465,0.3088484357058536,0.77554682271803,monthly_segmented_wls_hac,6,2020,2.434460806988129e-10
word_finding_per_1k_words,marker_words,2020-01-01,136,60,76,0.36910020653443393,0.5460884889235255,0.1064313304911247,-0.0016236890367870337,-0.019484268441444404,-0.047659295785235395,0.058840906566793076,-0.16298747265614982,0.06766888108567903,0.41795813413868443,0.00884158620049747,0.10609903440596963,0.0013438893195410599,0.01612667183449272,0.0744907576103639,0.13770731120157537,0.9968778358438093,0.1515218475619594,0.6998950146223689,1.2938606570652498,4.7329495913432524e-11,0.007217897163710436,0.08661476596452523,0.6174554601091764,monthly_segmented_wls_hac,6,2020,4.5436316076895225e-10
avg_syllables_per_word,readability,2019-01-01,136,48,88,1.9340380537028736,1.9729483860093864,0.010007795389872962,0.0002328860962015969,0.0027946331544191627,-0.049497675681079795,0.011523793708359613,-0.07208431134946464,-0.026911040012694953,1.7448970405393126e-05,0.0016371495898205315,0.019645795077846376,0.00025962883048339215,0.003115545965800706,0.013539324984876993,0.02575226517081576,1.9630492343724624,0.3113119168037122,1.3528778774371863,2.5732205913077384,2.8683666482484073e-10,0.0018700356860221284,0.02244042823226554,0.8384770008221197,monthly_segmented_wls_hac,6,2019,5.354284410063694e-10
