feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
avg_syllables_per_word,readability,2022-11-30,136,95,41,1.9358091403014028,2.013449176047089,0.011506797616644235,0.00011710043453646283,0.001405205214437554,-0.005177793194772521,0.005830659610752359,-0.016605886031847143,0.006250299642302101,0.3745253023650598,0.003625644801822309,0.04350773762186771,0.0001482477425559838,0.0017789729106718055,0.04002095071695097,0.046994524526784445,3.7810465666776896,0.1546019118384923,3.4780268194742447,4.084066313881134,4.2747974924566326e-132,0.003742745236358772,0.044912942836305265,0.9539531109872627,monthly_segmented_wls_hac,6,2.9923582447196427e-131,0.7007573687438166
flesch_reading_ease,readability,2022-11-30,136,95,41,17.622652022393744,10.36514516628759,1.2248226239366826,-0.008418290287067948,-0.10101948344481537,0.4732831528841863,0.6625577690001537,-0.8253300743561149,1.7718963801244876,0.47502476759592066,-0.3476894060734771,-4.1722728728817255,0.015407453531291469,0.18488944237549762,-4.5346561799377,-3.8098895658257494,-3.4064302792445904,0.15095201440780662,-3.702296227483891,-3.1105643310052886,9.287685787915027e-113,-0.35610769636054507,-4.273292356326541,0.9370446822783584,monthly_segmented_wls_hac,6,3.2506900257702597e-112,0.7007573687438166
dale_chall,readability,2022-11-30,136,95,41,12.814060225665793,13.564382097251915,0.11183486028257461,0.0024034497408802354,0.028841396890562823,-0.021104023998273408,0.05208691289031399,-0.12319437326328882,0.080986325266742,0.6853529854916655,0.029445952796772167,0.35335143356126597,0.0013705864995066268,0.01644703799407952,0.3211152390928701,0.38558762802966184,3.159582197075655,0.14706539582132597,2.871334021265856,3.447830372885454,2.188063606981796e-102,0.0318494025376524,0.38219283045182884,0.9620168405880383,monthly_segmented_wls_hac,6,5.1054817496241905e-102,0.7007573687438166
flesch_kincaid_grade,readability,2022-11-30,136,95,41,16.638605874375816,17.503125414745693,0.19568022695476397,0.0005025274935566758,0.0060303299226801095,-0.10890667171164631,0.08750052030089893,-0.2804076915014082,0.06259434807811559,0.21326400868395023,0.045558001646325855,0.5466960197559103,0.002194862445871891,0.026338349350462694,0.49507285502900333,0.5983191844828172,2.793823516375478,0.1345989309208611,2.53000961177059,3.057637420980366,1.0674398367300335e-95,0.04606052913988253,0.5527263496785904,0.8986335182032807,monthly_segmented_wls_hac,6,1.8680197142775586e-95,0.7007573687438166
gunning_fog,readability,2022-11-30,136,95,41,19.964386313742704,20.946604895454907,0.23236862534587124,-0.0006133091300100416,-0.007359709560120499,-0.06386092314719083,0.10232595920225648,-0.2644198031836135,0.13669795688923186,0.5325664575629573,0.05291059312151483,0.634927117458178,0.0026478735899960184,0.03177448307995222,0.5726491306214716,0.6972051042948844,2.7324132787424067,0.13674170956882492,2.46439952798751,3.000427029497304,7.85283854722935e-89,0.05229728399150479,0.6275674078980574,0.896935918211033,monthly_segmented_wls_hac,6,1.0993973966121088e-88,0.7007573687438166
automated_readability_index,readability,2022-11-30,136,95,41,18.179566884571024,19.531909580127156,0.24925362831845135,0.003908273357160423,0.04689928028592508,-0.20595435816612745,0.11539223319445681,-0.43212313522726276,0.020214418895007885,0.0742905287169454,0.06241101153465485,0.7489321384158583,0.003381140592316381,0.040573687107796574,0.6694077116845769,0.8284565651471394,3.004699042771838,0.16278072813431158,2.685648815628587,3.323749269915088,4.4498838665199964e-76,0.06631928489181527,0.7958314187017832,0.9346774522464929,monthly_segmented_wls_hac,6,5.191531177606662e-76,0.5200337010186178
smog_index,readability,2022-11-30,136,95,41,17.449321121301516,18.00714159726607,0.16013530615612137,-0.0003576916457378389,-0.004292299748854067,-0.025578238475719606,0.06655829223361795,-0.1560324912536108,0.10487601430217158,0.7007573687438167,0.029656891749582553,0.35588270099499064,0.001666508338627795,0.01999810006353354,0.3166864248704649,0.39507897711951634,2.222387489290016,0.12488251681385434,1.9776177563348616,2.4671572222451705,7.613697312117029e-71,0.029299200103844715,0.3515904012461366,0.856933285283182,monthly_segmented_wls_hac,6,7.613697312117029e-71,0.7007573687438166
marker_words_total_per_1k_words,marker_words,2022-11-30,136,95,41,3.4340288855672965,6.332853017660553,0.3743605698685649,0.005960912839748389,0.07153095407698068,0.3357152967345637,0.1961288783747394,-0.048697304879925574,0.7201278983490529,0.08695056259973429,0.10393085562235582,1.2471702674682699,0.008452661837461132,0.10143194204953358,1.0483636610511842,1.4459768738853556,3.3314680226770186,0.27094718358064673,2.8004115428589516,3.862524502495086,9.560098807137299e-35,0.10989176846210422,1.3187012215452505,0.953439698121579,monthly_segmented_wls_hac,6,1.147211856856476e-33,0.10434067511968115
clause_depth_std,syntax,2022-11-30,136,95,41,2.2578197193888236,2.1642944872400034,0.06099055687778927,-0.00026958839931631723,-0.0032350607917958065,0.0427946904034642,0.014963268592208603,0.01346668396273534,0.07212269684419306,0.004236640214134728,-0.005706024121957016,-0.06847228946348419,0.0004940787770917904,0.005928945325101485,-0.0800930223006831,-0.056851556626285285,-1.1226703438810461,0.09721087375840323,-1.3132036564475165,-0.9321370313145759,7.484573635924497e-31,-0.0059756125212733335,-0.07170735025528,0.6008575409642828,monthly_segmented_wls_hac,6,3.742286817962249e-30,0.02118320107067364
sentence_depth_std,syntax,2022-11-30,136,95,41,2.2578197193888236,2.1642944872400034,0.06099055687778927,-0.00026958839931631723,-0.0032350607917958065,0.0427946904034642,0.014963268592208603,0.01346668396273534,0.07212269684419306,0.004236640214134728,-0.005706024121957016,-0.06847228946348419,0.0004940787770917904,0.005928945325101485,-0.0800930223006831,-0.056851556626285285,-1.1226703438810461,0.09721087375840323,-1.3132036564475165,-0.9321370313145759,7.484573635924497e-31,-0.0059756125212733335,-0.07170735025528,0.6008575409642828,monthly_segmented_wls_hac,6,3.742286817962249e-30,0.02118320107067364
