topic_id,topic_label
-1,-1 (outliers)
0,"data, learning, based, models, methods, model, protein"
1,"cell, model, cells, protein, dynamics, models, time"
2,"neural, brain, model, learning, eeg, neurons, network"
3,"model, epidemic, covid, 19, covid 19, disease, infection"
4,"species, population, model, dynamics, models, cooperation, evolutionary"
5,"model, data, cardiac, using, models, blood, heart"
6,"plant, study, crop, results, using, data, growth"
7,"cells, cell, tissue, drug, model, bone, cancer"
8,"life, light, model, energy, earth, atp, mitochondrial"
