scope,stage,topic_id,topic_label,metric,value
dataset,all,,,total_abstracts,38424.0
dataset,all,,,topics,9.0
dataset,all,-1.0,-1 (outliers),outlier_abstract_count,1.0
dataset,all,-1.0,-1 (outliers),outlier_abstract_share,2.6025400791172185e-05
topic,model,0.0,"data, learning, based, models, methods, model, protein",abstract_count,11311.0
topic,model,0.0,"data, learning, based, models, methods, model, protein",abstract_share,0.2943733083489486
topic,model,2.0,"neural, brain, model, learning, eeg, neurons, network",abstract_count,8666.0
topic,model,2.0,"neural, brain, model, learning, eeg, neurons, network",abstract_share,0.22553612325629815
topic,model,1.0,"cell, model, cells, protein, dynamics, models, time",abstract_count,7722.0
topic,model,1.0,"cell, model, cells, protein, dynamics, models, time",abstract_share,0.2009681449094316
topic,model,3.0,"model, epidemic, covid, 19, covid 19, disease, infection",abstract_count,4046.0
topic,model,3.0,"model, epidemic, covid, 19, covid 19, disease, infection",abstract_share,0.10529877160108266
topic,model,4.0,"species, population, model, dynamics, models, cooperation, evolutionary",abstract_count,3867.0
topic,model,4.0,"species, population, model, dynamics, models, cooperation, evolutionary",abstract_share,0.10064022485946283
topic,model,5.0,"model, data, cardiac, using, models, blood, heart",abstract_count,1091.0
topic,model,5.0,"model, data, cardiac, using, models, blood, heart",abstract_share,0.028393712263168853
topic,model,7.0,"cells, cell, tissue, drug, model, bone, cancer",abstract_count,690.0
topic,model,7.0,"cells, cell, tissue, drug, model, bone, cancer",abstract_share,0.017957526545908806
topic,model,6.0,"plant, study, crop, results, using, data, growth",abstract_count,522.0
topic,model,6.0,"plant, study, crop, results, using, data, growth",abstract_share,0.01358525921299188
topic,model,8.0,"life, light, model, energy, earth, atp, mitochondrial",abstract_count,508.0
topic,model,8.0,"life, light, model, energy, earth, atp, mitochondrial",abstract_share,0.01322090360191547
topic,model,-1.0,-1 (outliers),abstract_count,1.0
topic,model,-1.0,-1 (outliers),abstract_share,2.6025400791172185e-05
