year,topic_id,count,total,pct,topic_label
2015,0,413,2300,17.956521739130434,"data, learning, based, models, methods, model, protein"
2015,1,792,2300,34.43478260869565,"cell, model, cells, protein, dynamics, models, time"
2015,2,437,2300,19.0,"neural, brain, model, learning, eeg, neurons, network"
2015,3,145,2300,6.304347826086956,"model, epidemic, covid, 19, covid 19, disease, infection"
2015,4,336,2300,14.608695652173914,"species, population, model, dynamics, models, cooperation, evolutionary"
2015,5,50,2300,2.1739130434782608,"model, data, cardiac, using, models, blood, heart"
2015,6,27,2300,1.1739130434782608,"plant, study, crop, results, using, data, growth"
2015,7,41,2300,1.7826086956521738,"cells, cell, tissue, drug, model, bone, cancer"
2015,8,59,2300,2.5652173913043477,"life, light, model, energy, earth, atp, mitochondrial"
2016,0,474,2461,19.26046322633076,"data, learning, based, models, methods, model, protein"
2016,1,762,2461,30.96302316131654,"cell, model, cells, protein, dynamics, models, time"
2016,2,569,2461,23.12068264932954,"neural, brain, model, learning, eeg, neurons, network"
2016,3,172,2461,6.989028850060951,"model, epidemic, covid, 19, covid 19, disease, infection"
2016,4,310,2461,12.59650548557497,"species, population, model, dynamics, models, cooperation, evolutionary"
2016,5,65,2461,2.6412027631044293,"model, data, cardiac, using, models, blood, heart"
2016,6,22,2461,0.8939455505891915,"plant, study, crop, results, using, data, growth"
2016,7,47,2461,1.9097927671678179,"cells, cell, tissue, drug, model, bone, cancer"
2016,8,40,2461,1.6253555465258025,"life, light, model, energy, earth, atp, mitochondrial"
2017,0,524,2486,21.078037007240546,"data, learning, based, models, methods, model, protein"
2017,1,699,2486,28.11745776347546,"cell, model, cells, protein, dynamics, models, time"
2017,2,596,2486,23.974255832662912,"neural, brain, model, learning, eeg, neurons, network"
2017,3,153,2486,6.154465004022526,"model, epidemic, covid, 19, covid 19, disease, infection"
2017,4,319,2486,12.831858407079647,"species, population, model, dynamics, models, cooperation, evolutionary"
2017,5,76,2486,3.057119871279163,"model, data, cardiac, using, models, blood, heart"
2017,6,32,2486,1.2872083668543846,"plant, study, crop, results, using, data, growth"
2017,7,53,2486,2.131938857602574,"cells, cell, tissue, drug, model, bone, cancer"
2017,8,34,2486,1.3676588897827837,"life, light, model, energy, earth, atp, mitochondrial"
2018,0,597,2731,21.860124496521422,"data, learning, based, models, methods, model, protein"
2018,1,746,2731,27.316001464664957,"cell, model, cells, protein, dynamics, models, time"
2018,2,685,2731,25.082387403881363,"neural, brain, model, learning, eeg, neurons, network"
2018,3,132,2731,4.833394361039913,"model, epidemic, covid, 19, covid 19, disease, infection"
2018,4,327,2731,11.973636030757964,"species, population, model, dynamics, models, cooperation, evolutionary"
2018,5,92,2731,3.36872940314903,"model, data, cardiac, using, models, blood, heart"
2018,6,32,2731,1.171731966312706,"plant, study, crop, results, using, data, growth"
2018,7,78,2731,2.856096667887221,"cells, cell, tissue, drug, model, bone, cancer"
2018,8,42,2731,1.5378982057854267,"life, light, model, energy, earth, atp, mitochondrial"
2019,0,765,2916,26.234567901234566,"data, learning, based, models, methods, model, protein"
2019,1,718,2916,24.622770919067214,"cell, model, cells, protein, dynamics, models, time"
2019,2,690,2916,23.662551440329217,"neural, brain, model, learning, eeg, neurons, network"
2019,3,153,2916,5.246913580246913,"model, epidemic, covid, 19, covid 19, disease, infection"
2019,4,326,2916,11.179698216735254,"species, population, model, dynamics, models, cooperation, evolutionary"
2019,5,105,2916,3.60082304526749,"model, data, cardiac, using, models, blood, heart"
2019,6,53,2916,1.8175582990397805,"plant, study, crop, results, using, data, growth"
2019,7,63,2916,2.1604938271604937,"cells, cell, tissue, drug, model, bone, cancer"
2019,8,43,2916,1.4746227709190671,"life, light, model, energy, earth, atp, mitochondrial"
2020,0,880,4257,20.671834625322997,"data, learning, based, models, methods, model, protein"
2020,1,658,4257,15.45689452666197,"cell, model, cells, protein, dynamics, models, time"
2020,2,772,4257,18.134836739487902,"neural, brain, model, learning, eeg, neurons, network"
2020,3,1368,4257,32.1353065539112,"model, epidemic, covid, 19, covid 19, disease, infection"
2020,4,294,4257,6.906272022551092,"species, population, model, dynamics, models, cooperation, evolutionary"
2020,5,109,4257,2.560488607000235,"model, data, cardiac, using, models, blood, heart"
2020,6,68,4257,1.5973690392295041,"plant, study, crop, results, using, data, growth"
2020,7,59,4257,1.3859525487432462,"cells, cell, tissue, drug, model, bone, cancer"
2020,8,49,4257,1.1510453370918488,"life, light, model, energy, earth, atp, mitochondrial"
2021,0,856,3301,25.931535898212665,"data, learning, based, models, methods, model, protein"
2021,1,572,3301,17.328082399272947,"cell, model, cells, protein, dynamics, models, time"
2021,2,708,3301,21.44804604665253,"neural, brain, model, learning, eeg, neurons, network"
2021,3,563,3301,17.05543774613753,"model, epidemic, covid, 19, covid 19, disease, infection"
2021,4,335,3301,10.148439866707058,"species, population, model, dynamics, models, cooperation, evolutionary"
2021,5,88,3301,2.6658588306573767,"model, data, cardiac, using, models, blood, heart"
2021,6,36,3301,1.0905786125416541,"plant, study, crop, results, using, data, growth"
2021,7,102,3301,3.0899727355346864,"cells, cell, tissue, drug, model, bone, cancer"
2021,8,41,3301,1.2420478642835504,"life, light, model, energy, earth, atp, mitochondrial"
2022,0,1092,3225,33.86046511627907,"data, learning, based, models, methods, model, protein"
2022,1,541,3225,16.77519379844961,"cell, model, cells, protein, dynamics, models, time"
2022,2,758,3225,23.50387596899225,"neural, brain, model, learning, eeg, neurons, network"
2022,3,373,3225,11.565891472868216,"model, epidemic, covid, 19, covid 19, disease, infection"
2022,4,283,3225,8.775193798449612,"species, population, model, dynamics, models, cooperation, evolutionary"
2022,5,72,3225,2.2325581395348837,"model, data, cardiac, using, models, blood, heart"
2022,6,32,3225,0.992248062015504,"plant, study, crop, results, using, data, growth"
2022,7,38,3225,1.1782945736434107,"cells, cell, tissue, drug, model, bone, cancer"
2022,8,36,3225,1.1162790697674418,"life, light, model, energy, earth, atp, mitochondrial"
2023,0,1411,3789,37.239377144365264,"data, learning, based, models, methods, model, protein"
2023,1,601,3789,15.86170493533914,"cell, model, cells, protein, dynamics, models, time"
2023,2,839,3789,22.14304565848509,"neural, brain, model, learning, eeg, neurons, network"
2023,3,294,3789,7.759303246239114,"model, epidemic, covid, 19, covid 19, disease, infection"
2023,4,362,3789,9.553972024280814,"species, population, model, dynamics, models, cooperation, evolutionary"
2023,5,114,3789,3.008709422011085,"model, data, cardiac, using, models, blood, heart"
2023,6,58,3789,1.5307468989179203,"plant, study, crop, results, using, data, growth"
2023,7,69,3789,1.8210609659540775,"cells, cell, tissue, drug, model, bone, cancer"
