dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
prep->pobj,prep,pobj,78,0.0,0.1550695825049702,0.0,-0.1550695825049702,0.1550695825049702,-100.0
pobj->amod,pobj,amod,37,0.0,0.073558648111332,0.0,-0.073558648111332,0.073558648111332,-100.0
pobj->compound,pobj,compound,36,0.0,0.07157057654075547,0.0,-0.07157057654075547,0.07157057654075547,-100.0
ROOT->prep,ROOT,prep,32,0.0,0.0636182902584493,0.0,-0.0636182902584493,0.0636182902584493,-100.0
pobj->prep,pobj,prep,19,0.0,0.03777335984095427,0.0,-0.03777335984095427,0.03777335984095427,-100.0
ROOT->amod,ROOT,amod,17,0.0,0.033797216699801194,0.0,-0.033797216699801194,0.033797216699801194,-100.0
pobj->det,pobj,det,16,0.0,0.03180914512922465,0.0,-0.03180914512922465,0.03180914512922465,-100.0
compound->compound,compound,compound,16,0.0,0.03180914512922465,0.0,-0.03180914512922465,0.03180914512922465,-100.0
compound->amod,compound,amod,14,0.0,0.027833001988071572,0.0,-0.027833001988071572,0.027833001988071572,-100.0
ROOT->compound,ROOT,compound,13,0.0,0.02584493041749503,0.0,-0.02584493041749503,0.02584493041749503,-100.0
ROOT->appos,ROOT,appos,10,0.0,0.019880715705765408,0.0,-0.019880715705765408,0.019880715705765408,-100.0
amod->npadvmod,amod,npadvmod,9,0.0,0.017892644135188866,0.0,-0.017892644135188866,0.017892644135188866,-100.0
ROOT->conj,ROOT,conj,9,0.0,0.017892644135188866,0.0,-0.017892644135188866,0.017892644135188866,-100.0
dobj->amod,dobj,amod,9,0.0,0.017892644135188866,0.0,-0.017892644135188866,0.017892644135188866,-100.0
dobj->compound,dobj,compound,8,0.0,0.015904572564612324,0.0,-0.015904572564612324,0.015904572564612324,-100.0
appos->amod,appos,amod,8,0.0,0.015904572564612324,0.0,-0.015904572564612324,0.015904572564612324,-100.0
ROOT->dobj,ROOT,dobj,7,0.0,0.013916500994035786,0.0,-0.013916500994035786,0.013916500994035786,-100.0
ROOT->nsubj,ROOT,nsubj,7,0.0,0.013916500994035786,0.0,-0.013916500994035786,0.013916500994035786,-100.0
appos->prep,appos,prep,7,0.0,0.013916500994035786,0.0,-0.013916500994035786,0.013916500994035786,-100.0
conj->conj,conj,conj,7,0.0,0.013916500994035786,0.0,-0.013916500994035786,0.013916500994035786,-100.0
conj->prep,conj,prep,7,0.0,0.013916500994035786,0.0,-0.013916500994035786,0.013916500994035786,-100.0
conj->compound,conj,compound,7,0.0,0.013916500994035786,0.0,-0.013916500994035786,0.013916500994035786,-100.0
ROOT->acl,ROOT,acl,6,0.0,0.011928429423459244,0.0,-0.011928429423459244,0.011928429423459244,-100.0
