paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
1502.00155v1,2015,2015-01-31,10.0,10,0,0,0,2,2,3,2,4,5,0.0,0.0,0.0,400.0,500.0,0.0,0.4,0.5,1.25
1501.07898v1,2015,2015-01-30,12.0,12,0,0,0,2,2,1,3,4,4,0.0,0.0,0.0,333.3333333333333,333.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
1503.00178v1,2015,2015-02-28,7.0,7,0,0,0,1,1,1,1,2,2,0.0,0.0,0.0,285.7142857142857,285.7142857142857,0.0,0.2857142857142857,0.2857142857142857,1.0
1505.01143v1,2015,2015-02-28,29.0,30,1,0,1,3,3,7,2,6,9,34.48275862068965,0.0,34.48275862068965,206.89655172413794,310.3448275862069,1.0,0.2,0.3,1.5
1504.00033v1,2015,2015-03-31,3.0,3,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,666.6666666666666,0.0,0.0,0.6666666666666666,
1503.09182v4,2015,2015-03-31,9.0,10,0,0,0,0,1,1,3,1,4,0.0,0.0,0.0,111.1111111111111,444.4444444444444,0.0,0.1,0.4,4.0
1504.07902v1,2015,2015-04-29,14.0,14,0,1,1,2,2,4,2,4,6,0.0,71.42857142857143,71.42857142857143,285.7142857142857,428.57142857142856,0.0,0.2857142857142857,0.42857142857142855,1.5
1504.07392v1,2015,2015-04-28,11.0,11,0,0,0,2,2,1,3,4,4,0.0,0.0,0.0,363.6363636363636,363.6363636363636,0.0,0.36363636363636365,0.36363636363636365,1.0
1506.00136v3,2015,2015-05-30,20.0,22,2,1,3,2,3,7,3,5,10,100.0,50.0,150.0,250.0,500.0,0.6666666666666666,0.22727272727272727,0.45454545454545453,2.0
1506.00131v1,2015,2015-05-30,11.0,11,0,1,1,1,1,3,0,2,3,0.0,90.9090909090909,90.9090909090909,181.8181818181818,272.7272727272727,0.0,0.18181818181818182,0.2727272727272727,1.5
1506.09178v1,2015,2015-06-30,14.0,14,0,1,1,2,2,3,2,4,5,0.0,71.42857142857143,71.42857142857143,285.7142857142857,357.14285714285717,0.0,0.2857142857142857,0.35714285714285715,1.25
1506.09008v1,2015,2015-06-30,9.0,9,0,0,0,1,1,3,0,2,3,0.0,0.0,0.0,222.2222222222222,333.3333333333333,0.0,0.2222222222222222,0.3333333333333333,1.5
1507.08408v1,2015,2015-07-30,11.0,11,0,0,0,1,0,1,4,1,5,0.0,0.0,0.0,90.9090909090909,454.5454545454545,0.0,0.09090909090909091,0.45454545454545453,5.0
1507.08335v2,2015,2015-07-29,15.0,15,0,1,1,2,2,2,4,4,6,0.0,66.66666666666667,66.66666666666667,266.6666666666667,400.0,0.0,0.26666666666666666,0.4,1.5
1510.01935v1,2015,2015-08-29,10.0,11,0,0,0,1,1,2,3,2,5,0.0,0.0,0.0,200.0,500.0,0.0,0.18181818181818182,0.45454545454545453,2.5
1508.07280v1,2015,2015-08-28,9.0,9,1,0,1,1,1,1,1,2,2,111.1111111111111,0.0,111.1111111111111,222.2222222222222,222.2222222222222,1.0,0.2222222222222222,0.2222222222222222,1.0
1509.08913v1,2015,2015-09-29,9.0,9,1,0,1,2,2,1,2,4,3,111.1111111111111,0.0,111.1111111111111,444.4444444444444,333.3333333333333,1.0,0.4444444444444444,0.3333333333333333,0.75
1509.08551v1,2015,2015-09-29,6.0,6,0,0,0,1,1,1,1,2,2,0.0,0.0,0.0,333.3333333333333,333.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
1511.00139v1,2015,2015-10-31,4.0,4,0,0,0,1,1,0,0,2,0,0.0,0.0,0.0,500.0,0.0,0.0,0.5,0.0,0.0
1511.00127v1,2015,2015-10-31,8.0,8,0,0,0,2,2,1,1,4,2,0.0,0.0,0.0,500.0,250.0,0.0,0.5,0.25,0.5
1512.00424v1,2015,2015-11-30,15.0,17,1,0,1,2,2,1,4,4,5,66.66666666666667,0.0,66.66666666666667,266.6666666666667,333.3333333333333,1.0,0.23529411764705882,0.29411764705882354,1.25
1512.00423v1,2015,2015-11-30,24.0,25,2,0,2,4,4,2,5,8,7,83.33333333333333,0.0,83.33333333333333,333.3333333333333,291.6666666666667,1.0,0.32,0.28,0.875
1512.08470v1,2015,2015-12-28,11.0,11,0,0,0,1,1,1,2,2,3,0.0,0.0,0.0,181.8181818181818,272.7272727272727,0.0,0.18181818181818182,0.2727272727272727,1.5
1512.08408v1,2015,2015-12-28,8.0,8,0,0,0,1,1,0,3,2,3,0.0,0.0,0.0,250.0,375.0,0.0,0.25,0.375,1.5
1601.06930v1,2016,2016-01-26,19.0,21,0,1,1,2,2,8,4,4,12,0.0,52.63157894736842,52.63157894736842,210.52631578947367,631.578947368421,0.0,0.19047619047619047,0.5714285714285714,3.0
1601.06764v1,2016,2016-01-25,12.0,12,0,1,1,1,1,3,3,2,6,0.0,83.33333333333333,83.33333333333333,166.66666666666666,500.0,0.0,0.16666666666666666,0.5,3.0
1602.08889v1,2016,2016-02-29,13.0,13,1,0,1,4,4,1,2,8,3,76.92307692307693,0.0,76.92307692307693,615.3846153846155,230.76923076923077,1.0,0.6153846153846154,0.23076923076923078,0.375
1602.08776v3,2016,2016-02-28,8.0,8,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,500.0,375.0,0.0,0.5,0.375,0.75
