dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
prep->pobj,prep,pobj,38778.0,23307.0,0.15698069823175076,0.14599815834476537,-0.010982539886985387,0.010982539886985387,-6.996108445620399
ROOT->prep,ROOT,prep,17275.0,9572.0,0.06993247619664486,0.05996028539392003,-0.00997219080272483,0.00997219080272483,-14.259742175700714
pobj->det,pobj,det,6790.0,2978.0,0.0274872077207073,0.018654589417372948,-0.008832618303334351,0.008832618303334351,-32.13355970195677
appos->amod,appos,amod,2198.0,2456.0,0.008897920849795972,0.015384711755899248,0.006486790906103277,0.006486790906103277,72.9023219649343
amod->npadvmod,amod,npadvmod,3551.0,3237.0,0.014375121445689488,0.020276999981207598,0.00590187853551811,0.00590187853551811,41.05619947501621
pobj->prep,pobj,prep,9989.0,5567.0,0.04043736640974156,0.03487243092226837,-0.005564935487473194,0.005564935487473194,-13.761864289294007
appos->prep,appos,prep,2284.0,2273.0,0.0092460651596606,0.014238375334348123,0.004992310174687523,0.004992310174687523,53.993889167776295
ROOT->appos,ROOT,appos,3415.0,2918.0,0.013824567653345424,0.018278741410307005,0.004454173756961581,0.004454173756961581,32.21926261023946
compound->compound,compound,compound,6388.0,4818.0,0.02585983548157264,0.030180594967395186,0.004320759485822546,0.004320759485822546,16.708379637223363
compound->amod,compound,amod,4881.0,3842.0,0.019759213679642465,0.02406680071912252,0.004307587039480056,0.004307587039480056,21.80039706700515
dobj->compound,dobj,compound,3996.0,3158.0,0.01617656583975646,0.019782133438570774,0.0036055675988143146,0.0036055675988143146,22.288832095333014
appos->compound,appos,compound,1352.0,1421.0,0.005473152406243928,0.00890133363401174,0.003428181227767812,0.003428181227767812,62.636319497641715
dobj->amod,dobj,amod,5645.0,4187.0,0.022852030571928233,0.02622792675975169,0.003375896187823458,0.003375896187823458,14.772849953957518
ROOT->conj,ROOT,conj,2457.0,1173.0,0.009946401969039445,0.007347828538139176,-0.0025985734309002684,0.0025985734309002684,-26.12576325578787
appos->det,appos,det,1709.0,1513.0,0.006918356111147095,0.00947763391151285,0.002559277800365756,0.002559277800365756,36.992571056615006
ROOT->cc,ROOT,cc,1874.0,854.0,0.007586307403329232,0.005349569967238582,-0.0022367374360906496,0.0022367374360906496,-29.483875582329595
