paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
1502.00155v1,2015,2015-01-31,10.0,10,0,0,0,2,2,3,2,4,5,0.0,0.0,0.0,400.0,500.0,0.0,0.4,0.5,1.25
1501.07898v1,2015,2015-01-30,12.0,12,0,0,0,2,2,1,3,4,4,0.0,0.0,0.0,333.3333333333333,333.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
1501.07616v1,2015,2015-01-29,15.0,15,0,0,0,4,4,3,2,8,5,0.0,0.0,0.0,533.3333333333334,333.3333333333333,0.0,0.5333333333333333,0.3333333333333333,0.625
1501.06887v1,2015,2015-01-27,19.0,19,0,0,0,3,3,3,2,6,5,0.0,0.0,0.0,315.7894736842105,263.1578947368421,0.0,0.3157894736842105,0.2631578947368421,0.8333333333333334
1501.06742v1,2015,2015-01-27,12.0,12,1,0,1,2,2,2,1,4,3,83.33333333333333,0.0,83.33333333333333,333.3333333333333,250.0,1.0,0.3333333333333333,0.25,0.75
1501.06907v1,2015,2015-01-26,16.0,16,1,1,2,1,1,2,5,2,7,62.5,62.5,125.0,125.0,437.5,0.5,0.125,0.4375,3.5
1501.05928v3,2015,2015-01-23,13.0,13,0,0,0,3,3,0,2,6,2,0.0,0.0,0.0,461.53846153846155,153.84615384615387,0.0,0.46153846153846156,0.15384615384615385,0.3333333333333333
1501.05267v3,2015,2015-01-21,13.0,13,1,1,2,1,2,2,3,3,5,76.92307692307693,76.92307692307693,153.84615384615387,230.76923076923077,384.61538461538464,0.5,0.23076923076923078,0.38461538461538464,1.6666666666666667
1501.04648v1,2015,2015-01-19,6.0,6,0,0,0,1,1,1,0,2,1,0.0,0.0,0.0,333.3333333333333,166.66666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5
1505.01141v1,2015,2015-01-19,33.0,34,0,1,1,3,3,8,4,6,12,0.0,30.303030303030305,30.303030303030305,181.8181818181818,363.6363636363636,0.0,0.17647058823529413,0.35294117647058826,2.0
1501.04240v1,2015,2015-01-17,17.0,17,1,0,1,3,3,4,2,6,6,58.8235294117647,0.0,58.8235294117647,352.94117647058823,352.94117647058823,1.0,0.35294117647058826,0.35294117647058826,1.0
1501.04071v2,2015,2015-01-16,8.0,8,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,500.0,375.0,0.0,0.5,0.375,0.75
1501.03971v1,2015,2015-01-16,4.0,4,0,0,0,0,0,0,3,0,3,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.75,
1501.03448v1,2015,2015-01-14,9.0,9,0,0,0,1,1,1,1,2,2,0.0,0.0,0.0,222.2222222222222,222.2222222222222,0.0,0.2222222222222222,0.2222222222222222,1.0
1501.03258v1,2015,2015-01-14,16.0,17,0,1,1,2,2,2,2,4,4,0.0,62.5,62.5,250.0,250.0,0.0,0.23529411764705882,0.23529411764705882,1.0
1501.03238v2,2015,2015-01-14,14.0,14,0,0,0,2,2,3,4,4,7,0.0,0.0,0.0,285.7142857142857,500.0,0.0,0.2857142857142857,0.5,1.75
1501.02709v1,2015,2015-01-12,9.0,10,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,444.4444444444444,333.3333333333333,0.0,0.4,0.3,0.75
1501.02664v1,2015,2015-01-12,8.0,8,0,0,0,3,3,0,0,6,0,0.0,0.0,0.0,750.0,0.0,0.0,0.75,0.0,0.0
1501.01472v1,2015,2015-01-07,17.0,18,0,0,0,2,4,2,3,6,5,0.0,0.0,0.0,352.94117647058823,294.11764705882354,0.0,0.3333333333333333,0.2777777777777778,0.8333333333333334
1501.01470v1,2015,2015-01-07,16.0,17,2,0,2,4,4,2,2,8,4,125.0,0.0,125.0,500.0,250.0,1.0,0.47058823529411764,0.23529411764705882,0.5
1501.01469v1,2015,2015-01-07,13.0,13,0,1,1,2,3,1,0,5,1,0.0,76.92307692307693,76.92307692307693,384.61538461538464,76.92307692307693,0.0,0.38461538461538464,0.07692307692307693,0.2
1501.01465v1,2015,2015-01-07,17.0,17,2,1,3,3,3,1,5,6,6,117.6470588235294,58.8235294117647,176.47058823529412,352.94117647058823,352.94117647058823,0.6666666666666666,0.35294117647058826,0.35294117647058826,1.0
1501.01443v1,2015,2015-01-07,9.0,9,0,0,0,2,2,1,3,4,4,0.0,0.0,0.0,444.4444444444444,444.4444444444444,0.0,0.4444444444444444,0.4444444444444444,1.0
1501.01442v1,2015,2015-01-07,15.0,17,0,0,0,3,3,3,1,6,4,0.0,0.0,0.0,400.0,266.6666666666667,0.0,0.35294117647058826,0.23529411764705882,0.6666666666666666
1501.01441v1,2015,2015-01-07,17.0,18,1,1,2,4,3,2,3,7,5,58.8235294117647,58.8235294117647,117.6470588235294,411.7647058823529,294.11764705882354,0.5,0.3888888888888889,0.2777777777777778,0.7142857142857143
1501.01440v1,2015,2015-01-07,16.0,16,2,0,2,3,3,0,4,6,4,125.0,0.0,125.0,375.0,250.0,1.0,0.375,0.25,0.6666666666666666
1501.01439v1,2015,2015-01-07,14.0,15,0,0,0,5,5,1,1,10,2,0.0,0.0,0.0,714.2857142857143,142.85714285714286,0.0,0.6666666666666666,0.13333333333333333,0.2
1501.01437v1,2015,2015-01-07,11.0,12,0,0,0,3,3,1,3,6,4,0.0,0.0,0.0,545.4545454545454,363.6363636363636,0.0,0.5,0.3333333333333333,0.6666666666666666
