year,paper_count,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
2015,2300,25223.0,25601,745,810,1555,3964,3973,4757,3613,7937,8370,29.536534115688063,32.1135471593387,61.650081275026764,314.6731158070015,331.83998731316655,0.4790996784565916,0.31002695207218467,0.3269403538924261,1.054554617613708
2016,2461,26816.0,27227,708,851,1559,4115,4093,5306,3811,8208,9117,26.40214797136038,31.734785202863964,58.136933174224346,306.0859188544153,339.9835918854415,0.4541372674791533,0.30146545708304257,0.3348514342380725,1.1107456140350878
2017,2486,27402.0,27836,741,841,1582,4182,4133,5440,3852,8315,9292,27.041821764834683,30.691190424056636,57.73301218889132,303.44500401430554,339.099335814904,0.4683944374209861,0.2987138956746659,0.3338123293576663,1.117498496692724
2018,2731,30332.0,30816,790,879,1669,4537,4534,6076,4346,9071,10422,26.04510088355532,28.97929579322168,55.024396676777,299.057101411051,343.5975207701437,0.4733373277411624,0.2943600726895119,0.3382009345794392,1.148936170212766
2019,2916,32888.0,33481,767,956,1723,4937,4923,6565,4968,9860,11533,23.321576258817807,29.0683531987351,52.38992945755291,299.8054001459499,350.6750182437363,0.4451538015089959,0.29449538544248977,0.3444640243720319,1.1696754563894523
2020,4257,48814.0,50564,1357,1666,3023,7681,7621,9136,7145,15302,16281,27.799401810955874,34.129552997091004,61.928954808046875,313.4756422337854,333.5313639529643,0.4488918293086338,0.30262637449568863,0.321987975634839,1.063978564893478
2021,3301,37309.0,38272,896,1178,2074,5522,5476,7312,5569,10998,12881,24.015653059583478,31.574151009139886,55.58980406872337,294.7814200326999,345.2518159157308,0.43201542912246865,0.2873641304347826,0.33656459030100333,1.1712129478086926
2022,3225,36457.0,37254,786,1114,1900,5306,5222,7358,5603,10528,12961,21.55964560989659,30.556546067970487,52.11619167786707,288.7785610445182,355.5147159667554,0.41368421052631577,0.28260052611800074,0.3479089493745638,1.2310980243161094
2023,3789,43325.0,44204,830,1224,2054,6304,6260,8935,6740,12564,15675,19.157530294287366,28.251586843623773,47.40911713791113,289.9942296595499,361.800346220427,0.4040895813047712,0.2842276717039182,0.3546059180164691,1.2476122254059216
2024,4383,50627.0,51711,935,1463,2398,7198,7151,10415,8148,14349,18563,18.468406186422268,28.89762379757837,47.36602998400063,283.4258399668161,366.66205779524756,0.38990825688073394,0.2774844810581888,0.35897584653168574,1.2936790020210467
2025,5067,59211.0,60455,936,1761,2697,8247,8161,12702,9412,16408,22114,15.807873537011703,29.7410954045701,45.5489689415818,277.11067200351283,373.4779010656803,0.3470522803114572,0.2714084856504838,0.36579273840046317,1.3477571916138469
2026,1508,17880.0,18234,277,567,844,2413,2406,3919,2866,4819,6785,15.492170022371365,31.711409395973153,47.20357941834452,269.51901565995524,379.4742729306488,0.3281990521327014,0.26428649775145335,0.37210705275858286,1.4079684581863456
