feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.5389653853903192,1.4495729375469244,0.6412268631711917,0.4479557337592694,0.0021277458010687967,0.02553294961282556,0.8083460743757328,0.12188902690515395,0.569443581641631,1.0472485671098346,1.8045222182827032,0.2721006066431039,1.2712050292622195,2.337839407303187,3.3157299951011686e-11,0.016784500756064746,strict_pretrend_counterfactual_wls_hac,6,1.8356441085096636e-10
verb_enhance_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.4095473788800327,1.107540996497704,0.5082266166673715,0.35521037824559415,0.001988957299401834,0.023867487592822006,0.599314379830333,0.09078909196938485,0.4213677595703387,0.7772610000903273,1.687209655276356,0.25559245317605234,1.1862484470512937,2.1881708635014188,4.079209130021475e-11,0.023102290169311757,strict_pretrend_counterfactual_wls_hac,6,1.8356441085096636e-10
gunning_fog,readability,2022-11-30,2023,107,95,12,19.420778826546957,19.92283330351419,19.421802151818113,0.45891303738059946,0.0007142167354053167,0.0085706008248638,0.5010311516960726,0.17814411059973334,0.15186869492059524,0.85019360847155,1.0917779859902792,0.388187077047431,0.33093131497731443,1.852624657003244,0.004915730222338056,0.0015705762175793891,strict_pretrend_counterfactual_wls_hac,6,0.03441011155636639
smog_index,readability,2022-11-30,2023,107,95,12,14.135154263403846,14.39394166047884,14.296125842023875,0.21303572962484604,0.0030774503048667523,0.03692940365840103,0.09781581845496705,0.04008749270103694,0.01924433276093465,0.17638730414899945,0.45915217427245564,0.18817262612065425,0.09033382707597333,0.8279705214689379,0.01468489264114309,0.15476169178339538,strict_pretrend_counterfactual_wls_hac,6,0.044582574816375044
automated_readability_index,readability,2022-11-30,2023,107,95,12,16.404459840913066,17.411527436216925,17.031913183817522,0.5206935367513801,0.012011637320546106,0.14413964784655325,0.37961425239939833,0.16199015012926313,0.062113558146042636,0.697114946652754,0.7290550498625757,0.3111045916565888,0.11929005021566173,1.3388200495094897,0.019106817778446448,0.3744608440909606,strict_pretrend_counterfactual_wls_hac,6,0.044582574816375044
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.01832537108013058,0.0,0.037704440052078944,0.08005339814210834,0.0003503464086486676,0.004204156903784012,-0.037704440052078944,0.014440714633805129,-0.066008240734337,-0.009400639369820891,-0.4709911250131716,0.1803885277695572,-0.8245526394415038,-0.11742961058483944,0.009028275388722239,0.014261016339732757,strict_pretrend_counterfactual_wls_hac,6,0.04514137694361119
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.01832537108013058,0.0,0.037704440052078944,0.08005339814210834,0.0003503464086486676,0.004204156903784012,-0.037704440052078944,0.014440714633805129,-0.066008240734337,-0.009400639369820891,-0.4709911250131716,0.1803885277695572,-0.8245526394415038,-0.11742961058483944,0.009028275388722239,0.014261016339732757,strict_pretrend_counterfactual_wls_hac,6,0.04514137694361119
flesch_kincaid_grade,readability,2022-11-30,2023,107,95,12,15.731855676076906,16.229410383858763,15.815587515338526,0.3993959486688892,0.002237734329415063,0.026852811952980754,0.4138228685202334,0.18815338359685707,0.04504223667039359,0.7826035003700733,1.0361218482546615,0.4710948727044842,0.11277589775387256,1.9594677987554505,0.027850128253840763,0.01884364728397081,strict_pretrend_counterfactual_wls_hac,6,0.04554038888775239
flesch_reading_ease,readability,2022-11-30,2023,107,95,12,1.2817637180599895,-2.047377151068301,1.305012317949274,2.9992235554118065,-0.005372789699943906,-0.06447347639932688,-3.352389469017575,1.568111940868282,-6.4258888731194075,-0.27889006491574264,-1.1177524472854032,0.522839298870795,-2.1425174730721612,-0.09298742149864511,0.03252884920553742,0.0018236832216383947,strict_pretrend_counterfactual_wls_hac,6,0.04554038888775239
verb_foster_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.005289605924358635,0.06598046978094482,-0.002162809709859634,0.05155670110980673,-0.00012731591030546433,-0.001527790923665572,0.06814327949080448,0.029921274432882713,0.009497581602354366,0.1267889773792546,1.3217152770436427,0.5803566517794777,0.18421623955586652,2.459214314531419,0.02276121538001233,0.005422597617202207,strict_pretrend_counterfactual_wls_hac,6,0.06828364614003699
dale_chall,readability,2022-11-30,2023,107,95,12,14.78474658637975,15.087572328976746,14.927236197451212,0.18923800107628674,0.0028947614859135204,0.034737137830962245,0.160336131525535,0.08751230204449649,-0.011187980481678128,0.3318602435327481,0.8472723798266044,0.462445711467952,-0.05912121465058153,1.7536659743037903,0.06692828039535852,0.14982747658700402,strict_pretrend_counterfactual_wls_hac,6,0.07808299379458493
colon_per_1k_words,punctuation,2022-11-30,2023,107,95,12,16.439521003485325,21.676059329687824,20.17378692780365,2.9128713929323253,0.0678512432819437,0.8142149193833244,1.5022724018841769,0.7398997651265948,0.052068862236051006,2.9524759415323025,0.5157359180117703,0.25401044719030785,0.01787544151876695,1.0135963945047735,0.04231865327424025,0.40762072262379256,strict_pretrend_counterfactual_wls_hac,6,0.12695595982272076
hedge_ratio,other,2022-11-30,2023,107,95,12,0.00038835625508016285,0.00026193208830617356,0.00040275219115969976,0.00031567540822723816,3.319692966647386e-07,3.983631559976863e-06,-0.00014082010285352615,7.708701904235216e-05,-0.00029191066017653636,1.0270454469484068e-05,-0.4460914571848978,0.24419709940427559,-0.9247177720172779,0.03253485764748233,0.0677346528126922,0.0008242357479179008,strict_pretrend_counterfactual_wls_hac,6,0.1354693056253844
certainty_ratio,other,2022-11-30,2023,107,95,12,0.0001970973389884895,0.0005588069697798672,0.0003574183622395799,0.00024240753506999212,2.7382897228798964e-06,3.285947667455876e-05,0.00020138860754028727,0.0001409593244958942,-7.489166847166534e-05,0.0004776688835522399,0.8307852620263593,0.5814972890805311,-0.3089494245714817,1.9705199486242002,0.15309043573283918,0.0871306543353777,strict_pretrend_counterfactual_wls_hac,6,0.15309043573283918
verb_align_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.06694617886708917,0.26138914465028756,0.13841185833681524,0.16563781959701662,0.0013360633314247708,0.01603275997709725,0.12297728631347234,0.07368262614448098,-0.02144066092971038,0.26739523355665507,0.7424469038089616,0.44484180197339496,-0.12944302805889238,1.6143368356768157,0.09511473515270494,0.04579345341798591,strict_pretrend_counterfactual_wls_hac,6,0.21400815409358612
dependency_entropy,syntax,2022-11-30,2023,107,95,12,1.831780418329167,1.837777952734125,1.858065931922454,0.02430374663785438,0.00045624188768444117,0.005474902652213294,-0.020287979188329076,0.008831529165048136,-0.03759777635182342,-0.002978182024834731,-0.8347675562388174,0.36338138710237206,-1.5469950749594663,-0.12254003751816823,0.021606133931894284,0.24104589507936958,strict_pretrend_counterfactual_wls_hac,6,0.21606133931894284
causal_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.0061131100414884105,0.0,0.009373265593614339,0.03410114437819077,5.569769368491578e-05,0.0006683723242189894,-0.009373265593614339,0.006748048670293659,-0.02259944098738991,0.0038529098001612323,-0.27486659948013265,0.19788334946933164,-0.6627179644400227,0.11298476547975742,0.16482256658840228,0.0017766953884024161,strict_pretrend_counterfactual_wls_hac,6,0.2939194679984787
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.037768710623618126,0.01759479194158529,0.056590399837480376,0.12912761196538614,0.0003164257649706027,0.0037971091796472328,-0.03899560789589508,0.02884132912347882,-0.09552461297791356,0.0175333971861234,-0.30199279071580926,0.22335524280593066,-0.7397690666154334,0.13578348518381483,0.1763516807990872,0.004470026092372015,strict_pretrend_counterfactual_wls_hac,6,0.2939194679984787
list_of_three_per_1k_words,syntax,2022-11-30,2023,107,95,12,2.8753384172144782,2.4868205114514272,2.948807755257727,1.1488445392222038,0.0014466868843308108,0.01736024261196973,-0.4619872438063004,0.24542887536997804,-0.9430278395314573,0.019053351918856543,-0.40213207969729065,0.21363105885165234,-0.8208489550465292,0.016584795651947943,0.059786187818395606,0.0011805758954406276,strict_pretrend_counterfactual_wls_hac,6,0.29893093909197804
em_dash_per_1k_words,punctuation,2022-11-30,2023,107,95,12,0.6874779120633054,1.057058422924009,1.1949473434452016,0.5623955413388378,0.009160664321334064,0.10992797185600878,-0.1378889205211925,0.13674657620382563,-0.4059122098806907,0.1301343688383057,-0.2451813899394266,0.24315017839275,-0.7217557395892166,0.23139295971036336,0.3132846761476935,0.18745669576713375,strict_pretrend_counterfactual_wls_hac,6,0.3218343672577051
semicolon_per_1k_words,punctuation,2022-11-30,2023,107,95,12,0.08593279449883372,0.10131103757390376,0.05350964127467247,0.16672860329619263,-0.000626187570681761,-0.007514250848181132,0.047801396299231316,0.04825034939804231,-0.04676928852093161,0.14237208111939426,0.2867018337238293,0.2893945516494598,-0.28051148750911187,0.8539151549567706,0.3218343672577051,0.011022143854701905,strict_pretrend_counterfactual_wls_hac,6,0.3218343672577051
adjective_pivotal_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.004821591541833949,0.03398993897806249,9.19875887749046e-05,0.036029731520862106,-9.698886326889216e-05,-0.001163866359226706,0.03389795138928758,0.01857080963519055,-0.002500835495685902,0.07029673827426106,0.9408327500209049,0.5154301420324932,-0.06941032836278162,1.9510758284045915,0.0679504705858392,0.005257198356459103,strict_pretrend_counterfactual_wls_hac,6,0.3287294012059471
