feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.5389653853903192,1.7387578054002635,0.7213011672623572,0.4479557337592694,0.0032927524512477496,0.03951302941497299,1.017456638137932,0.20425431455851287,0.6171181816032467,1.4177950946726172,2.2713329944442933,0.4559698630139173,1.3776320629370153,3.165033925951571,6.315115310310144e-07,0.48327767171298686,pretrend_plus_first_two_year_indicator_wls_hac,6,5.68360377927913e-06
verb_enhance_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.4095473788800327,1.3413943727621482,0.5762728981765681,0.35521037824559415,0.0029585175213071285,0.03550221025568554,0.7651214745856001,0.1612628493606282,0.4490462898387688,1.0811966593324314,2.1539952699709453,0.453992504828027,1.2641699605080121,3.043820579433878,2.08958693101631e-06,0.4774307269069107,pretrend_plus_first_two_year_indicator_wls_hac,6,9.403141189573396e-06
colon_per_1k_words,punctuation,2022-11-30,2023-2024,119,95,24,16.439521003485325,23.137323916442604,20.842942021137652,2.9128713929323253,0.07192416398967262,0.8630899678760715,2.2943818953049537,0.7160409228357494,0.8909416865468849,3.6978221040630226,0.7876701665826888,0.24581961447838804,0.3058637222050483,1.2694766109603295,0.0013540973345219302,0.6706855511971663,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00406229200356579
hedge_ratio,other,2022-11-30,2023-2024,119,95,24,0.00038835625508016285,0.00021476970695415837,0.0004006486264055148,0.00031567540822723816,2.574990736492047e-07,3.0899888837904563e-06,-0.0001858789194513654,6.567119447043966e-05,-0.00031459446061342714,-5.7163378289303685e-05,-0.5888292676810635,0.2080339258583184,-0.9965757623633675,-0.18108277299875944,0.0046482825738210455,0.06529463779220157,pretrend_plus_first_two_year_indicator_wls_hac,6,0.009296565147642091
certainty_ratio,other,2022-11-30,2023-2024,119,95,24,0.0001970973389884895,0.000633618300183202,0.000393147018180588,0.00024240753506999212,3.0557940367263418e-06,3.66695284407161e-05,0.00024047128200262394,0.00010030215319574082,4.387906173897193e-05,0.00043706350226627595,0.9920124056093838,0.4137748984031368,0.18101360473923553,1.8030112064795318,0.016508787235904952,0.3429027003221744,pretrend_plus_first_two_year_indicator_wls_hac,6,0.016508787235904952
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023-2024,119,95,24,0.13865172192783623,0.539973282335066,0.29090182386111024,0.20259500003992062,0.002471186661408281,0.02965423993689937,0.24907145847396533,0.08931976108123776,0.07400472675473932,0.4241381901931913,1.2294057524859285,0.44087840797471617,0.36528407285548486,2.093527432116372,0.005294669927472441,0.3719354476235991,pretrend_plus_first_two_year_indicator_wls_hac,6,0.031768019564834646
verb_align_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.06694617886708917,0.3226794556046521,0.16056331339426327,0.16563781959701662,0.001573814000766748,0.018885768009200977,0.1621161422103954,0.06641731494287,0.031938204922370206,0.29229407949842057,0.9787386878480459,0.4009791671036116,0.19281952032496724,1.7646578553711245,0.014651860481368233,0.212401500135031,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0439555814441047
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.01832537108013058,0.0,0.03950491276125996,0.08005339814210834,0.00034233018710073585,0.00410796224520883,-0.03950491276126045,0.015391247796983691,-0.06967175844334848,-0.009338067079172414,-0.4934820217267047,0.19226226686419506,-0.870316064780527,-0.11664797867288236,0.010266760715218096,0.030320227754837004,pretrend_plus_first_two_year_indicator_wls_hac,6,0.05133380357609048
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.01832537108013058,0.0,0.03950491276125996,0.08005339814210834,0.00034233018710073585,0.00410796224520883,-0.03950491276126045,0.015391247796983691,-0.06967175844334848,-0.009338067079172414,-0.4934820217267047,0.19226226686419506,-0.870316064780527,-0.11664797867288236,0.010266760715218096,0.030320227754837004,pretrend_plus_first_two_year_indicator_wls_hac,6,0.05133380357609048
verb_foster_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.005289605924358635,0.03739054766954913,-0.01050361690012023,0.05155670110980673,-0.0002593336194126923,-0.0031120034329523076,0.047894164569669925,0.021283390177326153,0.0061787198221106635,0.0896096093172292,0.9289609990302474,0.4128152057672632,0.11984319572641147,1.7380788023340834,0.02442945593565607,0.06334145617920006,pretrend_plus_first_two_year_indicator_wls_hac,6,0.054966275855226156
