feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
colon_per_1k_words,punctuation,2022-11-30,136,95,41,16.439521003485325,25.004310695217058,2.9128713929323253,0.06785124328190334,0.8142149193828401,0.0988804657552485,0.6063911940305743,-1.089646274544677,1.287407206055174,0.8704681843132579,0.18490932598759152,2.218911911851098,0.028426679754846407,0.3411201570581569,1.550316404017111,2.8875074196850856,0.7617610297642996,0.11710786747600227,0.5322296095113354,0.9912924500172641,7.780665367665874e-11,0.25276056926949486,3.0331268312339383,0.8267058717473554,monthly_segmented_wls_hac,6,2.3341996102997623e-10,0.8704681843132579
em_dash_per_1k_words,punctuation,2022-11-30,136,95,41,0.6874779120633054,0.8615367014748889,0.5623955413388378,0.00916066432133329,0.10992797185599948,-0.08651110753347109,0.12975338532173267,-0.3408277427640671,0.16780552769712492,0.5049414961315473,-0.017896977196290586,-0.21476372635548702,0.003943313960659366,0.04731976752791239,-0.3075104707101953,-0.12201698200077873,-0.38187309565829924,0.08413965625556533,-0.5467868219192074,-0.21695936939739124,5.663898685036149e-06,-0.008736312874957295,-0.10483575449948754,0.17626997911067555,monthly_segmented_wls_hac,6,8.495848027554225e-06,0.7574122441973209
smog_index,readability,2022-11-30,136,95,41,14.135154263403846,14.508984965580176,0.21303572962484596,0.0030774503048188848,0.03692940365782662,-0.01190068719936227,0.05726969090876162,-0.12414928138053505,0.10034790698181051,0.8353845132195011,0.008673010462786906,0.10407612555344287,0.001836460475847995,0.02203752571017594,0.06088257516149803,0.1472696759453877,0.48853835803374396,0.10344520963212993,0.28578574715476934,0.6912909689127186,2.32759855876573e-06,0.01175046076760579,0.1410055292112695,0.6186623241984395,monthly_segmented_wls_hac,6,1.629318991136011e-05,0.8353845132195011
marker_words_total_per_1k_words,marker_words,2022-11-30,136,95,41,1.2629776070644905,1.873249824598525,0.6059430719410707,-0.0004855258145371102,-0.005826309774445322,0.04033407510091652,0.24536837885284513,-0.44058794745065993,0.5212560976524929,0.8694306565130785,0.029518667085483237,0.35422400502579887,0.007387873970973642,0.08865448765168371,0.1804612092284988,0.5279868008230989,0.5845829772276825,0.14630827837950025,0.29781875160386195,0.8713472028515029,6.454249034534647e-05,0.029033141270946125,0.3483976952513535,0.26940460030487556,monthly_segmented_wls_hac,6,0.0007745098841441577,1.0
automated_readability_index,readability,2022-11-30,136,95,41,16.404459840913066,17.698420706538556,0.5206935367513801,0.01201163732049262,0.14413964784591143,0.14905200217342507,0.17886766929506812,-0.20152862964490842,0.49963263399175856,0.40467059670602756,0.01705031935261443,0.20460383223137313,0.004773609006357377,0.05728330807628852,0.09232854840184763,0.31687911606089864,0.39294482798442537,0.1100134801627854,0.17731840686536604,0.6085712491034848,0.0003545523734911015,0.02906195667310705,0.3487434800772846,0.7910061566039361,monthly_segmented_wls_hac,6,0.0012409333072188552,0.5665388353884386
gunning_fog,readability,2022-11-30,136,95,41,19.420778826546957,20.069835706929975,0.45891303738059946,0.0007142167353392137,0.008570600824070565,0.20036225478965924,0.21046449853910934,-0.21214816234699507,0.6128726719263136,0.34109685614264174,0.02065680598908803,0.24788167186905635,0.006339048255067542,0.07606857906081049,0.0987872569098678,0.396976086828245,0.5401495526994055,0.16575815647992373,0.215263565998755,0.8650355394000562,0.0011193954781739842,0.021371022724427244,0.2564522726931269,0.4499943100007626,monthly_segmented_wls_hac,6,0.0026119227824059634,0.5665388353884386
flesch_kincaid_grade,readability,2022-11-30,136,95,41,15.731855676076906,16.35274255962423,0.3993959486688893,0.002237734329361795,0.026852811952341543,0.17726020635272352,0.20657195657616453,-0.22762082853655893,0.582141241242006,0.3908350812448895,0.015459119015224856,0.18550942818269828,0.005456216128888475,0.0654745935466617,0.05717922483124134,0.31383963153415523,0.4644749872926,0.1639340453123675,0.1431642584803597,0.7857857161048404,0.004606954953274809,0.017696853344586653,0.21236224013503985,0.46916853863231034,monthly_segmented_wls_hac,6,0.008024828925793055,0.5665388353884386
dale_chall,readability,2022-11-30,136,95,41,14.78474658637975,15.166689012996912,0.18923800107628672,0.0028947614858634554,0.03473713783036146,0.08976328028037515,0.08533326330736785,-0.07748991580206581,0.2570164763628161,0.29283886862907804,0.0054472125174742075,0.06536655020969048,0.0019716776634480736,0.023660131961376882,0.018992691565391795,0.11174040885398917,0.3454197879808482,0.1250284394614741,0.100364046636359,0.5904755293253374,0.005732020661280752,0.008341974003337662,0.10010368804005194,0.6305607277876905,monthly_segmented_wls_hac,6,0.008024828925793055,0.5665388353884386
flesch_reading_ease,readability,2022-11-30,136,95,41,1.2817637180599895,-2.773181019119615,2.999223555411807,-0.00537278969995298,-0.06447347639943576,-1.6388858378988067,1.6558411681389564,-4.884334527451161,1.6065628516535477,0.32229129762266995,-0.11120003764547137,-1.3344004517456565,0.04161555694803234,0.49938668337638803,-2.3131983511633774,-0.355602552327936,-0.4449153012745118,0.16650532184414643,-0.7712657320890389,-0.11856487045998482,0.007538299715010675,-0.11657282734542435,-1.3988739281450921,0.39663598004726097,monthly_segmented_wls_hac,6,0.008794683000845788,0.5665388353884386
clause_depth,syntax,2022-11-30,136,95,41,5.749207151589282,5.84997158153609,0.11422832620928867,0.001536350699447153,0.018436208393365836,0.05932850496917218,0.03225004001264778,-0.0038815734556174736,0.12253858339396183,0.06582091931968119,-0.003152497131829435,-0.03782996558195322,0.001064738103452114,0.012776857241425368,-0.06287260577514694,-0.012787325388759499,-0.3311784986907828,0.11185366769723705,-0.5504116873773675,-0.1119453100041982,0.0030682189189821076,-0.001616146432382282,-0.019393757188587386,0.2673632704073764,monthly_segmented_wls_hac,6,0.0170069621036905,0.2056882502576345
avg_words_per_sentence,syntax,2022-11-30,136,95,41,11.078792246802173,11.502172131479192,0.31281004095316817,0.005694537484487943,0.06833444981385532,-0.08557710712496294,0.08962150382687603,-0.26123525462563996,0.09008104037571407,0.33964219105196203,0.005173049064506837,0.06207658877408205,0.0017703756174404527,0.021244507409285435,0.0204373542518826,0.10371582329628148,0.19844819745852002,0.06791504308669562,0.06533471300859663,0.3315616819084434,0.0034778428049144793,0.01086758654899478,0.13041103858793737,0.5266667902292371,monthly_segmented_wls_hac,6,0.0170069621036905,0.42455273881495253
dependency_length,syntax,2022-11-30,136,95,41,2.0162592230105583,2.087991136982655,0.04773272488038053,0.0008528359122684266,0.010234030947221119,-0.004933362152532678,0.012767907577196761,-0.029958461003838328,0.020091736698772972,0.6992095749873739,0.0008438285788505569,0.010125942946206683,0.0003013117596289371,0.003615741115547245,0.003039090359734083,0.017212795532679282,0.21213838035818328,0.07574973196289103,0.06366890571091686,0.3606078550054497,0.00510208863110715,0.0016966644911189837,0.020359973893427804,0.5343282965230804,monthly_segmented_wls_hac,6,0.0170069621036905,0.6992095749873739
word_across_per_1k_words,marker_words,2022-11-30,136,95,41,0.44402242636479333,0.7697074474763355,0.3832792200852072,0.0009070759705976747,0.010884911647172098,-0.14742630990883146,0.17835901561324707,-0.4970099805107957,0.2021573606931328,0.4084805143620655,0.01963517168294012,0.23562206019528145,0.006885200166734681,0.08262240200081616,0.07368215227368174,0.39756196811688116,0.6147530255955438,0.21556713140474532,0.1922414480422429,1.0372646031488446,0.004347328040658097,0.020542247653537796,0.24650697184245357,0.22433368468560433,monthly_segmented_wls_hac,6,0.026083968243948583,1.0
hedge_ratio,other,2022-11-30,136,95,41,0.0003883562550802024,0.0001791543830433175,0.00031567540822725096,3.319692966633486e-07,3.983631559960183e-06,-0.00014905224293809455,6.638271228145783e-05,-0.0002791623590097519,-1.8942126866437206e-05,0.02474584656981009,-3.5838244102860186e-06,-4.300589292343222e-05,1.858402420220434e-06,2.2300829042645206e-05,-8.671551784701683e-05,7.037320001523835e-07,-0.13623453649728962,0.07064480938784787,-0.27469836289747146,0.0022292899028921987,0.053799962628483806,-3.25185511362267e-06,-3.902226136347204e-05,0.13564637101715182,monthly_segmented_wls_hac,6,0.10759992525696761,0.048972386644936146
dependency_entropy,syntax,2022-11-30,136,95,41,1.8317804183291673,1.8483062550487483,0.02430374663785437,0.000456241887678216,0.005474902652138592,-0.021264907158494394,0.008224223282346661,-0.03738438479189385,-0.00514542952509494,0.009719748307604864,0.0002543945037519883,0.0030527340450238593,0.00013927554165120009,0.001671306499814401,-0.0002230266946123664,0.006328494784660086,0.12560754893112094,0.06876744251486118,-0.009176638398006937,0.26039173626024886,0.06776663244956296,0.0007106363914302043,0.008527636697162451,0.34085253188484277,monthly_segmented_wls_hac,6,0.1694165811239074,0.09719748307604864
