feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
dependency_entropy,syntax,2020-01-01,136,60,76,2.732186973032317,2.737826268855978,0.011915497436463687,0.0005803753194339916,0.006964503833207899,-0.002735368772630111,0.0026245461795543425,-0.007879479284556623,0.0024087417392964,0.29730717525416617,-0.0007961160858309655,-0.009553393029971586,4.588990444726417e-05,0.00055067885336717,-0.010632723582571238,-0.008474062477371935,-0.8017619978446211,0.04621534739137185,-0.8923440787317097,-0.7111799169575324,2.0284033500220016e-67,-0.00021574076639697395,-0.0025888891967636874,0.6571095346994298,monthly_segmented_wls_hac,6,2020,8.113613400088007e-66
gunning_fog,readability,2020-01-01,136,60,76,20.198634837922167,20.924893630547654,0.21051494689916397,-0.008740175493526271,-0.10488210592231526,-0.0387867138718444,0.07696195663338895,-0.18963214887328675,0.11205872112959794,0.6142806636779149,0.035552972798047075,0.4266356735765649,0.0025340603814133895,0.030408724576960672,0.367034573405722,0.4862367737474078,2.026628891966147,0.14444924232162173,1.7435083770157682,2.3097494069165254,1.020915422074736e-44,0.026812797304520804,0.3217535676542497,0.9344773657327735,monthly_segmented_wls_hac,6,2020,2.8585631818092608e-43
smog_index,readability,2020-01-01,136,60,76,17.61056590634047,18.09572623965803,0.14051079691939192,-0.005409675477524734,-0.06491610573029681,-0.0048279821415617985,0.051939416544038025,-0.10662923856787633,0.09697327428475273,0.9259400197114125,0.022403933878927362,0.26884720654712835,0.0016206067923128142,0.01944728150775377,0.23073053479193095,0.30696387830232574,1.9133562149061067,0.13840417913870537,1.642084023794244,2.184628406017969,1.8159348567588698e-43,0.016994258401402628,0.20393110081683152,0.9338569001024821,monthly_segmented_wls_hac,6,2020,2.5423087994624178e-42
dependency_entropy,syntax,2019-01-01,136,48,88,2.728613620527611,2.7390063753371363,0.010403733281467237,0.0005773753875843246,0.006928504651011896,0.00646849537232011,0.0018314497893300889,0.0028788537852331357,0.010058136959407084,0.00041258716839017486,-0.0007833750390595375,-0.00940050046871445,5.720493267048995e-05,0.0006864591920458794,-0.010745960485124374,-0.008055040452304527,-0.9035699219106373,0.06598200602361734,-1.0328946537169272,-0.7742451901043473,1.0998465314659018e-42,-0.00020599965147521286,-0.0024719958177025544,0.6639518674613869,monthly_segmented_wls_hac,6,2019,2.1996930629318035e-41
avg_syllables_per_word,readability,2020-01-01,136,60,76,1.9286107755145545,1.9699707333235466,0.0077548333926726176,-0.00022648868021724663,-0.0027178641626069595,-0.01024631791316108,0.004468930043934832,-0.01900542079927335,-0.0014872150270488094,0.021860100628542198,0.0017778225531388423,0.02133387063766611,0.0001305719274304395,0.001566863129165274,0.01826281890450217,0.024404922370830043,2.7510417770965967,0.20204987648680764,2.3550240191824536,3.1470595350107393,3.232266872300518e-42,0.0015513338729215957,0.01861600647505915,0.9423952615519636,monthly_segmented_wls_hac,6,2020,3.01678241414715e-41
gunning_fog,readability,2019-01-01,136,48,88,20.25347935497907,20.795943149522234,0.19618433222181683,-0.009935224934988527,-0.11922269921986232,-0.3174422758403519,0.0772443294474798,-0.4688411615574123,-0.16604339012329147,3.963677278990693e-05,0.0347513889206886,0.41701666704826323,0.0028098114768394617,0.03371773772207354,0.3509299011129991,0.48310343298352737,2.125636957475081,0.17186763764575452,1.788776387689402,2.46249752726076,3.90017299459039e-35,0.024816163985700076,0.2977939678284009,0.9272667762223886,monthly_segmented_wls_hac,6,2019,2.730121096213273e-34
smog_index,readability,2019-01-01,136,48,88,17.644188107038364,18.0112286301886,0.134381348144721,-0.006413014312986291,-0.0769561717558355,-0.18428050198413992,0.0478831394328845,-0.27813145527259353,-0.09042954869568631,0.00011882060967519759,0.022304205455281667,0.26765046546338,0.001835715963588927,0.022028591563067124,0.22447442599976847,0.31082650492699154,1.9917233243942145,0.16392596046397448,1.6704284418848248,2.313018206903604,5.7267640422432115e-34,0.015891191142295376,0.1906942937075445,0.9297235667193744,monthly_segmented_wls_hac,6,2019,3.206987863656199e-33
word_within_per_1k_words,marker_words,2021-01-01,136,72,64,0.470773129359157,0.6326366645200393,0.08154817960351053,-0.0012986475290169685,-0.015583770348203622,-0.034389787148670914,0.020123682111272488,-0.073832204086765,0.005052629789423162,0.08746554541871153,0.008861592972097824,0.10633911566517389,0.0007570189059970833,0.009084226871965,0.08853403099612248,0.1241442003342253,1.3040035495850129,0.11139705283591562,1.0856653260266182,1.5223417731434077,1.188810780719135e-31,0.007562945443080856,0.09075534531697027,0.7776296544991939,monthly_segmented_wls_hac,6,2021,5.706291747451848e-30
flesch_kincaid_grade,readability,2020-01-01,136,60,76,16.968026484822985,17.623558136710027,0.13095261194718127,-0.0024753422073424507,-0.029704106488109408,-0.07888813877050671,0.06266601274912201,-0.20171352375878585,0.043937246217772424,0.20807858666473078,0.023801244793765764,0.2856149375251892,0.002141729258316794,0.02570075109980153,0.23524146536957818,0.3359884096808001,2.181055675624017,0.19625993493102473,1.7963862031592086,2.5657251480888252,1.0833587032244798e-28,0.021325902586423313,0.2559108310370798,0.9317797601116349,monthly_segmented_wls_hac,6,2020,5.055673948380906e-28
avg_syllables_per_word,readability,2019-01-01,136,48,88,1.930112427106612,1.9635116563902892,0.007638784131513108,-0.0002475125140277805,-0.002970150168333366,-0.02078765059490756,0.004994477499660443,-0.030576826494242027,-0.01099847469557309,3.152966411528389e-05,0.0016301285387139213,0.019561542464567056,0.00014694229917945433,0.001763307590153452,0.01610545958786629,0.023017625341267823,2.560818859099277,0.23083615923626996,2.1083799869961877,3.013257731202366,1.3465645635946247e-28,0.0013826160246861409,0.01659139229623369,0.9227421165023927,monthly_segmented_wls_hac,6,2019,5.386258254378499e-28
