feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
avg_syllables_per_word,readability,2022-11-30,136,95,41,1.9324119583401524,1.9964703956377667,0.009774247567948565,0.00019294043115765445,0.0023152851738918534,0.008334120381053037,0.004374191083820982,-0.0002392941432360872,0.01690753490534216,0.05674185445752907,0.0021636319325941296,0.025963583191129555,0.00011248162080802364,0.0013497794496962836,0.02331801546972484,0.02860915091253427,2.6563255136148385,0.13809548410891925,2.3856583647613565,2.92699266246832,1.8699926533873317e-82,0.0023565723637517843,0.02827886836502141,0.9518359326386039,monthly_segmented_wls_hac,6,1.3089948573711321e-81,0.39215577986901207
dale_chall,readability,2022-11-30,136,95,41,13.046063993279196,13.562103852645246,0.0664413736049767,0.002090483553928422,0.025085802647141064,-0.042674035081668005,0.026854717163057654,-0.095309280721261,0.009961210557924996,0.11204450853400345,0.020086806782082283,0.24104168138498738,0.00115478033512963,0.01385736402155556,0.21388124790273852,0.2682021148672363,3.62788528151279,0.2085652849976237,3.2190973229174484,4.036673240108133,9.084286856323849e-68,0.022177290336010704,0.26612748403212844,0.9807047225948663,monthly_segmented_wls_hac,6,3.179500399713347e-67,0.39215577986901207
word_across_per_1k_words,marker_words,2022-11-30,136,95,41,0.5038988947188675,1.212705601076672,0.11029251393745039,0.002858024242257043,0.03429629090708451,-0.22487863661457944,0.060886092308288196,-0.3442153775388243,-0.10554189569033458,0.0002212477652270653,0.034890320895236374,0.4186838507428365,0.0021627198598812908,0.02595263831857549,0.3678166796384285,0.4695510218472444,3.7961221101577434,0.235307342194538,3.334919719456449,4.2573245008590375,1.5051705477943407e-58,0.037748345137493415,0.45298014164992095,0.9660808053850621,monthly_segmented_wls_hac,6,1.806204657353209e-57,0.002654973182724784
flesch_reading_ease,readability,2022-11-30,136,95,41,16.13711936172145,9.7796024071981,1.027293485292101,-0.027546646837043193,-0.3305597620445183,-0.09089597452178866,0.4105089608335958,-0.8954935377556363,0.713701588712059,0.8247633720326597,-0.21949420971829908,-2.633930516619589,0.01510502239786634,0.18126026877439608,-2.989200643417405,-2.2786603898217725,-2.563951348207622,0.17644448384957534,-2.909782536552789,-2.218120159862454,7.68540184533531e-48,-0.24704085655534228,-2.9644902786641074,0.9600093367228963,monthly_segmented_wls_hac,6,1.793260430578239e-47,0.8247633720326597
verb_align_per_1k_words,verbs,2022-11-30,136,95,41,0.05076316345368879,0.1683822488676842,0.02875626832579364,0.0004261083008411038,0.005113299610093245,0.00010179108788212383,0.008040026743246637,-0.015656661328881286,0.01586024350464553,0.9898986196965256,0.004253078495288247,0.05103694194345896,0.0003325117991298253,0.003990141589557903,0.04321626442792547,0.05885761945899245,1.7748110208611498,0.13875728047713506,1.502846751125965,2.0467752905963343,1.846600809681941e-37,0.00467918679612935,0.0561502415535522,0.8162226110439625,monthly_segmented_wls_hac,6,1.661940728713747e-36,0.9898986196965256
flesch_kincaid_grade,readability,2022-11-30,136,95,41,17.059014355957416,17.972332772277717,0.19043974186740026,0.00460076944077851,0.05520923328934212,0.03678804656239956,0.07810992179921297,-0.11630740016405786,0.18988349328885698,0.6376565203530383,0.028990207854845303,0.34788249425814366,0.0028267045948842215,0.03392045513861066,0.2813984021864667,0.4143665863298205,1.8267326496397371,0.17811647299033234,1.4776243625786856,2.175840936700788,1.1141218830551742e-24,0.03359097729562381,0.40309172754748573,0.9320773389312326,monthly_segmented_wls_hac,6,1.949713295346555e-24,0.7439326070785447
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,136,95,41,0.13350826528630436,0.07793309126651013,0.0380896848616334,0.00023158058172402537,0.0027789669806883043,-0.03005115474954841,0.009289195373696792,-0.04825797768199412,-0.011844331817102698,0.0012161486175270354,-0.0020881510641412872,-0.025057812769695445,0.00020771870260547236,0.0024926244312656683,-0.029943356654976157,-0.020172268884414736,-0.6578634835316117,0.06544093080109503,-0.786127707901758,-0.5295992591614654,8.930886236517907e-24,-0.0018565704824172618,-0.022278845789007143,0.5424032089194684,monthly_segmented_wls_hac,6,4.4654431182589534e-23,0.0060807430876351765
marker_words_total_per_1k_words,marker_words,2022-11-30,136,95,41,2.795297009642411,5.18595907988517,0.3387838904045048,0.010255101910515537,0.12306122292618644,0.08122268822351127,0.1387425832526365,-0.19071277495165628,0.3531581513986788,0.5582653191373214,0.07625864877404709,0.9151037852885651,0.007632193302888577,0.09158631963466292,0.7355945988046257,1.0946129717725044,2.7011431511573343,0.2703384730758883,2.171279743928593,3.2310065583860754,1.6570120373652556e-23,0.08651375068456263,1.0381650082147516,0.9712963154684394,monthly_segmented_wls_hac,6,9.942072224191534e-23,0.5582653191373214
causal_marker_thereby_per_1k_words,causal_markers,2022-11-30,136,95,41,0.0799574121437567,0.1789781610590808,0.02658105576254672,0.0002530259060200211,0.003036310872240253,0.0018441785958932914,0.009846724234187434,-0.01745540090311408,0.021143758094900662,0.8514344085373529,0.003955533664704284,0.0474664039764514,0.00042130099938702674,0.005055611992644321,0.037557404470868534,0.05737540348203427,1.7857230502985735,0.1901960568386372,1.4129387788948446,2.1585073217023023,6.0656481647701435e-21,0.004208559570724304,0.05050271484869165,0.7913305205027871,monthly_segmented_wls_hac,6,1.5164120411925358e-20,0.8514344085373529
gunning_fog,readability,2022-11-30,136,95,41,20.280371364685802,21.355481135409775,0.2504029874691386,0.0035921733281577654,0.043106079937893185,0.13292401537476656,0.12522207062122706,-0.11251124304283847,0.37835927379237155,0.2884598767625649,0.037118327441738694,0.4454199293008643,0.003984670121741259,0.0478160414608951,0.3517004880375099,0.5391393705642188,1.778812360837991,0.19095635377268927,1.4045379074435203,2.1530868142324624,1.2162855029586155e-20,0.04071050076989646,0.48852600923875755,0.8970987551326683,monthly_segmented_wls_hac,6,1.7027997041420614e-20,0.4038438274675909
