topic_id,topic_label
-1,-1 (outliers)
0,"learning, data, model, neural, models, based, method"
1,"data, model, treatment, models, methods, based, method"
2,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
3,"graph, network, networks, model, data, causal, graphs"
4,"data, model, spatial, models, using, time, based"
5,"time, series, time series, model, data, forecasting, models"
6,"fairness, data, model, fair, learning, models, bias"
7,"time, data, detection, series, point, change point, time series"
8,"data, students, science, research, learning, data science, student"
