year,topic_id,count,total,pct,topic_label
2015,0,1726,3849,44.842816315926214,"learning, data, model, neural, models, based, method"
2015,1,914,3849,23.746427643543775,"data, model, treatment, models, methods, based, method"
2015,2,223,3849,5.793712652637049,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2015,3,378,3849,9.820732657833203,"graph, network, networks, model, data, causal, graphs"
2015,4,238,3849,6.1834242660431284,"data, model, spatial, models, using, time, based"
2015,5,78,3849,2.0265003897116136,"time, series, time series, model, data, forecasting, models"
2015,6,49,3849,1.2730579371265265,"fairness, data, model, fair, learning, models, bias"
2015,7,191,3849,4.962327877370746,"time, data, detection, series, point, change point, time series"
2015,8,52,3849,1.3510002598077422,"data, students, science, research, learning, data science, student"
2016,0,2270,4828,47.01739850869925,"learning, data, model, neural, models, based, method"
2016,1,1051,4828,21.768848384424192,"data, model, treatment, models, methods, based, method"
2016,2,309,4828,6.40016570008285,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2016,3,502,4828,10.3976801988401,"graph, network, networks, model, data, causal, graphs"
2016,4,269,4828,5.571665285832643,"data, model, spatial, models, using, time, based"
2016,5,105,4828,2.1748135874067938,"time, series, time series, model, data, forecasting, models"
2016,6,64,4828,1.3256006628003314,"fairness, data, model, fair, learning, models, bias"
2016,7,220,4828,4.556752278376139,"time, data, detection, series, point, change point, time series"
2016,8,38,4828,0.7870753935376968,"data, students, science, research, learning, data science, student"
2017,0,3326,6685,49.753178758414364,"learning, data, model, neural, models, based, method"
2017,1,1267,6685,18.952879581151834,"data, model, treatment, models, methods, based, method"
2017,2,509,6685,7.614061331338819,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2017,3,636,6685,9.513836948391923,"graph, network, networks, model, data, causal, graphs"
2017,4,401,6685,5.99850411368736,"data, model, spatial, models, using, time, based"
2017,5,174,6685,2.6028421839940163,"time, series, time series, model, data, forecasting, models"
2017,6,114,6685,1.7053103964098728,"fairness, data, model, fair, learning, models, bias"
2017,7,205,6685,3.066566940912491,"time, data, detection, series, point, change point, time series"
2017,8,53,6685,0.7928197456993269,"data, students, science, research, learning, data science, student"
2018,0,5653,11289,50.07529453450261,"learning, data, model, neural, models, based, method"
2018,1,1555,11289,13.77447072371335,"data, model, treatment, models, methods, based, method"
2018,2,1549,11289,13.721321640535034,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2018,3,964,11289,8.539286030649304,"graph, network, networks, model, data, causal, graphs"
2018,4,624,11289,5.5275046505447785,"data, model, spatial, models, using, time, based"
2018,5,350,11289,3.100363185401718,"time, series, time series, model, data, forecasting, models"
2018,6,236,11289,2.0905306050137304,"fairness, data, model, fair, learning, models, bias"
2018,7,257,11289,2.2765523961378333,"time, data, detection, series, point, change point, time series"
2018,8,101,11289,0.8946762335016388,"data, students, science, research, learning, data science, student"
2019,0,7923,15953,49.66463987964646,"learning, data, model, neural, models, based, method"
2019,1,1896,15953,11.884911928790823,"data, model, treatment, models, methods, based, method"
2019,2,2623,15953,16.442048517520217,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2019,3,1364,15953,8.550115965649093,"graph, network, networks, model, data, causal, graphs"
2019,4,931,15953,5.835892935498026,"data, model, spatial, models, using, time, based"
2019,5,521,15953,3.265843415031656,"time, series, time series, model, data, forecasting, models"
2019,6,302,15953,1.8930608662947406,"fairness, data, model, fair, learning, models, bias"
2019,7,284,15953,1.7802294239328025,"time, data, detection, series, point, change point, time series"
2019,8,109,15953,0.6832570676361812,"data, students, science, research, learning, data science, student"
2020,0,7923,16831,47.0738518210445,"learning, data, model, neural, models, based, method"
2020,1,2548,16831,15.138732101479413,"data, model, treatment, models, methods, based, method"
2020,2,2848,16831,16.921157388152814,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2020,3,1357,16831,8.062503713386015,"graph, network, networks, model, data, causal, graphs"
2020,4,900,16831,5.347275860020201,"data, model, spatial, models, using, time, based"
2020,5,550,16831,3.2677796922345674,"time, series, time series, model, data, forecasting, models"
2020,6,321,16831,1.9071950567405385,"fairness, data, model, fair, learning, models, bias"
2020,7,272,16831,1.6160655932505497,"time, data, detection, series, point, change point, time series"
2020,8,112,16831,0.6654387736914027,"data, students, science, research, learning, data science, student"
2021,0,3855,9422,40.91488006792613,"learning, data, model, neural, models, based, method"
2021,1,2312,9422,24.538314582891104,"data, model, treatment, models, methods, based, method"
2021,2,1093,9422,11.6005094459775,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2021,3,687,9422,7.2914455529611555,"graph, network, networks, model, data, causal, graphs"
2021,4,616,9422,6.537890044576524,"data, model, spatial, models, using, time, based"
2021,5,293,9422,3.1097431543196774,"time, series, time series, model, data, forecasting, models"
2021,6,225,9422,2.3880280195287624,"fairness, data, model, fair, learning, models, bias"
2021,7,263,9422,2.7913394183825093,"time, data, detection, series, point, change point, time series"
2021,8,78,9422,0.8278497134366377,"data, students, science, research, learning, data science, student"
2022,0,3697,9241,40.00649280380911,"learning, data, model, neural, models, based, method"
2022,1,2246,9241,24.30472892544097,"data, model, treatment, models, methods, based, method"
2022,2,1106,9241,11.96840168812899,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2022,3,688,9241,7.4450817011145975,"graph, network, networks, model, data, causal, graphs"
2022,4,680,9241,7.3585109836597775,"data, model, spatial, models, using, time, based"
2022,5,270,9241,2.9217617141002057,"time, series, time series, model, data, forecasting, models"
2022,6,218,9241,2.3590520506438697,"fairness, data, model, fair, learning, models, bias"
2022,7,260,9241,2.8135483172816795,"time, data, detection, series, point, change point, time series"
2022,8,76,9241,0.8224218158207987,"data, students, science, research, learning, data science, student"
2023,0,4100,9770,41.96519959058342,"learning, data, model, neural, models, based, method"
2023,1,2346,9770,24.012282497441145,"data, model, treatment, models, methods, based, method"
2023,2,1093,9770,11.187308085977483,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2023,3,704,9770,7.205731832139202,"graph, network, networks, model, data, causal, graphs"
2023,4,653,9770,6.683725690890481,"data, model, spatial, models, using, time, based"
2023,5,293,9770,2.9989764585465712,"time, series, time series, model, data, forecasting, models"
2023,6,247,9770,2.528147389969294,"fairness, data, model, fair, learning, models, bias"
2023,7,225,9770,2.3029682702149437,"time, data, detection, series, point, change point, time series"
2023,8,109,9770,1.1156601842374616,"data, students, science, research, learning, data science, student"
2024,-1,1,10901,0.009173470323823502,-1 (outliers)
2024,0,4535,10901,41.60168791853958,"learning, data, model, neural, models, based, method"
2024,1,2685,10901,24.630767819466104,"data, model, treatment, models, methods, based, method"
2024,2,1094,10901,10.035776534262911,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2024,3,797,10901,7.311255848087331,"graph, network, networks, model, data, causal, graphs"
2024,4,784,10901,7.192000733877626,"data, model, spatial, models, using, time, based"
2024,5,361,10901,3.3116227869002848,"time, series, time series, model, data, forecasting, models"
2024,6,270,10901,2.4768369874323457,"fairness, data, model, fair, learning, models, bias"
2024,7,260,10901,2.3851022841941107,"time, data, detection, series, point, change point, time series"
2024,8,114,10901,1.0457756169158794,"data, students, science, research, learning, data science, student"
2025,0,4994,12119,41.20802046373463,"learning, data, model, neural, models, based, method"
2025,1,3185,12119,26.281046290948098,"data, model, treatment, models, methods, based, method"
2025,2,1143,12119,9.431471243501939,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2025,3,705,12119,5.817311659377836,"graph, network, networks, model, data, causal, graphs"
2025,4,966,12119,7.97095469923261,"data, model, spatial, models, using, time, based"
2025,5,386,12119,3.1850812773331136,"time, series, time series, model, data, forecasting, models"
2025,6,311,12119,2.5662183348461096,"fairness, data, model, fair, learning, models, bias"
2025,7,300,12119,2.4754517699480156,"time, data, detection, series, point, change point, time series"
2025,8,129,12119,1.0644442610776466,"data, students, science, research, learning, data science, student"
2026,0,1750,4367,40.07327684909549,"learning, data, model, neural, models, based, method"
2026,1,1217,4367,27.86810167162812,"data, model, treatment, models, methods, based, method"
2026,2,433,4367,9.915273643233341,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
2026,3,257,4367,5.885046942981452,"graph, network, networks, model, data, causal, graphs"
2026,4,282,4367,6.4575223265399595,"data, model, spatial, models, using, time, based"
2026,5,163,4367,3.7325395008014657,"time, series, time series, model, data, forecasting, models"
2026,6,111,4367,2.541790702999771,"fairness, data, model, fair, learning, models, bias"
2026,7,118,4367,2.702083810396153,"time, data, detection, series, point, change point, time series"
2026,8,36,4367,0.8243645523242501,"data, students, science, research, learning, data science, student"
