topic_id,title_abstract_count,title_abstract_share,topic_label
0,51752,0.4490217344149928,"learning, data, model, neural, models, based, method"
1,23222,0.201483666652206,"data, model, treatment, models, methods, based, method"
2,14023,0.12166934189406099,"learning, adversarial, policy, algorithm, reinforcement, reinforcement learning, regret"
3,9039,0.07842609865081775,"graph, network, networks, model, data, causal, graphs"
4,7344,0.0637195783263199,"data, model, spatial, models, using, time, based"
5,3544,0.030749208277298164,"time, series, time series, model, data, forecasting, models"
7,2855,0.024771159602620278,"time, data, detection, series, point, change point, time series"
6,2468,0.02141338770552254,"fairness, data, model, fair, learning, models, bias"
8,1007,0.00873714806299076,"data, students, science, research, learning, data science, student"
-1,1,8.676413170795193e-06,-1 (outliers)
