dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
pobj->det,pobj,det,602352.0,262318.0,0.04733583102653619,0.041246434228637684,-0.006089396797898508,0.006089396797898508,-12.864243989895998
dobj->amod,dobj,amod,445090.0,253025.0,0.03497739698980163,0.03978521878293159,0.004807821793129961,0.004807821793129961,13.745510549375014
prep->pobj,prep,pobj,1489076.0,716461.0,0.11701903525126571,0.11265510378198974,-0.004363931469275967,0.004363931469275967,-3.7292492284743606
advcl->dobj,advcl,dobj,94112.0,64096.0,0.007395791380404438,0.010078345551272735,0.002682554170868297,0.002682554170868297,36.271360735997426
dobj->compound,dobj,compound,217727.0,124521.0,0.017110075972047317,0.019579469333344236,0.0024693933612969197,0.0024693933612969197,14.432392733563317
pobj->prep,pobj,prep,352036.0,160538.0,0.027664748537827872,0.025242720889138513,-0.0024220276486893594,0.0024220276486893594,-8.754923780989941
ROOT->advcl,ROOT,advcl,102448.0,66558.0,0.008050875928039717,0.010465466225686636,0.0024145902976469187,0.0024145902976469187,29.991647110562784
ROOT->dobj,ROOT,dobj,256461.0,142834.0,0.02015398730459349,0.02245897417109476,0.0023049868665012685,0.0023049868665012685,11.436877634511145
xcomp->aux,xcomp,aux,96415.0,37886.0,0.007576772631988416,0.005957129923170226,-0.00161964270881819,0.00161964270881819,-21.376419585038253
pobj->amod,pobj,amod,748341.0,383993.0,0.058808376374991894,0.06037840338351646,0.0015700270085245646,0.0015700270085245646,2.6697336422166797
amod->npadvmod,amod,npadvmod,59456.0,39617.0,0.0046723496718094,0.006229309406277644,0.0015569597344682442,0.0015569597344682442,33.32284276286413
ROOT->auxpass,ROOT,auxpass,89593.0,35059.0,0.007040665772107433,0.005512617272248982,-0.0015280484998584512,0.0015280484998584512,-21.703181905211657
ROOT->nsubjpass,ROOT,nsubjpass,89222.0,34949.0,0.007011510737657735,0.00549532106015088,-0.0015161896775068547,0.0015161896775068547,-21.624293739773307
dobj->prep,dobj,prep,321711.0,169418.0,0.025281658457808696,0.026638996920330817,0.001357338462522121,0.001357338462522121,5.368866385040821
conj->amod,conj,amod,82580.0,49816.0,0.006489549177509759,0.007832982744355382,0.0013434335668456223,0.0013434335668456223,20.70149297121344
nsubjpass->det,nsubjpass,det,70234.0,26964.0,0.00551933878582248,0.004239773300120413,-0.001279565485702067,0.001279565485702067,-23.183311178304283
pobj->compound,pobj,compound,442091.0,228177.0,0.03474172057925003,0.03587816170826196,0.001136441129011935,0.001136441129011935,3.2711135489665133
xcomp->dobj,xcomp,dobj,83323.0,34605.0,0.006547937831407674,0.005441231087771358,-0.0011067067436363156,0.0011067067436363156,-16.901607378248368
compound->amod,compound,amod,112969.0,62762.0,0.008877668697434003,0.009868589670010287,0.0009909209725762844,0.0009909209725762844,11.161950353730813
