year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2015,ROOT->acl,ROOT,acl,65,0.00010941932008517873,0.10738068766592382,3849,605323.0,594045
2016,ROOT->acl,ROOT,acl,79,0.00010497418166645849,0.10293454665801496,4828,767478.0,752566
2017,ROOT->acl,ROOT,acl,114,0.00010838902532595147,0.10624556145187355,6685,1072986.0,1051767
2018,ROOT->acl,ROOT,acl,239,0.00013271562262784706,0.13004799804982414,11289,1837783.0,1800843
2019,ROOT->acl,ROOT,acl,309,0.00011925450880457197,0.11690636254365545,15952,2643141.0,2591097
2020,ROOT->acl,ROOT,acl,392,0.0001396456491652432,0.13706806513390535,16831,2859893.0,2807105
2021,ROOT->acl,ROOT,acl,180,0.00011435585254194001,0.11235611395157077,9422,1602049.0,1574034
2022,ROOT->acl,ROOT,acl,185,0.0001190768902008087,0.11696253974355489,9241,1581703.0,1553618
2023,ROOT->acl,ROOT,acl,227,0.00013728861635452154,0.13512540173020043,9770,1679921.0,1653451
2024,ROOT->acl,ROOT,acl,250,0.00013415903748940144,0.13178119682628708,10901,1897084.0,1863460
2025,ROOT->acl,ROOT,acl,319,0.00015368961058232462,0.1511304701294653,12119,2110759.0,2075612
2026,ROOT->acl,ROOT,acl,129,0.00016813272318967325,0.16606270476239518,4367,776815.0,767251
2015,ROOT->acomp,ROOT,acomp,1829,0.003078891329781414,3.021527349861149,3849,605323.0,594045
2016,ROOT->acomp,ROOT,acomp,2341,0.0031106906238123964,3.050250300334342,4828,767478.0,752566
2017,ROOT->acomp,ROOT,acomp,3184,0.0030272864617353463,2.967419891778644,6685,1072986.0,1051767
2018,ROOT->acomp,ROOT,acomp,5549,0.0030813346860331524,3.019398917064746,11289,1837783.0,1800843
2019,ROOT->acomp,ROOT,acomp,7993,0.0030847938151292676,3.0240535786777927,15952,2643141.0,2591097
2020,ROOT->acomp,ROOT,acomp,8556,0.003047980036371992,2.991720319606363,16831,2859893.0,2807105
2021,ROOT->acomp,ROOT,acomp,4819,0.003061560296664494,3.0080228507367752,9422,1602049.0,1574034
2022,ROOT->acomp,ROOT,acomp,4812,0.0030972864629529267,3.0422904932215467,9241,1581703.0,1553618
2023,ROOT->acomp,ROOT,acomp,4974,0.003008253646464274,2.9608535163260656,9770,1679921.0,1653451
2024,ROOT->acomp,ROOT,acomp,5471,0.002935936376418061,2.8838997113464666,10901,1897084.0,1863460
2025,ROOT->acomp,ROOT,acomp,5841,0.002814109766179806,2.7672510220257265,12119,2110759.0,2075612
2026,ROOT->acomp,ROOT,acomp,2080,0.002710977242128065,2.6776002008200153,4367,776815.0,767251
2015,ROOT->advcl,ROOT,advcl,4356,0.007332777819862132,7.196158084196371,3849,605323.0,594045
2016,ROOT->advcl,ROOT,advcl,5636,0.007489044150280507,7.343532974235091,4828,767478.0,752566
2017,ROOT->advcl,ROOT,advcl,8150,0.007748864529881618,7.595625665199732,6685,1072986.0,1051767
2018,ROOT->advcl,ROOT,advcl,14133,0.007847991190792313,7.690244169197342,11289,1837783.0,1800843
2019,ROOT->advcl,ROOT,advcl,21119,0.008150601849332542,7.990114791454561,15952,2643141.0,2591097
2020,ROOT->advcl,ROOT,advcl,23317,0.008306422453025448,8.153102231447122,16831,2859893.0,2807105
2021,ROOT->advcl,ROOT,advcl,12738,0.008092582498217954,7.951067663972825,9422,1602049.0,1574034
2022,ROOT->advcl,ROOT,advcl,12999,0.008366921598488173,8.218357049332269,9241,1581703.0,1553618
2023,ROOT->advcl,ROOT,advcl,15028,0.009088869280069382,8.945658754191419,9770,1679921.0,1653451
2024,ROOT->advcl,ROOT,advcl,19437,0.010430596846725983,10.245724490850167,10901,1897084.0,1863460
2025,ROOT->advcl,ROOT,advcl,23653,0.011395675106908228,11.20592166135499,12119,2110759.0,2075612
2026,ROOT->advcl,ROOT,advcl,8440,0.011000311501711955,10.864877737942754,4367,776815.0,767251
2015,ROOT->advmod,ROOT,advmod,6405,0.010782011463777996,10.581127761542184,3849,605323.0,594045
2016,ROOT->advmod,ROOT,advmod,8210,0.010909342170653471,10.697375038763326,4828,767478.0,752566
2017,ROOT->advmod,ROOT,advmod,11927,0.011339964079496695,11.115708872249963,6685,1072986.0,1051767
2018,ROOT->advmod,ROOT,advmod,21038,0.011682306564203543,11.447488631682848,11289,1837783.0,1800843
2019,ROOT->advmod,ROOT,advmod,31128,0.012013444498604258,11.776897259737563,15952,2643141.0,2591097
2020,ROOT->advmod,ROOT,advmod,34130,0.012158433688800383,11.934012915867832,16831,2859893.0,2807105
2021,ROOT->advmod,ROOT,advmod,18245,0.011591236275709418,11.388540550257826,9422,1602049.0,1574034
2022,ROOT->advmod,ROOT,advmod,18527,0.011925067809461528,11.713324182858603,9241,1581703.0,1553618
2023,ROOT->advmod,ROOT,advmod,20104,0.012158812084543176,11.967229411383034,9770,1679921.0,1653451
2024,ROOT->advmod,ROOT,advmod,22390,0.012015283397550792,11.802323987762271,10901,1897084.0,1863460
2025,ROOT->advmod,ROOT,advmod,23142,0.011149482658608642,10.9638286512103,12119,2110759.0,2075612
2026,ROOT->advmod,ROOT,advmod,7969,0.01038643155890315,10.258555769391682,4367,776815.0,767251
2015,ROOT->agent,ROOT,agent,459,0.0007726687372168775,0.7582728559793697,3849,605323.0,594045
2016,ROOT->agent,ROOT,agent,514,0.0006829965743868312,0.6697260377496163,4828,767478.0,752566
2017,ROOT->agent,ROOT,agent,720,0.0006845622652165356,0.6710245986434119,6685,1072986.0,1051767
2018,ROOT->agent,ROOT,agent,1180,0.0006552486807567345,0.6420779820033159,11289,1837783.0,1800843
2019,ROOT->agent,ROOT,agent,1533,0.0005916413009624881,0.5799917598039604,15952,2643141.0,2591097
2020,ROOT->agent,ROOT,agent,1666,0.0005934940089522835,0.5825392768190978,16831,2859893.0,2807105
2021,ROOT->agent,ROOT,agent,1008,0.0006403927742348641,0.6291942381287964,9422,1602049.0,1574034
2022,ROOT->agent,ROOT,agent,945,0.0006082576283230498,0.5974572976089696,9241,1581703.0,1553618
2023,ROOT->agent,ROOT,agent,956,0.0005781846574225665,0.5690743790928264,9770,1679921.0,1653451
2024,ROOT->agent,ROOT,agent,995,0.0005339529692078177,0.5244891633686226,10901,1897084.0,1863460
2025,ROOT->agent,ROOT,agent,1011,0.0004870852548549536,0.4789746247676784,12119,2110759.0,2075612
2026,ROOT->agent,ROOT,agent,396,0.000516128359558997,0.5097738843868874,4367,776815.0,767251
2015,ROOT->amod,ROOT,amod,147,0.00024745600080801957,0.2428455551829354,3849,605323.0,594045
2016,ROOT->amod,ROOT,amod,201,0.0002670862090501032,0.261896757952671,4828,767478.0,752566
2017,ROOT->amod,ROOT,amod,267,0.0002538585066844653,0.24883828866359858,6685,1072986.0,1051767
2018,ROOT->amod,ROOT,amod,566,0.00031429724856636584,0.30797977780837016,11289,1837783.0,1800843
2019,ROOT->amod,ROOT,amod,824,0.00031801202347885856,0.3117503001164145,15952,2643141.0,2591097
2020,ROOT->amod,ROOT,amod,860,0.00030636545480129885,0.30071055105907807,16831,2859893.0,2807105
2021,ROOT->amod,ROOT,amod,440,0.00027953652843585333,0.2746482785482841,9422,1602049.0,1574034
2022,ROOT->amod,ROOT,amod,453,0.0002915774662754937,0.2864001648855695,9241,1581703.0,1553618
2023,ROOT->amod,ROOT,amod,525,0.00031751772504900355,0.3125146956315208,9770,1679921.0,1653451
2024,ROOT->amod,ROOT,amod,571,0.0003064192416257929,0.3009882535512397,10901,1897084.0,1863460
2025,ROOT->amod,ROOT,amod,789,0.00038012884874437033,0.37379918787507244,12119,2110759.0,2075612
2026,ROOT->amod,ROOT,amod,293,0.0003818828518959245,0.3771811821347425,4367,776815.0,767251
2015,ROOT->appos,ROOT,appos,81,0.00013635330656768427,0.13381285693753583,3849,605323.0,594045
2016,ROOT->appos,ROOT,appos,106,0.00014085143362841266,0.1381147081740454,4828,767478.0,752566
2017,ROOT->appos,ROOT,appos,147,0.00013976479581504267,0.13700085555636327,6685,1072986.0,1051767
2018,ROOT->appos,ROOT,appos,267,0.00014826389640851536,0.14528374677532657,11289,1837783.0,1800843
2019,ROOT->appos,ROOT,appos,380,0.00014665603024510468,0.14376834228669602,15952,2643141.0,2591097
2020,ROOT->appos,ROOT,appos,446,0.00015888254981555731,0.15594989043296376,16831,2859893.0,2807105
2021,ROOT->appos,ROOT,appos,264,0.000167721917061512,0.16478896712897045,9422,1602049.0,1574034
2022,ROOT->appos,ROOT,appos,251,0.00016155837535352963,0.1586897160844988,9241,1581703.0,1553618
2023,ROOT->appos,ROOT,appos,307,0.0001856722696953221,0.182746688683575,9770,1679921.0,1653451
2024,ROOT->appos,ROOT,appos,301,0.00016152748113723933,0.15866456097884965,10901,1897084.0,1863460
2025,ROOT->appos,ROOT,appos,397,0.000191268888404962,0.18808400201065115,12119,2110759.0,2075612
2026,ROOT->appos,ROOT,appos,161,0.0002098400653762589,0.20725655400578,4367,776815.0,767251
2015,ROOT->attr,ROOT,attr,1768,0.0029762055063168617,2.920754704513128,3849,605323.0,594045
2016,ROOT->attr,ROOT,attr,2169,0.0028821392409436515,2.8261396417877775,4828,767478.0,752566
2017,ROOT->attr,ROOT,attr,2967,0.0028209670012464736,2.7651805335763933,6685,1072986.0,1051767
2018,ROOT->attr,ROOT,attr,5428,0.0030141439314809787,2.9535587172152535,11289,1837783.0,1800843
2019,ROOT->attr,ROOT,attr,7695,0.0029697846124633696,2.9113089313055944,15952,2643141.0,2591097
2020,ROOT->attr,ROOT,attr,8176,0.0029126092540179296,2.8588482156500263,16831,2859893.0,2807105
2021,ROOT->attr,ROOT,attr,4383,0.002784565009396239,2.735871374720748,9422,1602049.0,1574034
2022,ROOT->attr,ROOT,attr,4301,0.0027683767824523147,2.719220991551511,9241,1581703.0,1553618
2023,ROOT->attr,ROOT,attr,4450,0.0026913407170820304,2.6489340867814617,9770,1679921.0,1653451
2024,ROOT->attr,ROOT,attr,4603,0.002470136198254859,2.4263553959655977,10901,1897084.0,1863460
2025,ROOT->attr,ROOT,attr,4488,0.002162253831640981,2.1262493728559253,12119,2110759.0,2075612
2026,ROOT->attr,ROOT,attr,1511,0.0019693685638728395,1.9451220689610782,4367,776815.0,767251
2015,ROOT->aux,ROOT,aux,2600,0.004376772803407149,4.2952275066369525,3849,605323.0,594045
2016,ROOT->aux,ROOT,aux,3552,0.004719851813661526,4.628145692775559,4828,767478.0,752566
2017,ROOT->aux,ROOT,aux,5038,0.004790034294667926,4.69530823328543,6685,1072986.0,1051767
2018,ROOT->aux,ROOT,aux,9192,0.005104276163996529,5.001678653029221,11289,1837783.0,1800843
2019,ROOT->aux,ROOT,aux,13600,0.005248742135087957,5.145393302892279,15952,2643141.0,2591097
2020,ROOT->aux,ROOT,aux,14575,0.005192181981080152,5.096344513588445,16831,2859893.0,2807105
2021,ROOT->aux,ROOT,aux,7470,0.00474576788049051,4.662778728990187,9422,1602049.0,1574034
2022,ROOT->aux,ROOT,aux,7449,0.0047946148924639135,4.709480857025624,9241,1581703.0,1553618
2023,ROOT->aux,ROOT,aux,7614,0.004604914206710692,4.532355985787427,9770,1679921.0,1653451
