year,paper_count,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
2015,3849,605323.0,619885,30605,36410,67015,77677,74121,81545,46967,151798,128512,50.559783784855355,60.14970519871209,110.70948898356744,250.77190194326005,212.30318358958772,0.4566888010146982,0.24488090532921428,0.20731587310549537,0.8465987694172519
2016,4828,767478.0,785195,37458,45503,82961,97537,92788,104347,59909,190325,164256,48.806610743239546,59.28899590607158,108.09560664931112,247.98756446438856,214.02046703618865,0.45151336170007594,0.24239201726959544,0.2091913473723088,0.8630290292920005
2017,6685,1072986.0,1097270,50909,63278,114187,135299,128509,145860,83930,263808,229790,47.44609901713536,58.97374243466364,106.419841451799,245.86341294294616,214.15936461426338,0.4458388433009012,0.24042213858029474,0.2094197417226389,0.8710501576904416
2018,11289,1837783.0,1878879,84837,107443,192280,229762,217694,248667,145248,447456,393915,46.162686236623145,58.463376796934135,104.62606303355729,243.4759707756574,214.34249854308152,0.4412159350946536,0.23815051421618955,0.20965426725190925,0.8803435421583351
2019,15953,2643142.0,2703177,119695,153446,273141,328999,310494,357405,211643,639493,569048,45.28511899852524,58.05439132668619,103.33951032521144,241.9442466579548,215.29225444565597,0.4382168916420457,0.23657089417378144,0.21051081745664454,0.8898424220437128
2020,16831,2859893.0,2927696,130313,166140,296453,355916,337376,388298,227851,693292,616149,45.565690744374,58.09308250343632,103.65877324781033,242.4188597265702,215.44477363313942,0.43957389535609354,0.23680464091900252,0.21045525218465305,0.8887294242541383
2021,9422,1602049.0,1641044,75040,93615,168655,201660,191824,218611,127740,393484,346351,46.840015505143725,58.43454226431277,105.2745577694565,245.61296190066594,216.19251346244715,0.4449319616969553,0.23977662999895188,0.21105527944406122,0.8802162222606256
2022,9241,1581703.0,1619672,73495,91658,165153,197885,188149,217924,127486,386034,345410,46.46573977541927,57.94893225845813,104.41467203387741,244.0622544181809,218.37854515038538,0.44501159530859263,0.23834084925836835,0.21325922779426945,0.8947657460223711
2023,9770,1679921.0,1723865,75204,97616,172820,209811,198994,233882,137109,408805,370991,44.76639080051979,58.10749434050768,102.87388514102747,243.34775266217875,220.8383608514924,0.4351579678277977,0.23714443996484644,0.21520884756056885,0.9075011313462409
2024,10901,1897084.0,1943261,80810,110189,190999,234826,221624,266734,158172,456450,424906,42.596954062129036,58.083353188366985,100.68030725049603,240.60610916543496,223.97848487468136,0.42309122037288155,0.23488867424396415,0.2186561661042958,0.9308927593383722
2025,12119,2110759.0,2164095,78137,117305,195442,249668,235648,314824,184112,485316,498936,37.01843744359257,55.57479560669882,92.59323305029139,229.92487536473845,236.3775305470686,0.39979635902211397,0.22425817720571417,0.2305518010993048,1.0280641891056548
2026,4367,776815.0,799190,28167,42232,70399,88919,85484,122234,71851,174403,194085,36.259598488700654,54.36558253895715,90.6251810276578,224.51034029981398,249.84713220007336,0.4001051151294763,0.2182247025112927,0.24285213778951187,1.1128535632987964
