feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,2023,107,95,12,0.14212092370706111,0.10491646054141647,0.1550104088963739,0.04258798325980399,0.00022036573154558185,0.002644388778546982,-0.05009394835495745,0.009394552302978051,-0.06850727086879443,-0.03168062584112047,-1.176246079777106,0.2205916219527811,-1.608605658804557,-0.7438865007496549,9.701197700557324e-08,0.01888114761989035,strict_pretrend_counterfactual_wls_hac,6,4.850598850278662e-07
word_finding_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.19608998918126733,0.3758155677328952,0.2653149787824734,0.0659399479332475,0.0013993372993460675,0.01679204759215281,0.11050058895042174,0.020145634206753877,0.07101514590518414,0.14998603199565935,1.6757761025574962,0.30551486372339504,1.076966969659642,2.274585235455351,4.132621900110337e-08,0.29688040839968477,strict_pretrend_counterfactual_wls_hac,6,4.959146280132404e-07
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.139624163976644,0.28630349566996693,0.17917477426012413,0.041210561724572985,0.0007085912680020955,0.008503095216025146,0.10712872140984286,0.020144464779153243,0.0676455704427025,0.14661187237698323,2.599545284673086,0.4888180101447519,1.641461984789372,3.5576285845568,1.0490097183239547e-07,0.1880463609848908,strict_pretrend_counterfactual_wls_hac,6,5.245048591619773e-07
word_additionally_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.139624163976644,0.28630349566996693,0.17917477426012413,0.041210561724572985,0.0007085912680020955,0.008503095216025146,0.10712872140984286,0.020144464779153243,0.0676455704427025,0.14661187237698323,2.599545284673086,0.4888180101447519,1.641461984789372,3.5576285845568,1.0490097183239547e-07,0.1880463609848908,strict_pretrend_counterfactual_wls_hac,6,6.294058309943729e-07
word_within_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.4902671073692334,0.6430553016618945,0.4566639145096413,0.08295478221735952,-0.00041596661414617926,-0.004991599369754151,0.18639138715225326,0.046041350641447654,0.09615033989501585,0.27663243440949065,2.246903459572317,0.5550174373408555,1.1590692823842406,3.334737636760394,5.158052344461096e-05,0.017136128976642295,strict_pretrend_counterfactual_wls_hac,6,0.00020632209377844385
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.9531044570011296,1.2727419703568004,1.0927220489741194,0.12921755029005935,0.002382051713017321,0.028584620556207852,0.1800199213826809,0.047420975128918005,0.0870748101300016,0.2729650326353602,1.393153801310918,0.366985560571845,0.6738621025901017,2.1124455000317344,0.0001469257846256079,0.24610211182029895,strict_pretrend_counterfactual_wls_hac,6,0.0007346289231280395
avg_syllables_per_word,readability,2022-11-30,2023,107,95,12,1.9154792615038618,1.9518300972666005,1.9244121081806238,0.010058901749117818,0.00021857351987129153,0.0026228822384554984,0.027417989085977073,0.007072438108896085,0.013556010392540747,0.041279967779413396,2.7257438008460193,0.7031024146862106,1.3476630680610466,4.103824533630991,0.00010586628008992973,0.24042324609144783,strict_pretrend_counterfactual_wls_hac,6,0.0007410639606295082
summary_marker_taken_together_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.005284563534725867,0.0019380005033406214,0.00711991476943441,0.00916834351858472,3.5329919063413075e-05,0.0004239590287609569,-0.005181914266093787,0.0014347367724904308,-0.007993998340175031,-0.0023698301920125424,-0.5651963471470905,0.15648811255622602,-0.8719130477572935,-0.2584796465368876,0.00030413464476796744,0.01290587894049422,strict_pretrend_counterfactual_wls_hac,6,0.0009618340669744862
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.005030365795881804,0.010254351680128608,0.004992095974180075,0.006605710039542121,1.3594586980088652e-06,1.6313504376106383e-05,0.005262255705948534,0.0014821835117260946,0.002357176022965389,0.00816733538893168,0.796622266864334,0.22437913605860196,0.3568391601894742,1.236405373539194,0.0003847336267897945,2.9176004683884038e-05,strict_pretrend_counterfactual_wls_hac,6,0.0009618340669744862
verb_exhibit_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.20730127017840064,0.29586826146726275,0.2143611538915417,0.05450903039310571,0.00021828558244740652,0.0026194269893688783,0.08150710757572098,0.021543705886924884,0.03928144403734821,0.12373277111409375,1.495295494854922,0.3952318676659075,0.7206410342297432,2.269949955480101,0.0001547394449540021,0.011700833434456492,strict_pretrend_counterfactual_wls_hac,6,0.0009789383019822284
