feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.9531044570011296,1.3321187930630385,1.1078164918731113,0.12921755029005935,0.002382051713017321,0.028584620556207852,0.22430230118992722,0.037336426791512035,0.15112290467856365,0.2974816977012908,1.7358501278381122,0.2889423821121945,1.1695230588982113,2.3021771967780134,1.8829018439151845e-09,0.24610211182029895,strict_pretrend_counterfactual_wls_hac,6,9.414509219575922e-09
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023-2024,119,95,24,0.139624163976644,0.3465069125639119,0.18366493304850479,0.041210561724572985,0.0007085912680020955,0.008503095216025146,0.1628419795154071,0.030201566203931156,0.10364690975570204,0.22203704927511217,3.951462263575696,0.7328598529129634,2.515056951866288,5.387867575285104,6.974027907768156e-08,0.1880463609848908,strict_pretrend_counterfactual_wls_hac,6,3.487013953884078e-07
word_additionally_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.139624163976644,0.3465069125639119,0.18366493304850479,0.041210561724572985,0.0007085912680020955,0.008503095216025146,0.1628419795154071,0.030201566203931156,0.10364690975570204,0.22203704927511217,3.951462263575696,0.7328598529129634,2.515056951866288,5.387867575285104,6.974027907768156e-08,0.1880463609848908,strict_pretrend_counterfactual_wls_hac,6,8.368833489321787e-07
word_within_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.4902671073692334,0.7216046553804442,0.45402804213508086,0.08295478221735952,-0.00041596661414617926,-0.004991599369754151,0.26757661324536336,0.05110631577944379,0.16740823431765356,0.36774499217307316,3.2255718849849377,0.6160743770688729,2.018066105929947,4.433077664039929,1.643733491296212e-07,0.017136128976642295,strict_pretrend_counterfactual_wls_hac,6,9.862400947777272e-07
verb_exhibit_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.20730127017840064,0.32555826918807806,0.21574437292155685,0.05450903039310571,0.00021828558244740652,0.0026194269893688783,0.10981389626652124,0.0210758803338936,0.06850517081208979,0.1511226217209527,2.0146000667150097,0.38664933464968165,1.2567673708016334,2.7724327626283856,1.884276900598615e-07,0.011700833434456492,strict_pretrend_counterfactual_wls_hac,6,1.0255926582517566e-06
verb_showcase_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.038069761275522,0.133660544400357,0.07225279680097194,0.024642552769705887,0.0005657701248413528,0.006789241498096234,0.06140774759938503,0.011913999897945289,0.03805630779941227,0.0847591873993578,2.491939377111779,0.48347263407676105,1.5443330143213274,3.4395457399022304,2.5464647816553004e-07,0.32925970584591957,strict_pretrend_counterfactual_wls_hac,6,1.0255926582517566e-06
verb_garner_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.004323114992581756,0.02167517748693353,0.006026421321143365,0.006340087884534549,2.6417123463260897e-05,0.00031700548155913077,0.015648756165790166,0.0030691226230211356,0.00963327582466874,0.021664236506911592,2.468223856007164,0.48408203149796747,1.5194230742711474,3.41702463774318,3.418642194172522e-07,0.010878354812820623,strict_pretrend_counterfactual_wls_hac,6,1.0255926582517566e-06
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,2023-2024,119,95,24,0.14212092370706111,0.09075332674053836,0.15640680929084566,0.04258798325980399,0.00022036573154558185,0.002644388778546982,-0.06565348255030728,0.012931743802194346,-0.0909997004026082,-0.04030726469800637,-1.541596420515956,0.3036477149740916,-2.1367459418651755,-0.9464468991667366,3.8359389161564783e-07,0.01888114761989035,strict_pretrend_counterfactual_wls_hac,6,1.9179694580782392e-06
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.4477003689455295,1.2003874378856143,0.5667977960968987,0.09484176069013066,0.0018684812745940493,0.022421775295128593,0.6335896417887156,0.13146243109769773,0.37592327683722804,0.8912560067402031,6.680492192240033,1.3861238988088278,3.963689350574731,9.397295033905335,1.4388303818840772e-06,0.2836256200209897,strict_pretrend_counterfactual_wls_hac,6,2.7521250388558644e-06
verb_underscore_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.004383801062218243,0.07247171816205497,0.005431919825348342,0.005950040728534389,2.3140013477542882e-05,0.0002776801617305146,0.06703979833670663,0.013945087885426937,0.03970742608126984,0.09437217059214342,11.267115872872326,2.3436962067420812,6.673471307657848,15.860760438086803,1.5289583549199248e-06,0.010319467674554161,strict_pretrend_counterfactual_wls_hac,6,2.7521250388558644e-06
