feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
dependency_entropy,syntax,2020-01-01,136,60,76,2.737380436253775,2.7443697164638112,0.011819222194937886,0.0005743714354559722,0.006892457225471667,-0.0024792243515686443,0.0024396431916214596,-0.007260925007146705,0.002302476304009416,0.3095226542268624,-0.0007563672827020965,-0.009076407392425158,4.6169316037008125e-05,0.0005540317924440975,-0.01016230970561559,-0.007990505079234727,-0.767936099577901,0.04687548666962083,-0.8598120534503578,-0.6760601457054441,2.5518102755179897e-60,-0.00018199584724612429,-0.0021839501669534914,0.6489416032272852,monthly_segmented_wls_hac,6,2020,1.020724110207196e-58
avg_syllables_per_word,readability,2020-01-01,136,60,76,1.9111975478847651,1.9554808369250012,0.0076008506427023845,-0.00021628771434621685,-0.002595452572154602,-0.010550660076800045,0.004961365078681246,-0.02027493563101529,-0.000826384522584803,0.03345633119931363,0.001848592601377496,0.022183111216529952,0.00014121604045667495,0.0016945924854800995,0.018861709944988956,0.025504512488070948,2.9185037648158594,0.22294774165929523,2.48152619116364,3.355481338468078,3.7300341086175344e-39,0.0016323048870312792,0.01958765864437535,0.9417065486280516,monthly_segmented_wls_hac,6,2020,1.0444095504129097e-37
gunning_fog,readability,2020-01-01,136,60,76,19.35833171130167,20.139840022902934,0.18663285923994902,-0.007007495955995296,-0.08408995147194355,-0.053236067099930284,0.07999911218791499,-0.21003432698824365,0.10356219278838308,0.505757455334715,0.03442423108789012,0.41309077305468145,0.002640398502067473,0.03168478202480968,0.35098860028605444,0.47519294582330834,2.2133871534571594,0.16977065107314987,1.8806366773537855,2.5461376295605325,7.485878563495579e-39,0.027416735131894823,0.32900082158273786,0.9336540409236807,monthly_segmented_wls_hac,6,2020,1.0480229988893811e-37
smog_index,readability,2020-01-01,136,60,76,17.008741226305343,17.524158237170788,0.12394453447343315,-0.004086819592346403,-0.04904183510815684,-0.009853540860311455,0.05227601646535409,-0.11231453313240547,0.09260745141178256,0.8504920363172848,0.021056049510184964,0.25267259412221954,0.0016650784209556245,0.019980941051467492,0.2135099496613433,0.29183523858309585,2.0385940791635195,0.16120873047250261,1.7226249674374146,2.3545631908896247,1.181969038005189e-36,0.01696922991783856,0.20363075901406275,0.9329130320917102,monthly_segmented_wls_hac,6,2020,1.1031711021381763e-35
dependency_entropy,syntax,2019-01-01,136,48,88,2.7338314014189096,2.7453524699814595,0.010273949358599247,0.0005627323836294054,0.006752788603552865,0.006427696353831364,0.0017645109126337827,0.0029692549650691493,0.009886137742593578,0.00026972639615912105,-0.000734829579982524,-0.008817954959790288,6.0258183234847344e-05,0.0007230981988181681,-0.010235227429473897,-0.007400682490106679,-0.8582828912242693,0.07038171725198726,-0.9962310570381642,-0.7203347254103742,3.317833645275163e-34,-0.00017209719635311862,-0.0020651663562374235,0.6529130401447044,monthly_segmented_wls_hac,6,2019,6.635667290550326e-33
gunning_fog,readability,2019-01-01,136,48,88,19.40201151294547,20.009445361333416,0.1797872888718126,-0.00825178850988309,-0.09902146211859708,-0.31047802523847956,0.08108992281733667,-0.4694142739604594,-0.1515417765164997,0.000128763604808742,0.03357694520753859,0.402923342490463,0.002845091021997913,0.03414109226397496,0.3360068016530722,0.469839883327854,2.2411113990252405,0.1898971416623195,1.8689130013670947,2.613309796683387,3.824498119161346e-32,0.025325156697655497,0.30390188037186594,0.9255866015463223,monthly_segmented_wls_hac,6,2019,2.677148683412942e-31
word_within_per_1k_words,marker_words,2021-01-01,136,72,64,0.49217844047168985,0.6627896127394887,0.08532697014422745,-0.0013493108838052268,-0.016191730605662723,-0.034565033757745084,0.02126355261006013,-0.07624159687346294,0.007111529357972768,0.10404476019735008,0.00925060908065286,0.11100730896783431,0.0007911999624232051,0.00949439954907846,0.09239828585164053,0.12961633208402812,1.3009639130535118,0.11127079202543062,1.0828731606836677,1.519054665423356,1.4025966055539746e-31,0.007901298196847633,0.0948155783621716,0.7754157274011657,monthly_segmented_wls_hac,6,2021,6.732463706659078e-30
avg_syllables_per_word,readability,2019-01-01,136,48,88,1.9126002733204992,1.9486770836363874,0.007573897538451492,-0.00025303901672904094,-0.0030364682007484912,-0.0210934360995869,0.0052446678640082536,-0.03137298511304308,-0.010813887086130725,5.773494272485071e-05,0.0017092074434446203,0.020510489321335444,0.00015049387022382057,0.001805926442685847,0.016970873493671185,0.024050105148999704,2.7080494840611324,0.23844083360217658,2.2407054502008665,3.1753935179213983,6.820289054703414e-30,0.0014561684267155794,0.017474021120586953,0.9225820496740359,monthly_segmented_wls_hac,6,2019,3.819361870633912e-29
smog_index,readability,2019-01-01,136,48,88,17.033919185916382,17.44014066681039,0.12310580053786677,-0.0051078386144479924,-0.06129406337337591,-0.17248877447311384,0.049732238379914064,-0.2699639616977454,-0.07501358724848227,0.000523666130294469,0.02097921099129155,0.2517505318954986,0.001869126176700853,0.022429514120410235,0.20778868421949456,0.29571237957150265,2.0449932561712343,0.18219705344843617,1.6878870314122991,2.402099480930169,3.106224166566293e-29,0.015871372376843558,0.1904564685221227,0.9283924538721879,monthly_segmented_wls_hac,6,2019,1.449571277730937e-28
marker_words_total_per_1k_words,marker_words,2021-01-01,136,72,64,2.811427116243734,4.668129622825768,0.3131518396539601,0.011808764174533744,0.14170517009440492,-0.9000580412526535,0.2538790810430881,-1.3976610400971061,-0.4024550424082009,0.0003922805632956705,0.060549263671785966,0.7265911640614315,0.005584360327322004,0.06701232392786405,0.595247009162818,0.857935318960045,2.320251941883309,0.21399307122677033,1.9008255222788393,2.739678361487779,2.161188909959941e-27,0.07235802784631971,0.8682963341558365,0.9493513656530629,monthly_segmented_wls_hac,6,2021,5.186853383903858e-26
