topic_id,topic_label
-1,-1 (outliers)
0,"learning, data, model, networks, training, neural, network"
1,"data, model, models, method, based, methods, time"
2,"data, model, treatment, models, methods, method, based"
3,"model, time, data, series, models, learning, time series"
4,"data, brain, model, learning, based, time, using"
5,"fairness, data, learning, fair, model, bias, machine"
6,"players, player, model, team, game, football, data"
7,"data, research, students, science, analysis, statistical, study"
8,"design, designs, optimal, model, optimal designs, optimization, experimental"
