year,topic_id,count,total,pct,topic_label
2015,0,1005,3849,26.110678098207323,"learning, data, model, networks, training, neural, network"
2015,1,1551,3849,40.29618082618862,"data, model, models, method, based, methods, time"
2015,2,825,3849,21.434138737334372,"data, model, treatment, models, methods, method, based"
2015,3,133,3849,3.4554429722005717,"model, time, data, series, models, learning, time series"
2015,4,131,3849,3.4034814237464275,"data, brain, model, learning, based, time, using"
2015,5,29,3849,0.753442452585087,"fairness, data, learning, fair, model, bias, machine"
2015,6,27,3849,0.7014809041309431,"players, player, model, team, game, football, data"
2015,7,76,3849,1.9745388412574696,"data, research, students, science, analysis, statistical, study"
2015,8,72,3849,1.8706157443491818,"design, designs, optimal, model, optimal designs, optimization, experimental"
2016,0,1559,4828,32.29080364540182,"learning, data, model, networks, training, neural, network"
2016,1,1702,4828,35.25269262634632,"data, model, models, method, based, methods, time"
2016,2,955,4828,19.780447390223696,"data, model, treatment, models, methods, method, based"
2016,3,179,4828,3.707539353769677,"model, time, data, series, models, learning, time series"
2016,4,264,4828,5.468102734051367,"data, brain, model, learning, based, time, using"
2016,5,41,4828,0.8492129246064622,"fairness, data, learning, fair, model, bias, machine"
2016,6,32,4828,0.6628003314001657,"players, player, model, team, game, football, data"
2016,7,50,4828,1.035625517812759,"data, research, students, science, analysis, statistical, study"
2016,8,46,4828,0.9527754763877383,"design, designs, optimal, model, optimal designs, optimization, experimental"
2017,0,2561,6685,38.30964846671653,"learning, data, model, networks, training, neural, network"
2017,1,2095,6685,31.338818249813016,"data, model, models, method, based, methods, time"
2017,2,1152,6685,17.232610321615557,"data, model, treatment, models, methods, method, based"
2017,3,265,6685,3.9640987284966345,"model, time, data, series, models, learning, time series"
2017,4,339,6685,5.071054599850411,"data, brain, model, learning, based, time, using"
2017,5,95,6685,1.4210919970082274,"fairness, data, learning, fair, model, bias, machine"
2017,6,44,6685,0.6581899775617053,"players, player, model, team, game, football, data"
2017,7,72,6685,1.0770381451009723,"data, research, students, science, analysis, statistical, study"
2017,8,62,6685,0.9274495138369483,"design, designs, optimal, model, optimal designs, optimization, experimental"
2018,0,5661,11289,50.14615997874037,"learning, data, model, networks, training, neural, network"
2018,1,2657,11289,23.5361856674639,"data, model, models, method, based, methods, time"
2018,2,1365,11289,12.091416423066702,"data, model, treatment, models, methods, method, based"
2018,3,550,11289,4.871999291345558,"model, time, data, series, models, learning, time series"
2018,4,600,11289,5.3149083178315175,"data, brain, model, learning, based, time, using"
