dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
ROOT->amod,ROOT,amod,45295.0,21849.0,0.06559245357337319,0.06152914671923402,-0.004063306854139172,0.004063306854139172,-6.194777955049151
ROOT->compound,ROOT,compound,29142.0,13696.0,0.042201021791262644,0.03856941706561532,-0.0036316047256473236,0.0036316047256473236,-8.605490036734647
pobj->amod,pobj,amod,68239.0,36097.0,0.09881804701166604,0.10165305547733033,0.0028350084656642988,0.0028350084656642988,2.868917724441174
amod->npadvmod,amod,npadvmod,11141.0,6730.0,0.01613347003556575,0.018952407772458463,0.002818937736892714,0.002818937736892714,17.472606517249236
dobj->amod,dobj,amod,18113.0,8494.0,0.026229740845005154,0.023920022528865107,-0.002309718316140047,0.002309718316140047,-8.805722976023528
prep->pobj,prep,pobj,100733.0,52451.0,0.145873156547226,0.14770768797521824,0.001834531427992253,0.001834531427992253,1.2576209848439999
acl->dobj,acl,dobj,7336.0,3172.0,0.010623385349691261,0.008932695015488594,-0.0016906903342026672,0.0016906903342026672,-15.914798141552893
ROOT->acl,ROOT,acl,5744.0,2357.0,0.0083179832945238,0.00663756688256829,-0.0016804164119555102,0.0016804164119555102,-20.20220950746347
ROOT->prep,ROOT,prep,50200.0,25299.0,0.07269546681495384,0.07124471979724022,-0.0014507470177136245,0.0014507470177136245,-1.9956499095143003
appos->prep,appos,prep,6202.0,3670.0,0.008981220820445094,0.01033511686848775,0.001353896048042657,0.001353896048042657,15.074744014317202
pobj->prep,pobj,prep,22374.0,11901.0,0.032400166823063285,0.03351450295691354,0.0011143361338502578,0.0011143361338502578,3.4392913466638206
pobj->det,pobj,det,11331.0,5450.0,0.01640861224064227,0.015347789355111236,-0.0010608228855310334,0.0010608228855310334,-6.465037201034561
ROOT->dobj,ROOT,dobj,15364.0,7580.0,0.02224886757260858,0.021346099690228104,-0.0009027678823804765,0.0009027678823804765,-4.057590254579555
compound->amod,compound,amod,18603.0,9259.0,0.02693931811072881,0.026074345254857786,-0.0008649728558710219,0.0008649728558710219,-3.2108194138980055
ROOT->det,ROOT,det,8790.0,4236.0,0.01272894727696104,0.011929034074908477,-0.0007999132020525632,0.0007999132020525632,-6.284205477858949
acl->prep,acl,prep,3771.0,1669.0,0.00546084871233448,0.004700084483244157,-0.0007607642290903237,0.0007607642290903237,-13.931245291084094
ROOT->appos,ROOT,appos,9937.0,5366.0,0.014389937325501917,0.015111236271472825,0.0007212989459709079,0.0007212989459709079,5.0125231935000745
pobj->compound,pobj,compound,47948.0,24908.0,0.06943430762636268,0.07014362151506617,0.0007093138887034889,0.0007093138887034889,1.0215611171935672
appos->amod,appos,amod,7332.0,4008.0,0.010617592882215966,0.011286961419318502,0.0006693685371025361,0.0006693685371025361,6.304334179394852
dobj->compound,dobj,compound,13208.0,6555.0,0.019126727603424508,0.01845958884821177,-0.0006671387552127372,0.0006671387552127372,-3.4879921387769994
appos->det,appos,det,4549.0,2547.0,0.006587483636279382,0.00717262742889327,0.0005851437926138875,0.0005851437926138875,8.882660283075516
