year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2015,ROOT->acl,ROOT,acl,279,0.008360803116571771,7.617747440273038,3849,36625.0,33370
2016,ROOT->acl,ROOT,acl,313,0.007488934083024285,6.821401329410483,4828,45885.0,41795
2017,ROOT->acl,ROOT,acl,484,0.008361550687582061,7.614852108244178,6685,63560.0,57884
2018,ROOT->acl,ROOT,acl,906,0.009294595592761296,8.462939610480595,11287,107055.0,97476
2019,ROOT->acl,ROOT,acl,1278,0.009198479875626187,8.381537008617636,15953,152478.0,138936
2020,ROOT->acl,ROOT,acl,1277,0.0085297673517644,7.8079620424210185,16826,163551.0,149711
2021,ROOT->acl,ROOT,acl,615,0.007147838214783821,6.548126064735945,9419,93920.0,86040
2022,ROOT->acl,ROOT,acl,592,0.006936958050152332,6.363538643448351,9240,93030.0,85340
2023,ROOT->acl,ROOT,acl,630,0.006903353057199211,6.339495054187589,9768,99377.0,91260
2024,ROOT->acl,ROOT,acl,718,0.006928027634918031,6.36609478210755,10901,112785.0,103637
2025,ROOT->acl,ROOT,acl,787,0.006684219466621369,6.150551752164807,12117,127956.0,117740
2026,ROOT->acl,ROOT,acl,222,0.005228080917504651,4.817185635239232,4367,46085.0,42463
2015,ROOT->acomp,ROOT,acomp,21,0.0006293077614623914,0.5733788395904437,3849,36625.0,33370
2016,ROOT->acomp,ROOT,acomp,25,0.000598157674362962,0.5448403617740002,4828,45885.0,41795
2017,ROOT->acomp,ROOT,acomp,48,0.00082924469628913,0.7551919446192574,6685,63560.0,57884
2018,ROOT->acomp,ROOT,acomp,67,0.0006873486807008905,0.6258465274858717,11287,107055.0,97476
2019,ROOT->acomp,ROOT,acomp,78,0.0005614095698738987,0.5115492070987291,15953,152478.0,138936
2020,ROOT->acomp,ROOT,acomp,136,0.0009084168831949556,0.8315449003674695,16826,163551.0,149711
2021,ROOT->acomp,ROOT,acomp,66,0.0007670850767085076,0.702725724020443,9419,93920.0,86040
2022,ROOT->acomp,ROOT,acomp,68,0.0007968127490039841,0.7309470063420402,9240,93030.0,85340
2023,ROOT->acomp,ROOT,acomp,57,0.0006245890861275476,0.5735733620455438,9768,99377.0,91260
2024,ROOT->acomp,ROOT,acomp,112,0.0010806951185387459,0.9930398545905927,10901,112785.0,103637
2025,ROOT->acomp,ROOT,acomp,100,0.0008493290300662477,0.7815186470349182,12117,127956.0,117740
2026,ROOT->acomp,ROOT,acomp,27,0.0006358476791559711,0.5858739286101768,4367,46085.0,42463
2015,ROOT->advcl,ROOT,advcl,61,0.0018279892118669464,1.6655290102389078,3849,36625.0,33370
2016,ROOT->advcl,ROOT,advcl,94,0.002249072855604737,2.048599760270241,4828,45885.0,41795
2017,ROOT->advcl,ROOT,advcl,131,0.002263146983622417,2.0610446821900568,6685,63560.0,57884
2018,ROOT->advcl,ROOT,advcl,237,0.0024313677212852393,2.213815328569427,11287,107055.0,97476
2019,ROOT->advcl,ROOT,advcl,327,0.002353601658317499,2.144571675913902,15953,152478.0,138936
2020,ROOT->advcl,ROOT,advcl,342,0.0022844012797990794,2.091090852394666,16826,163551.0,149711
2021,ROOT->advcl,ROOT,advcl,191,0.0022198977219897724,2.0336456558773426,9419,93920.0,86040
2022,ROOT->advcl,ROOT,advcl,181,0.002120928052495899,1.945608943351607,9240,93030.0,85340
2023,ROOT->advcl,ROOT,advcl,204,0.002235371466140697,2.0527888746893144,9768,99377.0,91260
2024,ROOT->advcl,ROOT,advcl,264,0.002547352779412758,2.3407368001063973,10901,112785.0,103637
2025,ROOT->advcl,ROOT,advcl,298,0.002531000509597418,2.3289255681640566,12117,127956.0,117740
2026,ROOT->advcl,ROOT,advcl,82,0.001931092951510727,1.7793208202235,4367,46085.0,42463
2015,ROOT->advmod,ROOT,advmod,78,0.0023374288282888823,2.1296928327645053,3849,36625.0,33370
2016,ROOT->advmod,ROOT,advmod,96,0.0022969254695537743,2.092186989212161,4828,45885.0,41795
2017,ROOT->advmod,ROOT,advmod,128,0.0022113191901043465,2.013845185651353,6685,63560.0,57884
2018,ROOT->advmod,ROOT,advmod,267,0.0027391357872707128,2.494045116995937,11287,107055.0,97476
2019,ROOT->advmod,ROOT,advmod,316,0.0022744285138481027,2.0724301210666454,15953,152478.0,138936
2020,ROOT->advmod,ROOT,advmod,386,0.002578300859656271,2.3601200848664945,16826,163551.0,149711
2021,ROOT->advmod,ROOT,advmod,223,0.0025918177591817758,2.3743611584327087,9419,93920.0,86040
2022,ROOT->advmod,ROOT,advmod,222,0.0026013592688071243,2.386326991293131,9240,93030.0,85340
2023,ROOT->advmod,ROOT,advmod,248,0.002717510409818102,2.4955472594262256,9768,99377.0,91260
2024,ROOT->advmod,ROOT,advmod,291,0.002807877495489063,2.580130336480915,10901,112785.0,103637
2025,ROOT->advmod,ROOT,advmod,336,0.002853745541022592,2.6259026540373256,12117,127956.0,117740
2026,ROOT->advmod,ROOT,advmod,117,0.002755339943009208,2.538787023977433,4367,46085.0,42463
2015,ROOT->agent,ROOT,agent,3,8.990110878034162e-05,0.08191126279863482,3849,36625.0,33370
2016,ROOT->agent,ROOT,agent,2,4.785261394903696e-05,0.04358722894192001,4828,45885.0,41795
2017,ROOT->agent,ROOT,agent,2,3.4551862345380415e-05,0.03146633102580239,6685,63560.0,57884
2018,ROOT->agent,ROOT,agent,5,5.129467766424556e-05,0.046704964737751625,11287,107055.0,97476
2019,ROOT->agent,ROOT,agent,4,2.879023435250763e-05,0.026233292671729695,15953,152478.0,138936
2021,ROOT->agent,ROOT,agent,2,2.3245002324500234e-05,0.02129471890971039,9419,93920.0,86040
2022,ROOT->agent,ROOT,agent,5,5.858917272088118e-05,0.05374610340750296,9240,93030.0,85340
2023,ROOT->agent,ROOT,agent,5,5.478851632697787e-05,0.050313452811012606,9768,99377.0,91260
2024,ROOT->agent,ROOT,agent,5,4.82453177919083e-05,0.04433213636565146,10901,112785.0,103637
2025,ROOT->agent,ROOT,agent,3,2.547987090198743e-05,0.023445559411047548,12117,127956.0,117740
2026,ROOT->agent,ROOT,agent,3,7.064974212844123e-05,0.06509710317890853,4367,46085.0,42463
2015,ROOT->amod,ROOT,amod,2280,0.06832484267305963,62.25255972696245,3849,36625.0,33370
2016,ROOT->amod,ROOT,amod,2889,0.0691231008493839,62.961752206603464,4828,45885.0,41795
