paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
1502.00088v2,2015,2015-01-31,8.0,8,0,1,1,1,1,2,1,2,3,0.0,125.0,125.0,250.0,375.0,0.0,0.25,0.375,1.5
1501.07788v2,2015,2015-01-30,5.0,5,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.4,
1501.07621v1,2015,2015-01-29,8.0,8,0,0,0,2,1,2,0,3,2,0.0,0.0,0.0,375.0,250.0,0.0,0.375,0.25,0.6666666666666666
1501.07518v1,2015,2015-01-29,9.0,9,1,0,1,1,1,5,0,2,5,111.1111111111111,0.0,111.1111111111111,222.2222222222222,555.5555555555555,1.0,0.2222222222222222,0.5555555555555556,2.5
1501.07504v1,2015,2015-01-29,12.0,12,0,1,1,1,1,1,4,2,5,0.0,83.33333333333333,83.33333333333333,166.66666666666666,416.6666666666667,0.0,0.16666666666666666,0.4166666666666667,2.5
1501.07481v3,2015,2015-01-29,6.0,6,0,0,0,0,0,2,1,0,3,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.5,
1501.07866v1,2015,2015-01-28,11.0,11,0,1,1,2,1,0,2,3,2,0.0,90.9090909090909,90.9090909090909,272.7272727272727,181.8181818181818,0.0,0.2727272727272727,0.18181818181818182,0.6666666666666666
1501.07255v1,2015,2015-01-28,6.0,6,0,1,1,0,0,2,1,0,3,0.0,166.66666666666666,166.66666666666666,0.0,500.0,0.0,0.0,0.5,
1501.07179v1,2015,2015-01-28,16.0,17,1,2,3,2,2,1,2,4,3,62.5,125.0,187.5,250.0,187.5,0.3333333333333333,0.23529411764705882,0.17647058823529413,0.75
1501.07134v1,2015,2015-01-28,9.0,9,1,1,2,2,2,2,0,4,2,111.1111111111111,111.1111111111111,222.2222222222222,444.4444444444444,222.2222222222222,0.5,0.4444444444444444,0.2222222222222222,0.5
1501.07000v1,2015,2015-01-28,15.0,15,1,0,1,3,3,2,2,6,4,66.66666666666667,0.0,66.66666666666667,400.0,266.6666666666667,1.0,0.4,0.26666666666666666,0.6666666666666666
1501.06952v1,2015,2015-01-27,10.0,10,0,0,0,2,2,2,3,4,5,0.0,0.0,0.0,400.0,500.0,0.0,0.4,0.5,1.25
1501.06929v1,2015,2015-01-27,6.0,6,0,1,1,0,0,2,1,0,3,0.0,166.66666666666666,166.66666666666666,0.0,500.0,0.0,0.0,0.5,
1501.06835v1,2015,2015-01-27,8.0,8,0,0,0,2,2,3,0,4,3,0.0,0.0,0.0,500.0,375.0,0.0,0.5,0.375,0.75
1501.06789v1,2015,2015-01-27,7.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1501.06643v2,2015,2015-01-27,10.0,10,0,0,0,1,1,4,2,2,6,0.0,0.0,0.0,200.0,600.0,0.0,0.2,0.6,3.0
1501.06630v7,2015,2015-01-27,9.0,9,0,0,0,1,1,4,2,2,6,0.0,0.0,0.0,222.2222222222222,666.6666666666666,0.0,0.2222222222222222,0.6666666666666666,3.0
1501.06629v1,2015,2015-01-27,6.0,6,0,0,0,1,0,2,0,1,2,0.0,0.0,0.0,166.66666666666666,333.3333333333333,0.0,0.16666666666666666,0.3333333333333333,2.0
1501.06406v2,2015,2015-01-26,12.0,12,0,1,1,1,1,2,3,2,5,0.0,83.33333333333333,83.33333333333333,166.66666666666666,416.6666666666667,0.0,0.16666666666666666,0.4166666666666667,2.5
1501.06387v1,2015,2015-01-26,14.0,14,0,0,0,3,3,2,4,6,6,0.0,0.0,0.0,428.57142857142856,428.57142857142856,0.0,0.42857142857142855,0.42857142857142855,1.0
1501.06377v1,2015,2015-01-26,6.0,6,0,0,0,1,1,2,0,2,2,0.0,0.0,0.0,333.3333333333333,333.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
1501.06845v2,2015,2015-01-26,14.0,15,0,0,0,3,2,1,1,5,2,0.0,0.0,0.0,357.14285714285717,142.85714285714286,0.0,0.3333333333333333,0.13333333333333333,0.4
1501.06149v1,2015,2015-01-25,17.0,18,0,0,0,3,3,7,1,6,8,0.0,0.0,0.0,352.94117647058823,470.5882352941176,0.0,0.3333333333333333,0.4444444444444444,1.3333333333333333
1501.06031v2,2015,2015-01-24,14.0,14,2,1,3,3,4,2,0,7,2,142.85714285714286,71.42857142857143,214.28571428571428,500.0,142.85714285714286,0.6666666666666666,0.5,0.14285714285714285,0.2857142857142857
1501.05961v1,2015,2015-01-23,7.0,8,0,0,0,1,1,1,3,2,4,0.0,0.0,0.0,285.7142857142857,571.4285714285714,0.0,0.25,0.5,2.0
1501.05930v5,2015,2015-01-23,8.0,8,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.25,
1501.05831v2,2015,2015-01-23,14.0,14,1,2,3,2,1,2,3,3,5,71.42857142857143,142.85714285714286,214.28571428571428,214.28571428571428,357.14285714285717,0.3333333333333333,0.21428571428571427,0.35714285714285715,1.6666666666666667
1501.05763v1,2015,2015-01-23,12.0,13,0,0,0,2,2,5,3,4,8,0.0,0.0,0.0,333.3333333333333,666.6666666666666,0.0,0.3076923076923077,0.6153846153846154,2.0
1501.05552v1,2015,2015-01-22,12.0,12,0,2,2,1,1,2,2,2,4,0.0,166.66666666666666,166.66666666666666,166.66666666666666,333.3333333333333,0.0,0.16666666666666666,0.3333333333333333,2.0
1501.05349v2,2015,2015-01-21,10.0,10,0,0,0,2,2,2,2,4,4,0.0,0.0,0.0,400.0,400.0,0.0,0.4,0.4,1.0
1501.05303v3,2015,2015-01-21,9.0,9,0,0,0,1,1,1,2,2,3,0.0,0.0,0.0,222.2222222222222,333.3333333333333,0.0,0.2222222222222222,0.3333333333333333,1.5
1501.05230v1,2015,2015-01-21,18.0,18,1,0,1,4,4,2,2,8,4,55.55555555555555,0.0,55.55555555555555,444.4444444444444,222.2222222222222,1.0,0.4444444444444444,0.2222222222222222,0.5
1501.05119v1,2015,2015-01-21,12.0,12,1,0,1,3,3,1,0,6,1,83.33333333333333,0.0,83.33333333333333,500.0,83.33333333333333,1.0,0.5,0.08333333333333333,0.16666666666666666
1501.05072v1,2015,2015-01-21,9.0,9,1,0,1,2,2,1,0,4,1,111.1111111111111,0.0,111.1111111111111,444.4444444444444,111.1111111111111,1.0,0.4444444444444444,0.1111111111111111,0.25
